instrument,orb_label,orb_minutes,entry_model,rr_target,confirm_bars,filter_type,sample_size,win_rate,expr,sharpe,wfe,fdr_significant,wf_passed,status,promoted_at
MNQ,EUROPE_FLOW,5,E2,1.0,1,ATR70_VOL,269,0.5985,0.2104,0.2663,0.8641,True,True,active,2026-03-23 16:02:12.737183+10:00
MNQ,EUROPE_FLOW,5,E2,1.0,1,ATR70_VOL,269,0.6431,0.1916,0.2149,0.705,True,True,active,2026-03-23 16:02:12.711246+10:00
MNQ,EUROPE_FLOW,5,E2,1.5,1,ATR70_VOL,269,0.5019,0.1692,0.1448,0.9626,True,True,active,2026-03-23 16:02:13.155130+10:00
MNQ,EUROPE_FLOW,5,E2,1.0,1,VOL_RV12_N20,739,0.5751,0.156,0.1995,1.1104,True,True,active,2026-03-23 16:02:13.131506+10:00
MNQ,EUROPE_FLOW,5,E2,1.5,1,VOL_RV12_N20,739,0.4438,0.154,0.1517,1.1067,True,True,active,2026-03-23 16:02:13.628532+10:00
MNQ,EUROPE_FLOW,5,E2,2.0,1,ORB_G8,1072,0.4132,0.1393,0.1025,1.1067,True,True,active,2026-03-23 16:02:13.929576+10:00
MNQ,EUROPE_FLOW,5,E2,2.0,1,ORB_G8,1072,0.3545,0.1385,0.1154,1.089,True,True,active,2026-03-23 16:02:13.953830+10:00
MNQ,EUROPE_FLOW,5,E2,1.5,1,ORB_G8,1072,0.4328,0.1366,0.1344,1.0961,True,True,active,2026-03-23 16:02:13.544910+10:00
MNQ,EUROPE_FLOW,5,E2,1.0,1,ORB_G8,1072,0.5569,0.1328,0.1683,0.9367,True,True,active,2026-03-23 16:02:13.070829+10:00
MNQ,EUROPE_FLOW,5,E2,2.0,1,ORB_G5,1222,0.356,0.1302,0.1097,1.2699,True,True,active,2026-03-23 16:02:13.827998+10:00
MNQ,EUROPE_FLOW,5,E2,1.5,1,VOL_RV12_N20,739,0.4939,0.1293,0.1128,1.1664,True,True,active,2026-03-23 16:02:13.569385+10:00
MNQ,EUROPE_FLOW,5,E2,2.0,1,ORB_G4,1254,0.3573,0.1292,0.1092,1.2677,True,True,active,2026-03-23 16:02:13.755148+10:00
