strategy_id,hypothesis_path,result_md_path,returncode,stdout_tail,stderr_tail
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G4_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g4-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g4-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G4_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g4-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1538 and ExpR=0.0811; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g4-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g4-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g4-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G6_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g6-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g6-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G6_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g6-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1537 and ExpR=0.0808; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g6-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g6-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g6-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G8_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g8-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g8-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G8_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g8-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1534 and ExpR=0.0807; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g8-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g8-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-g8-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_4K_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-4k-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-4k-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_4K_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-4k-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1536 and ExpR=0.0814; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-4k-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-4k-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-4k-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1527 and ExpR=0.0818; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_10_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-10-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-10-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_10_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-10-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1538 and ExpR=0.0808; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-10-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-10-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-10-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_25_O30_S075,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-25-o30-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-25-o30-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_25_O30_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-25-o30-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=1516 and ExpR=0.0819; OOS sign matches at N_OOS=85.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-25-o30-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-25-o30-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-ovnrng-25-o30-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_COST_LT12_S075,docs/audit/hypotheses/2026-05-31-mnq-europe-flow-e2-rr2-0-cb1-cost-lt12-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-europe-flow-e2-rr2-0-cb1-cost-lt12-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_EUROPE_FLOW_E2_RR2.0_CB1_COST_LT12_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-europe-flow-e2-rr2-0-cb1-cost-lt12-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: FAIL_STRICT_CHORDIA
Heavyweight reason: IS t=2.747 < 3.79.
Result MD: docs\audit\results\2026-05-31-mnq-europe-flow-e2-rr2-0-cb1-cost-lt12-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-europe-flow-e2-rr2-0-cb1-cost-lt12-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-europe-flow-e2-rr2-0-cb1-cost-lt12-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_O15,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.md,0,"Strategy: MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_O15
Prereg: docs\audit\hypotheses\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: FAIL_STRICT_CHORDIA
Heavyweight reason: IS t=3.557 < 3.79.
Result MD: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ATR_P50_S075,docs/audit/hypotheses/2026-05-31-mnq-cme-preclose-e2-rr1-5-cb1-atr-p50-s075-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-cme-preclose-e2-rr1-5-cb1-atr-p50-s075-chordia-unlock-v1.md,0,"Strategy: MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ATR_P50_S075
Prereg: docs\audit\hypotheses\2026-05-31-mnq-cme-preclose-e2-rr1-5-cb1-atr-p50-s075-chordia-unlock-v1.yaml
Heavyweight Chordia verdict: PASS_CHORDIA
Heavyweight reason: IS clears strict threshold 3.79 with N=826 and ExpR=0.1565; OOS sign matches at N_OOS=64.
Result MD: docs\audit\results\2026-05-31-mnq-cme-preclose-e2-rr1-5-cb1-atr-p50-s075-chordia-unlock-v1.md
Result CSV: docs\audit\results\2026-05-31-mnq-cme-preclose-e2-rr1-5-cb1-atr-p50-s075-chordia-unlock-v1.csv
Result Summary CSV: docs\audit\results\2026-05-31-mnq-cme-preclose-e2-rr1-5-cb1-atr-p50-s075-chordia-unlock-v1.summary.csv
","[DB] INFO: local worktree has no gold.db; using shared canonical DB at C:\Users\joshd\canompx3\gold.db
"
