batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,22,25,25,0,29,53,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,22,25,25,0,54,78,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,22,25,25,0,79,103,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,22,25,25,0,104,128,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,22,25,25,0,129,153,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,22,25,25,0,154,178,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,22,25,25,0,179,203,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,22,25,25,0,204,228,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,22,25,25,0,229,253,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,22,25,25,0,254,278,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,22,25,25,0,279,303,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,22,25,25,0,304,328,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,22,25,25,0,329,353,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,22,25,25,0,354,378,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,22,25,25,0,379,403,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,22,25,25,0,404,428,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,22,25,25,0,429,453,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,22,25,25,0,454,478,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,22,25,25,0,479,503,batches/batch_019.csv,batches/batch_019_commands.ps1
batch_020,20,22,25,25,0,504,528,batches/batch_020.csv,batches/batch_020_commands.ps1
batch_021,21,22,25,25,0,529,553,batches/batch_021.csv,batches/batch_021_commands.ps1
batch_022,22,22,23,23,0,554,576,batches/batch_022.csv,batches/batch_022_commands.ps1
