batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,28,25,11,14,21,45,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,28,25,22,3,46,70,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,28,25,18,7,71,95,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,28,25,21,4,96,120,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,28,25,10,15,121,145,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,28,25,13,12,146,170,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,28,25,19,6,171,195,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,28,25,5,20,196,220,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,28,25,22,3,221,245,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,28,25,17,8,246,270,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,28,25,15,10,271,295,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,28,25,17,8,296,320,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,28,25,21,4,321,345,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,28,25,25,0,346,370,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,28,25,21,4,371,395,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,28,25,20,5,396,420,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,28,25,9,16,421,445,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,28,25,10,15,446,470,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,28,25,18,7,471,495,batches/batch_019.csv,batches/batch_019_commands.ps1
batch_020,20,28,25,11,14,496,520,batches/batch_020.csv,batches/batch_020_commands.ps1
batch_021,21,28,25,15,10,521,545,batches/batch_021.csv,batches/batch_021_commands.ps1
batch_022,22,28,25,21,4,546,570,batches/batch_022.csv,batches/batch_022_commands.ps1
batch_023,23,28,25,13,12,571,595,batches/batch_023.csv,batches/batch_023_commands.ps1
batch_024,24,28,25,10,15,596,620,batches/batch_024.csv,batches/batch_024_commands.ps1
batch_025,25,28,25,19,6,621,645,batches/batch_025.csv,batches/batch_025_commands.ps1
batch_026,26,28,25,23,2,646,670,batches/batch_026.csv,batches/batch_026_commands.ps1
batch_027,27,28,25,20,5,671,695,batches/batch_027.csv,batches/batch_027_commands.ps1
batch_028,28,28,9,9,0,696,704,batches/batch_028.csv,batches/batch_028_commands.ps1
