batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,26,25,25,0,25,49,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,26,25,25,0,50,74,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,26,25,25,0,75,99,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,26,25,25,0,100,124,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,26,25,25,0,125,149,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,26,25,25,0,150,174,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,26,25,25,0,175,199,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,26,25,25,0,200,224,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,26,25,25,0,225,249,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,26,25,25,0,250,274,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,26,25,25,0,275,299,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,26,25,25,0,300,324,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,26,25,25,0,325,349,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,26,25,25,0,350,374,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,26,25,25,0,375,399,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,26,25,25,0,400,424,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,26,25,25,0,425,449,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,26,25,25,0,450,474,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,26,25,25,0,475,499,batches/batch_019.csv,batches/batch_019_commands.ps1
batch_020,20,26,25,25,0,500,524,batches/batch_020.csv,batches/batch_020_commands.ps1
batch_021,21,26,25,25,0,525,549,batches/batch_021.csv,batches/batch_021_commands.ps1
batch_022,22,26,25,25,0,550,574,batches/batch_022.csv,batches/batch_022_commands.ps1
batch_023,23,26,25,25,0,575,599,batches/batch_023.csv,batches/batch_023_commands.ps1
batch_024,24,26,25,25,0,600,624,batches/batch_024.csv,batches/batch_024_commands.ps1
batch_025,25,26,25,25,0,625,649,batches/batch_025.csv,batches/batch_025_commands.ps1
batch_026,26,26,23,23,0,650,672,batches/batch_026.csv,batches/batch_026_commands.ps1
