batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,29,25,15,10,18,42,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,29,25,20,5,43,67,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,29,25,23,2,68,92,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,29,25,18,7,93,117,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,29,25,20,5,118,142,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,29,25,10,15,143,167,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,29,25,14,11,168,192,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,29,25,19,6,193,217,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,29,25,5,20,218,242,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,29,25,22,3,243,267,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,29,25,16,9,268,292,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,29,25,15,10,293,317,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,29,25,18,7,318,342,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,29,25,21,4,343,367,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,29,25,25,0,368,392,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,29,25,21,4,393,417,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,29,25,19,6,418,442,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,29,25,9,16,443,467,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,29,25,11,14,468,492,batches/batch_019.csv,batches/batch_019_commands.ps1
batch_020,20,29,25,18,7,493,517,batches/batch_020.csv,batches/batch_020_commands.ps1
batch_021,21,29,25,11,14,518,542,batches/batch_021.csv,batches/batch_021_commands.ps1
batch_022,22,29,25,15,10,543,567,batches/batch_022.csv,batches/batch_022_commands.ps1
batch_023,23,29,25,21,4,568,592,batches/batch_023.csv,batches/batch_023_commands.ps1
batch_024,24,29,25,13,12,593,617,batches/batch_024.csv,batches/batch_024_commands.ps1
batch_025,25,29,25,9,16,618,642,batches/batch_025.csv,batches/batch_025_commands.ps1
batch_026,26,29,25,20,5,643,667,batches/batch_026.csv,batches/batch_026_commands.ps1
batch_027,27,29,25,23,2,668,692,batches/batch_027.csv,batches/batch_027_commands.ps1
batch_028,28,29,25,20,5,693,717,batches/batch_028.csv,batches/batch_028_commands.ps1
batch_029,29,29,8,8,0,718,725,batches/batch_029.csv,batches/batch_029_commands.ps1
