rank,strategy_id,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,family_median_exp_r,family_oos_median,active_in_profile,action
1,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_O15,MNQ,NYSE_OPEN,15,E2,1.0,NO_FILTER,1,0.1245,224,25.7,DEPLOY,MISSING,,,MNQ NYSE_OPEN baseline_orb,deployable_candidate,0,0.06914799105181837,0.05117823529411765,False,RUN_STRICT_UNLOCK
2,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30_S075,MNQ,US_DATA_1000,30,E2,1.0,NO_FILTER,1,0.1334,196,24.1,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
3,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O15,MNQ,US_DATA_1000,15,E2,1.0,NO_FILTER,1,0.106,235,23.0,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
4,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30,MNQ,US_DATA_1000,30,E2,1.0,NO_FILTER,1,0.1219,196,22.1,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
5,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_S075,MNQ,NYSE_OPEN,5,E2,1.0,NO_FILTER,1,0.0928,257,22.0,DEPLOY,MISSING,,,MNQ NYSE_OPEN baseline_orb,deployable_candidate,0,0.06914799105181837,0.05117823529411765,False,RUN_STRICT_UNLOCK
6,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER,MNQ,US_DATA_1000,5,E2,1.5,NO_FILTER,1,0.0855,251,19.8,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
7,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER,MNQ,NYSE_OPEN,5,E2,1.0,NO_FILTER,1,0.0806,257,19.1,DEPLOY,MISSING,,,MNQ NYSE_OPEN baseline_orb,deployable_candidate,0,0.06914799105181837,0.05117823529411765,False,RUN_STRICT_UNLOCK
8,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15,MNQ,US_DATA_1000,15,E2,1.5,NO_FILTER,1,0.0771,222,15.8,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,research_provisional,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
9,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15_S075,MNQ,US_DATA_1000,15,E2,1.5,NO_FILTER,1,0.0695,222,14.2,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,research_provisional,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
10,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER,MNQ,US_DATA_1000,5,E2,1.0,NO_FILTER,1,0.0591,257,14.0,DEPLOY,MISSING,,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,0.06616100767326531,0.05442612859097128,False,RUN_STRICT_UNLOCK
