rank,strategy_id,state,primary_blocker,next_action,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,status_reason,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,active_in_profile
1,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,LIVE_ACTIVE,NONE,MONITOR_ACTIVE_LANE,MNQ,COMEX_SETTLE,5,E2,1.5,OVNRNG_100,1,0.2307,161,34.3,DEPLOY,"Session HOT (+0.0837), ExpR=+0.2307, N=161",PASS_CHORDIA,29,,UNSPECIFIED,unknown,5,True
2,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,LIVE_ACTIVE,NONE,MONITOR_ACTIVE_LANE,MNQ,US_DATA_1000,15,E2,1.5,VWAP_MID_ALIGNED,1,0.2303,119,25.3,DEPLOY,"Session HOT (+0.0615), ExpR=+0.2303, N=119",PASS_CHORDIA,29,,UNSPECIFIED,unknown,5,True
3,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,LIVE_ACTIVE,NONE,MONITOR_ACTIVE_LANE,MNQ,TOKYO_OPEN,5,E2,1.5,COST_LT08,1,0.171,154,24.3,DEPLOY,"Session HOT (+0.0456), ExpR=+0.1710, N=154",PASS_PROTOCOL_A,8,,UNSPECIFIED,unknown,5,True
4,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_O15,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,NYSE_OPEN,15,E2,1.0,NO_FILTER,1,0.1245,224,25.7,DEPLOY,"Session HOT (+0.0916), ExpR=+0.1245, N=224",PASS_CHORDIA,0,,MNQ NYSE_OPEN baseline_orb,deployable_candidate,0,False
5,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30_S075,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,US_DATA_1000,30,E2,1.0,NO_FILTER,1,0.1334,196,24.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1334, N=196",PASS_CHORDIA,0,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,False
6,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,US_DATA_1000,30,E2,1.0,NO_FILTER,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",PASS_CHORDIA,0,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,False
7,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15_S075,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,US_DATA_1000,15,E2,1.5,NO_FILTER,1,0.0695,222,14.2,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0695, N=222",PASS_CHORDIA,0,,MNQ US_DATA_1000 baseline_orb,research_provisional,0,False
8,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,US_DATA_1000,5,E2,1.0,NO_FILTER,1,0.0591,257,14.0,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0591, N=257",PASS_CHORDIA,0,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,False
9,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O15_S075,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,US_DATA_1000,15,E2,1.0,NO_FILTER,1,0.0556,235,12.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0556, N=235",PASS_CHORDIA,0,,MNQ US_DATA_1000 baseline_orb,deployable_candidate,0,False
10,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_X_MES_ATR60_S075,ALLOCATOR_ELIGIBLE_BENCH,NONE,EVALUATE_ALLOCATION_SLOT,MNQ,CME_PRECLOSE,5,E2,1.0,X_MES_ATR60,1,0.2307,97,38.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.2307, N=97",PASS_CHORDIA,0,,UNSPECIFIED,unknown,5,False
