strategy_id,fold_idx,train_start,train_end,test_start,test_end,train_days,test_days,trade_count,win_rate,expectancy_r,sharpe_ratio,max_drawdown_r
MGC_0900_E1_RR1.0_CB1_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.293,-0.3025,1.4648
MGC_0900_E1_RR1.0_CB1_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,64,0.625,0.135,0.1522,4.1536
MGC_0900_E1_RR1.0_CB1_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.4013,-0.387,1.2039
MGC_0900_E1_RR1.0_CB1_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,44,0.6136,0.1278,0.1411,3.0
MGC_0900_E1_RR1.0_CB2_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.2886,-0.2961,1.443
MGC_0900_E1_RR1.0_CB2_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,64,0.6094,0.1075,0.1201,4.178
MGC_0900_E1_RR1.0_CB2_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.3927,-0.3733,1.178
MGC_0900_E1_RR1.0_CB2_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,44,0.5682,0.0452,0.049,3.5911
MGC_0900_E1_RR1.0_CB3_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.2803,-0.2843,1.4014
MGC_0900_E1_RR1.0_CB3_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,63,0.619,0.1374,0.1527,4.5642
MGC_0900_E1_RR1.0_CB3_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.3908,-0.3704,1.1725
MGC_0900_E1_RR1.0_CB3_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,43,0.6047,0.1214,0.1322,3.5058
MGC_0900_E1_RR1.0_CB4_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.276,-0.2784,1.38
MGC_0900_E1_RR1.0_CB4_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,63,0.6032,0.1141,0.1252,4.1641
MGC_0900_E1_RR1.0_CB4_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.3886,-0.3669,1.1657
MGC_0900_E1_RR1.0_CB4_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,43,0.6047,0.1259,0.1366,3.8036
MGC_0900_E1_RR1.0_CB5_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.2663,-0.265,1.3314
MGC_0900_E1_RR1.0_CB5_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,62,0.5645,0.0415,0.045,5.2998
MGC_0900_E1_RR1.0_CB5_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.3819,-0.3567,1.1456
MGC_0900_E1_RR1.0_CB5_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,42,0.5476,0.0181,0.0193,6.8126
MGC_0900_E1_RR1.5_CB1_ORB_G4,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,10,0.4444,-0.0425,-0.0374,3.0
MGC_0900_E1_RR1.5_CB1_ORB_G4,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,76,0.5263,0.1828,0.1617,4.0
MGC_0900_E1_RR1.5_CB1_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.1162,-0.096,1.0
MGC_0900_E1_RR1.5_CB1_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,64,0.5469,0.2379,0.2093,4.0
MGC_0900_E1_RR1.5_CB1_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.2516,-0.1941,1.0
MGC_0900_E1_RR1.5_CB1_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,44,0.5227,0.1969,0.1701,4.3875
MGC_0900_E1_RR1.5_CB2_ORB_G4,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,10,0.4444,-0.0341,-0.0297,3.0
MGC_0900_E1_RR1.5_CB2_ORB_G4,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,76,0.5263,0.1899,0.167,4.0
MGC_0900_E1_RR1.5_CB2_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.2408,-0.1832,1.0
MGC_0900_E1_RR1.5_CB2_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,44,0.5227,0.1991,0.1717,6.6974
MGC_0900_E1_RR1.5_CB3_ORB_G4,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,10,0.5,0.0963,0.0821,2.0
MGC_0900_E1_RR1.5_CB3_ORB_G4,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,75,0.48,0.0959,0.0834,6.3804
MGC_0900_E1_RR1.5_CB3_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.2385,-0.1809,1.0
MGC_0900_E1_RR1.5_CB3_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,43,0.5349,0.2371,0.203,6.6852
MGC_0900_E1_RR1.5_CB4_ORB_G4,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,10,0.5,0.104,0.088,2.0
MGC_0900_E1_RR1.5_CB4_ORB_G4,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,75,0.473,0.0853,0.0739,8.4768
MGC_0900_E1_RR1.5_CB4_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.095,-0.0766,1.0
MGC_0900_E1_RR1.5_CB4_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,63,0.4921,0.135,0.1161,6.6387
MGC_0900_E1_RR1.5_CB4_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.2357,-0.178,1.0
MGC_0900_E1_RR1.5_CB4_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,43,0.5116,0.1883,0.1602,7.4268
MGC_0900_E1_RR1.5_CB5_ORB_G4,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,10,0.375,-0.1516,-0.1294,3.0
MGC_0900_E1_RR1.5_CB5_ORB_G4,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,74,0.4521,0.0354,0.0308,11.5655
MGC_0900_E1_RR1.5_CB5_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,-0.0829,-0.066,1.0
MGC_0900_E1_RR1.5_CB5_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,62,0.4677,0.0788,0.0679,10.8898
MGC_0900_E1_RR1.5_CB5_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.2273,-0.1699,1.0
MGC_0900_E1_RR1.5_CB5_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,42,0.4762,0.1052,0.0896,7.3751
MGC_0900_E1_RR2.0_CB1_ORB_G4,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,10,0.3333,-0.1299,-0.0995,4.0
MGC_0900_E1_RR2.0_CB1_ORB_G4,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,76,0.4474,0.2056,0.1523,6.4315
MGC_0900_E1_RR2.0_CB1_ORB_G5,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,6,0.4,0.0606,0.0417,1.0
MGC_0900_E1_RR2.0_CB1_ORB_G5,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,64,0.4688,0.2723,0.1993,8.0
MGC_0900_E1_RR2.0_CB1_ORB_G6,1,2021-02-05,2023-12-29,2024-01-02,2024-12-31,851,293,4,0.3333,-0.1019,-0.0655,1.0
MGC_0900_E1_RR2.0_CB1_ORB_G6,2,2022-01-03,2024-12-31,2025-01-02,2025-12-31,876,292,44,0.4318,0.1871,0.1358,5.0
