strategy_id,filter_type,num_folds,oos_trade_count,oos_win_rate,oos_expectancy_r,oos_sharpe_ratio,oos_max_drawdown_r
MGC_0900_E1_RR1.0_CB1_ORB_G5,ORB_G5,2,70,0.6087,0.1039,0.1165,4.1536
MGC_0900_E1_RR1.0_CB1_ORB_G6,ORB_G6,2,48,0.5957,0.0941,0.1032,3.6089
MGC_0900_E1_RR1.0_CB2_ORB_G5,ORB_G5,2,70,0.5942,0.0788,0.0876,4.178
MGC_0900_E1_RR1.0_CB2_ORB_G6,ORB_G6,2,48,0.5532,0.0172,0.0186,3.5911
MGC_0900_E1_RR1.0_CB3_ORB_G5,ORB_G5,2,69,0.6029,0.1067,0.1179,4.5642
MGC_0900_E1_RR1.0_CB3_ORB_G6,ORB_G6,2,47,0.587,0.088,0.0953,3.5058
MGC_0900_E1_RR1.0_CB4_ORB_G5,ORB_G5,2,69,0.5882,0.0854,0.0933,4.1641
MGC_0900_E1_RR1.0_CB4_ORB_G6,ORB_G6,2,47,0.587,0.0923,0.0996,3.8036
MGC_0900_E1_RR1.0_CB5_ORB_G5,ORB_G5,2,68,0.5522,0.0185,0.02,5.2998
MGC_0900_E1_RR1.0_CB5_ORB_G6,ORB_G6,2,46,0.5333,-0.0086,-0.0091,6.8126
MGC_0900_E1_RR1.5_CB1_ORB_G4,ORB_G4,2,86,0.5176,0.1589,0.1411,4.0
MGC_0900_E1_RR1.5_CB1_ORB_G5,ORB_G5,2,70,0.5362,0.2122,0.1867,4.0
MGC_0900_E1_RR1.5_CB1_ORB_G6,ORB_G6,2,48,0.5106,0.1683,0.1455,4.3875
MGC_0900_E1_RR1.5_CB2_ORB_G4,ORB_G4,2,86,0.5176,0.1662,0.1467,4.0
MGC_0900_E1_RR1.5_CB2_ORB_G6,ORB_G6,2,48,0.5106,0.171,0.1475,6.6974
MGC_0900_E1_RR1.5_CB3_ORB_G4,ORB_G4,2,85,0.4819,0.0959,0.0838,6.3804
MGC_0900_E1_RR1.5_CB3_ORB_G6,ORB_G6,2,47,0.5217,0.2061,0.1764,6.6852
MGC_0900_E1_RR1.5_CB4_ORB_G4,ORB_G4,2,85,0.4756,0.0871,0.0758,8.4768
MGC_0900_E1_RR1.5_CB4_ORB_G5,ORB_G5,2,69,0.4853,0.1181,0.1017,6.6387
MGC_0900_E1_RR1.5_CB4_ORB_G6,ORB_G6,2,47,0.5,0.1606,0.1368,7.4268
MGC_0900_E1_RR1.5_CB5_ORB_G4,ORB_G4,2,84,0.4444,0.0169,0.0148,11.5655
MGC_0900_E1_RR1.5_CB5_ORB_G5,ORB_G5,2,68,0.4627,0.0667,0.0576,10.8898
MGC_0900_E1_RR1.5_CB5_ORB_G6,ORB_G6,2,46,0.4667,0.083,0.0709,7.3751
MGC_0900_E1_RR2.0_CB1_ORB_G4,ORB_G4,2,86,0.4353,0.1701,0.1268,6.4315
MGC_0900_E1_RR2.0_CB1_ORB_G5,ORB_G5,2,70,0.4638,0.257,0.1886,8.0
MGC_0900_E1_RR2.0_CB1_ORB_G6,ORB_G6,2,48,0.4255,0.1686,0.1228,5.0
MGC_0900_E1_RR2.0_CB2_ORB_G3,ORB_G3,2,108,0.3925,0.0546,0.0414,9.5843
MGC_0900_E1_RR2.0_CB2_ORB_G4,ORB_G4,2,86,0.4353,0.1795,0.1327,7.513
MGC_0900_E1_RR2.0_CB2_ORB_G5,ORB_G5,2,70,0.4783,0.3019,0.2203,6.2669
MGC_0900_E1_RR2.0_CB2_ORB_G6,ORB_G6,2,48,0.4468,0.2301,0.1663,6.2368
MGC_0900_E1_RR2.0_CB3_ORB_G3,ORB_G3,2,107,0.381,0.0341,0.0257,14.073
MGC_0900_E1_RR2.0_CB3_ORB_G4,ORB_G4,2,85,0.4096,0.1202,0.0888,10.3293
MGC_0900_E1_RR2.0_CB3_ORB_G5,ORB_G5,2,69,0.4412,0.2137,0.1552,9.7928
MGC_0900_E1_RR2.0_CB3_ORB_G6,ORB_G6,2,47,0.4348,0.2079,0.1493,8.2222
MGC_0900_E1_RR2.0_CB4_ORB_G4,ORB_G4,2,85,0.3902,0.0733,0.0542,10.8681
MGC_0900_E1_RR2.0_CB4_ORB_G5,ORB_G5,2,69,0.4118,0.1391,0.1014,10.5623
MGC_0900_E1_RR2.0_CB4_ORB_G6,ORB_G6,2,47,0.4565,0.272,0.1938,6.2076
MGC_0900_E1_RR2.0_CB5_ORB_G4,ORB_G4,2,84,0.3827,0.0509,0.0379,13.1738
MGC_0900_E1_RR2.0_CB5_ORB_G5,ORB_G5,2,68,0.403,0.1149,0.084,11.3631
MGC_0900_E1_RR2.5_CB1_ORB_G3,ORB_G3,2,109,0.3426,0.0662,0.0445,15.0
MGC_0900_E1_RR2.5_CB1_ORB_G4,ORB_G4,2,86,0.3882,0.2211,0.1433,10.0
MGC_0900_E1_RR2.5_CB1_ORB_G5,ORB_G5,2,70,0.4203,0.3325,0.2108,9.0
MGC_0900_E1_RR2.5_CB1_ORB_G6,ORB_G6,2,48,0.4255,0.3634,0.2268,5.0
MGC_0900_E1_RR2.5_CB2_ORB_G3,ORB_G3,2,108,0.3458,0.0862,0.0574,11.8703
MGC_0900_E1_RR2.5_CB2_ORB_G4,ORB_G4,2,86,0.3882,0.2293,0.1476,10.0
MGC_0900_E1_RR2.5_CB2_ORB_G5,ORB_G5,2,70,0.4203,0.3381,0.2135,9.0
MGC_0900_E1_RR2.5_CB2_ORB_G6,ORB_G6,2,48,0.4255,0.3673,0.2287,5.7763
MGC_0900_E1_RR2.5_CB3_ORB_G3,ORB_G3,2,107,0.3524,0.1192,0.0781,12.4912
MGC_0900_E1_RR2.5_CB3_ORB_G4,ORB_G4,2,85,0.3855,0.2321,0.1482,10.0
MGC_0900_E1_RR2.5_CB4_ORB_G4,ORB_G4,2,85,0.3537,0.134,0.0868,15.6683
MGC_0900_E1_RR3.0_CB1_ORB_G3,ORB_G3,2,109,0.3056,0.087,0.0528,16.236
MGC_0900_E1_RR3.0_CB1_ORB_G4,ORB_G4,2,86,0.3529,0.2672,0.1547,11.236
MGC_0900_E1_RR3.0_CB1_ORB_G5,ORB_G5,2,70,0.3768,0.3647,0.2062,10.236
MGC_0900_E1_RR3.0_CB1_ORB_G6,ORB_G6,2,48,0.383,0.4005,0.2228,5.3128
MGC_0900_E1_RR3.0_CB2_ORB_G4,ORB_G4,2,86,0.3333,0.2064,0.1202,12.0
