month,adaptive_pnl,static_pnl,oracle_pnl,adaptive_cumul,static_cumul,oracle_cumul,n_lanes,turnover
2022-01-01,10.48,10.48,31.3,10.48,10.48,31.30,5,0
2022-02-01,25.78,26.36,44.56,36.26,36.84,75.86,5,2
2022-03-01,15.81,10.65,36.8,52.07,47.49,112.66,5,2
2022-04-01,12.59,15.7,36.88,64.66,63.19,149.54,5,2
2022-05-01,13.74,27.64,38.26,78.40,90.83,187.80,5,0
2022-06-01,-14.32,5.78,30.41,64.08,96.61,218.21,5,4
2022-07-01,5.32,-3.74,28.84,69.40,92.87,247.05,5,2
2022-08-01,7.83,14.8,20.77,77.23,107.67,267.82,5,4
2022-09-01,4.84,13.89,26.13,82.07,121.56,293.95,5,2
2022-10-01,7.67,12.31,25.08,89.74,133.87,319.03,4,3
2022-11-01,3.07,12.93,19.97,92.81,146.80,339.00,5,1
2022-12-01,10.34,12.47,27.37,103.15,159.27,366.37,5,2
2023-01-01,6.94,9.73,27.92,110.09,169.00,394.29,5,0
2023-02-01,4.4,-1.31,17.77,114.49,167.69,412.06,5,2
2023-03-01,-2.1,3.5,23.92,112.39,171.19,435.98,5,6
2023-04-01,2.77,0.8,33.85,115.16,171.99,469.83,4,3
2023-05-01,-4.42,-1.72,18.59,110.74,170.27,488.42,5,3
2023-06-01,-2.35,-2.25,21.58,108.39,168.02,510.00,5,4
2023-07-01,-1.37,13.28,22.23,107.02,181.30,532.23,4,3
2023-08-01,10.62,-6.23,18.99,117.64,175.07,551.22,5,3
2023-09-01,11.31,9.92,33.19,128.95,184.99,584.41,4,1
2023-10-01,11.93,-1.19,19.73,140.88,183.80,604.14,5,5
2023-11-01,-3.5,1.92,17.21,137.38,185.72,621.35,5,2
2023-12-01,-3.48,3.65,13.52,133.90,189.37,634.87,4,1
2024-01-01,6.36,2.63,24.59,140.26,192.00,659.46,5,5
2024-02-01,5.92,-5.39,22.95,146.18,186.61,682.41,5,4
2024-03-01,-11.05,-0.56,10.29,135.13,186.05,692.70,4,5
2024-04-01,-1.61,0.4,20.43,133.52,186.45,713.13,5,5
2024-05-01,6.65,-5.28,19.24,140.17,181.17,732.37,3,6
2024-06-01,9.36,1.89,31.13,149.53,183.06,763.50,5,2
2024-07-01,-6.46,5.63,21.67,143.07,188.69,785.17,5,4
2024-08-01,-6.09,12.3,36.11,136.98,200.99,821.28,2,5
2024-09-01,22.33,26.87,44.84,159.31,227.86,866.12,5,5
2024-10-01,7.6,17.39,28.4,166.91,245.25,894.52,5,0
2024-11-01,-5.09,7.6,24.7,161.82,252.85,919.22,5,0
2024-12-01,-1.62,7.06,22.04,160.20,259.91,941.26,5,6
2025-01-01,33.06,23.93,41.39,193.26,283.84,982.65,5,4
2025-02-01,-1.93,-8.89,19.6,191.33,274.95,1002.25,4,3
2025-03-01,10.16,2.06,21.7,201.49,277.01,1023.95,4,4
2025-04-01,39.46,14.21,44.36,240.95,291.22,1068.31,5,1
2025-05-01,6.25,-7.23,24.23,247.20,283.99,1092.54,5,0
2025-06-01,-6.35,-10.39,11.49,240.85,273.60,1104.03,5,4
2025-07-01,11.58,6.79,24.91,252.43,280.39,1128.94,5,4
2025-08-01,15.04,6.94,33.27,267.47,287.33,1162.21,5,2
2025-09-01,-1.09,-8.35,24.94,266.38,278.98,1187.15,5,2
2025-10-01,11.99,17.52,32.38,278.37,296.50,1219.53,5,4
2025-11-01,1.23,14.55,19.77,279.60,311.05,1239.30,5,2
2025-12-01,10.5,15.13,28.55,290.10,326.18,1267.85,5,2
