strategy_id,instrument,orb_label,rr_target,filter_type,annual_r_estimate,effective_annual_r,sr0_canonical,dsr_canonical,dsr_n5,dsr_n12,dsr_n36,dsr_n72,dsr_n253,rank_raw,rank_dsr,rank_combo,selected_raw,selected_dsr,selected_combo,selection_delta_dsr,selection_delta_combo
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G5,MNQ,EUROPE_FLOW,1.5,ORB_G5,46.1,46.1,0.1575,0.0002,0.1072,0.0031,0.0,0.0,0.0,1,29,28,True,False,False,True,True
MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O15,MNQ,SINGAPORE_OPEN,1.5,ATR_P50,44.0,44.0,0.1575,0.0239,0.4551,0.0932,0.0053,0.0006,0.0,2,14,12,True,False,False,True,True
MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O30,MNQ,SINGAPORE_OPEN,1.5,ATR_P50,44.0,44.0,0.1575,0.0551,0.6042,0.1733,0.0149,0.0022,0.0,3,11,8,False,True,True,True,True
MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,MNQ,COMEX_SETTLE,1.5,ORB_G5,41.0,41.0,0.1575,0.0105,0.4937,0.0669,0.0013,0.0001,0.0,4,18,17,True,False,False,True,True
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_COST_LT12,MNQ,EUROPE_FLOW,1.5,COST_LT12,40.6,40.6,0.1575,0.018,0.4297,0.0778,0.0036,0.0004,0.0,5,15,13,False,False,False,False,False
MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ,COMEX_SETTLE,1.5,OVNRNG_100,40.1,40.1,0.1575,0.7183,0.9727,0.8536,0.5645,0.3721,0.1322,6,2,1,False,False,True,False,True
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_CROSS_SGP_MOMENTUM,MNQ,EUROPE_FLOW,1.5,CROSS_SGP_MOMENTUM,39.2,39.2,0.1575,0.0087,0.3211,0.0442,0.0015,0.0001,0.0,7,19,19,False,False,False,False,False
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,2.0,ORB_G5,38.1,38.1,0.1575,0.0004,0.1594,0.006,0.0,0.0,0.0,8,27,27,False,False,False,False,False
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,1.5,OVNRNG_100,37.4,37.4,0.1575,0.4098,0.8746,0.6015,0.2568,0.1244,0.0249,9,5,3,False,True,True,True,True
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,1.0,ORB_G5,34.5,34.5,0.1575,0.0007,0.1816,0.0086,0.0001,0.0,0.0,10,26,26,False,False,False,False,False
MNQ_COMEX_SETTLE_E2_RR2.0_CB1_ORB_G5,MNQ,COMEX_SETTLE,2.0,ORB_G5,34.2,34.2,0.1575,0.0002,0.1101,0.0033,0.0,0.0,0.0,11,28,29,False,True,False,True,False
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_COST_LT12,MNQ,EUROPE_FLOW,1.0,COST_LT12,32.6,32.6,0.1575,0.0385,0.5436,0.1343,0.0094,0.0012,0.0,12,12,11,False,False,False,False,False
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_OVNRNG_100,MNQ,COMEX_SETTLE,1.0,OVNRNG_100,30.8,30.8,0.1575,0.756,0.9769,0.8753,0.6148,0.4283,0.1726,13,1,2,False,True,False,True,False
MNQ_NYSE_OPEN_E2_RR1.0_CB1_ORB_G5,MNQ,NYSE_OPEN,1.0,ORB_G5,29.0,29.0,0.1575,0.0061,0.4204,0.0452,0.0006,0.0,0.0,14,20,20,True,True,True,False,False
MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,MNQ,NYSE_OPEN,1.0,COST_LT12,29.0,29.0,0.1575,0.005,0.3894,0.0386,0.0005,0.0,0.0,15,21,21,False,False,False,False,False
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G5,MNQ,COMEX_SETTLE,1.0,ORB_G5,27.4,27.4,0.1575,0.0127,0.5073,0.0748,0.0017,0.0001,0.0,16,17,18,False,False,False,False,False
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,1.0,OVNRNG_100,26.8,26.8,0.1575,0.267,0.7643,0.4409,0.15,0.0637,0.0104,17,6,5,False,False,False,False,False
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_CROSS_SGP_MOMENTUM,MNQ,EUROPE_FLOW,2.0,CROSS_SGP_MOMENTUM,26.6,26.6,0.1575,0.0172,0.4303,0.0761,0.0033,0.0003,0.0,18,16,15,False,False,False,False,False
