strategy_id,instrument,orb_label,rr_target,filter_type,stored_sharpe,mode_a_n,mode_a_sharpe,mode_a_skew,mode_a_kurt,mode_a_sr0,mode_a_dsr,phase3a_dsr,dsr_drift,mode_a_dsr_n5,mode_a_dsr_n12,mode_a_dsr_n36,mode_a_dsr_n72,mode_a_dsr_n253,rank_raw,rank_dsr_mode_a,rank_combo_mode_a,selected_raw,selected_dsr_mode_a,selected_combo_mode_a
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G5,MNQ,EUROPE_FLOW,1.5,ORB_G5,0.0002,773,0.06840292479208805,0.09497807734299492,-1.9747126258638927,0.1575,0.0065,0.0002,0.0063,0.207,0.029,0.0014,0.0002,0.0,1,25,22,True,False,False
MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O15,MNQ,SINGAPORE_OPEN,1.5,ATR_P50,0.0239,496,0.1777274887422357,-0.08366860279243964,-1.9808759530523965,0.1575,0.6724,0.0239,0.6485,0.9614,0.8192,0.5154,0.3295,0.1119,2,3,2,True,False,False
MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O30,MNQ,SINGAPORE_OPEN,1.5,ATR_P50,0.0551,485,0.1878254593205921,-0.07121414975058896,-1.9902100266635097,0.1575,0.7462,0.0551,0.6911,0.9755,0.8694,0.6022,0.4145,0.1627,3,2,1,False,True,True
MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,MNQ,COMEX_SETTLE,1.5,ORB_G5,0.0105,829,0.08053606972245987,0.10077270368130646,-1.977588138004943,0.1575,0.0131,0.0105,0.0026,0.3098,0.0532,0.0029,0.0004,0.0,4,19,17,True,False,False
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_COST_LT12,MNQ,EUROPE_FLOW,1.5,COST_LT12,0.018,521,0.09071133713747047,0.09175684844235987,-1.9905376924661058,0.1575,0.0631,0.018,0.0451,0.4363,0.1476,0.0254,0.0071,0.0006,5,12,9,False,False,False
MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ,COMEX_SETTLE,1.5,OVNRNG_100,0.7183,278,0.15917135851057654,-0.02039141417914968,-1.9963564897637722,0.1575,0.511,0.7183,-0.2073,0.8464,0.6473,0.39,0.261,0.1105,6,4,4,False,False,False
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_CROSS_SGP_MOMENTUM,MNQ,EUROPE_FLOW,1.5,CROSS_SGP_MOMENTUM,0.0087,535,0.07353698540689806,0.06549653177917103,-1.9584464374698909,0.1575,0.0259,0.0087,0.0172,0.2877,0.0726,0.0088,0.002,0.0001,7,17,14,False,False,False
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,2.0,ORB_G5,0.0004,773,0.05555318294057534,0.4270105481997738,-1.8032862943104335,0.1575,0.0021,0.0004,0.0017,0.1179,0.0115,0.0004,0.0,0.0,8,28,27,False,False,False
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,1.5,OVNRNG_100,0.4098,263,0.10166599770221543,0.07561628863232726,-1.9924168494336583,0.1575,0.1821,0.4098,-0.2277,0.5256,0.2861,0.1136,0.0593,0.0165,9,7,6,False,True,True
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,1.0,ORB_G5,0.0007,773,0.0396928960192866,-0.2927307585776512,-1.8933751990803085,0.1575,0.0006,0.0007,-0.0001,0.0545,0.0038,0.0001,0.0,0.0,10,30,29,False,False,False
MNQ_COMEX_SETTLE_E2_RR2.0_CB1_ORB_G5,MNQ,COMEX_SETTLE,2.0,ORB_G5,0.0002,814,0.07848290424412498,0.4050721430066719,-1.8251627704387088,0.1575,0.011,0.0002,0.0108,0.2887,0.0466,0.0024,0.0003,0.0,11,22,21,False,True,True
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_COST_LT12,MNQ,EUROPE_FLOW,1.0,COST_LT12,0.0385,521,0.058892134180648856,-0.2776928369130418,-1.9204825939431605,0.1575,0.0129,0.0385,-0.0256,0.19,0.0397,0.004,0.0008,0.0,12,20,20,False,False,False
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_OVNRNG_100,MNQ,COMEX_SETTLE,1.0,OVNRNG_100,0.756,283,0.20354710023857503,-0.5358817875416602,-1.7045334325467003,0.1575,0.7683,0.756,0.0123,0.954,0.8574,0.6697,0.537,0.3205,13,1,3,False,True,True
MNQ_NYSE_OPEN_E2_RR1.0_CB1_ORB_G5,MNQ,NYSE_OPEN,1.0,ORB_G5,0.0061,856,0.06925035405628817,-0.21231825067050825,-1.9528841394860823,0.1575,0.0052,0.0061,-0.0009,0.2043,0.0256,0.001,0.0001,0.0,14,27,25,True,False,False
MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,MNQ,NYSE_OPEN,1.0,COST_LT12,0.005,844,0.07235066749933813,-0.21649853576642653,-1.9523400725116855,0.1575,0.0071,0.005,0.0021,0.2325,0.0325,0.0014,0.0002,0.0,15,24,24,False,False,True
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G5,MNQ,COMEX_SETTLE,1.0,ORB_G5,0.0127,836,0.08648174970044302,-0.3484610597744752,-1.8607963035790047,0.1575,0.0216,0.0127,0.0089,0.3746,0.0776,0.0054,0.0008,0.0,16,18,16,False,False,False
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,1.0,OVNRNG_100,0.267,263,0.060884523579320504,-0.2736713824454112,-1.92107990462081,0.1575,0.0604,0.267,-0.2066,0.2772,0.1126,0.0323,0.014,0.0029,17,13,11,False,False,False
