strategy_id,instrument,orb_label,entry_model,orb_minutes,rr_target,confirm_bars,filter_type,status,unfilt_regime,filt_pooled_regime,filt_pooled_n,filt_lane_regime,filt_lane_n,verdict
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G5,MNQ,COMEX_SETTLE,E2,5,1.0,1,ORB_G5,DEPLOY,0.0418,0.0418,130,0.0418,130,AGREE_SIGN
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT12,MNQ,COMEX_SETTLE,E2,5,1.0,1,COST_LT12,DEPLOY,0.0418,,0,,0,FILT_EMPTY
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_OVNRNG_100,MNQ,COMEX_SETTLE,E2,5,1.0,1,OVNRNG_100,DEPLOY,0.0418,0.1212,103,0.1212,103,AGREE_SIGN
MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,MNQ,COMEX_SETTLE,E2,5,1.5,1,ORB_G5,DEPLOY,0.0418,0.0418,130,0.0301,128,AGREE_SIGN
MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ,COMEX_SETTLE,E2,5,1.5,1,OVNRNG_100,DEPLOY,0.0418,0.1212,103,0.1035,101,AGREE_SIGN
MNQ_COMEX_SETTLE_E2_RR2.0_CB1_ORB_G5,MNQ,COMEX_SETTLE,E2,5,2.0,1,ORB_G5,DEPLOY,0.0418,0.0418,130,0.0514,126,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_CROSS_SGP_MOMENTUM,MNQ,EUROPE_FLOW,E2,5,2.0,1,CROSS_SGP_MOMENTUM,DEPLOY,0.1534,0.2211,83,0.3711,83,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,E2,5,1.0,1,OVNRNG_100,DEPLOY,0.1534,0.2157,107,0.2157,107,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_COST_LT12,MNQ,EUROPE_FLOW,E2,5,1.5,1,COST_LT12,DEPLOY,0.1534,,0,,0,FILT_EMPTY
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G5,MNQ,EUROPE_FLOW,E2,5,1.5,1,ORB_G5,DEPLOY,0.1534,0.162,135,0.2285,135,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,E2,5,1.5,1,OVNRNG_100,DEPLOY,0.1534,0.2157,107,0.3015,107,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,E2,5,2.0,1,ORB_G5,DEPLOY,0.1534,0.162,135,0.2311,135,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.5_CB1_CROSS_SGP_MOMENTUM,MNQ,EUROPE_FLOW,E2,5,1.5,1,CROSS_SGP_MOMENTUM,DEPLOY,0.1534,0.2211,83,0.3607,83,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_CROSS_SGP_MOMENTUM,MNQ,EUROPE_FLOW,E2,5,1.0,1,CROSS_SGP_MOMENTUM,DEPLOY,0.1534,0.2211,83,0.2211,83,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,E2,5,1.0,1,ORB_G5,DEPLOY,0.1534,0.162,135,0.162,135,AGREE_SIGN
MNQ_EUROPE_FLOW_E2_RR1.0_CB1_COST_LT12,MNQ,EUROPE_FLOW,E2,5,1.0,1,COST_LT12,DEPLOY,0.1534,,0,,0,FILT_EMPTY
MNQ_NYSE_OPEN_E2_RR1.5_CB1_COST_LT12,MNQ,NYSE_OPEN,E2,5,1.5,1,COST_LT12,DEPLOY,0.1071,,0,,0,FILT_EMPTY
MNQ_NYSE_OPEN_E2_RR1.5_CB1_ORB_G5,MNQ,NYSE_OPEN,E2,5,1.5,1,ORB_G5,DEPLOY,0.1071,0.1071,133,0.032,126,AGREE_SIGN
MNQ_NYSE_OPEN_E2_RR1.0_CB1_ORB_G5,MNQ,NYSE_OPEN,E2,5,1.0,1,ORB_G5,DEPLOY,0.1071,0.1071,133,0.1071,133,AGREE_SIGN
MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,MNQ,NYSE_OPEN,E2,5,1.0,1,COST_LT12,DEPLOY,0.1071,,0,,0,FILT_EMPTY
MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O15,MNQ,SINGAPORE_OPEN,E2,15,1.5,1,ATR_P50,DEPLOY,0.1609,0.2173,104,0.1566,103,AGREE_SIGN
MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O30,MNQ,SINGAPORE_OPEN,E2,30,1.5,1,ATR_P50,DEPLOY,0.1609,0.2173,104,0.1895,101,AGREE_SIGN
MNQ_TOKYO_OPEN_E2_RR1.0_CB1_COST_LT12,MNQ,TOKYO_OPEN,E2,5,1.0,1,COST_LT12,DEPLOY,0.0897,,0,,0,FILT_EMPTY
MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT12,MNQ,TOKYO_OPEN,E2,5,1.5,1,COST_LT12,DEPLOY,0.0897,,0,,0,FILT_EMPTY
MNQ_TOKYO_OPEN_E2_RR1.5_CB1_ORB_G5,MNQ,TOKYO_OPEN,E2,5,1.5,1,ORB_G5,DEPLOY,0.0897,0.0897,137,0.2113,137,AGREE_SIGN
MNQ_TOKYO_OPEN_E2_RR2.0_CB1_ORB_G5,MNQ,TOKYO_OPEN,E2,5,2.0,1,ORB_G5,DEPLOY,0.0897,0.0897,137,0.2701,137,AGREE_SIGN
MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_G5_O15,MNQ,US_DATA_1000,E2,15,1.5,1,ORB_G5,DEPLOY,0.0254,0.0254,134,0.1371,112,AGREE_SIGN
MNQ_US_DATA_1000_E2_RR1.0_CB1_VWAP_MID_ALIGNED_O15,MNQ,US_DATA_1000,E2,15,1.0,1,VWAP_MID_ALIGNED,DEPLOY,0.0254,0.0781,63,0.2877,67,AGREE_SIGN
MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,MNQ,US_DATA_1000,E2,15,1.5,1,VWAP_MID_ALIGNED,DEPLOY,0.0254,0.0781,63,0.3033,62,AGREE_SIGN
MNQ_US_DATA_1000_E2_RR2.0_CB1_VWAP_MID_ALIGNED_O15,MNQ,US_DATA_1000,E2,15,2.0,1,VWAP_MID_ALIGNED,DEPLOY,0.0254,0.0781,63,0.2576,56,AGREE_SIGN
