trading_day,pnl_r,is_is,is_oos,year,orb_EUROPE_FLOW_pre_velocity,rel_vol_EUROPE_FLOW,pre_velocity_high_q3,rel_vol_high_q3
2019-05-06,1.2128,True,False,2019,2.6875,,True,False
2019-05-07,0.9938,True,False,2019,0.875,,True,False
2019-05-08,0.633,True,False,2019,0.6875,,True,False
2019-05-09,-1.0,True,False,2019,0.5625,,True,False
2019-05-10,0.7994,True,False,2019,-1.8125,,False,False
2019-05-13,-1.0,True,False,2019,-1.125,,False,False
2019-05-14,-1.0,True,False,2019,0.1875,9.8333,False,True
2019-05-15,-1.0,True,False,2019,0.75,8.6667,True,True
2019-05-16,-1.0,True,False,2019,0.125,16.5556,False,True
2019-05-17,0.9756,True,False,2019,-0.5625,2.3636,False,True
2019-05-20,1.0107,True,False,2019,-0.625,1.4286,False,False
2019-05-21,-1.0,True,False,2019,0.3125,2.6957,False,True
2019-05-22,1.0686,True,False,2019,-0.75,5.4286,False,True
2019-05-23,-1.0,True,False,2019,0.5625,1.92,True,False
2019-05-24,1.1815,True,False,2019,0.625,4.2222,True,True
2019-05-27,1.0415,True,False,2019,0.1875,0.4783,False,False
2019-05-28,1.2338,True,False,2019,0.25,4.6667,False,True
2019-05-29,-1.0,True,False,2019,1.0,1.7838,True,False
2019-05-30,0.8315,True,False,2019,0.3125,1.65,False,False
2019-05-31,-1.0,True,False,2019,1.25,4.3846,True,True
2019-06-03,-1.0,True,False,2019,-1.0625,1.2727,False,False
2019-06-04,-1.0,True,False,2019,-0.1875,0.7429,False,False
2019-06-05,-1.0,True,False,2019,-0.1875,1.6774,False,False
2019-06-06,-1.0,True,False,2019,0.0625,1.0385,False,False
2019-06-07,0.8315,True,False,2019,-0.25,0.7857,False,False
2019-06-10,-1.0,True,False,2019,0.0625,0.4324,False,False
2019-06-11,1.0107,True,False,2019,-0.3125,1.1364,False,False
2019-06-12,-1.0,True,False,2019,-0.375,2.5806,False,True
2019-06-13,-1.0,True,False,2019,-0.125,1.15,False,False
2019-06-14,-1.0,True,False,2019,0.5,0.3,False,False
2019-06-17,0.7641,True,False,2019,-0.9375,0.45,False,False
2019-06-18,1.1241,True,False,2019,0.625,0.6383,True,False
2019-06-19,0.9122,True,False,2019,0.0,1.4146,False,False
2019-06-20,1.0266,True,False,2019,-0.3125,0.2381,False,False
2019-06-21,-1.0,True,False,2019,-0.875,2.766,False,True
2019-06-24,-1.0,True,False,2019,-0.6875,1.7576,False,False
2019-06-25,-1.0,True,False,2019,0.0625,1.1579,False,False
2019-06-26,-1.0,True,False,2019,0.0625,1.7059,False,False
2019-06-27,-1.0,True,False,2019,0.0625,2.3273,False,True
2019-06-28,-1.0,True,False,2019,0.25,3.15,False,True
2019-07-01,-1.0,True,False,2019,-0.6875,4.0,False,True
2019-07-02,0.956,True,False,2019,-1.0625,3.0588,False,True
2019-07-03,0.8876,True,False,2019,-0.5625,1.5667,False,False
2019-07-04,-1.0,True,False,2019,0.1875,0.4483,False,False
2019-07-05,0.9122,True,False,2019,0.1875,7.7241,False,True
2019-07-08,0.7994,True,False,2019,-0.4375,1.2632,False,False
2019-07-09,1.0266,True,False,2019,-1.0625,3.9636,False,True
2019-07-10,-1.0,True,False,2019,-0.125,2.2857,False,True
2019-07-11,-1.0,True,False,2019,0.125,0.6923,False,False
2019-07-12,-1.0,True,False,2019,0.625,1.8125,True,False
2019-07-15,0.7251,True,False,2019,-0.3125,8.8718,False,True
2019-07-16,-1.0,True,False,2019,0.375,1.5814,False,False
2019-07-17,-1.0,True,False,2019,-0.0625,2.0241,False,True
2019-07-18,-1.0,True,False,2019,-0.625,2.2716,False,True
2019-07-19,0.6816,True,False,2019,-0.375,0.4643,False,False
2019-07-22,1.1142,True,False,2019,-0.0625,1.6944,False,False
2019-07-23,0.7251,True,False,2019,0.375,2.0278,False,True
2019-07-24,0.956,True,False,2019,0.8125,3.0685,True,True
2019-07-25,-1.0,True,False,2019,0.0,1.4737,False,False
2019-07-26,-1.0,True,False,2019,0.0,1.9512,False,True
2019-07-29,-1.0,True,False,2019,0.375,0.5556,False,False
2019-07-30,-1.0,True,False,2019,-0.125,0.7647,False,False
2019-07-31,0.9756,True,False,2019,-0.4375,1.0309,False,False
2019-08-01,-1.0,True,False,2019,-0.25,2.8732,False,True
2019-08-02,-1.0,True,False,2019,0.125,1.7059,False,False
2019-08-05,1.1241,True,False,2019,-0.125,2.0,False,True
2019-08-06,1.3427,True,False,2019,-1.625,4.3061,False,True
2019-08-07,1.2338,True,False,2019,3.625,3.6279,True,True
2019-08-08,1.0415,True,False,2019,-1.3125,8.6226,False,True
2019-08-09,0.9938,True,False,2019,-0.25,0.4037,False,False
2019-08-12,1.2879,True,False,2019,-0.375,3.8532,False,True
2019-08-13,-1.0,True,False,2019,0.375,2.9057,False,True
2019-08-14,0.8876,True,False,2019,2.625,1.8696,True,False
2019-08-15,1.2385,True,False,2019,0.8125,2.2121,True,True
2019-08-16,1.1335,True,False,2019,-0.4375,1.6303,False,False
2019-08-19,-1.0,True,False,2019,0.125,1.4307,False,False
2019-08-20,-1.0,True,False,2019,-0.6875,0.9277,False,False
2019-08-21,-1.0,True,False,2019,0.0,0.411,False,False
2019-08-22,1.2237,True,False,2019,0.75,1.1132,True,False
2019-08-23,1.0554,True,False,2019,-0.5,1.5838,False,False
2019-08-26,-1.0,True,False,2019,-2.25,1.651,False,False
2019-08-27,1.2968,True,False,2019,1.375,4.96,True,True
2019-08-28,1.0926,True,False,2019,1.25,3.5282,True,True
2019-08-29,1.2237,True,False,2019,0.1875,5.5771,False,True
2019-08-30,1.0107,True,False,2019,0.8125,3.0457,True,True
2019-09-02,-1.0,True,False,2019,-1.4375,3.5652,False,True
2019-09-03,1.26,True,False,2019,-0.25,1.8122,False,False
2019-09-04,1.0554,True,False,2019,0.0,1.92,False,False
2019-09-05,1.1815,True,False,2019,0.25,1.2265,False,False
2019-09-06,-1.0,True,False,2019,-0.875,1.3636,False,False
2019-09-09,-1.0,True,False,2019,0.5,0.4552,False,False
2019-09-10,-1.0,True,False,2019,-0.4375,1.9281,False,True
2019-09-11,0.9938,True,False,2019,0.125,1.3846,False,False
2019-09-12,0.935,True,False,2019,-0.1875,0.2,False,False
2019-09-13,-1.0,True,False,2019,-0.25,0.1447,False,False
2019-09-16,-1.0,True,False,2019,0.625,0.617,True,False
2019-09-17,-1.0,True,False,2019,-0.4375,0.4056,False,False
2019-09-18,0.9756,True,False,2019,0.1875,0.913,False,False
2019-09-19,-1.0,True,False,2019,0.25,0.9903,False,False
