trading_day,outcome,pnl_r,pnl_eff,is_scratch,is_is,is_oos,year,rel_vol_COMEX_SETTLE,overnight_range_pct,rel_vol_high_q3,overnight_range_high_q3
2019-05-06,loss,-1.0,-1.0,False,True,False,2019,,,False,False
2019-05-07,loss,-1.0,-1.0,False,True,False,2019,,,False,False
2019-05-08,loss,-1.0,-1.0,False,True,False,2019,,,False,False
2019-05-09,win,1.2385,1.2385,False,True,False,2019,,,False,False
2019-05-10,win,1.2071,1.2071,False,True,False,2019,,,False,False
2019-05-13,win,1.2476,1.2476,False,True,False,2019,1.292,,False,False
2019-05-14,loss,-1.0,-1.0,False,True,False,2019,0.1662,,False,False
2019-05-15,win,1.1815,1.1815,False,True,False,2019,2.08,,True,False
2019-05-16,win,1.0415,1.0415,False,True,False,2019,3.8442,,True,False
2019-05-17,loss,-1.0,-1.0,False,True,False,2019,0.4161,,False,False
2019-05-20,loss,-1.0,-1.0,False,True,False,2019,1.1507,,False,False
2019-05-21,win,0.9938,0.9938,False,True,False,2019,0.47,,False,False
2019-05-22,win,1.0266,1.0266,False,True,False,2019,0.6786,,False,False
2019-05-23,loss,-1.0,-1.0,False,True,False,2019,2.3711,,True,False
2019-05-24,loss,-1.0,-1.0,False,True,False,2019,1.9684,,True,False
2019-05-28,loss,-1.0,-1.0,False,True,False,2019,2.6701,,True,False
2019-05-29,loss,-1.0,-1.0,False,True,False,2019,1.9808,,True,False
2019-05-30,win,1.167,1.167,False,True,False,2019,1.7445,,False,False
2019-05-31,loss,-1.0,-1.0,False,True,False,2019,5.7061,,True,False
2019-06-03,loss,-1.0,-1.0,False,True,False,2019,7.7885,0.0,True,False
2019-06-04,loss,-1.0,-1.0,False,True,False,2019,4.2143,9.52,True,False
2019-06-05,loss,-1.0,-1.0,False,True,False,2019,1.9317,22.73,True,False
2019-06-06,loss,-1.0,-1.0,False,True,False,2019,0.5896,52.17,False,False
2019-06-07,loss,-1.0,-1.0,False,True,False,2019,2.1772,12.5,True,False
2019-06-10,win,1.1335,1.1335,False,True,False,2019,2.2326,20.0,True,False
2019-06-11,win,1.1883,1.1883,False,True,False,2019,1.4851,57.69,False,False
2019-06-12,loss,-1.0,-1.0,False,True,False,2019,0.7677,74.07,False,True
2019-06-13,loss,-1.0,-1.0,False,True,False,2019,0.4026,96.43,False,True
2019-06-14,loss,-1.0,-1.0,False,True,False,2019,0.0756,31.03,False,False
2019-06-17,loss,-1.0,-1.0,False,True,False,2019,0.4224,0.0,False,False
2019-06-18,loss,-1.0,-1.0,False,True,False,2019,0.7606,0.0,False,False
2019-06-19,loss,-1.0,-1.0,False,True,False,2019,1.1827,0.0,False,False
2019-06-20,loss,-1.0,-1.0,False,True,False,2019,1.6612,75.76,False,True
2019-06-21,loss,-1.0,-1.0,False,True,False,2019,1.157,58.82,False,False
2019-06-24,loss,-1.0,-1.0,False,True,False,2019,1.0217,17.14,False,False
2019-06-25,loss,-1.0,-1.0,False,True,False,2019,4.9128,77.78,True,True
2019-06-26,win,1.1241,1.1241,False,True,False,2019,5.6507,10.81,True,False
2019-06-27,loss,-1.0,-1.0,False,True,False,2019,0.7329,73.68,False,True
2019-06-28,loss,-1.0,-1.0,False,True,False,2019,0.9195,25.64,False,False
2019-07-01,win,1.1037,1.1037,False,True,False,2019,1.8495,75.0,True,True
2019-07-02,win,1.0926,1.0926,False,True,False,2019,1.7026,7.32,False,False
2019-07-05,loss,-1.0,-1.0,False,True,False,2019,1.5041,0.0,False,False
2019-07-08,loss,-1.0,-1.0,False,True,False,2019,1.8105,64.44,True,False
2019-07-09,win,0.5783,0.5783,False,True,False,2019,1.0,76.09,False,True
2019-07-10,loss,-1.0,-1.0,False,True,False,2019,2.0684,59.57,True,False
2019-07-11,win,1.1883,1.1883,False,True,False,2019,13.5929,29.17,True,False
2019-07-12,loss,-1.0,-1.0,False,True,False,2019,1.425,20.41,False,False
2019-07-15,win,0.9122,0.9122,False,True,False,2019,1.7179,24.0,False,False
2019-07-16,win,0.8608,0.8608,False,True,False,2019,3.5294,8.0,True,False
2019-07-17,loss,-1.0,-1.0,False,True,False,2019,1.05,12.0,False,False
2019-07-18,loss,-1.0,-1.0,False,True,False,2019,2.29,62.0,True,False
2019-07-19,loss,-1.0,-1.0,False,True,False,2019,0.9868,44.0,False,False
2019-07-22,win,0.935,0.935,False,True,False,2019,0.9296,36.0,False,False
2019-07-23,win,0.935,0.935,False,True,False,2019,0.8376,12.0,False,False
2019-07-24,loss,-1.0,-1.0,False,True,False,2019,2.3718,20.0,True,False
2019-07-25,loss,-1.0,-1.0,False,True,False,2019,2.413,10.0,True,False
2019-07-26,loss,-1.0,-1.0,False,True,False,2019,0.8125,40.0,False,False
2019-07-29,loss,-1.0,-1.0,False,True,False,2019,0.9048,12.0,False,False
2019-07-30,win,0.956,0.956,False,True,False,2019,0.3333,6.0,False,False
2019-07-31,win,0.8876,0.8876,False,True,False,2019,1.1652,12.0,False,False
2019-08-01,win,1.4368,1.4368,False,True,False,2019,18.9602,76.0,True,True
2019-08-02,loss,-1.0,-1.0,False,True,False,2019,3.7486,74.0,True,True
2019-08-05,loss,-1.0,-1.0,False,True,False,2019,1.9624,100.0,True,True
2019-08-06,loss,-1.0,-1.0,False,True,False,2019,4.351,100.0,True,True
2019-08-07,win,1.3761,1.3761,False,True,False,2019,2.0752,86.0,True,True
2019-08-08,win,1.1815,1.1815,False,True,False,2019,1.222,96.0,False,True
2019-08-09,loss,-1.0,-1.0,False,True,False,2019,1.3482,76.0,False,True
2019-08-12,win,1.1142,1.1142,False,True,False,2019,1.8171,86.0,True,True
2019-08-13,win,1.2385,1.2385,False,True,False,2019,1.4422,86.0,False,True
2019-08-14,loss,-1.0,-1.0,False,True,False,2019,3.3305,60.0,True,False
2019-08-15,win,1.1425,1.1425,False,True,False,2019,3.7847,94.0,True,True
2019-08-16,win,0.6816,0.6816,False,True,False,2019,1.095,82.0,False,True
2019-08-19,win,0.935,0.935,False,True,False,2019,0.7963,76.0,False,True
2019-08-20,win,1.2338,1.2338,False,True,False,2019,2.0362,68.0,True,False
2019-08-21,win,1.0415,1.0415,False,True,False,2019,0.6129,50.0,False,False
2019-08-22,loss,-1.0,-1.0,False,True,False,2019,1.3695,70.0,False,True
2019-08-23,loss,-1.0,-1.0,False,True,False,2019,2.5,80.0,True,True
2019-08-26,loss,-1.0,-1.0,False,True,False,2019,0.9079,98.0,False,True
2019-08-27,win,1.1511,1.1511,False,True,False,2019,1.5204,68.0,False,False
2019-08-28,win,1.2128,1.2128,False,True,False,2019,0.7385,26.0,False,False
2019-08-29,win,0.9756,0.9756,False,True,False,2019,0.5487,44.0,False,False
2019-08-30,loss,-1.0,-1.0,False,True,False,2019,0.8175,48.0,False,False
2019-09-03,loss,-1.0,-1.0,False,True,False,2019,0.9698,86.0,False,True
2019-09-04,win,0.7641,0.7641,False,True,False,2019,0.4937,94.0,False,True
2019-09-05,loss,-1.0,-1.0,False,True,False,2019,0.4547,94.0,False,True
2019-09-06,loss,-1.0,-1.0,False,True,False,2019,0.6962,26.0,False,False
2019-09-09,loss,-1.0,-1.0,False,True,False,2019,2.6345,20.0,True,False
2019-09-10,loss,-1.0,-1.0,False,True,False,2019,2.4,64.0,True,False
2019-09-11,loss,-1.0,-1.0,False,True,False,2019,3.275,78.0,True,True
2019-09-12,loss,-1.0,-1.0,False,True,False,2019,3.0,86.0,True,True
2019-09-13,win,0.8315,0.8315,False,True,False,2019,1.3476,12.0,False,False
2019-09-16,loss,-1.0,-1.0,False,True,False,2019,0.6014,84.0,False,True
2019-09-17,win,0.8315,0.8315,False,True,False,2019,0.8431,50.0,False,False
2019-09-18,loss,-1.0,-1.0,False,True,False,2019,1.8392,8.0,True,False
2019-09-19,scratch,,0.0,True,True,False,2019,0.4813,56.0,False,False
2019-09-20,loss,-1.0,-1.0,False,True,False,2019,3.9234,18.0,True,False
2019-09-23,loss,-1.0,-1.0,False,True,False,2019,1.3563,22.0,False,False
2019-09-24,loss,-1.0,-1.0,False,True,False,2019,2.5764,38.0,True,False
2019-09-25,win,1.1142,1.1142,False,True,False,2019,0.6553,30.0,False,False
2019-09-26,win,1.0415,1.0415,False,True,False,2019,7.5157,34.0,True,False
2019-09-27,loss,-1.0,-1.0,False,True,False,2019,4.2667,46.0,True,False
2019-09-30,loss,-1.0,-1.0,False,True,False,2019,2.0066,36.0,True,False
2019-10-01,win,1.2748,1.2748,False,True,False,2019,3.2531,54.0,True,False
2019-10-02,loss,-1.0,-1.0,False,True,False,2019,4.599,30.0,True,False
2019-10-03,loss,-1.0,-1.0,False,True,False,2019,1.2821,34.0,False,False
2019-10-04,loss,-1.0,-1.0,False,True,False,2019,6.932,52.0,True,False
2019-10-07,scratch,,0.0,True,True,False,2019,4.5591,12.0,True,False
2019-10-08,loss,-1.0,-1.0,False,True,False,2019,2.6313,48.0,True,False
2019-10-09,win,0.956,0.956,False,True,False,2019,0.4618,42.0,False,False
2019-10-10,loss,-1.0,-1.0,False,True,False,2019,1.5244,94.0,False,True
2019-10-11,loss,-1.0,-1.0,False,True,False,2019,0.8861,48.0,False,False
2019-10-14,loss,-1.0,-1.0,False,True,False,2019,0.596,26.0,False,False
2019-10-15,win,0.8608,0.8608,False,True,False,2019,0.3691,48.0,False,False
2019-10-16,loss,-1.0,-1.0,False,True,False,2019,1.2141,10.0,False,False
2019-10-17,loss,-1.0,-1.0,False,True,False,2019,1.3918,4.0,False,False
2019-10-18,loss,-1.0,-1.0,False,True,False,2019,1.4978,18.0,False,False
2019-10-21,loss,-1.0,-1.0,False,True,False,2019,1.1558,10.0,False,False
2019-10-22,loss,-1.0,-1.0,False,True,False,2019,1.6713,24.0,False,False
2019-10-23,loss,-1.0,-1.0,False,True,False,2019,0.5972,62.0,False,False
2019-10-24,loss,-1.0,-1.0,False,True,False,2019,2.3313,0.0,True,False
2019-10-25,loss,-1.0,-1.0,False,True,False,2019,0.5612,8.0,False,False
2019-10-28,loss,-1.0,-1.0,False,True,False,2019,1.3296,0.0,False,False
2019-10-29,loss,-1.0,-1.0,False,True,False,2019,2.0635,2.0,True,False
2019-10-30,loss,-1.0,-1.0,False,True,False,2019,1.1111,2.0,False,False
2019-10-31,loss,-1.0,-1.0,False,True,False,2019,1.5048,6.0,False,False
2019-11-01,win,0.8315,0.8315,False,True,False,2019,1.363,56.0,False,False
2019-11-04,loss,-1.0,-1.0,False,True,False,2019,2.2128,32.0,True,False
2019-11-05,loss,-1.0,-1.0,False,True,False,2019,2.3922,43.14,True,False
2019-11-06,win,0.8876,0.8876,False,True,False,2019,3.4286,9.8,True,False
2019-11-07,loss,-1.0,-1.0,False,True,False,2019,1.7626,21.57,False,False
2019-11-08,loss,-1.0,-1.0,False,True,False,2019,0.8753,86.27,False,True
2019-11-11,loss,-1.0,-1.0,False,True,False,2019,1.067,60.78,False,False
2019-11-12,loss,-1.0,-1.0,False,True,False,2019,0.7009,68.63,False,False
