trading_day,session,orb_minutes,pnl_r,outcome,atr_20_pct,sample,aperture,fire
2019-05-06,BRISBANE_1025,15,1.291,win,,IS,15,0
2019-05-06,CME_PRECLOSE,15,1.2476,win,,IS,15,0
2019-05-06,COMEX_SETTLE,15,-1.0,loss,,IS,15,0
2019-05-06,EUROPE_FLOW,15,1.2431,win,,IS,15,0
2019-05-06,LONDON_METALS,15,1.1241,win,,IS,15,0
2019-05-06,NYSE_CLOSE,15,1.2639,win,,IS,15,0
2019-05-06,SINGAPORE_OPEN,15,1.256,win,,IS,15,0
2019-05-06,TOKYO_OPEN,15,-1.0,loss,,IS,15,0
2019-05-06,US_DATA_1000,15,1.3523,win,,IS,15,0
2019-05-06,US_DATA_830,15,1.2288,win,,IS,15,0
2019-05-07,BRISBANE_1025,15,1.1142,win,,IS,15,0
2019-05-07,COMEX_SETTLE,15,-1.0,loss,,IS,15,0
2019-05-07,EUROPE_FLOW,15,1.0415,win,,IS,15,0
2019-05-07,LONDON_METALS,15,-1.0,loss,,IS,15,0
2019-05-07,NYSE_OPEN,15,1.3963,win,,IS,15,0
2019-05-07,SINGAPORE_OPEN,15,-1.0,loss,,IS,15,0
2019-05-07,TOKYO_OPEN,15,-1.0,loss,,IS,15,0
2019-05-07,US_DATA_1000,15,-1.0,loss,,IS,15,0
2019-05-07,US_DATA_830,15,1.167,win,,IS,15,0
2019-05-08,BRISBANE_1025,15,-1.0,loss,100.0,IS,15,1
2019-05-08,COMEX_SETTLE,15,-1.0,loss,100.0,IS,15,1
2019-05-08,EUROPE_FLOW,15,-1.0,loss,100.0,IS,15,1
2019-05-08,LONDON_METALS,15,-1.0,loss,100.0,IS,15,1
2019-05-08,SINGAPORE_OPEN,15,1.1948,win,100.0,IS,15,1
2019-05-08,TOKYO_OPEN,15,1.1948,win,100.0,IS,15,1
2019-05-08,US_DATA_1000,15,-1.0,loss,100.0,IS,15,1
2019-05-08,US_DATA_830,15,-1.0,loss,100.0,IS,15,1
2019-05-09,BRISBANE_1025,15,1.3319,win,50.0,IS,15,1
2019-05-09,CME_PRECLOSE,15,-1.0,loss,50.0,IS,15,1
2019-05-09,COMEX_SETTLE,15,-1.0,loss,50.0,IS,15,1
2019-05-09,EUROPE_FLOW,15,-1.0,loss,50.0,IS,15,1
2019-05-09,LONDON_METALS,15,-1.0,loss,50.0,IS,15,1
2019-05-09,NYSE_OPEN,15,-1.0,loss,50.0,IS,15,1
2019-05-09,SINGAPORE_OPEN,15,1.1425,win,50.0,IS,15,1
2019-05-09,TOKYO_OPEN,15,-1.0,loss,50.0,IS,15,1
2019-05-09,US_DATA_1000,15,-1.0,loss,50.0,IS,15,1
2019-05-09,US_DATA_830,15,1.2816,win,50.0,IS,15,1
2019-05-10,BRISBANE_1025,15,1.4429,win,66.67,IS,15,1
2019-05-10,COMEX_SETTLE,15,1.2476,win,66.67,IS,15,1
2019-05-10,EUROPE_FLOW,15,1.2071,win,66.67,IS,15,1
2019-05-10,LONDON_METALS,15,-1.0,loss,66.67,IS,15,1
2019-05-10,NYSE_OPEN,15,-1.0,loss,66.67,IS,15,1
2019-05-10,SINGAPORE_OPEN,15,-1.0,loss,66.67,IS,15,1
2019-05-10,TOKYO_OPEN,15,-1.0,loss,66.67,IS,15,1
2019-05-10,US_DATA_1000,15,1.3876,win,66.67,IS,15,1
2019-05-10,US_DATA_830,15,1.3552,win,66.67,IS,15,1
2019-05-13,BRISBANE_1025,15,-1.0,loss,20.0,IS,15,0
2019-05-13,CME_PRECLOSE,15,1.3124,win,20.0,IS,15,0
2019-05-13,COMEX_SETTLE,15,-1.0,loss,20.0,IS,15,0
2019-05-13,EUROPE_FLOW,15,-1.0,loss,20.0,IS,15,0
2019-05-13,LONDON_METALS,15,1.3492,win,20.0,IS,15,0
2019-05-13,NYSE_OPEN,15,1.4287,win,20.0,IS,15,0
2019-05-13,SINGAPORE_OPEN,15,-1.0,loss,20.0,IS,15,0
2019-05-13,TOKYO_OPEN,15,-1.0,loss,20.0,IS,15,0
2019-05-13,US_DATA_1000,15,-1.0,loss,20.0,IS,15,0
2019-05-13,US_DATA_830,15,-1.0,loss,20.0,IS,15,0
2019-05-14,BRISBANE_1025,15,1.2071,win,83.33,IS,15,1
2019-05-14,COMEX_SETTLE,15,1.0686,win,83.33,IS,15,1
2019-05-14,EUROPE_FLOW,15,1.3023,win,83.33,IS,15,1
2019-05-14,LONDON_METALS,15,1.3238,win,83.33,IS,15,1
2019-05-14,NYSE_OPEN,15,-1.0,loss,83.33,IS,15,1
2019-05-14,SINGAPORE_OPEN,15,1.2431,win,83.33,IS,15,1
2019-05-14,TOKYO_OPEN,15,1.2288,win,83.33,IS,15,1
2019-05-14,US_DATA_1000,15,1.3607,win,83.33,IS,15,1
2019-05-14,US_DATA_830,15,-1.0,loss,83.33,IS,15,1
2019-05-15,BRISBANE_1025,15,1.1335,win,57.14,IS,15,1
2019-05-15,EUROPE_FLOW,15,-1.0,loss,57.14,IS,15,1
2019-05-15,LONDON_METALS,15,1.2071,win,57.14,IS,15,1
2019-05-15,NYSE_OPEN,15,1.3925,win,57.14,IS,15,1
2019-05-15,SINGAPORE_OPEN,15,1.2011,win,57.14,IS,15,1
2019-05-15,TOKYO_OPEN,15,-1.0,loss,57.14,IS,15,1
2019-05-15,US_DATA_1000,15,1.4193,win,57.14,IS,15,1
2019-05-15,US_DATA_830,15,-1.0,loss,57.14,IS,15,1
2019-05-16,BRISBANE_1025,15,0.9938,win,75.0,IS,15,1
2019-05-16,COMEX_SETTLE,15,-1.0,loss,75.0,IS,15,1
2019-05-16,EUROPE_FLOW,15,1.3299,win,75.0,IS,15,1
2019-05-16,LONDON_METALS,15,-1.0,loss,75.0,IS,15,1
2019-05-16,SINGAPORE_OPEN,15,-1.0,loss,75.0,IS,15,1
2019-05-16,TOKYO_OPEN,15,1.2639,win,75.0,IS,15,1
2019-05-16,US_DATA_1000,15,1.26,win,75.0,IS,15,1
2019-05-16,US_DATA_830,15,1.2128,win,75.0,IS,15,1
2019-05-17,BRISBANE_1025,15,-1.0,loss,66.67,IS,15,1
2019-05-17,COMEX_SETTLE,15,-1.0,loss,66.67,IS,15,1
2019-05-17,EUROPE_FLOW,15,1.2431,win,66.67,IS,15,1
2019-05-17,LONDON_METALS,15,1.2237,win,66.67,IS,15,1
2019-05-17,NYSE_OPEN,15,-1.0,loss,66.67,IS,15,1
2019-05-17,SINGAPORE_OPEN,15,1.167,win,66.67,IS,15,1
2019-05-17,TOKYO_OPEN,15,-1.0,loss,66.67,IS,15,1
2019-05-17,US_DATA_1000,15,1.4051,win,66.67,IS,15,1
2019-05-17,US_DATA_830,15,1.3821,win,66.67,IS,15,1
2019-05-20,BRISBANE_1025,15,-1.0,loss,9.09,IS,15,0
2019-05-20,COMEX_SETTLE,15,1.1948,win,9.09,IS,15,0
2019-05-20,EUROPE_FLOW,15,-1.0,loss,9.09,IS,15,0
2019-05-20,LONDON_METALS,15,-1.0,loss,9.09,IS,15,0
2019-05-20,NYSE_CLOSE,15,1.2128,win,9.09,IS,15,0
2019-05-20,SINGAPORE_OPEN,15,1.2431,win,9.09,IS,15,0
2019-05-20,TOKYO_OPEN,15,-1.0,loss,9.09,IS,15,0
2019-05-20,US_DATA_1000,15,-1.0,loss,9.09,IS,15,0
2019-05-20,US_DATA_830,15,-1.0,loss,9.09,IS,15,0
2019-05-21,BRISBANE_1025,15,1.167,win,33.33,IS,15,0
2019-05-21,CME_PRECLOSE,15,-1.0,loss,33.33,IS,15,0
2019-05-21,COMEX_SETTLE,15,1.1335,win,33.33,IS,15,0
2019-05-21,EUROPE_FLOW,15,-1.0,loss,33.33,IS,15,0
2019-05-21,LONDON_METALS,15,1.2128,win,33.33,IS,15,0
2019-05-21,NYSE_OPEN,15,-1.0,loss,33.33,IS,15,0
2019-05-21,SINGAPORE_OPEN,15,-1.0,loss,33.33,IS,15,0
2019-05-21,TOKYO_OPEN,15,1.2816,win,33.33,IS,15,0
2019-05-21,US_DATA_830,15,-1.0,loss,33.33,IS,15,0
2019-05-22,BRISBANE_1025,15,-1.0,loss,7.69,IS,15,0
