trading_day,hypothesis_id,pnl_r,outcome,orb_mid,in_scope,on_signal,is_is,is_oos
2019-05-06,H1_US_DATA_1000_F5_BELOW_PDL,0.8499,win,7742.875,True,,True,False
2019-05-09,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7908,win,7581.875,True,False,True,False
2019-05-10,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7657,win,7551.125,True,True,True,False
2019-05-13,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7981,win,7327.125,True,False,True,False
2019-05-14,H1_US_DATA_1000_F5_BELOW_PDL,0.8806,win,7373.875,True,False,True,False
2019-05-15,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7416.125,True,False,True,False
2019-05-15,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7452,win,7513.625,True,False,True,False
2019-05-16,H1_US_DATA_1000_F5_BELOW_PDL,0.714,win,7578.0,True,False,True,False
2019-05-17,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7747,win,7564.125,True,True,True,False
2019-05-20,H1_US_DATA_1000_F5_BELOW_PDL,0.8806,win,7388.875,True,True,True,False
2019-05-20,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7405.375,True,False,True,False
2019-05-21,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.595,win,7465.5,True,True,True,False
2019-05-22,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7447.875,True,False,True,False
2019-05-22,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.6213,win,7425.5,True,True,True,False
2019-05-24,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.6648,win,7329.75,True,True,True,False
2019-05-28,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.6213,win,7334.5,True,True,True,False
2019-05-29,H1_US_DATA_1000_F5_BELOW_PDL,0.8015,win,7225.0,True,True,True,False
2019-05-29,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7230.375,True,False,True,False
2019-06-03,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7046.0,True,True,True,False
2019-06-05,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7210.75,True,True,True,False
2019-06-06,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7217.375,True,False,True,False
2019-06-06,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.5101,win,7237.375,True,True,True,False
2019-06-07,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7377.125,True,False,True,False
2019-06-07,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7431.0,True,False,True,False
2019-06-10,H1_US_DATA_1000_F5_BELOW_PDL,0.7452,win,7510.375,True,False,True,False
2019-06-11,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7506,win,7501.0,True,True,True,False
2019-06-14,H1_US_DATA_1000_F5_BELOW_PDL,0.7395,win,7464.0,True,False,True,False
2019-06-17,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7563.75,True,False,True,False
2019-06-17,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.5805,win,7563.875,True,False,True,False
2019-06-18,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7701.375,True,False,True,False
2019-06-18,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7452,win,7671.125,True,False,True,False
2019-06-19,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7651.125,True,True,True,False
2019-06-21,H1_US_DATA_1000_F5_BELOW_PDL,0.8141,win,7757.25,True,False,True,False
2019-06-24,H1_US_DATA_1000_F5_BELOW_PDL,0.787,win,7756.25,True,False,True,False
2019-06-24,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7762.25,True,True,True,False
2019-06-25,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7668.875,True,False,True,False
2019-06-27,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7691.625,True,False,True,False
2019-06-27,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7693.0,True,True,True,False
2019-06-28,H1_US_DATA_1000_F5_BELOW_PDL,0.714,win,7668.5,True,False,True,False
2019-06-28,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7687.0,True,True,True,False
2019-07-02,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.6741,win,7788.875,True,True,True,False
2019-07-03,H1_US_DATA_1000_F5_BELOW_PDL,0.6993,win,7845.75,True,False,True,False
2019-07-05,H1_US_DATA_1000_F5_BELOW_PDL,0.7395,win,7810.25,True,True,True,False
2019-07-05,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7860.375,True,False,True,False
2019-07-08,H1_US_DATA_1000_F5_BELOW_PDL,0.6993,win,7782.5,True,True,True,False
2019-07-08,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7799.25,True,False,True,False
2019-07-09,H1_US_DATA_1000_F5_BELOW_PDL,0.8226,win,7804.625,True,False,True,False
2019-07-09,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.2626,win,7837.875,True,True,True,False
2019-07-10,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.6213,win,7926.5,True,False,True,False
2019-07-12,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7941.875,True,False,True,False
2019-07-15,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.5298,win,7971.5,True,False,True,False
2019-07-17,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7957.75,True,False,True,False
2019-07-18,H1_US_DATA_1000_F5_BELOW_PDL,0.7506,win,7885.0,True,False,True,False
2019-07-18,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.4395,win,7871.25,True,True,True,False
2019-07-22,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.548,win,7909.375,True,False,True,False
2019-07-23,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.548,win,7933.625,True,True,True,False
2019-07-24,H1_US_DATA_1000_F5_BELOW_PDL,0.6213,win,7967.25,True,False,True,False
2019-07-25,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7963.0,True,False,True,False
2019-07-25,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7947.25,True,True,True,False
2019-07-30,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7966.0,True,False,True,False
2019-07-30,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.5648,win,7965.75,True,True,True,False
2019-07-31,H1_US_DATA_1000_F5_BELOW_PDL,0.6548,win,7979.375,True,False,True,False
2019-08-01,H1_US_DATA_1000_F5_BELOW_PDL,0.7981,win,7933.125,True,False,True,False
2019-08-05,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7609,win,7440.0,True,False,True,False
2019-08-06,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7501.875,True,True,True,False
2019-08-07,H1_US_DATA_1000_F5_BELOW_PDL,0.9017,win,7434.0,True,False,True,False
2019-08-07,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.9009,win,7513.875,True,True,True,False
2019-08-08,H1_US_DATA_1000_F5_BELOW_PDL,0.7657,win,7622.375,True,False,True,False
2019-08-08,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7452,win,7689.875,True,False,True,False
2019-08-09,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7675.625,True,False,True,False
2019-08-13,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7908,win,7733.625,True,False,True,False
2019-08-14,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7532.25,True,True,True,False
2019-08-20,H1_US_DATA_1000_F5_BELOW_PDL,0.7395,win,7692.0,True,False,True,False
2019-08-22,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7722.25,True,True,True,False
2019-08-23,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7668.5,True,False,True,False
2019-08-23,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7495.25,True,False,True,False
2019-08-27,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7208,win,7556.625,True,True,True,False
2019-08-28,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7552.0,True,False,True,False
2019-08-28,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.7703,win,7578.0,True,True,True,False
2019-08-29,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.5805,win,7711.875,True,False,True,False
2019-09-02,H1_US_DATA_1000_F5_BELOW_PDL,0.7452,win,7651.625,True,False,True,False
2019-09-05,H1_US_DATA_1000_F5_BELOW_PDL,0.8537,win,7852.625,True,False,True,False
2019-09-06,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7850.375,True,False,True,False
2019-09-10,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7793.25,True,False,True,False
2019-09-11,H1_US_DATA_1000_F5_BELOW_PDL,0.8111,win,7849.875,True,False,True,False
2019-09-12,H1_US_DATA_1000_F5_BELOW_PDL,0.859,win,7935.75,True,False,True,False
2019-09-12,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7953.5,True,False,True,False
2019-09-16,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7886.25,True,False,True,False
2019-09-17,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.4652,win,7882.375,True,True,True,False
2019-09-18,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7892.625,True,False,True,False
2019-09-18,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7864.5,True,True,True,False
2019-09-19,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7959.625,True,False,True,False
2019-09-20,H1_US_DATA_1000_F5_BELOW_PDL,-1.0,loss,7928.125,True,False,True,False
2019-09-23,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7852.375,True,True,True,False
2019-09-24,H2_COMEX_SETTLE_F6_INSIDE_PDR,-1.0,loss,7722.5,True,False,True,False
2019-09-25,H1_US_DATA_1000_F5_BELOW_PDL,0.9278,win,7683.125,True,True,True,False
2019-09-25,H2_COMEX_SETTLE_F6_INSIDE_PDR,0.6913,win,7767.375,True,True,True,False
