trading_day,pnl_r,outcome,prev_day_high,prev_day_low,prev_day_close,orb_high,orb_low,break_dir,orb_risk,clearance_r,bucket,is_is,is_oos
2019-05-14,0.8806,win,7547.5,7286.0,7315.5,7385.25,7362.5,long,22.75,7.131868131868132,open_air,True,False
2019-05-15,-1.0,loss,7459.5,7304.75,7429.75,7424.5,7407.75,long,16.75,2.08955223880597,open_air,True,False
2019-05-16,0.714,win,7538.5,7353.75,7522.25,7582.25,7573.75,long,8.5,-5.147058823529412,co_located_break,True,False
2019-05-20,0.8806,win,7530.5,7512.25,7521.5,7400.25,7377.5,long,22.75,5.725274725274725,open_air,True,False
2019-05-22,-1.0,loss,7485.25,7400.75,7473.25,7452.25,7443.5,long,8.75,3.7714285714285714,open_air,True,False
2019-05-29,0.8015,win,7371.5,7280.75,7293.0,7231.5,7218.5,long,13.0,10.76923076923077,open_air,True,False
2019-06-03,-1.0,loss,7114.75,7076.75,7084.25,7063.25,7028.75,long,34.5,1.4927536231884058,mid_clearance,True,False
2019-06-06,-1.0,loss,7245.25,7150.0,7200.5,7224.0,7210.75,long,13.25,1.6037735849056605,mid_clearance,True,False
2019-06-07,-1.0,loss,7299.5,7196.0,7261.75,7382.25,7372.0,long,10.25,-8.073170731707316,co_located_break,True,False
2019-06-10,0.7452,win,7484.5,7459.25,7466.75,7515.25,7505.5,long,9.75,-3.1538461538461537,co_located_break,True,False
2019-06-14,0.7395,win,7536.0,7421.5,7500.0,7468.75,7459.25,long,9.5,7.078947368421052,open_air,True,False
2019-06-17,-1.0,loss,7522.0,7508.0,7519.0,7567.75,7559.75,long,8.0,-5.71875,co_located_break,True,False
2019-06-18,-1.0,loss,7577.5,7509.5,7564.75,7711.75,7691.0,long,20.75,-6.469879518072289,co_located_break,True,False
2019-06-21,0.8141,win,7820.75,7706.5,7759.5,7764.25,7750.25,long,14.0,4.035714285714286,open_air,True,False
2019-06-24,0.787,win,7772.5,7716.75,7770.25,7762.25,7750.25,long,12.0,0.8541666666666666,choked,True,False
2019-06-27,-1.0,loss,7719.0,7616.0,7643.75,7696.5,7686.75,long,9.75,2.3076923076923075,open_air,True,False
2019-06-28,0.714,win,7716.75,7643.75,7695.75,7672.75,7664.25,long,8.5,5.176470588235294,open_air,True,False
2019-07-03,0.6993,win,7843.25,7762.75,7835.75,7849.75,7841.75,long,8.0,-0.8125,co_located_break,True,False
2019-07-05,0.7395,win,7909.25,7881.75,7904.75,7815.0,7805.5,long,9.5,9.921052631578947,open_air,True,False
2019-07-08,0.6993,win,7864.25,7851.25,7853.0,7786.5,7778.5,long,8.0,9.71875,open_air,True,False
2019-07-09,0.8226,win,7857.25,7777.75,7803.0,7812.0,7797.25,long,14.75,3.0677966101694913,open_air,True,False
2019-07-12,-1.0,loss,7963.25,7894.25,7915.25,7946.0,7937.75,long,8.25,2.090909090909091,open_air,True,False
2019-07-17,-1.0,loss,8001.5,7924.0,7944.25,7959.75,7955.75,long,4.0,10.4375,open_air,True,False
2019-07-18,0.7506,win,7966.5,7868.0,7877.0,7890.0,7880.0,long,10.0,7.65,open_air,True,False
2019-07-24,0.6213,win,7985.75,7908.25,7951.0,7970.25,7964.25,long,6.0,2.5833333333333335,open_air,True,False
2019-07-25,-1.0,loss,8051.75,7925.75,8011.25,7967.75,7958.25,long,9.5,8.842105263157896,open_air,True,False
2019-07-30,-1.0,loss,8031.75,7951.5,8010.75,7977.0,7955.0,long,22.0,2.4886363636363638,open_air,True,False
2019-07-31,0.6548,win,8019.75,7928.25,7987.75,7982.75,7976.0,long,6.75,5.481481481481482,open_air,True,False
2019-08-01,0.7981,win,8001.75,7782.0,7840.0,7939.5,7926.75,long,12.75,4.882352941176471,open_air,True,False
2019-08-07,0.9017,win,7548.75,7225.0,7511.75,7448.0,7420.0,long,28.0,3.5982142857142856,open_air,True,False
2019-08-08,0.7657,win,7577.25,7387.75,7560.25,7627.75,7617.0,long,10.75,-4.6976744186046515,co_located_break,True,False
2019-08-09,-1.0,loss,7738.5,7526.25,7685.25,7685.25,7666.0,long,19.25,2.7662337662337664,open_air,True,False
2019-08-20,0.7395,win,7750.25,7636.75,7721.75,7696.75,7687.25,long,9.5,5.631578947368421,open_air,True,False
2019-08-23,-1.0,loss,7777.25,7653.75,7712.5,7697.0,7640.0,long,57.0,1.4078947368421053,mid_clearance,True,False
2019-08-28,-1.0,loss,7648.75,7536.75,7583.75,7560.75,7543.25,long,17.5,5.0285714285714285,open_air,True,False
2019-09-02,0.7452,win,7644.0,7591.5,7622.25,7656.5,7646.75,long,9.75,-1.2820512820512822,co_located_break,True,False
2019-09-05,0.8537,win,7729.75,7608.25,7723.75,7861.75,7843.5,long,18.25,-7.232876712328767,co_located_break,True,False
2019-09-06,-1.0,loss,7886.5,7719.0,7862.5,7855.0,7845.75,long,9.25,3.4054054054054053,open_air,True,False
2019-09-11,0.8111,win,7857.75,7744.25,7806.5,7856.75,7843.0,long,13.75,0.07272727272727272,choked,True,False
2019-09-12,0.859,win,7899.75,7786.5,7889.25,7945.25,7926.25,long,19.0,-2.3947368421052633,co_located_break,True,False
2019-09-16,-1.0,loss,7914.0,7825.0,7858.25,7892.25,7880.25,long,12.0,1.8125,mid_clearance,True,False
2019-09-18,-1.0,loss,7921.5,7850.5,7915.75,7895.0,7890.25,long,4.75,5.578947368421052,open_air,True,False
2019-09-19,-1.0,loss,7929.0,7813.25,7916.0,7966.25,7953.0,long,13.25,-2.811320754716981,co_located_break,True,False
2019-09-20,-1.0,loss,7974.0,7852.75,7926.75,7931.75,7924.5,long,7.25,5.827586206896552,open_air,True,False
2019-09-25,0.9278,win,7904.25,7701.75,7742.5,7702.5,7663.75,long,38.75,5.2064516129032254,open_air,True,False
2019-10-02,-1.0,loss,7841.5,7691.0,7719.75,7606.5,7581.25,long,25.25,9.306930693069306,open_air,True,False
2019-10-07,0.779,win,7740.75,7698.75,7740.0,7742.25,7730.75,long,11.5,-0.13043478260869565,co_located_break,True,False
2019-10-08,0.8794,win,7799.75,7720.75,7742.25,7652.0,7629.5,long,22.5,6.566666666666666,open_air,True,False
2019-10-09,-1.0,loss,7784.5,7607.25,7611.75,7687.5,7670.75,long,16.75,5.791044776119403,open_air,True,False
2019-10-11,0.787,win,7815.0,7583.0,7785.0,7885.25,7873.25,long,12.0,-5.854166666666667,co_located_break,True,False
2019-10-14,0.7068,win,7889.25,7850.0,7883.5,7862.75,7854.5,long,8.25,3.212121212121212,open_air,True,False
2019-10-15,0.7208,win,7894.5,7807.0,7866.75,7903.5,7894.75,long,8.75,-1.0285714285714285,co_located_break,True,False
2019-10-16,0.8374,win,7971.75,7861.5,7954.25,7924.25,7908.0,long,16.25,2.923076923076923,open_air,True,False
2019-10-24,0.8714,win,7932.5,7810.5,7927.75,7937.75,7916.75,long,21.0,-0.25,co_located_break,True,False
2019-10-25,0.7506,win,7985.0,7912.75,7928.5,7972.5,7962.5,long,10.0,1.25,mid_clearance,True,False
2019-10-28,0.6443,win,8068.0,8048.0,8053.75,8095.25,8088.75,long,6.5,-4.1923076923076925,co_located_break,True,False
2019-10-30,0.9127,win,8119.0,8050.5,8057.25,8052.5,8020.75,long,31.75,2.094488188976378,open_air,True,False
2019-10-31,-1.0,loss,8142.0,8020.75,8120.75,8087.5,8077.5,long,10.0,5.45,open_air,True,False
2019-11-01,-1.0,loss,8139.0,8046.0,8086.25,8158.25,8121.5,long,36.75,-0.5238095238095238,co_located_break,True,False
2019-11-04,-1.0,loss,8167.75,8085.25,8163.0,8220.75,8205.25,long,15.5,-3.4193548387096775,co_located_break,True,False
2019-11-08,0.8974,win,8282.25,8190.25,8231.75,8217.0,8190.25,long,26.75,2.439252336448598,open_air,True,False
2019-11-12,0.6993,win,8262.0,8206.5,8252.75,8276.25,8268.25,long,8.0,-1.78125,co_located_break,True,False
2019-11-13,0.7981,win,8300.0,8228.75,8271.0,8262.5,8249.75,long,12.75,2.9411764705882355,open_air,True,False
2019-11-15,0.6443,win,8285.25,8216.5,8269.75,8295.5,8289.0,long,6.5,-1.5769230769230769,co_located_break,True,False
2019-11-20,-1.0,loss,8379.75,8312.75,8334.75,8336.5,8329.75,long,6.75,6.407407407407407,open_air,True,False
2019-11-21,0.714,win,8348.0,8230.75,8288.5,8273.75,8265.25,long,8.5,8.735294117647058,open_air,True,False
2019-11-25,0.4886,win,8313.25,8233.25,8282.0,8352.0,8348.0,long,4.0,-9.6875,co_located_break,True,False
2019-11-27,0.7208,win,8421.0,8366.5,8402.75,8418.75,8410.0,long,8.75,0.2571428571428571,choked,True,False
2019-11-29,-1.0,loss,8458.0,8413.5,8443.5,8438.0,8433.75,long,4.25,4.705882352941177,open_air,True,False
2019-12-10,0.7506,win,8427.25,8346.25,8351.0,8368.75,8358.75,long,10.0,5.85,open_air,True,False
2019-12-12,-1.0,loss,8410.75,8345.0,8408.25,8488.25,8464.25,long,24.0,-3.2291666666666665,co_located_break,True,False
2019-12-16,0.714,win,8549.0,8461.5,8522.25,8601.75,8593.25,long,8.5,-6.205882352941177,co_located_break,True,False
2019-12-18,0.683,win,8626.25,8592.75,8602.25,8615.75,8608.25,long,7.5,1.4,mid_clearance,True,False
2019-12-24,0.6213,win,8743.5,8705.0,8728.5,8722.0,8716.0,long,6.0,3.5833333333333335,open_air,True,False
2019-12-26,0.595,win,8736.0,8707.5,8730.0,8762.25,8756.75,long,5.5,-4.7727272727272725,co_located_break,True,False
2019-12-27,0.7945,win,8805.75,8726.0,8802.5,8792.5,8780.0,long,12.5,1.06,mid_clearance,True,False
2019-12-30,-1.0,loss,8843.25,8769.75,8778.75,8721.75,8710.25,long,11.5,10.565217391304348,open_air,True,False
2020-01-03,0.867,win,8901.5,8769.25,8901.25,8825.25,8805.0,long,20.25,3.765432098765432,open_air,True,False
2020-01-06,0.7506,win,8907.75,8735.25,8810.25,8802.25,8792.25,long,10.0,10.55,open_air,True,False
2020-01-07,-1.0,loss,8872.5,8723.0,8852.5,8870.0,8857.0,long,13.0,0.19230769230769232,choked,True,False
2020-01-09,-1.0,loss,8972.5,8678.25,8946.25,9007.0,8992.0,long,15.0,-2.3,co_located_break,True,False
2020-01-10,-1.0,loss,9022.25,8932.5,9008.5,9037.0,9027.5,long,9.5,-1.5526315789473684,co_located_break,True,False
2020-01-14,0.8755,win,9096.5,8978.75,9089.75,9057.0,9035.25,long,21.75,1.8160919540229885,mid_clearance,True,False
2020-01-15,-1.0,loss,9114.75,9035.0,9063.0,9086.25,9077.75,long,8.5,3.3529411764705883,open_air,True,False
2020-01-16,-1.0,loss,9096.0,9023.0,9061.75,9115.5,9106.5,long,9.0,-2.1666666666666665,co_located_break,True,False
2020-01-23,0.6332,win,9254.0,9174.5,9187.5,9189.5,9183.25,long,6.25,10.32,open_air,True,False
2020-01-28,0.8499,win,9098.25,8926.0,8960.25,9033.75,9016.0,long,17.75,3.6338028169014085,open_air,True,False
2020-01-29,0.9072,win,9136.0,8952.5,9124.0,9105.75,9076.0,long,29.75,1.0168067226890756,mid_clearance,True,False
2020-01-30,0.8048,win,9158.75,9072.25,9105.75,9093.25,9080.0,long,13.25,4.943396226415095,open_air,True,False
2020-02-03,-1.0,loss,9249.0,8965.0,9012.5,9150.75,9126.25,long,24.5,4.010204081632653,open_air,True,False
2020-02-05,-1.0,loss,9369.0,9073.25,9361.25,9402.5,9388.0,long,14.5,-2.310344827586207,co_located_break,True,False
2020-02-06,-1.0,loss,9464.25,9318.25,9388.5,9415.25,9401.75,long,13.5,3.6296296296296298,open_air,True,False
2020-02-07,0.7908,win,9463.5,9363.0,9463.25,9400.0,9387.75,long,12.25,5.183673469387755,open_air,True,False
2020-02-10,0.7068,win,9477.0,9385.0,9400.0,9452.75,9444.5,long,8.25,2.9393939393939394,open_air,True,False
2020-02-11,0.8755,win,9531.75,9330.75,9526.75,9579.5,9557.75,long,21.75,-2.1954022988505746,co_located_break,True,False
2020-02-13,0.8755,win,9628.0,9524.25,9623.25,9575.75,9554.0,long,21.75,2.4022988505747125,open_air,True,False
2020-02-17,0.5101,win,9659.25,9588.25,9630.75,9663.0,9658.75,long,4.25,-0.8823529411764706,co_located_break,True,False
2020-02-19,-1.0,loss,9654.25,9534.0,9640.5,9714.5,9708.5,long,6.0,-10.041666666666666,co_located_break,True,False
2020-02-20,-1.0,loss,9748.75,9640.5,9733.75,9716.75,9708.25,long,8.5,3.764705882352941,open_air,True,False
2020-02-24,-1.0,loss,9623.5,9411.5,9456.25,9197.0,9164.75,long,32.25,13.224806201550388,open_air,True,False
2020-02-28,0.9471,win,8878.25,8334.0,8346.75,8190.25,8136.75,long,53.5,12.85981308411215,open_air,True,False
2020-03-04,0.9328,win,9003.0,8510.75,8559.75,8721.25,8679.5,long,41.75,6.748502994011976,open_air,True,False
2020-03-05,0.9079,win,8950.0,8507.25,8889.0,8750.25,8720.25,long,30.0,6.658333333333333,open_air,True,False
2020-03-09,0.9534,win,8418.25,8125.0,8171.0,8090.25,8029.25,long,61.0,5.377049180327869,open_air,True,False
2020-03-10,-1.0,loss,8240.25,7801.0,8014.5,8214.0,8168.75,long,45.25,0.580110497237569,choked,True,False
2020-03-11,-1.0,loss,8380.0,7931.5,8238.75,8197.0,8157.25,long,39.75,4.60377358490566,open_air,True,False
2020-03-12,-1.0,loss,8260.75,7892.75,8090.0,7565.0,7453.75,long,111.25,6.253932584269663,open_air,True,False
2020-03-13,-1.0,loss,8091.25,7058.5,7184.25,7550.25,7466.25,long,84.0,6.440476190476191,open_air,True,False
2020-03-16,0.9699,win,7890.0,7541.0,7541.0,7249.0,7153.75,long,95.25,6.729658792650919,open_air,True,False
2020-03-17,0.9481,win,7543.75,6906.0,7071.0,6985.75,6931.25,long,54.5,10.238532110091743,open_air,True,False
2020-03-19,0.9507,win,7377.0,6810.0,7325.75,7241.5,7184.0,long,57.5,2.356521739130435,open_air,True,False
