trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,orb_mid,pivot_val,break_dir
2019-05-07,-1.0,-1.0,loss,0,True,False,2019,1,7744.125,7747.5,long
2019-05-10,0.8842,0.8842,win,0,True,False,2019,1,7536.75,7566.833333333333,long
2019-05-17,0.6993,0.6993,win,0,True,False,2019,1,7511.75,7572.083333333333,long
2019-05-21,0.6443,0.6443,win,0,True,False,2019,1,7439.25,7444.166666666667,long
2019-05-22,0.8199,0.8199,win,0,True,False,2019,1,7409.25,7453.083333333333,long
2019-05-23,-1.0,-1.0,loss,0,True,False,2019,0,7338.0,7431.0,long
2019-05-24,0.6993,0.6993,win,0,True,False,2019,1,7337.5,7336.166666666667,long
2019-05-28,-1.0,-1.0,loss,0,True,False,2019,1,7330.125,7319.0,long
2019-05-29,0.6648,0.6648,win,0,True,False,2019,0,7229.0,7315.083333333333,long
2019-05-31,-1.0,-1.0,loss,0,True,False,2019,0,7158.25,7243.666666666667,long
2019-06-03,0.4395,0.4395,win,0,True,False,2019,1,7098.75,7091.916666666667,long
2019-06-04,0.4113,0.4113,win,0,True,False,2019,1,7045.125,7026.166666666667,long
2019-06-05,0.595,0.595,win,0,True,False,2019,0,7209.25,7129.083333333333,long
2019-06-10,0.4652,0.4652,win,0,True,False,2019,1,7460.875,7470.166666666667,long
2019-06-11,0.7747,0.7747,win,0,True,False,2019,0,7576.125,7508.25,long
2019-06-19,-1.0,-1.0,loss,0,True,False,2019,1,7680.125,7647.0,long
2019-06-21,0.8396,0.8396,win,0,True,False,2019,1,7741.25,7762.25,long
2019-06-24,-1.0,-1.0,loss,0,True,False,2019,1,7772.25,7753.166666666667,long
2019-06-25,0.38,0.38,win,0,True,False,2019,1,7745.75,7766.333333333333,long
2019-06-28,0.5648,0.5648,win,0,True,False,2019,1,7697.25,7685.416666666667,long
2019-07-02,0.38,0.38,win,0,True,False,2019,1,7780.5,7795.416666666667,long
2019-07-10,0.9443,0.9443,win,0,True,False,2019,0,7860.125,7816.5,long
2019-07-11,-1.0,-1.0,loss,0,True,False,2019,1,7937.25,7897.666666666667,long
2019-07-17,-1.0,-1.0,loss,0,True,False,2019,1,7948.375,7956.583333333333,long
2019-07-23,-1.0,-1.0,loss,0,True,False,2019,0,7959.625,7899.0,long
2019-07-24,-1.0,-1.0,loss,0,True,False,2019,1,7954.0,7948.333333333333,long
2019-07-25,-1.0,-1.0,loss,0,True,False,2019,1,8027.5,7996.25,long
2019-07-26,0.8015,0.8015,win,0,True,False,2019,1,7997.75,7980.416666666667,long
2019-07-29,-1.0,-1.0,loss,0,True,False,2019,1,8026.0,8021.0,long
2019-08-01,-1.0,-1.0,loss,0,True,False,2019,1,7869.625,7874.583333333333,long
2019-08-02,-1.0,-1.0,loss,0,True,False,2019,0,7754.875,7857.75,long
2019-08-06,-1.0,-1.0,loss,0,True,False,2019,0,7466.5,7404.5,long
2019-08-08,0.8328,0.8328,win,0,True,False,2019,0,7588.125,7508.416666666667,long
2019-08-09,0.714,0.714,win,0,True,False,2019,1,7675.75,7650.0,long
2019-08-13,0.9226,0.9226,win,0,True,False,2019,1,7539.0,7606.75,long
2019-08-14,-1.0,-1.0,loss,0,True,False,2019,1,7624.625,7685.5,long
2019-08-15,-1.0,-1.0,loss,0,True,False,2019,1,7520.875,7567.666666666667,long
2019-08-19,0.714,0.714,win,0,True,False,2019,1,7708.25,7637.333333333333,long
2019-08-21,0.595,0.595,win,0,True,False,2019,1,7728.75,7691.916666666667,long
2019-08-23,0.8111,0.8111,win,0,True,False,2019,1,7653.125,7714.5,long
2019-08-26,0.714,0.714,win,0,True,False,2019,0,7550.5,7390.583333333333,long
2019-08-28,0.7908,0.7908,win,0,True,False,2019,1,7530.875,7589.75,long
2019-09-03,0.7395,0.7395,win,0,True,False,2019,1,7638.0,7638.0,long
