instrument,session,orb_minutes,n_e_aligned,n_e_opposed,n_c_aligned,n_c_opposed,delta_e,delta_c,interaction,welch_t,welch_p_oneside,welch_df,powered,note
MNQ,CME_REOPEN,5,19,16,35,26,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=16 < 30)
MNQ,CME_REOPEN,15,5,8,8,10,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=5 < 30)
MNQ,CME_REOPEN,30,1,0,1,5,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MNQ,TOKYO_OPEN,5,166,187,197,212,0.302209,0.023182,0.279027,1.737529,0.041359,725.116156,True,
MNQ,TOKYO_OPEN,15,186,167,190,219,0.094465,0.066374,0.028091,0.166995,0.433710,724.697893,True,
MNQ,TOKYO_OPEN,30,177,173,198,206,0.115086,-0.087149,0.202235,1.182800,0.118636,731.067446,True,
MNQ,SINGAPORE_OPEN,5,162,193,196,209,0.140239,0.003013,0.137226,0.867111,0.193085,717.817492,True,
MNQ,SINGAPORE_OPEN,15,181,174,196,208,0.042943,0.012698,0.030245,0.182448,0.427641,735.427296,True,
MNQ,SINGAPORE_OPEN,30,188,164,198,204,0.113973,0.045350,0.068623,0.403794,0.343242,724.744505,True,
MNQ,LONDON_METALS,5,171,182,193,215,-0.039799,-0.101783,0.061984,0.374605,0.354032,728.497060,True,
MNQ,LONDON_METALS,15,167,185,192,210,0.002136,-0.043345,0.045481,0.267186,0.394701,723.411400,True,
MNQ,LONDON_METALS,30,189,158,188,207,0.016647,0.001771,0.014876,0.085407,0.465981,701.625042,True,
MNQ,EUROPE_FLOW,5,177,172,194,213,-0.054191,0.075403,-0.129594,-0.791082,0.785422,720.424094,True,
MNQ,EUROPE_FLOW,15,179,171,199,208,-0.123903,0.119595,-0.243498,-1.439100,0.924723,725.755710,True,
MNQ,EUROPE_FLOW,30,169,178,206,196,0.002477,-0.020314,0.022791,0.132174,0.447442,722.142635,True,
MNQ,US_DATA_830,5,155,191,203,191,-0.114322,-0.111701,-0.002621,-0.015798,0.506300,700.608702,True,
MNQ,US_DATA_830,15,174,167,196,195,-0.237876,0.017104,-0.254979,-1.473429,0.929460,706.657651,True,
MNQ,US_DATA_830,30,160,174,193,191,-0.274820,0.254595,-0.529416,-3.023651,0.998705,696.445777,True,
MNQ,NYSE_OPEN,5,174,168,201,193,-0.032253,-0.080181,0.047929,0.269981,0.393627,713.159743,True,
MNQ,NYSE_OPEN,15,149,139,176,157,-0.022964,0.109024,-0.131989,-0.678570,0.751164,598.908696,True,
MNQ,NYSE_OPEN,30,112,102,147,110,-0.193163,0.146033,-0.339196,-1.507778,0.933832,435.836286,True,
MNQ,US_DATA_1000,5,179,170,199,202,0.038430,0.085723,-0.047293,-0.271884,0.607106,727.669627,True,
MNQ,US_DATA_1000,15,173,145,168,185,0.045380,0.228744,-0.183364,-0.981436,0.836626,642.985995,True,
MNQ,US_DATA_1000,30,117,140,131,145,0.076176,0.329888,-0.253712,-1.204868,0.885595,512.626334,True,
MNQ,COMEX_SETTLE,5,167,176,187,193,0.123328,0.097211,0.026117,0.152779,0.439308,704.522959,True,
MNQ,COMEX_SETTLE,15,165,152,171,180,0.174327,-0.021811,0.196138,1.077423,0.140845,653.196126,True,
MNQ,COMEX_SETTLE,30,145,119,136,148,0.136109,0.007125,0.128984,0.639457,0.261402,525.964154,True,
MNQ,CME_PRECLOSE,5,121,138,163,145,0.313951,0.175674,0.138277,0.714061,0.237752,528.646173,True,
MNQ,CME_PRECLOSE,15,22,20,18,21,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=18 < 30)
MNQ,CME_PRECLOSE,30,2,3,3,7,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=2 < 30)
MNQ,NYSE_CLOSE,5,53,56,75,88,0.015184,-0.070139,0.085323,0.299612,0.382378,220.362107,True,
MNQ,NYSE_CLOSE,15,15,21,31,26,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=15 < 30)
MNQ,NYSE_CLOSE,30,11,12,19,19,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=11 < 30)
MNQ,BRISBANE_1025,5,190,165,197,211,-0.034362,0.189913,-0.224275,-1.466141,0.928478,724.521163,True,
MNQ,BRISBANE_1025,15,182,173,215,193,0.196310,0.031853,0.164457,1.011912,0.155957,733.909510,True,
MNQ,BRISBANE_1025,30,187,167,206,201,-0.031158,0.034054,-0.065212,-0.388709,0.651198,728.828611,True,
MES,CME_REOPEN,5,17,13,33,24,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=13 < 30)
MES,CME_REOPEN,15,5,4,13,9,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=4 < 30)
MES,CME_REOPEN,30,0,0,4,2,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MES,TOKYO_OPEN,5,178,181,188,201,0.120982,0.012506,0.108475,0.732144,0.232158,727.537436,True,
MES,TOKYO_OPEN,15,177,182,196,193,0.080230,-0.075073,0.155303,0.986349,0.162144,733.128142,True,
MES,TOKYO_OPEN,30,185,169,192,192,0.044932,-0.090990,0.135922,0.837218,0.201374,722.124386,True,
MES,SINGAPORE_OPEN,5,166,186,191,204,0.013816,0.058515,-0.044698,-0.312933,0.622788,709.113784,True,
MES,SINGAPORE_OPEN,15,174,177,210,185,0.052019,-0.041907,0.093927,0.609182,0.271299,714.158728,True,
MES,SINGAPORE_OPEN,30,176,173,202,190,0.040986,0.005590,0.035396,0.221629,0.412333,718.422416,True,
MES,LONDON_METALS,5,174,184,184,217,-0.020578,-0.036017,0.015439,0.101492,0.459594,724.711242,True,
MES,LONDON_METALS,15,173,185,194,201,0.023414,-0.064167,0.087581,0.547508,0.292099,727.147896,True,
MES,LONDON_METALS,30,183,166,192,195,0.165483,0.117141,0.048342,0.291876,0.385234,706.479421,True,
MES,EUROPE_FLOW,5,179,180,192,206,0.092525,-0.106365,0.198891,1.361194,0.086938,723.407415,True,
MES,EUROPE_FLOW,15,182,177,183,215,0.137792,-0.150417,0.288210,1.859349,0.031691,725.491787,True,
MES,EUROPE_FLOW,30,181,177,179,215,0.113453,-0.084400,0.197853,1.227091,0.110093,725.672023,True,
MES,US_DATA_830,5,153,193,187,200,0.173833,0.064492,0.109341,0.704030,0.240828,679.540865,True,
MES,US_DATA_830,15,160,183,193,187,0.027149,0.201403,-0.174254,-1.069591,0.857413,694.529185,True,
MES,US_DATA_830,30,165,170,180,188,-0.041244,0.333443,-0.374687,-2.255484,0.987790,681.405555,True,
MES,NYSE_OPEN,5,179,185,222,194,-0.267792,0.092068,-0.359860,-2.218012,0.986574,753.541365,True,
MES,NYSE_OPEN,15,164,165,186,190,-0.039335,0.144774,-0.184109,-1.043833,0.851534,683.196933,True,
MES,NYSE_OPEN,30,138,126,156,152,-0.172347,0.022169,-0.194516,-0.984088,0.837245,544.925024,True,
MES,US_DATA_1000,5,181,188,199,214,0.078348,0.138284,-0.059936,-0.375367,0.646253,752.148528,True,
MES,US_DATA_1000,15,187,159,193,195,0.204059,0.100412,0.103646,0.604403,0.272886,702.928056,True,
MES,US_DATA_1000,30,143,141,165,165,0.126776,0.229596,-0.102820,-0.541750,0.705902,591.300102,True,
MES,COMEX_SETTLE,5,170,187,182,222,0.055969,0.055261,0.000708,0.004626,0.498155,719.972302,True,
MES,COMEX_SETTLE,15,167,163,192,182,0.111598,0.066502,0.045096,0.271743,0.392951,681.893249,True,
MES,COMEX_SETTLE,30,152,129,160,162,0.159668,0.000522,0.159147,0.866975,0.193159,574.357641,True,
