sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-22T00:00:00,,win,0.8927,0.8927,0,0,25061.75,25010.25,long
IS,2025-10-23T00:00:00,,win,0.817,0.817,0,0,25239.75,25268.75,short
IS,2025-10-24T00:00:00,,win,0.7908,0.7908,0,0,25526.0,25551.0,short
IS,2025-10-27T00:00:00,,win,0.8537,0.8537,0,0,25972.75,25935.75,long
IS,2025-10-28T00:00:00,,win,0.8607,0.8607,0,0,26163.75,26202.75,short
IS,2025-10-29T00:00:00,,win,0.9388,0.9388,0,0,26285.0,26192.5,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25967.0,25889.5,long
IS,2025-10-31T00:00:00,,win,0.9351,0.9351,0,0,26008.5,26095.5,short
IS,2025-11-03T00:00:00,,win,0.9072,0.9072,0,0,26139.5,26079.5,long
IS,2025-11-04T00:00:00,,win,0.9476,0.9476,0,0,25534.5,25643.0,short
IS,2025-11-05T00:00:00,,win,0.8983,0.8983,0,0,25762.0,25816.5,short
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25207.0,25313.5,short
IS,2025-11-07T00:00:00,,win,0.9573,0.9573,0,0,25199.5,25065.5,long
IS,2025-11-10T00:00:00,,scratch,0.172,0.172,1,0,25697.25,25758.75,short
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25680.5,25651.0,long
IS,2025-11-14T00:00:00,,scratch,0.2932,0.2932,1,0,25186.25,25071.25,long
IS,2025-11-17T00:00:00,,win,0.9509,0.9509,0,0,24909.5,24793.5,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24718.5,24623.5,long
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,24633.25,24771.25,short
IS,2025-11-20T00:00:00,,scratch,0.2887,0.2887,1,0,24023.5,24175.0,short
IS,2025-11-21T00:00:00,,win,0.9492,0.9492,0,0,24327.75,24439.75,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24919.25,24968.25,short
IS,2025-11-25T00:00:00,,win,0.9114,0.9114,0,0,25133.0,25070.0,long
IS,2025-11-26T00:00:00,,win,0.8794,0.8794,0,0,25298.25,25343.75,short
IS,2025-12-01T00:00:00,,win,0.8974,0.8974,0,0,25367.25,25421.25,short
IS,2025-12-02T00:00:00,,win,0.8573,0.8573,0,0,25598.0,25636.0,short
IS,2025-12-03T00:00:00,,win,0.7831,0.7831,0,0,25659.0,25683.0,short
