sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-12-10T00:00:00,,win,0.8946,0.8946,0,0,12361.0,12413.5,short
IS,2020-12-11T00:00:00,,win,0.8607,0.8607,0,0,12329.5,12290.5,long
IS,2020-12-14T00:00:00,,loss,-1.0,-1.0,0,0,12527.25,12486.25,long
IS,2020-12-16T00:00:00,,loss,-1.0,-1.0,0,0,12667.5,12632.5,long
IS,2020-12-18T00:00:00,,win,0.8278,0.8278,0,0,12670.0,12701.0,short
IS,2020-12-21T00:00:00,,loss,-1.0,-1.0,0,0,12699.75,12668.75,long
IS,2021-01-04T00:00:00,,loss,-1.0,-1.0,0,0,12678.75,12630.75,long
IS,2021-01-05T00:00:00,,win,0.8439,0.8439,0,0,12759.25,12724.75,long
IS,2021-01-06T00:00:00,,win,0.7657,0.7657,0,0,12765.5,12743.5,long
IS,2021-01-07T00:00:00,,win,0.8519,0.8519,0,0,12930.0,12893.5,long
IS,2021-01-08T00:00:00,,win,0.8992,0.8992,0,0,12940.5,12995.5,short
IS,2021-01-11T00:00:00,,win,0.779,0.779,0,0,12950.75,12974.25,short
IS,2021-01-12T00:00:00,,loss,-1.0,-1.0,0,0,12925.5,12869.5,long
IS,2021-01-14T00:00:00,,loss,-1.0,-1.0,0,0,12968.0,12943.0,long
IS,2021-01-15T00:00:00,,loss,-1.0,-1.0,0,0,12844.0,12876.5,short
IS,2021-01-19T00:00:00,,win,0.7703,0.7703,0,0,12983.75,12961.25,long
IS,2021-01-20T00:00:00,,loss,-1.0,-1.0,0,0,13261.5,13293.0,short
IS,2021-01-25T00:00:00,,loss,-1.0,-1.0,0,0,13408.5,13444.0,short
IS,2021-01-27T00:00:00,,win,0.8946,0.8946,0,0,13256.0,13308.5,short
IS,2021-01-28T00:00:00,,loss,-1.0,-1.0,0,0,13397.5,13355.5,long
IS,2021-01-29T00:00:00,,loss,-1.0,-1.0,0,0,12961.25,12905.25,long
IS,2021-02-01T00:00:00,,win,0.8226,0.8226,0,0,13237.5,13267.5,short
IS,2021-02-02T00:00:00,,win,0.846,0.846,0,0,13475.5,13440.5,long
IS,2021-02-03T00:00:00,,win,0.808,0.808,0,0,13489.5,13462.0,long
IS,2021-02-05T00:00:00,,loss,-1.0,-1.0,0,0,13631.25,13605.75,long
IS,2021-02-11T00:00:00,,loss,-1.0,-1.0,0,0,13726.75,13695.75,long
IS,2021-02-12T00:00:00,,loss,-1.0,-1.0,0,0,13754.0,13727.5,long
IS,2021-02-16T00:00:00,,loss,-1.0,-1.0,0,0,13803.25,13775.75,long
IS,2021-02-17T00:00:00,,loss,-1.0,-1.0,0,0,13636.75,13667.75,short
IS,2021-02-19T00:00:00,,win,0.8992,0.8992,0,0,13605.25,13550.25,long
IS,2021-02-22T00:00:00,,win,0.787,0.787,0,0,13383.0,13358.5,long
IS,2021-02-23T00:00:00,,loss,-1.0,-1.0,0,0,12998.0,13056.5,short
IS,2021-02-24T00:00:00,,loss,-1.0,-1.0,0,0,13292.5,13228.0,long
IS,2021-02-25T00:00:00,,loss,-1.0,-1.0,0,0,12845.0,12945.0,short
IS,2021-02-26T00:00:00,,win,0.9424,0.9424,0,0,12958.75,13057.25,short
IS,2021-03-01T00:00:00,,win,0.7657,0.7657,0,0,13219.75,13197.75,long
IS,2021-03-02T00:00:00,,loss,-1.0,-1.0,0,0,13234.75,13182.25,long
IS,2021-03-03T00:00:00,,win,0.9165,0.9165,0,0,12780.0,12847.0,short
IS,2021-03-04T00:00:00,,win,0.9589,0.9589,0,0,12356.75,12495.75,short
IS,2021-03-05T00:00:00,,loss,-1.0,-1.0,0,0,12633.75,12570.25,long
IS,2021-03-08T00:00:00,,win,0.9274,0.9274,0,0,12483.0,12560.5,short
IS,2021-03-09T00:00:00,,loss,-1.0,-1.0,0,0,12872.25,12822.25,long
IS,2021-03-10T00:00:00,,loss,-1.0,-1.0,0,0,12695.25,12821.25,short
IS,2021-03-11T00:00:00,,scratch,0.7061,0.7061,1,0,13036.75,13104.75,short
IS,2021-03-12T00:00:00,,win,0.7908,0.7908,0,0,12885.0,12910.0,short
IS,2021-03-15T00:00:00,,win,0.787,0.787,0,0,12967.5,12943.0,long
IS,2021-03-16T00:00:00,,win,0.8956,0.8956,0,0,13169.25,13222.25,short
IS,2021-03-17T00:00:00,,loss,-1.0,-1.0,0,0,12965.5,13010.0,short
IS,2021-03-18T00:00:00,,loss,-1.0,-1.0,0,0,12986.0,12941.0,long
IS,2021-03-19T00:00:00,,loss,-1.0,-1.0,0,0,12851.75,12883.75,short
IS,2021-03-22T00:00:00,,win,0.7747,0.7747,0,0,13142.0,13119.0,long
IS,2021-03-23T00:00:00,,win,0.8655,0.8655,0,0,13080.5,13121.0,short
IS,2021-03-24T00:00:00,,loss,-1.0,-1.0,0,0,12897.0,12926.0,short
IS,2021-03-25T00:00:00,,win,0.9205,0.9205,0,0,12689.0,12759.5,short
IS,2021-03-26T00:00:00,,win,0.8974,0.8974,0,0,12813.5,12867.5,short
IS,2021-03-29T00:00:00,,win,0.9394,0.9394,0,0,12906.75,13000.25,short
IS,2021-03-30T00:00:00,,win,0.8418,0.8418,0,0,12844.75,12878.75,short
IS,2021-04-01T00:00:00,,win,0.8111,0.8111,0,0,13289.25,13261.25,long
IS,2021-04-06T00:00:00,,win,0.8853,0.8853,0,0,13596.25,13548.25,long
IS,2021-04-07T00:00:00,,win,0.846,0.846,0,0,13604.25,13569.25,long
