sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-12-28T00:00:00,,loss,-1.0,-1.0,0,0,12850.25,12840.25,long
IS,2021-01-06T00:00:00,,win,0.7657,0.7657,0,0,12765.5,12743.5,long
IS,2021-01-19T00:00:00,,win,0.7703,0.7703,0,0,12983.75,12961.25,long
IS,2021-01-21T00:00:00,,win,0.595,0.595,0,0,13383.25,13371.75,long
IS,2021-01-25T00:00:00,,loss,-1.0,-1.0,0,0,13408.5,13444.0,short
IS,2021-01-28T00:00:00,,loss,-1.0,-1.0,0,0,13397.5,13355.5,long
IS,2021-01-29T00:00:00,,loss,-1.0,-1.0,0,0,12961.25,12905.25,long
IS,2021-02-01T00:00:00,,win,0.8226,0.8226,0,0,13237.5,13267.5,short
IS,2021-02-02T00:00:00,,win,0.846,0.846,0,0,13475.5,13440.5,long
IS,2021-02-04T00:00:00,,win,0.6213,0.6213,0,0,13492.0,13504.5,short
IS,2021-02-18T00:00:00,,loss,-1.0,-1.0,0,0,13621.25,13600.75,long
IS,2021-02-19T00:00:00,,win,0.8992,0.8992,0,0,13605.25,13550.25,long
IS,2021-02-22T00:00:00,,win,0.787,0.787,0,0,13383.0,13358.5,long
IS,2021-02-23T00:00:00,,loss,-1.0,-1.0,0,0,12998.0,13056.5,short
IS,2021-02-24T00:00:00,,loss,-1.0,-1.0,0,0,13292.5,13228.0,long
IS,2021-02-26T00:00:00,,win,0.9424,0.9424,0,0,12958.75,13057.25,short
IS,2021-03-01T00:00:00,,win,0.7657,0.7657,0,0,13219.75,13197.75,long
IS,2021-03-02T00:00:00,,loss,-1.0,-1.0,0,0,13234.75,13182.25,long
IS,2021-03-03T00:00:00,,win,0.9165,0.9165,0,0,12780.0,12847.0,short
IS,2021-03-04T00:00:00,,win,0.9589,0.9589,0,0,12356.75,12495.75,short
IS,2021-03-05T00:00:00,,loss,-1.0,-1.0,0,0,12633.75,12570.25,long
IS,2021-03-08T00:00:00,,win,0.9274,0.9274,0,0,12483.0,12560.5,short
IS,2021-03-09T00:00:00,,loss,-1.0,-1.0,0,0,12872.25,12822.25,long
IS,2021-03-10T00:00:00,,loss,-1.0,-1.0,0,0,12695.25,12821.25,short
IS,2021-03-11T00:00:00,,scratch,0.7061,0.7061,1,0,13036.75,13104.75,short
IS,2021-03-12T00:00:00,,win,0.7908,0.7908,0,0,12885.0,12910.0,short
IS,2021-03-15T00:00:00,,win,0.787,0.787,0,0,12967.5,12943.0,long
IS,2021-03-16T00:00:00,,win,0.8956,0.8956,0,0,13169.25,13222.25,short
IS,2021-03-18T00:00:00,,loss,-1.0,-1.0,0,0,12986.0,12941.0,long
