sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2022-01-28T00:00:00,,loss,-1.0,-1.0,0,0,14145.125,14264.5,short
IS,2022-01-31T00:00:00,,win,1.3508,1.3508,0,0,14790.75,14733.25,long
IS,2022-02-03T00:00:00,,win,1.4045,1.4045,0,0,14620.625,14712.5,short
IS,2022-02-04T00:00:00,,loss,-1.0,-1.0,0,0,14657.5,14725.0,short
IS,2022-02-07T00:00:00,,loss,-1.0,-1.0,0,0,14604.625,14669.0,short
IS,2022-02-11T00:00:00,,win,1.4378,1.4378,0,0,14340.125,14483.25,short
IS,2022-02-14T00:00:00,,win,1.413,1.413,0,0,14201.25,14302.5,short
IS,2022-02-15T00:00:00,,loss,-1.0,-1.0,0,0,14571.125,14523.0,long
IS,2022-02-17T00:00:00,,win,1.3538,1.3538,0,0,14263.5,14322.25,short
IS,2022-02-18T00:00:00,,win,1.3461,1.3461,0,0,13981.125,13925.5,long
IS,2022-02-22T00:00:00,,win,1.3821,1.3821,0,0,13757.0,13830.75,short
IS,2022-02-24T00:00:00,,win,1.4317,1.4317,0,0,13609.25,13479.25,long
IS,2022-02-25T00:00:00,,loss,-1.0,-1.0,0,0,14052.75,14135.25,short
IS,2022-02-28T00:00:00,,loss,-1.0,-1.0,0,0,14198.125,14093.75,long
IS,2022-03-02T00:00:00,,loss,-1.0,-1.0,0,0,14201.375,14264.5,short
IS,2022-03-04T00:00:00,,loss,-1.0,-1.0,0,0,13943.75,13865.0,long
IS,2022-03-07T00:00:00,,loss,-1.0,-1.0,0,0,13560.625,13461.25,long
IS,2022-03-08T00:00:00,,win,1.4542,1.4542,0,0,13330.375,13526.0,short
IS,2022-03-09T00:00:00,,loss,-1.0,-1.0,0,0,13654.5,13738.25,short
IS,2022-03-10T00:00:00,,win,1.3985,1.3985,0,0,13550.0,13463.75,long
IS,2022-03-11T00:00:00,,loss,-1.0,-1.0,0,0,13452.5,13498.75,short
IS,2022-03-14T00:00:00,,loss,-1.0,-1.0,0,0,13125.5,13023.0,long
IS,2022-03-16T00:00:00,,loss,-1.0,-1.0,0,0,13790.25,13690.25,long
IS,2022-03-17T00:00:00,,win,1.3075,1.3075,0,0,14073.25,14029.5,long
IS,2022-03-21T00:00:00,,win,1.4327,1.4327,0,0,14340.125,14208.25,long
IS,2022-03-24T00:00:00,,win,1.374,1.374,0,0,14696.25,14627.5,long
IS,2022-04-07T00:00:00,,loss,-1.0,-1.0,0,0,14413.75,14480.0,short
IS,2022-04-11T00:00:00,,loss,-1.0,-1.0,0,0,14060.5,14113.0,short
IS,2022-04-12T00:00:00,,win,1.3909,1.3909,0,0,14018.5,14098.5,short
IS,2022-04-13T00:00:00,,win,1.3375,1.3375,0,0,14136.25,14188.75,short
IS,2022-04-22T00:00:00,,win,1.3259,1.3259,0,0,13436.0,13484.75,short
IS,2022-04-25T00:00:00,,loss,-1.0,-1.0,0,0,13238.5,13416.0,short
IS,2022-04-27T00:00:00,,win,1.412,1.412,0,0,13077.5,13177.5,short
IS,2022-04-28T00:00:00,,win,1.4227,1.4227,0,0,13497.875,13383.5,long
IS,2022-04-29T00:00:00,,loss,-1.0,-1.0,0,0,13163.5,13099.75,long
IS,2022-05-02T00:00:00,,loss,-1.0,-1.0,0,0,12710.25,12827.75,short
IS,2022-05-03T00:00:00,,loss,-1.0,-1.0,0,0,13194.125,13126.0,long
IS,2022-05-06T00:00:00,,loss,-1.0,-1.0,0,0,12712.625,12805.75,short
IS,2022-05-09T00:00:00,,loss,-1.0,-1.0,0,0,12158.125,12332.5,short
IS,2022-05-10T00:00:00,,win,1.4258,1.4258,0,0,12464.875,12345.5,long
IS,2022-05-11T00:00:00,,win,1.4145,1.4145,0,0,12015.125,12118.25,short
IS,2022-05-12T00:00:00,,win,1.4459,1.4459,0,0,11713.0,11878.0,short
IS,2022-05-13T00:00:00,,win,1.3375,1.3375,0,0,12323.25,12375.75,short
IS,2022-05-16T00:00:00,,loss,-1.0,-1.0,0,0,12290.5,12339.25,short
IS,2022-05-17T00:00:00,,loss,-1.0,-1.0,0,0,12449.125,12507.25,short
IS,2022-05-18T00:00:00,,loss,-1.0,-1.0,0,0,12069.375,12011.25,long
IS,2022-05-19T00:00:00,,loss,-1.0,-1.0,0,0,11798.625,11938.0,short
IS,2022-05-20T00:00:00,,win,1.4623,1.4623,0,0,11729.375,11491.25,long
IS,2022-05-23T00:00:00,,win,1.4219,1.4219,0,0,12052.625,11939.5,long
IS,2022-05-24T00:00:00,,win,1.3706,1.3706,0,0,11718.375,11651.5,long
IS,2022-05-25T00:00:00,,loss,-1.0,-1.0,0,0,11878.25,11822.0,long
IS,2022-05-26T00:00:00,,loss,-1.0,-1.0,0,0,12334.0,12289.0,long
IS,2022-05-31T00:00:00,,loss,-1.0,-1.0,0,0,12770.25,12667.75,long
IS,2022-06-01T00:00:00,,win,1.3985,1.3985,0,0,12578.75,12492.5,long
IS,2022-06-06T00:00:00,,win,1.3717,1.3717,0,0,12646.75,12579.25,long
IS,2022-06-07T00:00:00,,loss,-1.0,-1.0,0,0,12620.75,12664.5,short
IS,2022-06-13T00:00:00,,win,1.3761,1.3761,0,0,11474.25,11404.25,long
IS,2022-06-14T00:00:00,,win,1.3802,1.3802,0,0,11333.5,11406.0,short
IS,2022-06-16T00:00:00,,win,1.4193,1.4193,0,0,11120.625,11230.0,short
IS,2022-06-17T00:00:00,,loss,-1.0,-1.0,0,0,11407.25,11336.0,long
IS,2022-06-21T00:00:00,,win,1.3538,1.3538,0,0,11578.0,11636.75,short
IS,2022-06-22T00:00:00,,loss,-1.0,-1.0,0,0,11626.0,11668.5,short
IS,2022-06-23T00:00:00,,loss,-1.0,-1.0,0,0,11544.5,11595.75,short
IS,2022-06-24T00:00:00,,loss,-1.0,-1.0,0,0,11984.0,12025.25,short
IS,2022-06-27T00:00:00,,loss,-1.0,-1.0,0,0,12026.625,12076.0,short
IS,2022-06-28T00:00:00,,loss,-1.0,-1.0,0,0,11733.875,11782.0,short
IS,2022-06-30T00:00:00,,loss,-1.0,-1.0,0,0,11660.875,11610.25,long
IS,2022-07-01T00:00:00,,loss,-1.0,-1.0,0,0,11447.0,11492.0,short
IS,2022-07-06T00:00:00,,loss,-1.0,-1.0,0,0,11812.875,11848.5,short
IS,2022-07-07T00:00:00,,win,1.3238,1.3238,0,0,12130.875,12082.75,long
IS,2022-07-11T00:00:00,,loss,-1.0,-1.0,0,0,12035.0,11972.5,long
IS,2022-07-12T00:00:00,,loss,-1.0,-1.0,0,0,11913.125,11878.75,long
IS,2022-07-14T00:00:00,,win,1.3538,1.3538,0,0,11745.25,11686.5,long
IS,2022-07-18T00:00:00,,win,1.4339,1.4339,0,0,11991.125,12125.5,short
IS,2022-08-11T00:00:00,,loss,-1.0,-1.0,0,0,13455.375,13398.5,long
IS,2022-08-19T00:00:00,,loss,-1.0,-1.0,0,0,13311.875,13230.0,long
IS,2022-08-23T00:00:00,,win,1.2848,1.2848,0,0,12922.5,12961.25,short
IS,2022-08-25T00:00:00,,loss,-1.0,-1.0,0,0,13107.875,13054.75,long
IS,2022-08-31T00:00:00,,loss,-1.0,-1.0,0,0,12273.0,12330.5,short
IS,2022-09-01T00:00:00,,win,1.3299,1.3299,0,0,12077.25,12127.25,short
