sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2024-03-18T00:00:00,,loss,-1.0,-1.0,0,0,18464.625,18286.5,long
IS,2024-03-19T00:00:00,,loss,-1.0,-1.0,0,0,18018.25,18127.0,short
IS,2024-03-21T00:00:00,,loss,-1.0,-1.0,0,0,18725.375,18631.0,long
IS,2024-04-03T00:00:00,,scratch,0.1478,0.1478,1,0,18525.0,18270.0,long
IS,2024-04-05T00:00:00,,win,1.4546,1.4546,0,0,18372.0,18174.5,long
IS,2024-04-12T00:00:00,,win,1.4513,1.4513,0,0,18155.5,18339.25,short
IS,2024-04-15T00:00:00,,win,1.4733,1.4733,0,0,17987.875,18326.0,short
IS,2024-04-16T00:00:00,,loss,-1.0,-1.0,0,0,17990.625,17865.0,long
IS,2024-04-17T00:00:00,,win,1.4524,1.4524,0,0,17706.125,17894.25,short
IS,2024-04-23T00:00:00,,win,1.4401,1.4401,0,0,17624.5,17475.75,long
IS,2024-04-26T00:00:00,,scratch,-0.0209,-0.0209,1,0,17939.75,17768.5,long
IS,2024-05-07T00:00:00,,loss,-1.0,-1.0,0,0,18276.25,18181.25,long
IS,2024-05-08T00:00:00,,win,1.3771,1.3771,0,0,18222.125,18151.5,long
IS,2024-05-13T00:00:00,,loss,-1.0,-1.0,0,0,18328.125,18281.25,long
IS,2024-05-14T00:00:00,,win,1.4179,1.4179,0,0,18379.75,18272.25,long
IS,2024-05-15T00:00:00,,win,1.4179,1.4179,0,0,18589.5,18482.0,long
IS,2024-05-20T00:00:00,,loss,-1.0,-1.0,0,0,18788.625,18731.75,long
IS,2024-05-22T00:00:00,,loss,-1.0,-1.0,0,0,18882.125,18802.75,long
IS,2024-05-24T00:00:00,,win,1.4324,1.4324,0,0,18881.5,18750.25,long
IS,2024-05-27T00:00:00,,win,1.256,1.256,0,0,18909.75,18876.0,long
IS,2024-05-29T00:00:00,,loss,-1.0,-1.0,0,0,18895.75,18810.75,long
IS,2024-05-30T00:00:00,,win,1.448,1.448,0,0,18580.875,18752.75,short
IS,2024-05-31T00:00:00,,win,1.4463,1.4463,0,0,18382.5,18548.75,short
IS,2024-06-04T00:00:00,,scratch,0.5299,0.5299,1,0,18809.625,18567.75,long
IS,2024-06-05T00:00:00,,win,1.4429,1.4429,0,0,18956.25,18800.0,long
IS,2024-06-07T00:00:00,,win,1.3761,1.3761,0,0,19089.0,19019.0,long
IS,2024-06-12T00:00:00,,loss,-1.0,-1.0,0,0,19563.0,19479.25,long
IS,2024-06-13T00:00:00,,scratch,-0.384,-0.384,1,0,19487.5,19651.25,short
IS,2024-06-14T00:00:00,,loss,-1.0,-1.0,0,0,19723.125,19586.25,long
IS,2024-06-17T00:00:00,,loss,-1.0,-1.0,0,0,20032.75,19942.75,long
IS,2024-06-18T00:00:00,,loss,-1.0,-1.0,0,0,20101.375,20212.0,short
IS,2024-06-20T00:00:00,,win,1.4595,1.4595,0,0,20018.875,20240.75,short
