sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-06-03T00:00:00,,win,0.9648,0.9648,0,0,21720.5,21557.5,long
IS,2025-06-09T00:00:00,,scratch,-0.415,-0.415,1,0,21914.25,21787.25,long
IS,2025-06-10T00:00:00,,loss,-1.0,-1.0,0,0,21915.75,21847.75,long
IS,2025-06-11T00:00:00,,win,0.9401,0.9401,0,0,22064.5,21970.0,long
IS,2025-06-12T00:00:00,,scratch,-0.4758,-0.4758,1,0,21993.25,21839.75,long
IS,2025-06-16T00:00:00,,loss,-1.0,-1.0,0,0,22232.0,22143.5,long
IS,2025-06-17T00:00:00,,loss,-1.0,-1.0,0,0,22189.5,22070.0,long
IS,2025-06-18T00:00:00,,loss,-1.0,-1.0,0,0,22124.5,21980.5,long
IS,2025-06-23T00:00:00,,loss,-1.0,-1.0,0,0,22065.25,21925.25,long
IS,2025-06-24T00:00:00,,win,0.943,0.943,0,0,22365.25,22265.75,long
IS,2025-06-26T00:00:00,,win,0.9283,0.9283,0,0,22616.0,22537.5,long
IS,2025-06-30T00:00:00,,loss,-1.0,-1.0,0,0,22772.0,22854.0,short
IS,2025-07-02T00:00:00,,win,0.9511,0.9511,0,0,22819.25,22702.75,long
IS,2025-07-03T00:00:00,,scratch,-0.2469,-0.2469,1,0,23131.5,22995.0,long
IS,2025-07-08T00:00:00,,loss,-1.0,-1.0,0,0,22832.5,22899.0,short
IS,2025-07-11T00:00:00,,loss,-1.0,-1.0,0,0,23021.5,22939.0,long
IS,2025-07-14T00:00:00,,win,0.934,0.934,0,0,22991.0,22905.5,long
IS,2025-07-15T00:00:00,,loss,-1.0,-1.0,0,0,23265.5,23119.0,long
IS,2025-07-18T00:00:00,,scratch,-0.078,-0.078,1,0,23156.25,23293.25,short
IS,2025-07-21T00:00:00,,loss,-1.0,-1.0,0,0,23428.5,23376.0,long
IS,2025-07-25T00:00:00,,win,0.9146,0.9146,0,0,23449.0,23383.5,long
IS,2025-07-28T00:00:00,,win,0.91,0.91,0,0,23465.75,23527.75,short
IS,2025-07-29T00:00:00,,win,0.9312,0.9312,0,0,23510.75,23592.75,short
IS,2025-07-31T00:00:00,,win,0.9481,0.9481,0,0,23590.5,23700.0,short
IS,2025-08-05T00:00:00,,win,0.949,0.949,0,0,23250.75,23362.25,short
IS,2025-08-11T00:00:00,,loss,-1.0,-1.0,0,0,23808.25,23710.75,long
IS,2025-08-13T00:00:00,,win,0.9312,0.9312,0,0,23935.75,24017.75,short
IS,2025-08-14T00:00:00,,win,0.9241,0.9241,0,0,23978.75,23904.75,long
IS,2025-08-19T00:00:00,,win,0.9496,0.9496,0,0,23615.0,23728.0,short
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,22965.5,23214.5,short
IS,2025-08-22T00:00:00,,scratch,-0.0427,-0.0427,1,0,23921.0,23269.5,long
IS,2025-08-25T00:00:00,,win,0.9471,0.9471,0,0,23612.0,23504.5,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23572.5,23482.0,long
