sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-22T00:00:00,,win,0.9251,0.9251,0,0,24848.75,24923.75,short
IS,2025-10-23T00:00:00,,win,0.9199,0.9199,0,0,25274.75,25204.75,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25568.25,25541.25,long
IS,2025-10-27T00:00:00,,win,0.8253,0.8253,0,0,25926.25,25895.75,long
IS,2025-10-28T00:00:00,,win,0.8351,0.8351,0,0,26157.75,26125.25,long
IS,2025-10-29T00:00:00,,win,0.7831,0.7831,0,0,26246.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,26008.75,26061.25,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,25861.25,25953.25,short
IS,2025-11-03T00:00:00,,win,0.8946,0.8946,0,0,26113.5,26166.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25583.0,25648.0,short
IS,2025-11-05T00:00:00,,win,0.817,0.817,0,0,25853.25,25824.25,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25377.75,25321.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24892.0,24935.0,short
IS,2025-11-10T00:00:00,,win,0.9114,0.9114,0,0,25695.5,25632.5,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25604.75,25655.75,short
IS,2025-11-14T00:00:00,,win,0.9316,0.9316,0,0,25107.5,25190.0,short
IS,2025-11-17T00:00:00,,win,0.9,0.9,0,0,25012.75,24957.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24849.75,24728.25,long
IS,2025-11-19T00:00:00,,win,0.943,0.943,0,0,24687.0,24587.5,long
IS,2025-11-20T00:00:00,,win,0.9756,0.9756,0,0,24286.5,24522.5,short
IS,2025-11-21T00:00:00,,win,0.9683,0.9683,0,0,24429.75,24248.25,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24966.5,24913.5,long
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24999.5,25028.5,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25266.5,25349.0,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25483.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25515.0,25576.5,short
IS,2025-12-03T00:00:00,,win,0.787,0.787,0,0,25651.25,25626.75,long
IS,2025-12-04T00:00:00,,win,0.8303,0.8303,0,0,25602.0,25633.5,short
IS,2025-12-05T00:00:00,,win,0.8573,0.8573,0,0,25720.5,25758.5,short
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25664.0,25604.5,long
IS,2025-12-09T00:00:00,,win,0.7609,0.7609,0,0,25708.25,25729.75,short
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25645.5,25595.0,long
IS,2025-12-11T00:00:00,,win,0.8303,0.8303,0,0,25643.25,25611.75,long
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25301.5,25342.5,short
IS,2025-12-15T00:00:00,,win,0.9291,0.9291,0,0,25158.5,25079.0,long
IS,2025-12-16T00:00:00,,win,0.9471,0.9471,0,0,25309.5,25202.0,long
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25033.75,24993.75,long
IS,2025-12-18T00:00:00,,loss,-1.0,-1.0,0,0,25422.5,25362.5,long
IS,2024-05-08T00:00:00,,win,0.8374,0.8374,0,0,18173.75,18140.75,long
IS,2024-05-09T00:00:00,,loss,-1.0,-1.0,0,0,18199.0,18222.5,short
IS,2024-05-10T00:00:00,,loss,-1.0,-1.0,0,0,18239.75,18223.75,long
IS,2024-05-13T00:00:00,,win,0.787,0.787,0,0,18270.0,18294.5,short
IS,2024-05-14T00:00:00,,win,0.6548,0.6548,0,0,18334.25,18320.25,long
IS,2024-05-15T00:00:00,,win,0.6993,0.6993,0,0,18665.5,18649.0,long
IS,2024-05-16T00:00:00,,loss,-1.0,-1.0,0,0,18667.75,18706.25,short
IS,2024-05-17T00:00:00,,win,0.8351,0.8351,0,0,18598.0,18630.5,short
IS,2024-06-21T00:00:00,,loss,-1.0,-1.0,0,0,19937.5,19977.5,short
IS,2024-07-24T00:00:00,,loss,-1.0,-1.0,0,0,19388.0,19332.5,long
IS,2024-07-25T00:00:00,,loss,-1.0,-1.0,0,0,19307.0,19245.0,long
IS,2024-07-26T00:00:00,,win,0.9575,0.9575,0,0,19159.5,19294.0,short
IS,2024-07-29T00:00:00,,loss,-1.0,-1.0,0,0,19304.75,19244.75,long
IS,2024-07-30T00:00:00,,win,0.87,0.87,0,0,18929.5,18887.5,long
IS,2024-07-31T00:00:00,,loss,-1.0,-1.0,0,0,19303.75,19440.75,short
IS,2024-08-01T00:00:00,,win,0.9041,0.9041,0,0,18960.5,19018.5,short
IS,2024-08-02T00:00:00,,loss,-1.0,-1.0,0,0,18421.0,18498.0,short
IS,2024-08-05T00:00:00,,loss,-1.0,-1.0,0,0,18181.0,18090.5,long
IS,2024-08-06T00:00:00,,loss,-1.0,-1.0,0,0,18388.0,18436.5,short
IS,2024-08-07T00:00:00,,loss,-1.0,-1.0,0,0,18261.5,18191.5,long
IS,2024-08-08T00:00:00,,win,0.9107,0.9107,0,0,18550.0,18487.5,long
IS,2024-08-09T00:00:00,,win,0.9177,0.9177,0,0,18606.75,18674.75,short
IS,2024-08-12T00:00:00,,win,0.8439,0.8439,0,0,18635.0,18669.5,short
IS,2024-08-13T00:00:00,,win,0.9093,0.9093,0,0,19022.75,19084.25,short
IS,2024-08-14T00:00:00,,win,0.8806,0.8806,0,0,19052.75,19098.75,short
IS,2024-08-15T00:00:00,,win,0.8303,0.8303,0,0,19573.0,19541.5,long
IS,2024-08-16T00:00:00,,loss,-1.0,-1.0,0,0,19621.25,19643.25,short
IS,2024-08-19T00:00:00,,win,0.8499,0.8499,0,0,19720.75,19684.75,long
IS,2024-08-20T00:00:00,,loss,-1.0,-1.0,0,0,19770.25,19794.25,short
IS,2024-08-21T00:00:00,,win,0.8351,0.8351,0,0,19888.75,19856.25,long
IS,2024-08-22T00:00:00,,win,0.9644,0.9644,0,0,19555.75,19716.75,short
IS,2024-08-23T00:00:00,,win,0.8555,0.8555,0,0,19761.75,19724.25,long
IS,2024-08-26T00:00:00,,win,0.808,0.808,0,0,19577.5,19605.0,short
IS,2024-08-27T00:00:00,,win,0.8351,0.8351,0,0,19648.0,19680.5,short
IS,2024-08-28T00:00:00,,win,0.8623,0.8623,0,0,19403.5,19443.0,short
IS,2024-08-29T00:00:00,,win,0.848,0.848,0,0,19591.5,19627.0,short
IS,2024-08-30T00:00:00,,win,0.8806,0.8806,0,0,19437.25,19483.25,short
IS,2024-09-03T00:00:00,,win,0.9397,0.9397,0,0,19083.0,19177.0,short
IS,2024-09-04T00:00:00,,loss,-1.0,-1.0,0,0,19047.25,19012.25,long
IS,2024-09-05T00:00:00,,win,0.9107,0.9107,0,0,18949.75,18887.25,long
IS,2024-09-06T00:00:00,,win,0.8742,0.8742,0,0,18459.25,18502.75,short
IS,2024-09-09T00:00:00,,win,0.93,0.93,0,0,18634.0,18714.5,short
IS,2024-09-10T00:00:00,,win,0.8864,0.8864,0,0,18790.25,18741.75,long
IS,2024-09-11T00:00:00,,win,0.8768,0.8768,0,0,19024.0,18979.5,long
IS,2024-09-12T00:00:00,,win,0.846,0.846,0,0,19427.75,19392.75,long
IS,2024-09-13T00:00:00,,loss,-1.0,-1.0,0,0,19525.25,19574.25,short
IS,2024-09-16T00:00:00,,win,0.8111,0.8111,0,0,19644.25,19616.25,long
IS,2024-09-17T00:00:00,,win,0.9354,0.9354,0,0,19607.25,19694.75,short
IS,2024-09-18T00:00:00,,loss,-1.0,-1.0,0,0,19675.0,19731.5,short
IS,2024-09-19T00:00:00,,win,0.8328,0.8328,0,0,20186.75,20154.75,long
IS,2024-09-20T00:00:00,,loss,-1.0,-1.0,0,0,20051.25,20001.75,long
IS,2024-09-23T00:00:00,,loss,-1.0,-1.0,0,0,20088.0,20036.5,long
IS,2024-09-24T00:00:00,,loss,-1.0,-1.0,0,0,20206.75,20170.25,long
IS,2024-09-25T00:00:00,,win,0.8907,0.8907,0,0,20139.5,20190.0,short
IS,2024-09-26T00:00:00,,win,0.8907,0.8907,0,0,20297.75,20247.25,long
IS,2024-09-27T00:00:00,,loss,-1.0,-1.0,0,0,20213.5,20243.0,short
IS,2024-09-30T00:00:00,,win,0.8303,0.8303,0,0,20204.0,20172.5,long
IS,2024-10-01T00:00:00,,win,0.9622,0.9622,0,0,19996.0,19844.5,long
IS,2024-10-02T00:00:00,,win,0.9378,0.9378,0,0,20065.5,19974.5,long
IS,2024-10-03T00:00:00,,loss,-1.0,-1.0,0,0,19902.5,19974.5,short
IS,2024-10-04T00:00:00,,win,0.8983,0.8983,0,0,20110.0,20164.5,short
IS,2024-10-09T00:00:00,,win,0.87,0.87,0,0,20387.5,20429.5,short
IS,2024-10-10T00:00:00,,loss,-1.0,-1.0,0,0,20481.25,20458.25,long
IS,2024-10-11T00:00:00,,loss,-1.0,-1.0,0,0,20416.25,20448.75,short
IS,2024-10-24T00:00:00,,win,0.7945,0.7945,0,0,20377.0,20351.5,long
IS,2024-11-05T00:00:00,,win,0.8755,0.8755,0,0,20290.5,20334.5,short
IS,2024-11-06T00:00:00,,loss,-1.0,-1.0,0,0,20884.25,20851.25,long
IS,2024-11-07T00:00:00,,loss,-1.0,-1.0,0,0,21192.25,21153.75,long
IS,2024-11-08T00:00:00,,loss,-1.0,-1.0,0,0,21267.0,21230.0,long
IS,2024-11-11T00:00:00,,win,0.7559,0.7559,0,0,21158.5,21137.5,long
IS,2024-11-12T00:00:00,,win,0.9086,0.9086,0,0,21180.75,21119.75,long
IS,2024-11-13T00:00:00,,loss,-1.0,-1.0,0,0,21213.25,21237.25,short
IS,2024-11-14T00:00:00,,win,0.8755,0.8755,0,0,21057.5,21101.5,short
IS,2024-11-15T00:00:00,,win,0.8965,0.8965,0,0,20421.0,20474.5,short
IS,2024-11-18T00:00:00,,win,0.8655,0.8655,0,0,20617.25,20657.75,short
IS,2024-11-19T00:00:00,,win,0.8111,0.8111,0,0,20748.75,20720.75,long
IS,2024-11-20T00:00:00,,win,0.8937,0.8937,0,0,20575.75,20627.75,short
IS,2024-11-21T00:00:00,,win,0.8573,0.8573,0,0,20826.5,20864.5,short
IS,2024-11-22T00:00:00,,win,0.8937,0.8937,0,0,20821.5,20873.5,short
IS,2024-11-25T00:00:00,,win,0.8965,0.8965,0,0,20835.0,20888.5,short
IS,2024-11-26T00:00:00,,loss,-1.0,-1.0,0,0,20941.25,20968.75,short
IS,2024-11-27T00:00:00,,win,0.8768,0.8768,0,0,20809.5,20765.0,long
IS,2024-12-02T00:00:00,,loss,-1.0,-1.0,0,0,21237.75,21194.75,long
IS,2024-12-03T00:00:00,,loss,-1.0,-1.0,0,0,21249.75,21223.25,long
IS,2024-12-04T00:00:00,,loss,-1.0,-1.0,0,0,21430.0,21467.0,short
IS,2024-12-19T00:00:00,,win,0.8875,0.8875,0,0,21557.75,21508.75,long
IS,2024-12-20T00:00:00,,loss,-1.0,-1.0,0,0,21722.25,21668.25,long
IS,2024-12-23T00:00:00,,win,0.8374,0.8374,0,0,21751.25,21718.25,long
IS,2024-12-26T00:00:00,,loss,-1.0,-1.0,0,0,21974.5,22042.0,short
IS,2024-12-27T00:00:00,,win,0.9221,0.9221,0,0,21649.75,21577.75,long
IS,2024-12-30T00:00:00,,loss,-1.0,-1.0,0,0,21590.5,21513.0,long
IS,2024-12-31T00:00:00,,loss,-1.0,-1.0,0,0,21178.0,21251.0,short
IS,2025-01-02T00:00:00,,loss,-1.0,-1.0,0,0,21137.75,20990.75,long
IS,2025-01-03T00:00:00,,win,0.8937,0.8937,0,0,21545.5,21493.5,long
IS,2025-01-06T00:00:00,,win,0.9,0.9,0,0,21733.0,21788.5,short
IS,2025-01-07T00:00:00,,win,0.8917,0.8917,0,0,21456.75,21507.75,short
IS,2025-01-08T00:00:00,,win,0.9041,0.9041,0,0,21327.5,21385.5,short
IS,2025-01-10T00:00:00,,win,0.9361,0.9361,0,0,21175.75,21087.25,long
IS,2025-01-13T00:00:00,,loss,-1.0,-1.0,0,0,20838.5,20908.0,short
IS,2025-01-14T00:00:00,,win,0.8303,0.8303,0,0,20957.5,20926.0,long
IS,2025-01-15T00:00:00,,loss,-1.0,-1.0,0,0,21364.0,21395.5,short
IS,2025-01-16T00:00:00,,win,0.8956,0.8956,0,0,21300.0,21353.0,short
IS,2025-01-17T00:00:00,,win,0.8573,0.8573,0,0,21621.25,21659.25,short
IS,2025-01-21T00:00:00,,loss,-1.0,-1.0,0,0,21770.75,21744.75,long
IS,2025-01-22T00:00:00,,win,0.8111,0.8111,0,0,22041.25,22013.25,long
IS,2025-01-23T00:00:00,,loss,-1.0,-1.0,0,0,21992.5,21959.5,long
IS,2025-01-24T00:00:00,,win,0.8946,0.8946,0,0,21895.5,21948.0,short
IS,2025-01-27T00:00:00,,win,0.9501,0.9501,0,0,21259.5,21145.5,long
IS,2025-01-28T00:00:00,,win,0.8048,0.8048,0,0,21535.5,21562.5,short
IS,2025-01-29T00:00:00,,win,0.9265,0.9265,0,0,21439.25,21515.75,short
IS,2025-01-30T00:00:00,,win,0.9171,0.9171,0,0,21613.75,21546.25,long
IS,2025-01-31T00:00:00,,win,0.9656,0.9656,0,0,21660.25,21827.25,short
IS,2025-02-03T00:00:00,,loss,-1.0,-1.0,0,0,21371.75,21442.75,short
IS,2025-02-04T00:00:00,,loss,-1.0,-1.0,0,0,21653.5,21631.5,long
IS,2025-02-05T00:00:00,,win,0.8714,0.8714,0,0,21722.5,21680.0,long
IS,2025-02-06T00:00:00,,win,0.8048,0.8048,0,0,21814.75,21841.75,short
IS,2025-02-07T00:00:00,,loss,-1.0,-1.0,0,0,21737.5,21704.5,long
IS,2025-02-10T00:00:00,,win,0.7908,0.7908,0,0,21883.5,21858.5,long
IS,2025-02-11T00:00:00,,win,0.91,0.91,0,0,21835.5,21773.5,long
IS,2025-02-12T00:00:00,,win,0.8499,0.8499,0,0,21775.5,21811.5,short
