trading_day,split,context_state,context_pass,touched_long_stop,entry_ts,pnl_r,outcome
2020-01-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-03 05:15:00+10:00,0.8396,win
2020-01-09,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-10 01:19:00+10:00,-1.0,loss
2020-01-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-17 01:07:00+10:00,-1.0,loss
2020-01-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-22 01:05:00+10:00,-1.0,loss
2020-01-22,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-23 01:26:00+10:00,0.6993,win
2020-01-23,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-24 01:05:00+10:00,0.6332,win
2020-01-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-28 01:28:00+10:00,-1.0,loss
2020-01-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-01-31 01:05:00+10:00,0.8048,win
2020-02-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-05 01:10:00+10:00,-1.0,loss
2020-02-05,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-06 01:05:00+10:00,-1.0,loss
2020-02-11,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-12 01:07:00+10:00,0.8755,win
2020-02-18,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-19 01:08:00+10:00,-1.0,loss
2020-02-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-20 01:06:00+10:00,-1.0,loss
2020-02-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-22 01:22:00+10:00,-1.0,loss
2020-02-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-25 01:14:00+10:00,-1.0,loss
2020-02-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-28 02:07:00+10:00,-1.0,loss
2020-02-28,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-02-29 01:05:00+10:00,0.9471,win
2020-03-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-03-03 01:44:00+10:00,0.9354,win
2020-03-03,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2020-03-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-03-07 01:05:00+10:00,-1.0,loss
2020-03-09,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-03-10 00:06:00+10:00,0.9534,win
2020-03-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-03-13 00:16:00+10:00,-1.0,loss
2020-03-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-03-17 00:08:00+10:00,0.9699,win
2020-03-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-03-18 00:05:00+10:00,0.9481,win
