sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-12-14T00:00:00,,loss,-1.0,-1.0,0,0,12527.25,12486.25,long
IS,2020-12-16T00:00:00,,loss,-1.0,-1.0,0,0,12667.5,12632.5,long
IS,2020-12-28T00:00:00,,loss,-1.0,-1.0,0,0,12850.25,12840.25,long
IS,2021-01-04T00:00:00,,loss,-1.0,-1.0,0,0,12678.75,12630.75,long
IS,2021-01-07T00:00:00,,win,0.8519,0.8519,0,0,12930.0,12893.5,long
IS,2021-01-13T00:00:00,,loss,-1.0,-1.0,0,0,12990.5,12972.5,long
IS,2021-01-19T00:00:00,,win,0.7703,0.7703,0,0,12983.75,12961.25,long
IS,2021-01-21T00:00:00,,win,0.595,0.595,0,0,13383.25,13371.75,long
IS,2021-02-02T00:00:00,,win,0.846,0.846,0,0,13475.5,13440.5,long
IS,2021-02-22T00:00:00,,win,0.787,0.787,0,0,13383.0,13358.5,long
IS,2021-03-01T00:00:00,,win,0.7657,0.7657,0,0,13219.75,13197.75,long
IS,2021-03-09T00:00:00,,loss,-1.0,-1.0,0,0,12872.25,12822.25,long
IS,2021-03-22T00:00:00,,win,0.7747,0.7747,0,0,13142.0,13119.0,long
IS,2021-04-01T00:00:00,,win,0.8111,0.8111,0,0,13289.25,13261.25,long
IS,2021-04-13T00:00:00,,win,0.6332,0.6332,0,0,13942.75,13929.75,long
IS,2021-04-19T00:00:00,,loss,-1.0,-1.0,0,0,13903.5,13863.0,long
IS,2021-04-20T00:00:00,,win,0.817,0.817,0,0,13776.5,13747.5,long
IS,2021-04-23T00:00:00,,win,0.6741,0.6741,0,0,13963.0,13948.0,long
IS,2021-05-03T00:00:00,,loss,-1.0,-1.0,0,0,13795.5,13777.5,long
IS,2021-05-04T00:00:00,,loss,-1.0,-1.0,0,0,13480.0,13437.5,long
IS,2021-05-12T00:00:00,,loss,-1.0,-1.0,0,0,13072.25,13011.75,long
IS,2021-05-14T00:00:00,,win,0.883,0.883,0,0,13394.5,13347.5,long
IS,2021-05-17T00:00:00,,loss,-1.0,-1.0,0,0,13239.0,13198.0,long
IS,2021-05-24T00:00:00,,win,0.7559,0.7559,0,0,13672.25,13651.25,long
IS,2021-06-04T00:00:00,,win,0.7395,0.7395,0,0,13778.5,13759.0,long
IS,2021-06-10T00:00:00,,win,0.8499,0.8499,0,0,13957.25,13921.25,long
IS,2021-06-17T00:00:00,,loss,-1.0,-1.0,0,0,14189.5,14159.0,long
IS,2021-06-21T00:00:00,,win,0.7274,0.7274,0,0,14130.25,14111.75,long
IS,2021-06-22T00:00:00,,loss,-1.0,-1.0,0,0,14227.0,14212.0,long
IS,2021-06-28T00:00:00,,win,0.714,0.714,0,0,14476.0,14458.5,long
IS,2021-06-29T00:00:00,,win,0.7452,0.7452,0,0,14558.25,14538.25,long
IS,2021-07-02T00:00:00,,win,0.6213,0.6213,0,0,14692.5,14680.0,long
IS,2021-07-19T00:00:00,,win,0.8199,0.8199,0,0,14476.5,14447.0,long
IS,2021-07-20T00:00:00,,loss,-1.0,-1.0,0,0,14744.5,14714.0,long
IS,2021-07-27T00:00:00,,win,0.8278,0.8278,0,0,14817.75,14786.75,long
IS,2021-08-05T00:00:00,,win,0.6086,0.6086,0,0,15157.0,15145.0,long
IS,2021-08-16T00:00:00,,win,0.8226,0.8226,0,0,15067.5,15037.5,long
IS,2021-08-24T00:00:00,,win,0.5298,0.5298,0,0,15350.75,15341.25,long
IS,2021-08-27T00:00:00,,loss,-1.0,-1.0,0,0,15445.0,15429.5,long
IS,2021-08-30T00:00:00,,win,0.7274,0.7274,0,0,15611.5,15593.0,long
IS,2021-09-17T00:00:00,,loss,-1.0,-1.0,0,0,15340.25,15305.25,long
IS,2021-09-20T00:00:00,,loss,-1.0,-1.0,0,0,14953.25,14924.25,long
IS,2021-09-23T00:00:00,,loss,-1.0,-1.0,0,0,15353.0,15333.0,long
IS,2021-10-04T00:00:00,,win,0.8965,0.8965,0,0,14447.25,14393.75,long
IS,2021-10-14T00:00:00,,win,0.7703,0.7703,0,0,15043.0,15020.5,long
IS,2021-10-19T00:00:00,,win,0.548,0.548,0,0,15393.25,15383.25,long
IS,2021-10-27T00:00:00,,loss,-1.0,-1.0,0,0,15719.25,15700.75,long
IS,2021-10-28T00:00:00,,win,0.8226,0.8226,0,0,15750.25,15720.25,long
IS,2021-11-16T00:00:00,,win,0.6993,0.6993,0,0,16307.75,16291.25,long
IS,2021-12-07T00:00:00,,win,0.7831,0.7831,0,0,16334.25,16310.25,long
IS,2021-12-20T00:00:00,,win,0.921,0.921,0,0,15595.0,15524.0,long
IS,2021-12-21T00:00:00,,win,0.8374,0.8374,0,0,15918.25,15885.25,long
IS,2021-12-27T00:00:00,,win,0.6086,0.6086,0,0,16546.0,16534.0,long
IS,2022-01-10T00:00:00,,win,0.9265,0.9265,0,0,15419.0,15342.5,long
IS,2022-01-11T00:00:00,,win,0.8141,0.8141,0,0,15812.0,15783.5,long
IS,2022-01-12T00:00:00,,loss,-1.0,-1.0,0,0,15943.5,15884.5,long
IS,2022-01-14T00:00:00,,win,0.9215,0.9215,0,0,15478.5,15407.0,long
