sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2021-01-06T00:00:00,,win,0.9,0.9,0,0,12669.25,12613.75,long
IS,2021-01-07T00:00:00,,win,0.9304,0.9304,0,0,12912.75,12831.75,long
IS,2021-01-08T00:00:00,,loss,-1.0,-1.0,0,0,13078.0,13019.0,long
IS,2021-01-12T00:00:00,,win,0.8956,0.8956,0,0,12918.5,12865.5,long
IS,2021-01-20T00:00:00,,win,0.8253,0.8253,0,0,13194.25,13163.75,long
IS,2021-01-27T00:00:00,,loss,-1.0,-1.0,0,0,13391.75,13262.75,long
IS,2021-02-04T00:00:00,,win,0.9407,0.9407,0,0,13487.25,13391.75,long
IS,2021-02-23T00:00:00,,win,0.9646,0.9646,0,0,13022.75,12860.75,long
IS,2021-03-01T00:00:00,,win,0.9351,0.9351,0,0,13163.75,13076.75,long
IS,2021-03-10T00:00:00,,loss,-1.0,-1.0,0,0,12992.5,12891.0,long
IS,2021-03-15T00:00:00,,loss,-1.0,-1.0,0,0,13014.75,12946.75,long
IS,2021-03-16T00:00:00,,win,0.9033,0.9033,0,0,13269.75,13212.25,long
IS,2021-03-24T00:00:00,,loss,-1.0,-1.0,0,0,13008.25,12937.25,long
IS,2021-03-29T00:00:00,,win,0.926,0.926,0,0,12903.25,12827.25,long
IS,2021-03-30T00:00:00,,loss,-1.0,-1.0,0,0,12867.75,12812.25,long
IS,2021-03-31T00:00:00,,win,0.9,0.9,0,0,13106.75,13051.25,long
IS,2021-04-01T00:00:00,,loss,-1.0,-1.0,0,0,13336.0,13265.5,long
IS,2021-04-05T00:00:00,,win,0.8992,0.8992,0,0,13512.25,13457.25,long
IS,2021-04-12T00:00:00,,loss,-1.0,-1.0,0,0,13817.75,13766.75,long
IS,2021-05-03T00:00:00,,win,0.9182,0.9182,0,0,13926.75,13858.25,long
IS,2021-05-07T00:00:00,,win,0.941,0.941,0,0,13795.0,13699.0,long
IS,2021-05-17T00:00:00,,loss,-1.0,-1.0,0,0,13331.0,13241.0,long
IS,2021-05-19T00:00:00,,win,0.9507,0.9507,0,0,13124.0,13008.5,long
IS,2021-05-20T00:00:00,,win,0.9107,0.9107,0,0,13443.75,13381.25,long
IS,2021-05-24T00:00:00,,win,0.8396,0.8396,0,0,13612.5,13579.0,long
IS,2021-05-27T00:00:00,,win,0.9093,0.9093,0,0,13708.0,13646.5,long
IS,2021-06-03T00:00:00,,win,0.9127,0.9127,0,0,13550.25,13486.25,long
IS,2021-06-04T00:00:00,,scratch,0.3045,0.3045,1,0,13796.25,13698.75,long
IS,2021-06-24T00:00:00,,win,0.8111,0.8111,0,0,14399.25,14371.25,long
IS,2021-06-28T00:00:00,,win,0.8253,0.8253,0,0,14481.75,14451.25,long
IS,2021-07-05T00:00:00,,loss,-1.0,-1.0,0,0,14707.5,14695.0,long
IS,2021-07-12T00:00:00,,win,0.8907,0.8907,0,0,14855.0,14804.5,long
IS,2021-07-13T00:00:00,,win,0.8946,0.8946,0,0,14966.75,14914.25,long
IS,2021-07-19T00:00:00,,loss,-1.0,-1.0,0,0,14537.75,14456.75,long
IS,2021-08-12T00:00:00,,win,0.9215,0.9215,0,0,15012.5,14941.0,long
IS,2021-08-19T00:00:00,,win,0.9466,0.9466,0,0,14907.0,14800.5,long
IS,2021-08-20T00:00:00,,win,0.8965,0.8965,0,0,15090.25,15036.75,long
IS,2021-08-23T00:00:00,,win,0.926,0.926,0,0,15268.75,15192.75,long
IS,2021-08-26T00:00:00,,loss,-1.0,-1.0,0,0,15382.5,15331.0,long
IS,2021-08-30T00:00:00,,win,0.9107,0.9107,0,0,15581.75,15519.25,long
IS,2021-09-23T00:00:00,,loss,-1.0,-1.0,0,0,15375.75,15275.25,long
IS,2021-09-27T00:00:00,,win,0.8818,0.8818,0,0,15147.25,15100.75,long
IS,2021-10-07T00:00:00,,loss,-1.0,-1.0,0,0,15007.5,14945.0,long
IS,2021-10-14T00:00:00,,win,0.9291,0.9291,0,0,15017.0,14937.5,long
IS,2021-10-18T00:00:00,,win,0.8048,0.8048,0,0,15155.75,15128.75,long
IS,2021-10-19T00:00:00,,win,0.8853,0.8853,0,0,15359.5,15311.5,long
IS,2021-10-26T00:00:00,,win,0.9072,0.9072,0,0,15694.0,15634.0,long
IS,2021-11-01T00:00:00,,win,0.9308,0.9308,0,0,15850.25,15768.75,long
IS,2021-11-04T00:00:00,,win,0.8886,0.8886,0,0,16285.75,16236.25,long
IS,2021-11-09T00:00:00,,loss,-1.0,-1.0,0,0,16291.5,16193.5,long
IS,2021-11-10T00:00:00,,win,0.91,0.91,0,0,16215.75,16153.75,long
IS,2021-12-31T00:00:00,,loss,-1.0,-1.0,0,0,16448.25,16353.75,long
IS,2022-01-03T00:00:00,,win,0.9587,0.9587,0,0,16443.5,16305.0,long
IS,2022-01-18T00:00:00,,win,0.93,0.93,0,0,15381.0,15300.5,long
IS,2022-01-28T00:00:00,,win,0.9513,0.9513,0,0,13977.5,13860.5,long
IS,2022-01-31T00:00:00,,win,0.9236,0.9236,0,0,14699.75,14626.25,long
IS,2022-02-03T00:00:00,,win,0.9566,0.9566,0,0,14812.0,14680.5,long
IS,2022-02-08T00:00:00,,win,0.949,0.949,0,0,14579.25,14467.75,long
