strategy_id,decision,primary_reason,blockers,chordia_verdict,expectancy_r,sample_size,orb_label,filter_type,rr_target,replacement_target,replacement_target_status,add_delta_annual_r,add_delta_sharpe,replace_delta_annual_r,replace_delta_sharpe,corr_gate_pass,corr_reject_reasons,account_risk_ok,account_risk_detail
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ATR_P30,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.098,1058,COMEX_SETTLE,ATR_P30,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ATR_P50,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.1444,833,COMEX_SETTLE,ATR_P50,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT10,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.1073,1070,COMEX_SETTLE,COST_LT10,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT12,PARK,Exact lane SR/runtime control was not evaluated; paper/sandbox monitor state is required first.,runtime_sr_not_evaluated,PASS_CHORDIA,0.1104,1247,COMEX_SETTLE,COST_LT12,1.0,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,DEPLOY,19.99958615916954,0.052897559916748715,3.9688110726643515,-0.02413556226879887,False,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100: rho=0.799>0.7; subset=92.6%>80%,True,"worst_case=$276<=2000; slots=2/7; candidate_p90_orb=41.8pts, candidate_risk=$63"
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT12_S075,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0581,1248,COMEX_SETTLE,COST_LT12,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT15,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.1008,1367,COMEX_SETTLE,COST_LT15,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_NO_FILTER,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0842,1489,COMEX_SETTLE,NO_FILTER,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G4,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0872,1481,COMEX_SETTLE,ORB_G4,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G5,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.089,1473,COMEX_SETTLE,ORB_G5,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G6,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0878,1454,COMEX_SETTLE,ORB_G6,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G8,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0964,1388,COMEX_SETTLE,ORB_G8,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G8_S075,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.052,1389,COMEX_SETTLE,ORB_G8,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_VOL_2K,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0928,1432,COMEX_SETTLE,ORB_VOL_2K,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_VOL_4K,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0895,1201,COMEX_SETTLE,ORB_VOL_4K,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_OVNRNG_10,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,MISSING,0.0836,1488,COMEX_SETTLE,OVNRNG_10,1.0,,,,,,,,,,
MNQ_COMEX_SETTLE_E2_RR1.0_CB1_OVNRNG_100,KILL,Dominated duplicate within same family/session/filter group.,dedupe_dominated_variant,PASS_CHORDIA,0.1725,520,COMEX_SETTLE,OVNRNG_100,1.0,,,,,,,,,,
