sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-06-12T00:00:00,,scratch,-0.294,-0.294,1,0,3399.3,3407.5,short
IS,2025-06-16T00:00:00,,win,0.7645,0.7645,0,0,3412.5999999999995,3404.0,long
IS,2025-06-17T00:00:00,,scratch,0.0036,0.0036,1,0,3401.2000000000003,3414.6,short
IS,2025-06-18T00:00:00,,win,0.794,0.794,0,0,3396.1,3386.1,long
IS,2025-06-22T00:00:00,,scratch,-0.1478,-0.1478,1,0,3371.2,3413.0,short
IS,2025-06-23T00:00:00,,scratch,0.0745,0.0745,1,0,3359.2000000000003,3385.6,short
IS,2025-06-26T00:00:00,,win,0.794,0.794,0,0,3331.9,3341.9,short
IS,2025-06-29T00:00:00,,win,0.908,0.908,0,0,3270.1,3293.9,short
IS,2025-07-01T00:00:00,,scratch,0.1841,0.1841,1,0,3355.5,3345.5,long
IS,2025-07-07T00:00:00,,scratch,-0.5348,-0.5348,1,0,3356.3999999999996,3346.8,long
IS,2025-07-13T00:00:00,,scratch,-0.129,-0.129,1,0,3399.1999999999994,3374.4,long
IS,2025-07-17T00:00:00,,scratch,-0.7019,-0.7019,1,0,3339.5000000000005,3351.1,short
IS,2025-07-20T00:00:00,,scratch,-0.4631,-0.4631,1,0,3347.1000000000004,3357.5,short
IS,2025-07-23T00:00:00,,scratch,0.1339,0.1339,1,0,3392.1000000000004,3400.3,short
IS,2025-07-27T00:00:00,,scratch,-0.0134,-0.0134,1,0,3356.8,3302.0,long
IS,2025-07-29T00:00:00,,scratch,-0.3496,-0.3496,1,0,3389.0,3380.0,long
IS,2025-07-30T00:00:00,,scratch,-0.219,-0.219,1,0,3336.2999999999997,3324.9,long
IS,2025-07-31T00:00:00,,scratch,0.2568,0.2568,1,0,3348.4999999999995,3340.1,long
IS,2025-08-03T00:00:00,,scratch,0.3852,0.3852,1,0,3408.1000000000004,3423.7,short
IS,2025-08-06T00:00:00,,scratch,-0.0372,-0.0372,1,0,3438.7,3430.5,long
IS,2025-08-07T00:00:00,,scratch,-0.1177,-0.1177,1,0,3433.2000000000003,3533.6,short
IS,2025-08-12T00:00:00,,scratch,-0.4344,-0.4344,1,0,3407.3999999999996,3399.0,long
IS,2025-08-24T00:00:00,,scratch,-0.0899,-0.0899,1,0,3408.7000000000003,3418.1,short
IS,2025-08-31T00:00:00,,scratch,-0.2257,-0.2257,1,0,3506.1,3518.9,short
IS,2025-09-04T00:00:00,,scratch,0.1144,0.1144,1,0,3592.8000000000006,3602.6,short
IS,2025-09-09T00:00:00,,scratch,0.6789,0.6789,1,0,3674.3999999999996,3652.2,long
IS,2025-09-14T00:00:00,,scratch,-0.1927,-0.1927,1,0,3674.1,3684.1,short
IS,2025-09-17T00:00:00,,loss,-1.0,-1.0,0,0,3686.6000000000004,3695.8,short
IS,2025-09-21T00:00:00,,scratch,-0.2802,-0.2802,1,0,3733.5,3717.7,long
IS,2025-09-24T00:00:00,,win,0.7645,0.7645,0,0,3776.3,3767.7,long
IS,2025-09-25T00:00:00,,loss,-1.0,-1.0,0,0,3773.5,3782.5,short
IS,2025-09-28T00:00:00,,scratch,0.1108,0.1108,1,0,3810.2000000000003,3785.6,long
IS,2025-09-29T00:00:00,,scratch,-0.2872,-0.2872,1,0,3851.4000000000005,3864.0,short
IS,2025-09-30T00:00:00,,loss,-1.0,-1.0,0,0,3893.8,3885.0,long
IS,2025-10-01T00:00:00,,scratch,-0.1184,-0.1184,1,0,3878.6,3895.6,short
IS,2025-10-05T00:00:00,,loss,-1.0,-1.0,0,0,3902.8,3919.0,short
IS,2025-10-06T00:00:00,,win,0.7737,0.7737,0,0,3989.6,3980.6,long
IS,2025-10-08T00:00:00,,win,0.9178,0.9178,0,0,4038.6,4065.4,short
IS,2025-10-09T00:00:00,,win,0.8578,0.8578,0,0,3981.5,3996.5,short
IS,2025-10-12T00:00:00,,scratch,0.2724,0.2724,1,0,4084.7,4011.5,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,4120.999999999999,4134.8,short
IS,2025-10-14T00:00:00,,win,0.8254,0.8254,0,0,4169.4000000000015,4157.4,long
IS,2025-10-15T00:00:00,,loss,-1.0,-1.0,0,0,4214.1,4229.9,short
IS,2025-10-16T00:00:00,,win,0.9439,0.9439,0,0,4381.700000000001,4341.9,long
IS,2025-10-20T00:00:00,,scratch,-0.2053,-0.2053,1,0,4406.900000000001,4370.3,long
IS,2025-10-21T00:00:00,,scratch,-0.1621,-0.1621,1,0,4123.4,4146.6,short
IS,2025-10-23T00:00:00,,scratch,0.4095,0.4095,1,0,4126.0,4149.4,short
IS,2025-10-26T00:00:00,,scratch,-0.4368,-0.4368,1,0,4150.200000000001,4075.0,long
IS,2025-10-28T00:00:00,,win,0.8924,0.8924,0,0,3956.6000000000004,3976.8,short
IS,2025-10-29T00:00:00,,scratch,0.3998,0.3998,1,0,3963.6,3924.6,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,4025.4000000000005,4040.0,short
IS,2025-11-03T00:00:00,,win,0.9328,0.9328,0,0,3975.5,4008.5,short
IS,2025-11-04T00:00:00,,win,0.811,0.811,0,0,4006.9,4017.9,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,3954.6000000000004,3940.2,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,3962.4000000000005,3992.2,short
IS,2025-11-07T00:00:00,,win,0.8377,0.8377,0,0,3994.5,3981.5,long
