sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,25378.5,25216.0,long
IS,2025-10-23T00:00:00,,loss,-1.0,-1.0,0,0,25222.25,25046.0,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25212.25,25321.0,short
IS,2025-10-27T00:00:00,,win,3.62,3.62,0,0,25799.75,25711.0,long
IS,2025-10-28T00:00:00,,loss,-1.0,-1.0,0,0,26046.25,25961.25,long
IS,2025-10-29T00:00:00,,win,3.7435,3.7435,0,0,26307.75,26172.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,26505.0,26260.0,long
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,26332.0,26169.5,long
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,26011.75,26123.0,short
IS,2025-11-04T00:00:00,,win,3.8173,3.8173,0,0,25838.25,26030.75,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,24937.5,25411.25,short
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,26023.0,25616.75,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24889.0,25334.0,short
IS,2025-11-10T00:00:00,,win,3.9075,3.9075,0,0,25714.0,25326.5,long
IS,2025-11-11T00:00:00,,win,3.7897,3.7897,0,0,25601.75,25768.0,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25890.75,25678.25,long
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25318.0,25103.0,long
IS,2025-11-17T00:00:00,,loss,-1.0,-1.0,0,0,25006.25,25256.25,short
IS,2025-11-18T00:00:00,,win,3.9321,3.9321,0,0,24426.75,24956.75,short
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,25093.25,24510.75,long
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25356.25,25102.5,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23887.0,24234.5,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24758.25,24414.5,long
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24805.0,24962.5,short
IS,2025-11-26T00:00:00,,win,3.8462,3.8462,0,0,25342.0,25112.0,long
IS,2025-11-27T00:00:00,,scratch,0.0475,0.0475,1,0,25158.0,25339.25,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25582.0,25265.75,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25214.5,25445.75,short
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25715.75,25624.5,long
IS,2025-12-04T00:00:00,,loss,-1.0,-1.0,0,0,25489.25,25663.0,short
IS,2025-12-05T00:00:00,,win,3.6558,3.6558,0,0,25751.75,25653.0,long
IS,2025-12-08T00:00:00,,win,3.6921,3.6921,0,0,25854.25,25743.0,long
IS,2025-12-09T00:00:00,,win,3.7412,3.7412,0,0,25595.75,25729.5,short
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25761.25,25640.0,long
IS,2025-12-11T00:00:00,,win,3.7342,3.7342,0,0,25553.5,25683.5,short
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25812.5,25646.25,long
IS,2025-12-15T00:00:00,,win,3.6598,3.6598,0,0,25321.0,25221.0,long
IS,2025-12-16T00:00:00,,win,3.785,3.785,0,0,25100.25,25262.75,short
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25548.25,25305.75,long
IS,2025-12-18T00:00:00,,loss,-1.0,-1.0,0,0,25134.25,24959.25,long
IS,2025-12-19T00:00:00,,win,3.7882,3.7882,0,0,25378.25,25213.25,long
IS,2025-12-22T00:00:00,,loss,-1.0,-1.0,0,0,25860.0,25653.75,long
IS,2025-12-23T00:00:00,,loss,-1.0,-1.0,0,0,25623.75,25730.0,short
IS,2025-12-24T00:00:00,,loss,-1.0,-1.0,0,0,25753.5,25823.5,short
IS,2025-12-26T00:00:00,,loss,-1.0,-1.0,0,0,25826.5,25916.5,short
IS,2025-12-29T00:00:00,,win,3.7897,3.7897,0,0,25726.5,25892.75,short
IS,2025-12-30T00:00:00,,loss,-1.0,-1.0,0,0,25797.75,25696.5,long
IS,2025-12-31T00:00:00,,loss,-1.0,-1.0,0,0,25773.0,25588.0,long
IS,2024-07-08T00:00:00,,win,3.6388,3.6388,0,0,20673.0,20579.25,long
IS,2024-07-11T00:00:00,,win,3.4474,3.4474,0,0,20912.25,20853.5,long
IS,2024-07-12T00:00:00,,win,3.4771,3.4771,0,0,20381.25,20443.75,short
IS,2024-07-16T00:00:00,,loss,-1.0,-1.0,0,0,20706.25,20620.0,long
IS,2024-07-17T00:00:00,,win,3.4863,3.4863,0,0,20501.0,20564.75,short
IS,2024-07-18T00:00:00,,loss,-1.0,-1.0,0,0,19941.75,20080.5,short
IS,2024-07-19T00:00:00,,loss,-1.0,-1.0,0,0,20023.5,19941.0,long
IS,2024-07-22T00:00:00,,loss,-1.0,-1.0,0,0,19530.5,19813.0,short
IS,2024-07-23T00:00:00,,loss,-1.0,-1.0,0,0,19787.5,19968.75,short
IS,2024-07-24T00:00:00,,win,3.5878,3.5878,0,0,19755.25,19836.5,short
IS,2024-07-25T00:00:00,,win,3.6888,3.6888,0,0,19192.75,19302.75,short
IS,2024-07-26T00:00:00,,win,3.7457,3.7457,0,0,19181.75,19045.5,long
IS,2024-07-29T00:00:00,,loss,-1.0,-1.0,0,0,19433.75,19280.0,long
IS,2024-07-30T00:00:00,,loss,-1.0,-1.0,0,0,18982.75,19165.25,short
IS,2024-07-31T00:00:00,,loss,-1.0,-1.0,0,0,18944.5,19089.5,short
IS,2024-08-01T00:00:00,,loss,-1.0,-1.0,0,0,19837.5,19623.75,long
IS,2024-08-02T00:00:00,,loss,-1.0,-1.0,0,0,19112.0,18868.25,long
IS,2024-08-05T00:00:00,,win,3.9369,3.9369,0,0,17611.5,18182.75,short
IS,2024-08-06T00:00:00,,loss,-1.0,-1.0,0,0,17876.75,18435.5,short
IS,2024-08-07T00:00:00,,win,3.8695,3.8695,0,0,18414.25,18141.75,long
IS,2024-08-08T00:00:00,,loss,-1.0,-1.0,0,0,18328.5,17893.5,long
IS,2024-08-09T00:00:00,,loss,-1.0,-1.0,0,0,18672.25,18511.0,long
IS,2024-08-12T00:00:00,,loss,-1.0,-1.0,0,0,18763.25,18583.25,long
IS,2024-08-13T00:00:00,,win,3.8051,3.8051,0,0,18819.5,18639.5,long
IS,2024-08-14T00:00:00,,loss,-1.0,-1.0,0,0,19205.25,19100.25,long
IS,2024-08-15T00:00:00,,loss,-1.0,-1.0,0,0,19307.0,19145.75,long
IS,2024-08-16T00:00:00,,loss,-1.0,-1.0,0,0,19706.25,19588.75,long
IS,2024-08-19T00:00:00,,loss,-1.0,-1.0,0,0,19770.25,19636.5,long
IS,2024-08-20T00:00:00,,loss,-1.0,-1.0,0,0,19985.0,19845.0,long
IS,2024-08-21T00:00:00,,loss,-1.0,-1.0,0,0,19730.5,19834.25,short
IS,2024-08-22T00:00:00,,win,3.4675,3.4675,0,0,19873.75,19935.0,short
IS,2024-08-23T00:00:00,,win,3.7241,3.7241,0,0,19759.25,19634.25,long
IS,2024-08-26T00:00:00,,loss,-1.0,-1.0,0,0,19695.75,19832.0,short
IS,2024-08-27T00:00:00,,loss,-1.0,-1.0,0,0,19449.5,19575.75,short
IS,2024-08-28T00:00:00,,loss,-1.0,-1.0,0,0,19515.5,19611.75,short
IS,2024-08-29T00:00:00,,loss,-1.0,-1.0,0,0,19083.0,19253.0,short
IS,2024-08-30T00:00:00,,win,3.7998,3.7998,0,0,19599.0,19424.0,long
IS,2024-09-02T00:00:00,,win,3.6475,3.6475,0,0,19531.75,19628.0,short
IS,2024-09-03T00:00:00,,loss,-1.0,-1.0,0,0,19499.75,19608.5,short
IS,2024-09-04T00:00:00,,win,3.8695,3.8695,0,0,19096.75,18824.25,long
IS,2024-09-05T00:00:00,,loss,-1.0,-1.0,0,0,19111.0,18971.0,long
IS,2024-09-06T00:00:00,,loss,-1.0,-1.0,0,0,19103.0,18790.5,long
IS,2024-09-09T00:00:00,,win,3.833,3.833,0,0,18691.0,18479.75,long
IS,2024-09-10T00:00:00,,loss,-1.0,-1.0,0,0,18603.25,18690.75,short
IS,2024-09-11T00:00:00,,loss,-1.0,-1.0,0,0,18925.75,18795.75,long
IS,2024-09-12T00:00:00,,loss,-1.0,-1.0,0,0,19392.25,19237.25,long
IS,2024-09-13T00:00:00,,loss,-1.0,-1.0,0,0,19332.75,19459.0,short
IS,2024-09-16T00:00:00,,loss,-1.0,-1.0,0,0,19872.0,19732.0,long
IS,2024-09-17T00:00:00,,win,3.7133,3.7133,0,0,19752.75,19632.75,long
IS,2024-09-18T00:00:00,,loss,-1.0,-1.0,0,0,19778.25,19695.75,long
IS,2024-09-19T00:00:00,,win,3.8608,3.8608,0,0,19932.0,19677.0,long
IS,2024-09-20T00:00:00,,loss,-1.0,-1.0,0,0,20100.5,20034.25,long
IS,2024-09-23T00:00:00,,loss,-1.0,-1.0,0,0,20211.0,20126.0,long
IS,2024-09-24T00:00:00,,loss,-1.0,-1.0,0,0,19899.5,20095.75,short
IS,2024-09-25T00:00:00,,loss,-1.0,-1.0,0,0,19981.0,20156.0,short
IS,2024-09-26T00:00:00,,win,3.6888,3.6888,0,0,20397.25,20287.25,long
IS,2024-09-27T00:00:00,,loss,-1.0,-1.0,0,0,20245.75,20342.0,short
IS,2024-09-30T00:00:00,,loss,-1.0,-1.0,0,0,20016.75,20248.0,short
IS,2024-10-01T00:00:00,,loss,-1.0,-1.0,0,0,20393.0,20269.25,long
IS,2024-10-02T00:00:00,,loss,-1.0,-1.0,0,0,20070.25,19945.25,long
IS,2024-10-03T00:00:00,,loss,-1.0,-1.0,0,0,19757.5,20015.0,short
IS,2024-10-04T00:00:00,,win,3.8051,3.8051,0,0,20150.75,19970.75,long
IS,2024-10-07T00:00:00,,loss,-1.0,-1.0,0,0,20422.0,20213.25,long
IS,2024-10-08T00:00:00,,loss,-1.0,-1.0,0,0,19746.25,20021.25,short
IS,2024-10-09T00:00:00,,loss,-1.0,-1.0,0,0,20339.25,20273.0,long
IS,2024-10-10T00:00:00,,loss,-1.0,-1.0,0,0,20381.5,20464.0,short
IS,2024-10-11T00:00:00,,loss,-1.0,-1.0,0,0,20365.25,20464.0,short
IS,2024-10-14T00:00:00,,loss,-1.0,-1.0,0,0,20338.25,20417.0,short
IS,2024-10-15T00:00:00,,loss,-1.0,-1.0,0,0,20722.5,20598.75,long
IS,2024-10-16T00:00:00,,loss,-1.0,-1.0,0,0,20458.0,20340.5,long
IS,2024-10-17T00:00:00,,loss,-1.0,-1.0,0,0,20206.5,20325.25,short
IS,2024-10-18T00:00:00,,win,3.5758,3.5758,0,0,20428.25,20349.5,long
IS,2024-10-21T00:00:00,,win,3.5565,3.5565,0,0,20445.0,20520.0,short
IS,2024-10-22T00:00:00,,loss,-1.0,-1.0,0,0,20382.75,20484.0,short
IS,2024-10-23T00:00:00,,loss,-1.0,-1.0,0,0,20613.25,20492.0,long
IS,2024-10-24T00:00:00,,loss,-1.0,-1.0,0,0,20251.75,20338.0,short
IS,2024-10-25T00:00:00,,loss,-1.0,-1.0,0,0,20331.5,20412.75,short
IS,2024-10-28T00:00:00,,loss,-1.0,-1.0,0,0,20476.5,20646.5,short
IS,2024-10-29T00:00:00,,loss,-1.0,-1.0,0,0,20371.5,20517.75,short
IS,2024-10-30T00:00:00,,loss,-1.0,-1.0,0,0,20883.25,20754.5,long
IS,2024-10-31T00:00:00,,win,3.7412,3.7412,0,0,20329.75,20463.5,short
IS,2024-11-01T00:00:00,,loss,-1.0,-1.0,0,0,20004.5,20082.0,short
IS,2024-11-04T00:00:00,,loss,-1.0,-1.0,0,0,20286.5,20124.0,long
IS,2024-11-05T00:00:00,,loss,-1.0,-1.0,0,0,19937.25,20077.25,short
IS,2024-11-06T00:00:00,,win,3.8486,3.8486,0,0,20612.0,20378.25,long
IS,2024-11-07T00:00:00,,win,3.7188,3.7188,0,0,20988.0,20865.5,long
IS,2024-11-08T00:00:00,,loss,-1.0,-1.0,0,0,21286.75,21215.5,long
IS,2024-11-11T00:00:00,,loss,-1.0,-1.0,0,0,21384.5,21258.25,long
IS,2024-11-12T00:00:00,,loss,-1.0,-1.0,0,0,21360.5,21210.5,long
IS,2024-11-13T00:00:00,,loss,-1.0,-1.0,0,0,21069.0,21156.5,short
IS,2024-11-14T00:00:00,,loss,-1.0,-1.0,0,0,21034.5,21153.25,short
IS,2024-11-15T00:00:00,,loss,-1.0,-1.0,0,0,21092.0,20885.75,long
IS,2024-11-18T00:00:00,,loss,-1.0,-1.0,0,0,20522.5,20630.0,short
IS,2024-11-19T00:00:00,,loss,-1.0,-1.0,0,0,20707.0,20607.0,long
IS,2024-11-20T00:00:00,,loss,-1.0,-1.0,0,0,20709.5,20823.25,short
IS,2024-11-21T00:00:00,,loss,-1.0,-1.0,0,0,20443.0,20674.25,short
IS,2024-11-22T00:00:00,,loss,-1.0,-1.0,0,0,20977.75,20770.25,long
IS,2024-11-25T00:00:00,,loss,-1.0,-1.0,0,0,21024.5,20952.0,long
IS,2024-11-26T00:00:00,,scratch,2.7117,2.7117,1,0,21079.0,20755.25,long
IS,2024-11-29T00:00:00,,loss,-1.0,-1.0,0,0,21031.0,20822.25,long
IS,2024-12-02T00:00:00,,loss,-1.0,-1.0,0,0,21059.25,20949.25,long
IS,2024-12-03T00:00:00,,loss,-1.0,-1.0,0,0,21303.5,21203.5,long
IS,2024-12-04T00:00:00,,win,3.5565,3.5565,0,0,21395.0,21320.0,long
IS,2024-12-05T00:00:00,,loss,-1.0,-1.0,0,0,21588.75,21495.0,long
IS,2024-12-06T00:00:00,,loss,-1.0,-1.0,0,0,21518.5,21449.75,long
IS,2024-12-09T00:00:00,,loss,-1.0,-1.0,0,0,21723.25,21627.0,long
IS,2024-12-10T00:00:00,,loss,-1.0,-1.0,0,0,21418.75,21485.0,short
IS,2024-12-11T00:00:00,,loss,-1.0,-1.0,0,0,21501.5,21419.0,long
IS,2024-12-13T00:00:00,,loss,-1.0,-1.0,0,0,21650.0,21760.0,short
IS,2024-12-16T00:00:00,,loss,-1.0,-1.0,0,0,21895.25,21789.0,long
IS,2024-12-17T00:00:00,,loss,-1.0,-1.0,0,0,22529.75,22378.5,long
IS,2024-12-18T00:00:00,,loss,-1.0,-1.0,0,0,22394.75,22286.0,long
IS,2024-12-19T00:00:00,,loss,-1.0,-1.0,0,0,21215.0,21550.0,short
IS,2024-12-20T00:00:00,,loss,-1.0,-1.0,0,0,21081.25,21300.0,short
IS,2024-12-23T00:00:00,,loss,-1.0,-1.0,0,0,21874.25,21609.25,long
IS,2024-12-24T00:00:00,,win,3.7075,3.7075,0,0,21837.75,21720.25,long
IS,2024-12-26T00:00:00,,loss,-1.0,-1.0,0,0,22141.5,22045.25,long
IS,2024-12-27T00:00:00,,win,3.7479,3.7479,0,0,21840.25,21977.75,short
IS,2024-12-30T00:00:00,,win,3.7956,3.7956,0,0,21541.25,21712.5,short
IS,2024-12-31T00:00:00,,loss,-1.0,-1.0,0,0,21550.75,21368.25,long
IS,2025-01-02T00:00:00,,loss,-1.0,-1.0,0,0,21574.25,21231.75,long
IS,2025-01-03T00:00:00,,loss,-1.0,-1.0,0,0,21085.25,21249.0,short
