sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-06-30T00:00:00,,loss,-1.0,-1.0,0,0,22700.0,22875.5,short
IS,2025-07-02T00:00:00,,win,1.8956,1.8956,0,0,22772.25,22650.75,long
IS,2025-07-03T00:00:00,,win,1.9244,1.9244,0,0,23099.25,22929.75,long
IS,2025-07-04T00:00:00,,loss,-1.0,-1.0,0,0,22869.25,22924.0,short
IS,2025-08-06T00:00:00,,loss,-1.0,-1.0,0,0,23015.5,23222.5,short
IS,2025-08-08T00:00:00,,win,1.9067,1.9067,0,0,23666.5,23530.0,long
IS,2025-08-11T00:00:00,,loss,-1.0,-1.0,0,0,23831.0,23681.0,long
IS,2025-08-12T00:00:00,,loss,-1.0,-1.0,0,0,23926.0,23710.0,long
IS,2025-08-13T00:00:00,,win,1.8917,1.8917,0,0,23950.5,24067.5,short
IS,2025-08-14T00:00:00,,scratch,-0.1551,-0.1551,1,0,24029.5,23841.25,long
IS,2025-08-15T00:00:00,,scratch,0.8292,0.8292,1,0,23727.75,23910.75,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25310.0,25217.0,long
IS,2025-10-08T00:00:00,,win,1.931,1.931,0,0,25259.25,25073.25,long
IS,2025-10-09T00:00:00,,win,1.8897,1.8897,0,0,25220.0,25334.75,short
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,25453.5,25293.75,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24588.5,24842.75,short
IS,2025-10-14T00:00:00,,loss,-1.0,-1.0,0,0,24393.75,24642.0,short
IS,2025-10-15T00:00:00,,loss,-1.0,-1.0,0,0,24828.0,25004.25,short
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,24910.25,25106.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24980.25,24699.75,long
IS,2025-10-20T00:00:00,,scratch,1.3259,1.3259,1,0,25375.75,25114.75,long
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25158.25,25304.5,short
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,25456.25,25179.5,long
IS,2025-10-23T00:00:00,,win,1.9136,1.9136,0,0,25146.5,24998.75,long
IS,2025-10-24T00:00:00,,scratch,0.2166,0.2166,1,0,25623.5,25430.0,long
IS,2025-10-27T00:00:00,,loss,-1.0,-1.0,0,0,25720.25,25859.75,short
IS,2025-10-28T00:00:00,,loss,-1.0,-1.0,0,0,25957.5,26094.0,short
IS,2025-10-29T00:00:00,,loss,-1.0,-1.0,0,0,26207.75,26292.5,short
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25873.25,26127.5,short
IS,2025-10-31T00:00:00,,win,1.9224,1.9224,0,0,26034.5,26199.5,short
IS,2025-11-03T00:00:00,,win,1.895,1.895,0,0,26145.0,26265.75,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25945.75,25663.0,long
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25347.0,25577.25,short
IS,2025-11-06T00:00:00,,win,1.9214,1.9214,0,0,25522.0,25684.75,short
IS,2025-11-07T00:00:00,,win,1.9356,1.9356,0,0,24912.0,25111.5,short
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25728.0,25524.0,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25515.25,25635.25,short
IS,2025-11-12T00:00:00,,scratch,0.4324,0.4324,1,0,25460.25,25780.5,short
IS,2025-11-13T00:00:00,,win,1.9431,1.9431,0,0,25275.0,25501.5,short
IS,2025-11-14T00:00:00,,win,1.9679,1.9679,0,0,25031.0,24626.0,long
IS,2025-11-17T00:00:00,,loss,-1.0,-1.0,0,0,25385.75,24955.25,long
IS,2025-11-18T00:00:00,,scratch,0.7744,0.7744,1,0,24328.75,24832.0,short
IS,2025-11-19T00:00:00,,win,1.9459,1.9459,0,0,24811.25,24572.75,long
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25424.5,25151.5,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23914.0,24280.0,short
IS,2025-11-24T00:00:00,,scratch,1.596,1.596,1,0,25028.0,24513.5,long
IS,2025-11-25T00:00:00,,win,1.9338,1.9338,0,0,24687.75,24882.0,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25081.25,25271.0,short
IS,2025-11-27T00:00:00,,scratch,-0.0114,-0.0114,1,0,25267.0,25318.0,short
IS,2025-11-28T00:00:00,,loss,-1.0,-1.0,0,0,25486.75,25352.5,long
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25432.0,25234.0,long
IS,2025-12-02T00:00:00,,win,1.9238,1.9238,0,0,25639.25,25471.25,long
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25295.75,25538.0,short
IS,2025-12-04T00:00:00,,scratch,-0.4773,-0.4773,1,0,25252.75,25713.25,short
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25978.75,25676.5,long
IS,2025-12-08T00:00:00,,win,1.948,1.948,0,0,25612.5,25860.75,short
IS,2025-12-09T00:00:00,,scratch,0.4434,0.4434,1,0,25797.75,25560.0,long
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25499.0,25663.25,short
IS,2025-12-11T00:00:00,,loss,-1.0,-1.0,0,0,25389.5,25649.75,short
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25719.25,25522.0,long
IS,2025-12-30T00:00:00,,loss,-1.0,-1.0,0,0,25601.0,25733.0,short
IS,2025-12-31T00:00:00,,win,1.898,1.898,0,0,25567.75,25692.25,short
IS,2022-09-28T00:00:00,,win,1.9421,1.9421,0,0,11488.75,11266.0,long
IS,2022-09-29T00:00:00,,win,1.8917,1.8917,0,0,11284.75,11401.75,short
IS,2022-09-30T00:00:00,,loss,-1.0,-1.0,0,0,11028.0,11245.5,short
IS,2022-10-03T00:00:00,,loss,-1.0,-1.0,0,0,10928.0,11127.5,short
IS,2022-10-04T00:00:00,,win,1.9123,1.9123,0,0,11659.75,11514.25,long
IS,2022-10-05T00:00:00,,loss,-1.0,-1.0,0,0,11356.75,11539.0,short
IS,2022-10-06T00:00:00,,loss,-1.0,-1.0,0,0,11793.25,11589.25,long
IS,2022-10-07T00:00:00,,win,1.9185,1.9185,0,0,11191.5,11348.25,short
IS,2022-10-10T00:00:00,,win,1.942,1.942,0,0,10903.75,11125.75,short
IS,2022-10-11T00:00:00,,win,1.9181,1.9181,0,0,10788.5,10944.5,short
IS,2022-10-12T00:00:00,,scratch,-0.3057,-0.3057,1,0,11012.0,10805.75,long
IS,2022-10-13T00:00:00,,win,1.9254,1.9254,0,0,10656.25,10484.5,long
IS,2022-10-14T00:00:00,,win,1.9581,1.9581,0,0,10898.75,11207.75,short
IS,2022-10-17T00:00:00,,win,1.9241,1.9241,0,0,11167.75,10999.0,long
IS,2022-10-19T00:00:00,,loss,-1.0,-1.0,0,0,11342.0,11118.5,long
IS,2022-10-20T00:00:00,,win,1.9273,1.9273,0,0,11279.0,11102.75,long
IS,2022-10-21T00:00:00,,win,1.9525,1.9525,0,0,11267.0,10994.75,long
IS,2022-10-26T00:00:00,,win,1.9296,1.9296,0,0,11615.25,11433.0,long
IS,2022-11-07T00:00:00,,loss,-1.0,-1.0,0,0,10743.25,10969.0,short
IS,2022-11-09T00:00:00,,loss,-1.0,-1.0,0,0,11119.0,10969.0,long
