sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-05-29T00:00:00,,win,1.4057,1.4057,0,0,21344.375,21437.5,short
IS,2025-05-30T00:00:00,,win,1.414,1.414,0,0,21268.5,21166.0,long
IS,2025-06-02T00:00:00,,loss,-1.0,-1.0,0,0,21398.875,21462.0,short
IS,2025-06-03T00:00:00,,win,1.3621,1.3621,0,0,21686.75,21749.25,short
IS,2025-06-04T00:00:00,,loss,-1.0,-1.0,0,0,21829.5,21753.25,long
IS,2025-06-05T00:00:00,,win,1.3171,1.3171,0,0,21743.5,21789.75,short
IS,2025-06-06T00:00:00,,win,1.375,1.375,0,0,21857.625,21788.25,long
IS,2025-06-09T00:00:00,,loss,-1.0,-1.0,0,0,21920.875,21844.0,long
IS,2025-06-10T00:00:00,,win,1.375,1.375,0,0,21825.625,21895.0,short
IS,2025-06-11T00:00:00,,win,1.4342,1.4342,0,0,21876.25,22011.25,short
IS,2025-06-12T00:00:00,,win,1.3792,1.3792,0,0,21895.875,21967.75,short
IS,2025-06-13T00:00:00,,loss,-1.0,-1.0,0,0,21863.5,21749.75,long
IS,2025-06-16T00:00:00,,win,1.3802,1.3802,0,0,22137.25,22209.75,short
IS,2025-06-17T00:00:00,,win,1.4451,1.4451,0,0,21887.0,22049.5,short
IS,2025-06-18T00:00:00,,loss,-1.0,-1.0,0,0,22104.375,21940.0,long
IS,2025-06-20T00:00:00,,scratch,0.8035,0.8035,1,0,21914.375,21760.0,long
IS,2025-06-23T00:00:00,,win,1.4413,1.4413,0,0,22170.625,22018.75,long
IS,2025-06-24T00:00:00,,loss,-1.0,-1.0,0,0,22476.25,22387.5,long
IS,2025-06-25T00:00:00,,scratch,0.0351,0.0351,1,0,22565.75,22388.25,long
IS,2025-06-26T00:00:00,,win,1.2996,1.2996,0,0,22676.875,22635.0,long
IS,2025-06-27T00:00:00,,win,1.4359,1.4359,0,0,22642.75,22781.5,short
IS,2025-06-30T00:00:00,,loss,-1.0,-1.0,0,0,22774.75,22839.75,short
IS,2025-07-02T00:00:00,,scratch,0.5816,0.5816,1,0,22864.125,22808.5,long
IS,2025-08-06T00:00:00,,loss,-1.0,-1.0,0,0,23322.125,23396.5,short
IS,2025-08-08T00:00:00,,win,1.4135,1.4135,0,0,23762.125,23660.25,long
IS,2025-08-11T00:00:00,,win,1.4251,1.4251,0,0,23618.875,23737.0,short
IS,2025-08-12T00:00:00,,win,1.3552,1.3552,0,0,23944.625,23885.25,long
IS,2025-08-13T00:00:00,,loss,-1.0,-1.0,0,0,24020.0,23900.0,long
IS,2025-08-14T00:00:00,,win,1.4092,1.4092,0,0,23880.875,23977.75,short
IS,2025-08-15T00:00:00,,loss,-1.0,-1.0,0,0,23863.5,23804.75,long
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25091.125,25025.5,long
IS,2025-10-08T00:00:00,,win,1.2385,1.2385,0,0,25292.25,25261.0,long
IS,2025-10-09T00:00:00,,win,1.4314,1.4314,0,0,25290.125,25160.75,long
IS,2025-10-10T00:00:00,,win,1.4378,1.4378,0,0,24607.875,24751.0,short
IS,2025-10-13T00:00:00,,win,1.3492,1.3492,0,0,24945.375,24888.5,long
IS,2025-10-14T00:00:00,,win,1.4359,1.4359,0,0,24796.75,24935.5,short
IS,2025-10-15T00:00:00,,scratch,1.2917,1.2917,1,0,24995.0,24738.75,long
IS,2025-10-16T00:00:00,,win,1.4651,1.4651,0,0,24696.875,24955.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24742.875,24916.0,short
IS,2025-10-20T00:00:00,,win,1.3461,1.3461,0,0,25299.375,25355.0,short
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25351.5,25272.75,long
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,24660.625,24927.5,short
