sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2022-03-08T00:00:00,,scratch,0.0052,0.0052,1,0,4113.5,4194.5,short
IS,2022-03-16T00:00:00,,scratch,-0.0212,-0.0212,1,0,4390.0,4317.5,long
IS,2022-03-17T00:00:00,,scratch,0.504,0.504,1,0,4371.75,4406.75,short
IS,2022-03-18T00:00:00,,scratch,0.4862,0.4862,1,0,4470.75,4446.75,long
IS,2022-03-21T00:00:00,,scratch,-0.2096,-0.2096,1,0,4485.25,4429.25,long
IS,2022-03-24T00:00:00,,scratch,-0.3681,-0.3681,1,0,4529.5,4501.0,long
IS,2022-03-30T00:00:00,,scratch,-0.0828,-0.0828,1,0,4622.5,4581.0,long
IS,2022-04-05T00:00:00,,scratch,-0.0435,-0.0435,1,0,4542.0,4507.5,long
IS,2022-04-07T00:00:00,,scratch,-0.1625,-0.1625,1,0,4471.5,4516.5,short
IS,2022-04-18T00:00:00,,scratch,-0.0911,-0.0911,1,0,4441.0,4365.0,long
IS,2022-04-22T00:00:00,,scratch,-0.0168,-0.0168,1,0,4206.0,4297.5,short
IS,2022-04-26T00:00:00,,scratch,-0.4559,-0.4559,1,0,4097.75,4191.75,short
IS,2022-04-27T00:00:00,,scratch,0.4037,0.4037,1,0,4226.0,4172.0,long
IS,2022-05-05T00:00:00,,scratch,-0.1976,-0.1976,1,0,4204.0,4104.0,long
IS,2022-05-11T00:00:00,,scratch,-0.1989,-0.1989,1,0,3962.75,3923.75,long
IS,2022-05-17T00:00:00,,scratch,-0.0018,-0.0018,1,0,4107.75,4071.25,long
IS,2022-05-18T00:00:00,,scratch,-0.5189,-0.5189,1,0,3887.5,3927.5,short
IS,2022-05-25T00:00:00,,scratch,-0.5425,-0.5425,1,0,3949.25,3983.75,short
IS,2022-05-27T00:00:00,,scratch,0.1983,0.1983,1,0,4185.25,4139.25,long
IS,2022-06-01T00:00:00,,scratch,0.0861,0.0861,1,0,4063.5,4125.0,short
IS,2022-06-02T00:00:00,,scratch,0.1808,0.1808,1,0,4194.0,4160.0,long
IS,2022-06-07T00:00:00,,scratch,-0.0809,-0.0809,1,0,4140.25,4164.25,short
IS,2022-06-16T00:00:00,,scratch,-0.0883,-0.0883,1,0,3710.5,3649.0,long
IS,2022-06-23T00:00:00,,scratch,-0.1482,-0.1482,1,0,3770.0,3806.0,short
IS,2022-06-27T00:00:00,,scratch,-0.1725,-0.1725,1,0,3929.0,3892.5,long
IS,2022-07-07T00:00:00,,scratch,-0.103,-0.103,1,0,3890.5,3909.0,short
IS,2022-07-13T00:00:00,,win,0.9007,0.9007,0,0,3783.25,3813.25,short
IS,2022-07-15T00:00:00,,scratch,-0.0863,-0.0863,1,0,3884.25,3850.25,long
IS,2022-07-19T00:00:00,,scratch,0.0714,0.0714,1,0,3953.0,3934.5,long
IS,2022-07-20T00:00:00,,scratch,0.4303,0.4303,1,0,3945.75,3970.75,short
IS,2022-07-21T00:00:00,,scratch,0.1382,0.1382,1,0,3974.25,4004.75,short
IS,2022-07-26T00:00:00,,scratch,0.3099,0.3099,1,0,3960.75,3915.75,long
IS,2022-07-28T00:00:00,,win,0.9272,0.9272,0,0,4109.5,4068.0,long
IS,2022-08-03T00:00:00,,scratch,-0.1266,-0.1266,1,0,4134.5,4169.0,short
IS,2022-08-08T00:00:00,,scratch,-0.0759,-0.0759,1,0,4152.25,4139.75,long
IS,2022-08-09T00:00:00,,scratch,-0.275,-0.275,1,0,4139.5,4119.0,long
IS,2022-08-10T00:00:00,,loss,-1.0,-1.0,0,0,4219.5,4207.0,long
IS,2022-08-11T00:00:00,,scratch,-0.2649,-0.2649,1,0,4230.5,4203.5,long
IS,2022-08-16T00:00:00,,scratch,-0.3095,-0.3095,1,0,4290.5,4315.0,short
IS,2022-08-19T00:00:00,,scratch,-0.1085,-0.1085,1,0,4219.25,4236.75,short
IS,2022-08-22T00:00:00,,scratch,0.1286,0.1286,1,0,4160.5,4131.5,long
IS,2022-08-23T00:00:00,,scratch,-0.3973,-0.3973,1,0,4117.5,4137.5,short
IS,2022-08-26T00:00:00,,scratch,0.4972,0.4972,1,0,4035.25,4070.75,short
IS,2022-09-02T00:00:00,,scratch,-0.0109,-0.0109,1,0,3956.5,3906.0,long
IS,2022-09-12T00:00:00,,win,0.8773,0.8773,0,0,4146.25,4122.25,long
IS,2022-09-14T00:00:00,,scratch,0.2251,0.2251,1,0,3991.75,3944.75,long
IS,2022-09-15T00:00:00,,win,0.9118,0.9118,0,0,3894.5,3928.5,short
IS,2022-09-16T00:00:00,,scratch,0.4394,0.4394,1,0,3910.5,3881.5,long
IS,2022-09-21T00:00:00,,scratch,0.5119,0.5119,1,0,3772.75,3825.75,short
IS,2022-09-28T00:00:00,,scratch,0.1107,0.1107,1,0,3708.25,3751.25,short
IS,2022-10-06T00:00:00,,win,0.8957,0.8957,0,0,3738.75,3767.25,short
IS,2022-10-11T00:00:00,,scratch,-0.1187,-0.1187,1,0,3619.75,3591.25,long
IS,2022-10-17T00:00:00,,win,0.8902,0.8902,0,0,3712.0,3685.0,long
IS,2022-10-18T00:00:00,,scratch,0.3686,0.3686,1,0,3775.25,3722.75,long
IS,2022-10-21T00:00:00,,scratch,0.2587,0.2587,1,0,3777.25,3759.75,long
IS,2022-10-25T00:00:00,,scratch,0.5978,0.5978,1,0,3824.75,3873.25,short
IS,2022-10-27T00:00:00,,scratch,-0.4583,-0.4583,1,0,3723.0,3828.5,short
IS,2022-10-28T00:00:00,,scratch,0.6258,0.6258,1,0,3925.5,3908.0,long
IS,2022-11-03T00:00:00,,scratch,0.2328,0.2328,1,0,3709.25,3741.75,short
IS,2022-11-10T00:00:00,,scratch,0.3097,0.3097,1,0,3982.5,3952.0,long
