sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-04-09T00:00:00,,win,1.9146,1.9146,0,0,3110.2999999999997,3051.5,long
IS,2025-04-17T00:00:00,,loss,-1.0,-1.0,0,0,3294.6999999999994,3343.3,short
IS,2025-04-22T00:00:00,,win,1.9146,1.9146,0,0,3432.1000000000004,3490.9,short
IS,2025-04-23T00:00:00,,win,1.862,1.862,0,0,3347.999999999999,3312.3,long
IS,2025-04-24T00:00:00,,loss,-1.0,-1.0,0,0,3304.7,3350.9,short
IS,2025-04-25T00:00:00,,win,1.8597,1.8597,0,0,3290.1000000000004,3325.2,short
IS,2025-05-08T00:00:00,,win,1.8818,1.8818,0,0,3374.5,3332.5,long
IS,2025-05-09T00:00:00,,loss,-1.0,-1.0,0,0,3306.4000000000005,3337.0,short
IS,2025-05-12T00:00:00,,scratch,-0.2671,-0.2671,1,0,3102.8,3281.6,short
IS,2025-05-15T00:00:00,,loss,-1.0,-1.0,0,0,3124.2999999999997,3155.5,short
IS,2025-05-16T00:00:00,,win,1.8759,1.8759,0,0,3180.7000000000007,3220.6,short
IS,2025-05-27T00:00:00,,scratch,-0.0587,-0.0587,1,0,3279.7,3312.4,short
IS,2025-06-02T00:00:00,,scratch,1.7586,1.7586,1,0,3417.2,3367.7,long
IS,2025-09-08T00:00:00,,win,1.8894,1.8894,0,0,3681.1,3636.1,long
IS,2025-09-18T00:00:00,,loss,-1.0,-1.0,0,0,3713.7,3668.7,long
IS,2025-09-30T00:00:00,,win,1.8499,1.8499,0,0,3855.2,3887.9,short
IS,2025-10-02T00:00:00,,loss,-1.0,-1.0,0,0,3864.3000000000006,3899.7,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,4008.1,3964.3,long
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,4079.4999999999995,4052.2,long
IS,2025-10-09T00:00:00,,win,1.8059,1.8059,0,0,4068.7999999999993,4043.9,long
IS,2025-10-10T00:00:00,,win,1.9037,1.9037,0,0,4018.1000000000004,3966.2,long
IS,2025-10-14T00:00:00,,loss,-1.0,-1.0,0,0,4193.500000000001,4116.7,long
IS,2025-10-16T00:00:00,,win,1.862,1.862,0,0,4271.9000000000015,4236.2,long
IS,2025-10-17T00:00:00,,win,1.968,1.968,0,0,4214.299999999999,4374.2,short
IS,2025-10-20T00:00:00,,win,1.9371,1.9371,0,0,4327.800000000003,4247.4,long
IS,2025-10-21T00:00:00,,win,1.9194,1.9194,0,0,4296.4,4358.8,short
IS,2025-10-22T00:00:00,,win,1.9402,1.9402,0,0,4085.1000000000004,4169.7,short
IS,2025-10-23T00:00:00,,loss,-1.0,-1.0,0,0,4105.999999999999,4136.3,short
IS,2025-10-24T00:00:00,,win,1.8445,1.8445,0,0,4080.7,4112.2,short
IS,2025-10-27T00:00:00,,win,1.8915,1.8915,0,0,4037.7000000000007,4083.6,short
IS,2025-10-28T00:00:00,,loss,-1.0,-1.0,0,0,3871.2000000000003,3951.0,short
IS,2025-10-29T00:00:00,,win,1.8499,1.8499,0,0,4046.099999999999,4013.4,long
IS,2025-10-30T00:00:00,,win,1.8967,1.8967,0,0,4019.4999999999995,3971.2,long
IS,2025-10-31T00:00:00,,win,1.8143,1.8143,0,0,4012.5000000000005,4038.6,short
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,3986.1000000000004,4038.9,short
IS,2025-11-04T00:00:00,,win,1.8562,1.8562,0,0,3977.7999999999997,4012.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,3951.7000000000003,3997.0,short
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,4049.1999999999994,4013.8,long
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,4110.0,4083.0,long
IS,2025-11-12T00:00:00,,win,1.9111,1.9111,0,0,4173.700000000001,4117.3,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,4281.000000000002,4223.4,long
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,4211.400000000001,4176.0,long
IS,2025-11-17T00:00:00,,win,1.902,1.902,0,0,4045.900000000001,4096.9,short
IS,2025-11-18T00:00:00,,win,1.902,1.902,0,0,4061.2,4010.2,long
IS,2025-11-19T00:00:00,,win,1.8574,1.8574,0,0,4112.6,4078.1,long
IS,2025-11-20T00:00:00,,scratch,0.5528,0.5528,1,0,4111.9,4037.5,long
IS,2025-11-21T00:00:00,,win,1.9362,1.9362,0,0,4098.200000000001,4019.0,long
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,4256.6,4288.7,short
IS,2025-12-29T00:00:00,,win,1.9273,1.9273,0,0,4441.0999999999985,4510.4,short
OOS,2026-01-06T00:00:00,,loss,-1.0,-1.0,0,0,4427.999999999998,4486.2,short
OOS,2026-01-12T00:00:00,,loss,-1.0,-1.0,0,0,4620.300000000002,4589.7,long
OOS,2026-01-14T00:00:00,,loss,-1.0,-1.0,0,0,4668.300000000003,4628.4,long
OOS,2026-01-21T00:00:00,,loss,-1.0,-1.0,0,0,4822.799999999999,4871.7,short
OOS,2026-01-28T00:00:00,,loss,-1.0,-1.0,0,0,5364.5,5319.5,long
OOS,2026-01-29T00:00:00,,win,1.9468,1.9468,0,0,5489.4,5584.8,short
OOS,2026-01-30T00:00:00,,win,1.9653,1.9653,0,0,5062.299999999997,5209.3,short
OOS,2026-02-02T00:00:00,,scratch,0.1133,0.1133,1,0,4856.900000000001,4580.0,long
OOS,2026-02-03T00:00:00,,loss,-1.0,-1.0,0,0,5054.700000000001,4920.9,long
