cell_id,orb_minutes,rr_target,split,n_is_on,expr_is,sharpe_is,t_is,p_one_sided,bh_q,bh_reject,n_oos_on,expr_oos,dir_match_oos,oos_power,oos_power_tier,n_est_is,n_edt_is,dst_balance_verdict,pass_chordia_strict,verdict_label,verdict_reason
O5_RR1.0_all_days,5,1.0,all_days,1673,-0.0270,-0.0302,-1.237,0.108142,0.182489,False,84,0.0334,False,0.059,STATISTICALLY_USELESS,556,1117,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-1.237<3.79; ExpR_IS=-0.0270<=0; BH q=0.1825>=0.05
O5_RR1.0_nfp_days_only,5,1.0,nfp_days_only,74,0.0770,0.0835,0.718,0.237541,0.342781,False,3,-0.3809,False,0.051,STATISTICALLY_USELESS,26,48,EST_THIN,False,UNVERIFIED_DST_IMBALANCE,EST_THIN: N_EST=26 N_EDT=48 (floor 30)
O5_RR1.0_non_nfp_days,5,1.0,non_nfp_days,1599,-0.0319,-0.0357,-1.427,0.076912,0.148331,False,81,0.0488,False,0.062,STATISTICALLY_USELESS,530,1069,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-1.427<3.79; ExpR_IS=-0.0319<=0; BH q=0.1483>=0.05
O5_RR1.5_all_days,5,1.5,all_days,1673,-0.0158,-0.0142,-0.580,0.281086,0.379466,False,84,-0.0163,True,0.052,STATISTICALLY_USELESS,556,1117,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-0.580<3.79; ExpR_IS=-0.0158<=0; BH q=0.3795>=0.05
O5_RR1.5_nfp_days_only,5,1.5,nfp_days_only,74,0.0651,0.0559,0.480,0.316171,0.388028,False,3,-1.0000,False,0.050,STATISTICALLY_USELESS,26,48,EST_THIN,False,UNVERIFIED_DST_IMBALANCE,EST_THIN: N_EST=26 N_EDT=48 (floor 30)
O5_RR1.5_non_nfp_days,5,1.5,non_nfp_days,1599,-0.0195,-0.0176,-0.703,0.241216,0.342781,False,81,0.0201,False,0.053,STATISTICALLY_USELESS,530,1069,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-0.703<3.79; ExpR_IS=-0.0195<=0; BH q=0.3428>=0.05
O5_RR2.0_all_days,5,2.0,all_days,1673,-0.0420,-0.0326,-1.335,0.091010,0.163818,False,84,0.1136,False,0.060,STATISTICALLY_USELESS,556,1117,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-1.335<3.79; ExpR_IS=-0.0420<=0; BH q=0.1638>=0.05
O5_RR2.0_nfp_days_only,5,2.0,nfp_days_only,74,0.1263,0.0919,0.790,0.215992,0.342781,False,3,-1.0000,False,0.051,STATISTICALLY_USELESS,26,48,EST_THIN,False,UNVERIFIED_DST_IMBALANCE,EST_THIN: N_EST=26 N_EDT=48 (floor 30)
O5_RR2.0_non_nfp_days,5,2.0,non_nfp_days,1599,-0.0498,-0.0388,-1.553,0.060368,0.125380,False,81,0.1548,False,0.064,STATISTICALLY_USELESS,530,1069,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-1.553<3.79; ExpR_IS=-0.0498<=0; BH q=0.1254>=0.05
O15_RR1.0_all_days,15,1.0,all_days,1673,-0.0018,-0.0019,-0.078,0.469091,0.469091,False,84,0.0771,False,0.050,STATISTICALLY_USELESS,556,1117,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-0.078<3.79; ExpR_IS=-0.0018<=0; BH q=0.4691>=0.05
