sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-03T00:00:00,,scratch,-0.3237,-0.3237,1,0,9047.5,9137.0,short
IS,2020-02-04T00:00:00,,scratch,-0.1175,-0.1175,1,0,9396.0,9331.5,long
IS,2020-02-05T00:00:00,,scratch,0.1059,0.1059,1,0,9411.25,9356.75,long
IS,2020-02-06T00:00:00,,scratch,0.1938,0.1938,1,0,9480.25,9433.75,long
IS,2020-02-07T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-10T00:00:00,,scratch,-0.1148,-0.1148,1,0,9555.0,9502.0,long
IS,2020-02-12T00:00:00,,scratch,-0.2819,-0.2819,1,0,9641.75,9611.25,long
IS,2020-02-13T00:00:00,,scratch,0.6658,0.6658,1,0,9628.75,9594.75,long
IS,2020-02-14T00:00:00,,scratch,-0.0674,-0.0674,1,0,9647.0,9614.0,long
IS,2020-02-24T00:00:00,,scratch,-0.2306,-0.2306,1,0,9022.5,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.2252,-0.2252,1,0,8949.25,8823.75,long
IS,2020-02-26T00:00:00,,win,0.9291,0.9291,0,0,8825.75,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.5826,0.5826,1,0,8293.75,8558.75,short
IS,2020-03-03T00:00:00,,scratch,-0.0017,-0.0017,1,0,8442.25,8679.75,short
IS,2020-03-09T00:00:00,,scratch,-0.5369,-0.5369,1,0,7752.75,8094.25,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8485.75,8261.75,long
IS,2020-03-12T00:00:00,,scratch,0.1154,0.1154,1,0,6960.75,7469.75,short
IS,2020-03-18T00:00:00,,scratch,0.3178,0.3178,1,0,7528.5,6928.5,long
IS,2020-04-02T00:00:00,,scratch,-0.0786,-0.0786,1,0,7733.25,7546.25,long
IS,2020-04-07T00:00:00,,scratch,0.1056,0.1056,1,0,7859.75,8165.25,short
IS,2020-04-09T00:00:00,,scratch,-0.0484,-0.0484,1,0,8311.75,8171.75,long
IS,2020-04-13T00:00:00,,scratch,0.3627,0.3627,1,0,8405.0,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9538,0.9538,0,0,8834.25,8710.75,long
IS,2020-04-20T00:00:00,,scratch,-0.7326,-0.7326,1,0,8645.0,8758.0,short
IS,2020-04-28T00:00:00,,scratch,0.4601,0.4601,1,0,8780.0,8654.5,long
IS,2020-04-29T00:00:00,,win,0.9587,0.9587,0,0,9097.5,8959.0,long
IS,2020-04-30T00:00:00,,scratch,0.3889,0.3889,1,0,8760.75,8999.75,short
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8763.0,8827.5,short
IS,2020-05-06T00:00:00,,scratch,0.2885,0.2885,1,0,8913.0,8997.0,short
IS,2020-05-08T00:00:00,,scratch,-0.0323,-0.0323,1,0,9241.0,9200.0,long
IS,2020-05-11T00:00:00,,scratch,-0.3669,-0.3669,1,0,9240.5,9320.5,short
IS,2020-05-12T00:00:00,,scratch,0.4397,0.4397,1,0,9004.5,9165.5,short
IS,2020-05-13T00:00:00,,scratch,0.0979,0.0979,1,0,9101.5,8930.0,long
IS,2020-05-18T00:00:00,,,,0.0,0,1,,,short
IS,2020-05-21T00:00:00,,scratch,-0.5596,-0.5596,1,0,9308.5,9405.5,short
IS,2020-05-22T00:00:00,,scratch,0.1309,0.1309,1,0,9445.0,9390.0,long
IS,2020-05-29T00:00:00,,scratch,0.1493,0.1493,1,0,9639.0,9517.5,long
IS,2020-06-02T00:00:00,,scratch,-0.3155,-0.3155,1,0,9708.75,9605.75,long
IS,2020-06-17T00:00:00,,scratch,-0.2077,-0.2077,1,0,10038.0,9945.0,long
IS,2020-06-25T00:00:00,,scratch,-0.1349,-0.1349,1,0,10157.75,10053.75,long
IS,2020-06-29T00:00:00,,scratch,0.3508,0.3508,1,0,10047.5,9892.0,long
