sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,scratch,0.3068,0.3068,1,0,8916.5,8867.0,long
IS,2020-01-03T00:00:00,,scratch,-0.2166,-0.2166,1,0,8782.5,8830.0,short
IS,2020-01-06T00:00:00,,loss,-1.0,-1.0,0,0,8889.5,8848.5,long
IS,2020-01-09T00:00:00,,scratch,-0.0697,-0.0697,1,0,9028.0,8989.0,long
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9198.25,9170.75,long
IS,2020-01-22T00:00:00,,scratch,0.3232,0.3232,1,0,9177.25,9213.25,short
IS,2020-01-27T00:00:00,,scratch,-0.3356,-0.3356,1,0,8929.5,8977.0,short
IS,2020-01-28T00:00:00,,scratch,-0.2221,-0.2221,1,0,9163.5,9097.0,long
IS,2020-01-29T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-03T00:00:00,,scratch,-0.3237,-0.3237,1,0,9047.5,9137.0,short
IS,2020-02-04T00:00:00,,scratch,-0.1175,-0.1175,1,0,9396.0,9331.5,long
IS,2020-02-05T00:00:00,,scratch,0.1059,0.1059,1,0,9411.25,9356.75,long
IS,2020-02-10T00:00:00,,scratch,-0.1148,-0.1148,1,0,9555.0,9502.0,long
IS,2020-02-12T00:00:00,,scratch,-0.2819,-0.2819,1,0,9641.75,9611.25,long
IS,2020-02-14T00:00:00,,scratch,-0.0674,-0.0674,1,0,9647.0,9614.0,long
IS,2020-02-24T00:00:00,,scratch,-0.2306,-0.2306,1,0,9022.5,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.2252,-0.2252,1,0,8949.25,8823.75,long
IS,2020-02-26T00:00:00,,win,0.9291,0.9291,0,0,8825.75,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.5826,0.5826,1,0,8293.75,8558.75,short
IS,2020-03-03T00:00:00,,scratch,-0.0017,-0.0017,1,0,8442.25,8679.75,short
IS,2020-03-09T00:00:00,,scratch,-0.5369,-0.5369,1,0,7752.75,8094.25,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8485.75,8261.75,long
IS,2020-03-12T00:00:00,,scratch,0.1154,0.1154,1,0,6960.75,7469.75,short
