sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-05T00:00:00,,scratch,0.0255,0.0255,1,0,9415.75,9356.75,long
IS,2020-02-12T00:00:00,,scratch,-0.341,-0.341,1,0,9644.75,9611.25,long
IS,2020-02-13T00:00:00,,scratch,-0.0599,-0.0599,1,0,9657.25,9594.75,long
IS,2020-02-14T00:00:00,,scratch,-0.1608,-0.1608,1,0,9651.0,9614.0,long
IS,2020-02-19T00:00:00,,scratch,-0.1865,-0.1865,1,0,9751.25,9719.75,long
IS,2020-02-20T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-24T00:00:00,,scratch,-0.3272,-0.3272,1,0,9004.5,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.2889,-0.2889,1,0,8960.75,8823.75,long
IS,2020-02-26T00:00:00,,win,0.9171,0.9171,0,0,8837.75,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.2755,0.2755,1,0,8229.25,8558.75,short
IS,2020-03-03T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-09T00:00:00,,scratch,-0.5878,-0.5878,1,0,7710.25,8094.25,short
IS,2020-03-10T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-12T00:00:00,,scratch,0.2348,0.2348,1,0,7010.25,7469.75,short
IS,2020-03-17T00:00:00,,scratch,0.5207,0.5207,1,0,7222.25,7478.75,short
IS,2020-03-18T00:00:00,,scratch,0.3537,0.3537,1,0,7512.5,6928.5,long
IS,2020-03-19T00:00:00,,scratch,0.3387,0.3387,1,0,6997.25,7450.75,short
IS,2020-03-20T00:00:00,,scratch,-0.088,-0.088,1,0,6750.5,7082.0,short
IS,2020-03-24T00:00:00,,win,0.9674,0.9674,0,0,7628.0,7452.0,long
IS,2020-03-27T00:00:00,,scratch,-0.0304,-0.0304,1,0,7419.25,7693.75,short
IS,2020-04-02T00:00:00,,scratch,-0.0834,-0.0834,1,0,7734.25,7546.25,long
IS,2020-04-03T00:00:00,,scratch,-0.1162,-0.1162,1,0,7628.75,7438.75,long
IS,2020-04-07T00:00:00,,scratch,0.0495,0.0495,1,0,7843.25,8165.25,short
IS,2020-04-09T00:00:00,,scratch,0.1019,0.1019,1,0,8292.25,8171.75,long
IS,2020-04-13T00:00:00,,scratch,0.4716,0.4716,1,0,8395.5,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9688,0.9688,0,0,8895.25,8710.75,long
IS,2020-04-20T00:00:00,,scratch,-0.7784,-0.7784,1,0,8621.0,8758.0,short
IS,2020-04-22T00:00:00,,scratch,0.1852,0.1852,1,0,8566.75,8699.25,short
IS,2020-04-23T00:00:00,,win,0.9407,0.9407,0,0,8572.75,8668.25,short
IS,2020-04-27T00:00:00,,scratch,0.0535,0.0535,1,0,8786.0,8850.0,short
IS,2020-04-28T00:00:00,,scratch,-0.0805,-0.0805,1,0,8855.5,8654.5,long
IS,2020-04-29T00:00:00,,win,0.9639,0.9639,0,0,9118.0,8959.0,long
IS,2020-04-30T00:00:00,,win,0.9664,0.9664,0,0,8828.75,8999.75,short
IS,2020-05-04T00:00:00,,,,0.0,0,1,,,short
IS,2020-05-06T00:00:00,,scratch,0.1676,0.1676,1,0,8904.0,8997.0,short
IS,2020-05-07T00:00:00,,win,0.8992,0.8992,0,0,9121.75,9066.75,long
IS,2020-05-08T00:00:00,,scratch,-0.0643,-0.0643,1,0,9242.5,9200.0,long
IS,2020-05-11T00:00:00,,scratch,-0.4611,-0.4611,1,0,9226.0,9320.5,short
IS,2020-05-12T00:00:00,,scratch,0.4181,0.4181,1,0,9002.0,9165.5,short
IS,2020-05-13T00:00:00,,scratch,0.19,0.19,1,0,9088.0,8930.0,long
IS,2020-05-14T00:00:00,,scratch,-0.271,-0.271,1,0,9165.25,9028.25,long
IS,2020-05-18T00:00:00,,,,0.0,0,1,,,short
IS,2020-05-20T00:00:00,,scratch,-0.1656,-0.1656,1,0,9518.25,9461.25,long
IS,2020-05-21T00:00:00,,scratch,-0.5365,-0.5365,1,0,9313.5,9405.5,short
IS,2020-05-22T00:00:00,,scratch,0.1117,0.1117,1,0,9446.0,9390.0,long
IS,2020-05-26T00:00:00,,scratch,0.0437,0.0437,1,0,9440.5,9373.0,long
IS,2020-05-28T00:00:00,,scratch,-0.2385,-0.2385,1,0,9530.75,9387.25,long
IS,2023-10-26T00:00:00,,win,0.9404,0.9404,0,0,14273.5,14178.5,long
IS,2024-02-02T00:00:00,,scratch,0.4152,0.4152,1,0,17652.25,17774.75,short
IS,2024-02-05T00:00:00,,scratch,-0.3537,-0.3537,1,0,17646.5,17731.0,short
IS,2024-02-06T00:00:00,,,,0.0,0,1,,,short
IS,2024-02-15T00:00:00,,scratch,0.2487,0.2487,1,0,17995.25,17881.25,long
IS,2024-02-16T00:00:00,,scratch,-0.0497,-0.0497,1,0,17677.5,17763.5,short
IS,2024-02-21T00:00:00,,scratch,0.426,0.426,1,0,17797.75,17484.75,long
IS,2024-02-22T00:00:00,,scratch,0.1037,0.1037,1,0,17986.0,18075.5,short
IS,2024-02-23T00:00:00,,scratch,0.1165,0.1165,1,0,17920.0,18016.5,short
IS,2024-02-26T00:00:00,,scratch,0.2591,0.2591,1,0,17917.75,18007.75,short
IS,2024-02-27T00:00:00,,,,0.0,0,1,,,short
IS,2024-02-28T00:00:00,,scratch,0.2914,0.2914,1,0,17830.5,17920.5,short
IS,2024-02-29T00:00:00,,scratch,-0.3211,-0.3211,1,0,17998.5,18109.0,short
IS,2024-03-07T00:00:00,,win,0.9671,0.9671,0,0,18165.75,18340.25,short
IS,2024-03-11T00:00:00,,win,0.9433,0.9433,0,0,18292.0,18192.0,long
IS,2024-03-13T00:00:00,,scratch,0.0394,0.0394,1,0,18398.25,18310.25,long
IS,2024-03-14T00:00:00,,scratch,-0.484,-0.484,1,0,18400.25,18197.75,long
IS,2024-03-15T00:00:00,,scratch,-0.4097,-0.4097,1,0,18107.75,18043.75,long
IS,2024-03-18T00:00:00,,scratch,0.3375,0.3375,1,0,18142.0,18283.0,short
IS,2024-03-19T00:00:00,,,,0.0,0,1,,,short
IS,2024-03-20T00:00:00,,scratch,0.4762,0.4762,1,0,18598.5,18438.5,long
IS,2024-03-22T00:00:00,,scratch,-0.1133,-0.1133,1,0,18513.25,18606.75,short
IS,2024-03-26T00:00:00,,scratch,-0.1851,-0.1851,1,0,18527.75,18439.25,long
IS,2024-03-28T00:00:00,,,,0.0,0,1,,,short
IS,2024-04-15T00:00:00,,scratch,-0.4358,-0.4358,1,0,17825.75,17905.25,short
IS,2024-04-17T00:00:00,,,,0.0,0,1,,,short
IS,2024-04-18T00:00:00,,scratch,-0.069,-0.069,1,0,17445.0,17593.0,short
IS,2024-04-23T00:00:00,,win,0.93,0.93,0,0,17673.0,17592.5,long
IS,2024-04-24T00:00:00,,scratch,0.5739,0.5739,1,0,17411.25,17687.25,short
IS,2024-04-25T00:00:00,,scratch,0.0892,0.0892,1,0,17975.25,17534.25,long
IS,2024-04-26T00:00:00,,scratch,-0.1206,-0.1206,1,0,17791.5,17875.0,short
IS,2024-04-29T00:00:00,,scratch,-0.1567,-0.1567,1,0,17978.0,17857.0,long
IS,2024-04-30T00:00:00,,scratch,0.3554,0.3554,1,0,17397.5,17708.5,short
IS,2024-05-02T00:00:00,,win,0.9583,0.9583,0,0,17748.0,17611.0,long
IS,2024-05-03T00:00:00,,scratch,0.3001,0.3001,1,0,18046.5,17987.5,long
IS,2024-05-08T00:00:00,,scratch,0.0497,0.0497,1,0,18141.75,18200.75,short
IS,2024-05-09T00:00:00,,scratch,-0.0056,-0.0056,1,0,18267.0,18195.5,long
IS,2024-05-10T00:00:00,,scratch,0.0177,0.0177,1,0,18212.75,18270.75,short
IS,2024-05-13T00:00:00,,scratch,-0.2999,-0.2999,1,0,18252.25,18300.75,short
IS,2024-05-15T00:00:00,,,,0.0,0,1,,,short
IS,2024-05-16T00:00:00,,scratch,-0.2301,-0.2301,1,0,18594.25,18688.75,short
IS,2024-07-25T00:00:00,,scratch,-0.2944,-0.2944,1,0,18783.0,19128.0,short
IS,2024-07-29T00:00:00,,scratch,-0.2947,-0.2947,1,0,19126.25,19267.25,short
IS,2024-07-30T00:00:00,,scratch,-0.8224,-0.8224,1,0,18493.0,19016.5,short
IS,2024-07-31T00:00:00,,scratch,0.4489,0.4489,1,0,19699.75,19450.75,long
IS,2024-08-01T00:00:00,,scratch,0.695,0.695,1,0,18834.0,19065.0,short
IS,2024-08-05T00:00:00,,scratch,0.6562,0.6562,1,0,18266.25,17916.25,long
IS,2024-08-06T00:00:00,,scratch,0.2907,0.2907,1,0,17972.75,18334.75,short
IS,2024-08-07T00:00:00,,scratch,0.1087,0.1087,1,0,17738.25,18094.75,short
IS,2024-08-08T00:00:00,,scratch,0.2336,0.2336,1,0,18623.5,18457.0,long
IS,2024-08-12T00:00:00,,,,0.0,0,1,,,short
IS,2024-08-13T00:00:00,,scratch,-0.3788,-0.3788,1,0,19166.0,19067.5,long
IS,2024-08-14T00:00:00,,scratch,-0.263,-0.263,1,0,19227.25,19070.75,long
IS,2024-08-16T00:00:00,,scratch,-0.3112,-0.3112,1,0,19662.5,19572.5,long
IS,2024-08-19T00:00:00,,scratch,0.0201,0.0201,1,0,19964.25,19763.75,long
IS,2024-08-21T00:00:00,,scratch,0.1205,0.1205,1,0,19990.75,19860.25,long
IS,2024-08-22T00:00:00,,scratch,0.0881,0.0881,1,0,19704.5,19542.0,long
IS,2024-08-26T00:00:00,,scratch,0.3945,0.3945,1,0,19513.0,19599.0,short
IS,2024-08-27T00:00:00,,scratch,0.1238,0.1238,1,0,19541.75,19668.75,short
IS,2024-08-28T00:00:00,,win,0.9637,0.9637,0,0,19323.25,19481.25,short
IS,2024-08-29T00:00:00,,scratch,-0.2051,-0.2051,1,0,19527.75,19367.75,long
IS,2024-09-03T00:00:00,,scratch,-0.575,-0.575,1,0,19157.5,18911.0,long
IS,2024-09-04T00:00:00,,scratch,-0.3509,-0.3509,1,0,18883.5,19020.0,short
IS,2024-09-05T00:00:00,,scratch,-0.7582,-0.7582,1,0,19075.25,18898.25,long
IS,2024-09-06T00:00:00,,scratch,0.4512,0.4512,1,0,18322.0,18532.0,short
IS,2024-09-09T00:00:00,,scratch,-0.1545,-0.1545,1,0,18801.75,18620.75,long
IS,2024-09-10T00:00:00,,scratch,-0.3899,-0.3899,1,0,18782.0,18872.5,short
IS,2024-09-12T00:00:00,,,,0.0,0,1,,,short
IS,2024-09-13T00:00:00,,scratch,0.1499,0.1499,1,0,19471.25,19552.25,short
IS,2024-09-16T00:00:00,,loss,-1.0,-1.0,0,0,19629.25,19684.25,short
IS,2024-09-17T00:00:00,,scratch,-0.0082,-0.0082,1,0,19740.25,19631.25,long
IS,2024-09-18T00:00:00,,scratch,0.0739,0.0739,1,0,19755.25,19560.75,long
IS,2024-09-19T00:00:00,,scratch,0.098,0.098,1,0,19980.75,20136.75,short
IS,2024-09-20T00:00:00,,scratch,0.0395,0.0395,1,0,19961.75,20074.75,short
IS,2024-09-24T00:00:00,,scratch,0.0228,0.0228,1,0,20227.5,20139.0,long
IS,2024-09-25T00:00:00,,scratch,0.5039,0.5039,1,0,20268.25,20176.75,long
IS,2024-09-26T00:00:00,,scratch,0.026,0.026,1,0,20401.25,20324.25,long
IS,2024-09-27T00:00:00,,scratch,0.3,0.3,1,0,20168.25,20247.25,short
IS,2024-10-02T00:00:00,,scratch,-0.3697,-0.3697,1,0,20128.5,20004.5,long
IS,2024-10-03T00:00:00,,,,0.0,0,1,,,short
IS,2024-11-08T00:00:00,,scratch,-0.3813,-0.3813,1,0,21266.75,21208.25,long
IS,2024-11-11T00:00:00,,scratch,-0.4638,-0.4638,1,0,21279.75,21184.75,long
IS,2024-11-14T00:00:00,,scratch,-0.4488,-0.4488,1,0,20881.5,21021.0,short
IS,2024-11-15T00:00:00,,scratch,-0.242,-0.242,1,0,20582.75,20453.75,long
IS,2024-11-18T00:00:00,,,,0.0,0,1,,,short
IS,2024-11-19T00:00:00,,scratch,-0.8142,-0.8142,1,0,20827.5,20747.0,long
IS,2024-11-20T00:00:00,,loss,-1.0,-1.0,0,0,20858.75,20703.75,long
IS,2024-11-21T00:00:00,,scratch,0.213,0.213,1,0,20760.75,20849.75,short
IS,2024-11-22T00:00:00,,scratch,0.0816,0.0816,1,0,20929.5,20815.0,long
IS,2024-11-25T00:00:00,,scratch,0.0597,0.0597,1,0,20942.5,20852.0,long
IS,2022-10-06T00:00:00,,scratch,0.4814,0.4814,1,0,11465.5,11577.0,short
IS,2022-10-17T00:00:00,,win,0.943,0.943,0,0,11192.0,11092.5,long
IS,2022-10-18T00:00:00,,scratch,0.4927,0.4927,1,0,11384.75,11164.25,long
IS,2022-10-19T00:00:00,,loss,-1.0,-1.0,0,0,11282.25,11104.25,long
IS,2022-10-20T00:00:00,,scratch,0.7523,0.7523,1,0,11006.25,11117.75,short
IS,2022-10-21T00:00:00,,scratch,-0.0829,-0.0829,1,0,11415.0,11346.5,long
IS,2022-10-26T00:00:00,,,,0.0,0,1,,,short
IS,2022-11-11T00:00:00,,scratch,-0.0054,-0.0054,1,0,11798.75,11874.25,short
IS,2020-06-15T00:00:00,,scratch,0.4896,0.4896,1,0,9832.75,9727.25,long
IS,2020-06-16T00:00:00,,scratch,-0.0437,-0.0437,1,0,10038.25,9882.75,long
IS,2020-06-17T00:00:00,,scratch,-0.105,-0.105,1,0,10027.0,9945.0,long
IS,2020-06-19T00:00:00,,win,0.9456,0.9456,0,0,9916.25,10020.75,short
IS,2020-06-22T00:00:00,,scratch,0.4378,0.4378,1,0,10160.0,10088.5,long
IS,2020-06-23T00:00:00,,,,0.0,0,1,,,short
IS,2020-06-25T00:00:00,,scratch,-0.0306,-0.0306,1,0,10146.25,10053.75,long
IS,2020-06-29T00:00:00,,scratch,0.3466,0.3466,1,0,10048.0,9892.0,long
IS,2020-07-01T00:00:00,,scratch,-0.2907,-0.2907,1,0,10209.0,10309.0,short
IS,2020-09-22T00:00:00,,win,0.93,0.93,0,0,11111.75,11192.25,short
IS,2020-09-24T00:00:00,,scratch,-0.0493,-0.0493,1,0,11003.75,10856.25,long
IS,2020-09-28T00:00:00,,scratch,0.4114,0.4114,1,0,11425.25,11322.25,long
IS,2020-10-01T00:00:00,,scratch,-0.109,-0.109,1,0,11650.25,11539.25,long
IS,2020-11-11T00:00:00,,scratch,-0.3306,-0.3306,1,0,11950.0,11871.5,long
IS,2020-11-12T00:00:00,,scratch,0.2312,0.2312,1,0,11913.75,11775.75,long
IS,2020-11-16T00:00:00,,scratch,0.2049,0.2049,1,0,12085.75,11966.25,long
IS,2020-11-18T00:00:00,,scratch,0.0737,0.0737,1,0,11817.0,11944.0,short
IS,2020-11-19T00:00:00,,scratch,0.1128,0.1128,1,0,11944.0,11995.0,short
IS,2020-11-20T00:00:00,,scratch,-0.2802,-0.2802,1,0,11826.0,11962.0,short
IS,2020-11-24T00:00:00,,scratch,0.2827,0.2827,1,0,12120.5,12063.0,long
IS,2020-11-25T00:00:00,,scratch,-0.215,-0.215,1,0,12203.25,12143.75,long
IS,2021-03-09T00:00:00,,,,0.0,0,1,,,short
IS,2021-03-11T00:00:00,,,,0.0,0,1,,,short
IS,2021-03-15T00:00:00,,scratch,-0.2428,-0.2428,1,0,13139.25,13012.75,long
IS,2021-03-18T00:00:00,,scratch,-0.6313,-0.6313,1,0,12873.0,12762.0,long
IS,2021-03-19T00:00:00,,scratch,0.1351,0.1351,1,0,12790.0,12876.5,short
IS,2021-03-22T00:00:00,,scratch,-0.4908,-0.4908,1,0,13037.5,13093.5,short
IS,2021-03-23T00:00:00,,scratch,0.0187,0.0187,1,0,13087.25,12978.75,long
