sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-03T00:00:00,,scratch,-0.073,-0.073,1,0,9072.5,9137.0,short
IS,2020-02-04T00:00:00,,scratch,-0.2005,-0.2005,1,0,9403.0,9331.5,long
IS,2020-02-05T00:00:00,,scratch,0.0173,0.0173,1,0,9416.25,9356.75,long
IS,2020-02-06T00:00:00,,scratch,0.1149,0.1149,1,0,9483.75,9433.75,long
IS,2020-02-07T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-10T00:00:00,,scratch,-0.1148,-0.1148,1,0,9555.0,9502.0,long
IS,2020-02-12T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-13T00:00:00,,scratch,-0.0453,-0.0453,1,0,9656.25,9594.75,long
IS,2020-02-14T00:00:00,,scratch,-0.1608,-0.1608,1,0,9651.0,9614.0,long
IS,2020-02-19T00:00:00,,scratch,-0.2616,-0.2616,1,0,9754.75,9719.75,long
IS,2020-02-20T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-24T00:00:00,,scratch,-0.3248,-0.3248,1,0,9005.0,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.2191,-0.2191,1,0,8948.25,8823.75,long
IS,2020-02-26T00:00:00,,win,0.91,0.91,0,0,8843.25,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.4401,0.4401,1,0,8267.25,8558.75,short
IS,2020-03-03T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-09T00:00:00,,scratch,-0.593,-0.593,1,0,7705.25,8094.25,short
IS,2020-03-10T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-12T00:00:00,,scratch,0.2734,0.2734,1,0,7024.25,7469.75,short
IS,2020-03-17T00:00:00,,scratch,0.4428,0.4428,1,0,7208.25,7478.75,short
IS,2020-03-18T00:00:00,,scratch,0.3457,0.3457,1,0,7516.0,6928.5,long
IS,2020-03-19T00:00:00,,scratch,0.3656,0.3656,1,0,7006.25,7450.75,short
IS,2020-03-20T00:00:00,,scratch,0.0994,0.0994,1,0,6807.5,7082.0,short
IS,2020-03-24T00:00:00,,win,0.9664,0.9664,0,0,7623.0,7452.0,long
IS,2020-03-27T00:00:00,,scratch,-0.0089,-0.0089,1,0,7425.25,7693.75,short
IS,2020-04-02T00:00:00,,scratch,-0.1481,-0.1481,1,0,7748.75,7546.25,long
IS,2020-04-03T00:00:00,,scratch,-0.0903,-0.0903,1,0,7623.25,7438.75,long
IS,2020-04-07T00:00:00,,scratch,-0.0156,-0.0156,1,0,7821.75,8165.25,short
IS,2020-04-09T00:00:00,,scratch,0.0309,0.0309,1,0,8300.75,8171.75,long
IS,2020-04-13T00:00:00,,scratch,0.216,0.216,1,0,8420.5,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9665,0.9665,0,0,8882.25,8710.75,long
IS,2020-04-20T00:00:00,,scratch,-0.7605,-0.7605,1,0,8631.5,8758.0,short
IS,2020-04-22T00:00:00,,scratch,0.1389,0.1389,1,0,8561.25,8699.25,short
IS,2020-04-23T00:00:00,,win,0.9456,0.9456,0,0,8563.75,8668.25,short
IS,2020-04-27T00:00:00,,scratch,-0.2072,-0.2072,1,0,8764.0,8850.0,short
IS,2020-04-28T00:00:00,,scratch,-0.1719,-0.1719,1,0,8878.0,8654.5,long
IS,2020-04-29T00:00:00,,scratch,0.1521,0.1521,1,0,9183.5,8959.0,long
IS,2020-04-30T00:00:00,,win,0.9652,0.9652,0,0,8834.75,8999.75,short
IS,2020-05-04T00:00:00,,,,0.0,0,1,,,short
IS,2020-05-06T00:00:00,,scratch,0.0675,0.0675,1,0,8895.0,8997.0,short
IS,2020-05-07T00:00:00,,win,0.9033,0.9033,0,0,9124.25,9066.75,long
IS,2020-05-08T00:00:00,,scratch,-0.0643,-0.0643,1,0,9242.5,9200.0,long
