sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,scratch,0.193,0.193,1,0,8921.5,8867.0,long
IS,2020-01-03T00:00:00,,scratch,-0.2318,-0.2318,1,0,8781.5,8830.0,short
IS,2020-01-06T00:00:00,,,,0.0,0,1,,,short
IS,2020-01-09T00:00:00,,scratch,-0.0697,-0.0697,1,0,9028.0,8989.0,long
IS,2020-01-21T00:00:00,,,,0.0,0,1,,,short
IS,2020-01-22T00:00:00,,scratch,0.4337,0.4337,1,0,9180.25,9213.25,short
IS,2020-01-27T00:00:00,,,,0.0,0,1,,,short
IS,2020-01-28T00:00:00,,scratch,-0.1485,-0.1485,1,0,9157.5,9097.0,long
IS,2020-01-29T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-03T00:00:00,,scratch,-0.073,-0.073,1,0,9072.5,9137.0,short
IS,2020-02-04T00:00:00,,scratch,-0.2005,-0.2005,1,0,9403.0,9331.5,long
IS,2020-02-05T00:00:00,,scratch,0.0173,0.0173,1,0,9416.25,9356.75,long
IS,2020-02-10T00:00:00,,scratch,-0.1148,-0.1148,1,0,9555.0,9502.0,long
IS,2020-02-12T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-14T00:00:00,,scratch,-0.1608,-0.1608,1,0,9651.0,9614.0,long
IS,2020-02-24T00:00:00,,scratch,-0.3248,-0.3248,1,0,9005.0,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.2191,-0.2191,1,0,8948.25,8823.75,long
IS,2020-02-26T00:00:00,,win,0.91,0.91,0,0,8843.25,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.4401,0.4401,1,0,8267.25,8558.75,short
IS,2020-03-03T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-09T00:00:00,,scratch,-0.593,-0.593,1,0,7705.25,8094.25,short
IS,2020-03-10T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-12T00:00:00,,scratch,0.2734,0.2734,1,0,7024.25,7469.75,short
IS,2020-03-18T00:00:00,,scratch,0.3457,0.3457,1,0,7516.0,6928.5,long
IS,2020-04-07T00:00:00,,scratch,-0.0156,-0.0156,1,0,7821.75,8165.25,short
IS,2020-04-13T00:00:00,,scratch,0.216,0.216,1,0,8420.5,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9665,0.9665,0,0,8882.25,8710.75,long
IS,2020-04-28T00:00:00,,scratch,-0.1719,-0.1719,1,0,8878.0,8654.5,long
IS,2020-04-29T00:00:00,,scratch,0.1521,0.1521,1,0,9183.5,8959.0,long
IS,2020-04-30T00:00:00,,win,0.9652,0.9652,0,0,8834.75,8999.75,short
IS,2020-05-06T00:00:00,,scratch,0.0675,0.0675,1,0,8895.0,8997.0,short
IS,2020-05-12T00:00:00,,scratch,0.5185,0.5185,1,0,9013.0,9165.5,short
IS,2020-05-13T00:00:00,,scratch,0.2482,0.2482,1,0,9080.5,8930.0,long
IS,2020-05-18T00:00:00,,,,0.0,0,1,,,short
IS,2020-05-21T00:00:00,,scratch,-0.5265,-0.5265,1,0,9315.5,9405.5,short
IS,2020-05-26T00:00:00,,scratch,0.0983,0.0983,1,0,9437.0,9373.0,long
IS,2020-06-09T00:00:00,,loss,-0.75,-0.75,0,0,9912.0,9990.5,short
IS,2020-06-10T00:00:00,,scratch,0.4505,0.4505,1,0,10013.25,10139.25,short
IS,2022-09-15T00:00:00,,,,0.0,0,1,,,short
IS,2022-09-16T00:00:00,,,,0.0,0,1,,,short
IS,2022-09-23T00:00:00,,scratch,-0.0192,-0.0192,1,0,11449.25,11326.25,long
IS,2022-09-28T00:00:00,,scratch,0.1752,0.1752,1,0,11478.0,11612.5,short
IS,2022-10-04T00:00:00,,scratch,-0.6158,-0.6158,1,0,11711.5,11602.5,long
IS,2022-10-06T00:00:00,,scratch,0.4749,0.4749,1,0,11465.0,11577.0,short
IS,2022-10-13T00:00:00,,scratch,-0.1037,-0.1037,1,0,11005.5,11132.0,short
IS,2022-10-17T00:00:00,,win,0.9438,0.9438,0,0,11193.5,11092.5,long
IS,2022-10-18T00:00:00,,scratch,0.3988,0.3988,1,0,11399.75,11164.25,long
IS,2022-10-20T00:00:00,,scratch,0.6245,0.6245,1,0,10997.25,11117.75,short
IS,2022-10-21T00:00:00,,scratch,-0.0764,-0.0764,1,0,11414.5,11346.5,long
IS,2022-10-25T00:00:00,,win,0.9755,0.9755,0,0,11485.0,11720.0,short
IS,2022-10-26T00:00:00,,,,0.0,0,1,,,short
IS,2022-10-27T00:00:00,,scratch,-0.3872,-0.3872,1,0,10893.75,11270.25,short
IS,2022-10-28T00:00:00,,scratch,0.3805,0.3805,1,0,11647.5,11574.0,long
IS,2022-11-02T00:00:00,,scratch,-0.0457,-0.0457,1,0,10818.5,11021.5,short
IS,2022-11-10T00:00:00,,scratch,0.1987,0.1987,1,0,11733.75,11585.25,long
IS,2022-11-15T00:00:00,,,,0.0,0,1,,,short
IS,2022-11-30T00:00:00,,scratch,0.2042,0.2042,1,0,12137.25,11975.75,long
IS,2022-12-08T00:00:00,,scratch,-0.4281,-0.4281,1,0,11701.25,11609.75,long
IS,2022-12-16T00:00:00,,scratch,0.0309,0.0309,1,0,11258.25,11387.25,short
IS,2022-12-22T00:00:00,,scratch,-0.3283,-0.3283,1,0,11135.75,10995.75,long
IS,2022-12-28T00:00:00,,scratch,-0.2616,-0.2616,1,0,10825.75,10758.25,long
IS,2022-12-30T00:00:00,,scratch,0.0823,0.0823,1,0,11108.0,10958.0,long
IS,2023-01-03T00:00:00,,scratch,-0.5642,-0.5642,1,0,10888.0,10958.5,short
IS,2023-01-13T00:00:00,,,,0.0,0,1,,,short
IS,2023-01-18T00:00:00,,,,0.0,0,1,,,short
IS,2023-01-19T00:00:00,,scratch,-0.267,-0.267,1,0,11462.5,11351.5,long
IS,2023-01-24T00:00:00,,scratch,-0.0191,-0.0191,1,0,12087.5,11859.5,long
IS,2023-01-26T00:00:00,,scratch,-0.0454,-0.0454,1,0,12006.0,12111.5,short
IS,2023-02-01T00:00:00,,scratch,0.0362,0.0362,1,0,12604.75,12398.25,long
IS,2023-02-02T00:00:00,,,,0.0,0,1,,,short
IS,2023-02-07T00:00:00,,scratch,-0.0737,-0.0737,1,0,12653.25,12818.75,short
IS,2023-02-28T00:00:00,,scratch,0.1168,0.1168,1,0,11998.0,12098.5,short
IS,2023-03-01T00:00:00,,scratch,-0.1018,-0.1018,1,0,12021.75,11951.75,long
IS,2023-03-02T00:00:00,,,,0.0,0,1,,,short
IS,2023-03-03T00:00:00,,scratch,0.1794,0.1794,1,0,12353.5,12283.5,long
IS,2023-03-07T00:00:00,,scratch,-0.2676,-0.2676,1,0,12201.5,12158.0,long
IS,2023-03-09T00:00:00,,scratch,-0.2864,-0.2864,1,0,11931.25,12053.75,short
IS,2023-03-15T00:00:00,,scratch,0.2071,0.2071,1,0,12493.0,12300.0,long
IS,2023-03-22T00:00:00,,scratch,-0.1992,-0.1992,1,0,12527.25,12852.75,short
IS,2023-03-28T00:00:00,,scratch,-0.0415,-0.0415,1,0,12796.75,12693.25,long
IS,2023-04-05T00:00:00,,scratch,0.0191,0.0191,1,0,13039.5,13093.0,short
IS,2023-04-18T00:00:00,,loss,-0.75,-0.75,0,0,13126.0,13200.0,short
IS,2023-04-19T00:00:00,,win,0.8907,0.8907,0,0,13142.25,13192.75,short
IS,2023-04-25T00:00:00,,scratch,0.4889,0.4889,1,0,13018.0,12806.0,long
IS,2023-04-26T00:00:00,,scratch,0.0788,0.0788,1,0,13032.5,12863.0,long
IS,2023-04-27T00:00:00,,loss,-0.75,-0.75,0,0,13395.0,13223.5,long
IS,2023-04-28T00:00:00,,scratch,-0.0565,-0.0565,1,0,13374.75,13281.75,long
IS,2023-05-02T00:00:00,,scratch,-0.0054,-0.0054,1,0,13128.0,13203.0,short
IS,2023-05-03T00:00:00,,,,0.0,0,1,,,short
IS,2023-05-16T00:00:00,,,,0.0,0,1,,,short
IS,2023-05-18T00:00:00,,win,0.9171,0.9171,0,0,13939.25,13871.75,long
IS,2023-05-23T00:00:00,,,,0.0,0,1,,,short
IS,2023-05-24T00:00:00,,scratch,0.2512,0.2512,1,0,13941.0,13641.0,long
IS,2023-05-26T00:00:00,,scratch,0.2704,0.2704,1,0,14394.75,14325.25,long
IS,2023-05-31T00:00:00,,scratch,-0.113,-0.113,1,0,14222.5,14356.0,short
IS,2023-06-01T00:00:00,,scratch,0.0681,0.0681,1,0,14528.0,14449.0,long
IS,2023-06-15T00:00:00,,scratch,-0.0694,-0.0694,1,0,15282.5,15422.5,short
IS,2023-06-22T00:00:00,,scratch,0.0828,0.0828,1,0,15259.0,15188.5,long
IS,2023-06-28T00:00:00,,scratch,0.2267,0.2267,1,0,15232.25,15100.25,long
IS,2023-06-30T00:00:00,,scratch,0.0588,0.0588,1,0,15275.75,15367.75,short
IS,2023-07-06T00:00:00,,scratch,-0.2403,-0.2403,1,0,15192.0,15247.0,short
IS,2023-07-12T00:00:00,,scratch,0.0998,0.0998,1,0,15499.25,15436.25,long
IS,2023-07-19T00:00:00,,win,0.9269,0.9269,0,0,15903.0,15980.0,short
IS,2023-07-26T00:00:00,,scratch,-0.1926,-0.1926,1,0,15742.75,15574.75,long
IS,2023-08-02T00:00:00,,loss,-0.75,-0.75,0,0,15415.0,15484.0,short
IS,2023-08-03T00:00:00,,win,0.9505,0.9505,0,0,15544.75,15429.75,long
IS,2023-08-17T00:00:00,,scratch,0.0848,0.0848,1,0,14693.5,14809.5,short
IS,2023-08-23T00:00:00,,scratch,-0.0535,-0.0535,1,0,15469.75,15184.25,long
IS,2023-08-24T00:00:00,,scratch,-0.4026,-0.4026,1,0,14806.0,14898.5,short
IS,2023-09-14T00:00:00,,,,0.0,0,1,,,short
IS,2023-09-20T00:00:00,,scratch,0.1118,0.1118,1,0,15067.25,15199.25,short
IS,2023-09-26T00:00:00,,scratch,-0.27,-0.27,1,0,14794.0,14675.0,long
IS,2023-09-27T00:00:00,,scratch,0.1246,0.1246,1,0,14793.5,14703.5,long
IS,2023-09-28T00:00:00,,scratch,0.0974,0.0974,1,0,14920.0,14840.0,long
IS,2023-10-02T00:00:00,,scratch,-0.1272,-0.1272,1,0,15066.5,14928.5,long
IS,2023-10-03T00:00:00,,scratch,-0.2682,-0.2682,1,0,14787.0,14676.5,long
IS,2023-10-04T00:00:00,,scratch,-0.0327,-0.0327,1,0,14864.25,14950.75,short
IS,2023-10-11T00:00:00,,scratch,0.0403,0.0403,1,0,15444.25,15358.25,long
IS,2020-06-17T00:00:00,,scratch,-0.1306,-0.1306,1,0,10029.5,9945.0,long
IS,2020-06-22T00:00:00,,scratch,0.4574,0.4574,1,0,10159.0,10088.5,long
IS,2020-06-25T00:00:00,,scratch,-0.0407,-0.0407,1,0,10147.25,10053.75,long
IS,2020-06-29T00:00:00,,scratch,0.4716,0.4716,1,0,10034.5,9892.0,long
IS,2020-07-06T00:00:00,,scratch,0.4061,0.4061,1,0,10635.25,10570.25,long
IS,2020-07-10T00:00:00,,scratch,-0.005,-0.005,1,0,10882.0,10801.0,long
IS,2020-07-16T00:00:00,,scratch,-0.2379,-0.2379,1,0,10458.25,10625.25,short
IS,2020-07-17T00:00:00,,,,0.0,0,1,,,short
IS,2020-07-29T00:00:00,,scratch,0.0751,0.0751,1,0,10714.25,10636.25,long
IS,2020-07-31T00:00:00,,scratch,0.0819,0.0819,1,0,10977.5,10839.0,long
IS,2020-08-03T00:00:00,,,,0.0,0,1,,,short
IS,2020-08-04T00:00:00,,scratch,-0.2057,-0.2057,1,0,11132.75,11041.25,long
IS,2020-08-11T00:00:00,,scratch,-0.0925,-0.0925,1,0,11025.25,10845.25,long
IS,2020-08-12T00:00:00,,scratch,0.1345,0.1345,1,0,11092.75,11164.75,short
IS,2020-08-18T00:00:00,,win,0.8965,0.8965,0,0,11439.75,11386.25,long
IS,2020-08-26T00:00:00,,scratch,-0.5079,-0.5079,1,0,12029.75,11942.25,long
IS,2020-09-02T00:00:00,,scratch,-0.4136,-0.4136,1,0,12383.25,12435.75,short
IS,2020-09-03T00:00:00,,loss,-0.75,-0.75,0,0,11952.25,11687.75,long
IS,2020-09-04T00:00:00,,scratch,0.4274,0.4274,1,0,11481.75,11694.25,short
IS,2020-09-08T00:00:00,,win,0.9621,0.9621,0,0,10970.5,11121.5,short
IS,2020-09-09T00:00:00,,loss,-0.75,-0.75,0,0,11280.0,11455.5,short
IS,2020-09-22T00:00:00,,scratch,0.6085,0.6085,1,0,11097.25,11192.25,short
IS,2020-09-30T00:00:00,,loss,-0.75,-0.75,0,0,11284.5,11445.5,short
IS,2020-10-01T00:00:00,,scratch,-0.0931,-0.0931,1,0,11648.25,11539.25,long
IS,2020-10-12T00:00:00,,scratch,-0.061,-0.061,1,0,12146.75,12060.75,long
IS,2020-10-13T00:00:00,,,,0.0,0,1,,,short
IS,2020-10-14T00:00:00,,scratch,0.1483,0.1483,1,0,11917.0,12022.5,short
IS,2020-10-16T00:00:00,,scratch,0.0728,0.0728,1,0,11716.0,11886.0,short
IS,2020-10-19T00:00:00,,win,0.9529,0.9529,0,0,11713.0,11592.0,long
IS,2020-10-20T00:00:00,,loss,-0.75,-0.75,0,0,11568.75,11712.75,short
IS,2020-10-21T00:00:00,,scratch,-0.3464,-0.3464,1,0,11744.5,11649.5,long
IS,2020-10-26T00:00:00,,scratch,-0.1231,-0.1231,1,0,11590.5,11423.5,long
IS,2020-10-29T00:00:00,,scratch,0.1511,0.1511,1,0,11020.0,11438.0,short
IS,2020-10-30T00:00:00,,scratch,0.1302,0.1302,1,0,11181.5,10961.0,long
IS,2020-11-02T00:00:00,,scratch,-0.09,-0.09,1,0,11165.0,10996.5,long
IS,2020-11-03T00:00:00,,scratch,-0.0712,-0.0712,1,0,11156.0,11327.5,short
IS,2020-11-04T00:00:00,,scratch,0.0034,0.0034,1,0,11896.75,11728.25,long
IS,2020-11-05T00:00:00,,scratch,-0.1069,-0.1069,1,0,12179.0,12019.0,long
IS,2020-11-11T00:00:00,,scratch,-0.2034,-0.2034,1,0,11937.0,11871.5,long
IS,2020-11-18T00:00:00,,scratch,0.0301,0.0301,1,0,11811.5,11944.0,short
IS,2020-11-19T00:00:00,,scratch,0.1556,0.1556,1,0,11946.0,11995.0,short
IS,2020-11-20T00:00:00,,scratch,-0.2505,-0.2505,1,0,11831.5,11962.0,short
IS,2020-11-24T00:00:00,,scratch,0.2722,0.2722,1,0,12121.0,12063.0,long
IS,2020-11-25T00:00:00,,scratch,-0.1391,-0.1391,1,0,12197.75,12143.75,long
IS,2020-12-08T00:00:00,,scratch,,0.0,1,0,12669.0,12632.0,long
IS,2020-12-09T00:00:00,,scratch,-0.277,-0.277,1,0,12288.0,12389.5,short
IS,2020-12-18T00:00:00,,scratch,0.0657,0.0657,1,0,12853.25,12626.75,long
IS,2020-12-21T00:00:00,,,,0.0,0,1,,,short
