sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,scratch,0.4147,0.4147,1,0,8912.5,8867.0,long
IS,2020-01-03T00:00:00,,scratch,-0.1108,-0.1108,1,0,8788.5,8830.0,short
IS,2020-01-06T00:00:00,,loss,-1.0,-1.0,0,0,8885.0,8848.5,long
IS,2020-01-07T00:00:00,,win,0.8573,0.8573,0,0,8837.25,8875.25,short
IS,2020-01-09T00:00:00,,scratch,-0.0351,-0.0351,1,0,9026.5,8989.0,long
IS,2020-01-13T00:00:00,,scratch,0.0908,0.0908,1,0,9102.25,9071.25,long
IS,2020-01-14T00:00:00,,scratch,-0.0864,-0.0864,1,0,9091.0,9037.0,long
IS,2020-01-15T00:00:00,,scratch,0.3128,0.3128,1,0,9073.75,9033.25,long
IS,2020-01-16T00:00:00,,scratch,-0.1202,-0.1202,1,0,9158.0,9120.0,long
IS,2020-01-22T00:00:00,,win,0.8141,0.8141,0,0,9184.75,9213.25,short
IS,2020-01-27T00:00:00,,scratch,-0.3081,-0.3081,1,0,8931.5,8977.0,short
IS,2020-01-28T00:00:00,,win,0.8303,0.8303,0,0,9128.5,9097.0,long
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9149.5,9106.5,long
IS,2020-01-30T00:00:00,,win,0.8728,0.8728,0,0,9170.0,9127.0,long
IS,2020-01-31T00:00:00,,scratch,0.0933,0.0933,1,0,9034.25,8982.75,long
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9098.5,9137.0,short
IS,2020-02-04T00:00:00,,scratch,0.0013,0.0013,1,0,9388.0,9331.5,long
IS,2020-02-05T00:00:00,,scratch,0.1255,0.1255,1,0,9410.25,9356.75,long
IS,2020-02-06T00:00:00,,scratch,0.2312,0.2312,1,0,9478.75,9433.75,long
IS,2020-02-07T00:00:00,,scratch,-0.0487,-0.0487,1,0,9382.25,9418.75,short
IS,2020-02-10T00:00:00,,scratch,-0.0279,-0.0279,1,0,9550.0,9502.0,long
IS,2020-02-13T00:00:00,,scratch,0.6435,0.6435,1,0,9629.25,9594.75,long
IS,2020-02-14T00:00:00,,scratch,-0.0542,-0.0542,1,0,9646.5,9614.0,long
IS,2020-02-19T00:00:00,,scratch,-0.1228,-0.1228,1,0,9748.75,9719.75,long
IS,2020-02-20T00:00:00,,scratch,,0.0,1,0,9594.0,9643.5,short
IS,2020-02-24T00:00:00,,scratch,-0.2244,-0.2244,1,0,9023.5,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.1668,-0.1668,1,0,8940.25,8823.75,long
IS,2020-02-26T00:00:00,,win,0.9079,0.9079,0,0,8844.75,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.6376,0.6376,1,0,8302.75,8558.75,short
IS,2020-03-03T00:00:00,,scratch,-0.01,-0.01,1,0,8440.25,8679.75,short
IS,2020-03-09T00:00:00,,scratch,-0.5143,-0.5143,1,0,7768.75,8094.25,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8473.75,8261.75,long
IS,2020-03-12T00:00:00,,scratch,0.2748,0.2748,1,0,7024.75,7469.75,short
IS,2020-03-17T00:00:00,,scratch,0.6207,0.6207,1,0,7238.25,7478.75,short
IS,2020-03-18T00:00:00,,scratch,0.3807,0.3807,1,0,7501.0,6928.5,long
IS,2020-03-19T00:00:00,,scratch,0.563,0.563,1,0,7062.75,7450.75,short
IS,2020-03-20T00:00:00,,scratch,0.1578,0.1578,1,0,6821.5,7082.0,short
IS,2020-03-24T00:00:00,,win,0.9663,0.9663,0,0,7622.5,7452.0,long
IS,2020-03-27T00:00:00,,scratch,-0.0089,-0.0089,1,0,7425.25,7693.75,short
IS,2020-04-02T00:00:00,,scratch,0.0943,0.0943,1,0,7703.25,7546.25,long
IS,2020-04-03T00:00:00,,scratch,-0.0951,-0.0951,1,0,7624.25,7438.75,long
IS,2020-04-07T00:00:00,,scratch,0.254,0.254,1,0,7896.25,8165.25,short
IS,2020-04-09T00:00:00,,scratch,0.1632,0.1632,1,0,8285.75,8171.75,long
IS,2020-04-13T00:00:00,,scratch,0.5362,0.5362,1,0,8390.5,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9483,0.9483,0,0,8820.75,8710.75,long
IS,2020-04-20T00:00:00,,scratch,-0.6882,-0.6882,1,0,8661.5,8758.0,short
IS,2020-04-22T00:00:00,,scratch,0.4277,0.4277,1,0,8589.75,8699.25,short
IS,2020-04-23T00:00:00,,win,0.9404,0.9404,0,0,8573.25,8668.25,short
IS,2020-04-27T00:00:00,,scratch,0.0777,0.0777,1,0,8787.5,8850.0,short
IS,2020-04-28T00:00:00,,win,0.9509,0.9509,0,0,8770.5,8654.5,long
IS,2020-04-29T00:00:00,,win,0.9517,0.9517,0,0,9077.0,8959.0,long
IS,2020-04-30T00:00:00,,win,0.9619,0.9619,0,0,8849.25,8999.75,short
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8762.5,8827.5,short
IS,2020-05-06T00:00:00,,scratch,0.3507,0.3507,1,0,8917.0,8997.0,short
IS,2020-05-07T00:00:00,,win,0.8917,0.8917,0,0,9117.75,9066.75,long
IS,2020-05-08T00:00:00,,scratch,-0.0212,-0.0212,1,0,9240.5,9200.0,long
IS,2020-05-11T00:00:00,,scratch,-0.2597,-0.2597,1,0,9252.5,9320.5,short
IS,2020-05-12T00:00:00,,win,0.9564,0.9564,0,0,9034.5,9165.5,short
IS,2020-05-13T00:00:00,,scratch,0.2647,0.2647,1,0,9078.5,8930.0,long
IS,2020-05-14T00:00:00,,scratch,-0.1802,-0.1802,1,0,9149.75,9028.25,long
IS,2020-05-18T00:00:00,,scratch,-0.6702,-0.6702,1,0,9275.0,9360.0,short
IS,2020-05-20T00:00:00,,scratch,-0.1216,-0.1216,1,0,9515.25,9461.25,long
IS,2020-05-21T00:00:00,,scratch,-0.4425,-0.4425,1,0,9329.5,9405.5,short
IS,2020-05-22T00:00:00,,scratch,0.2495,0.2495,1,0,9439.5,9390.0,long
IS,2020-05-26T00:00:00,,scratch,0.2065,0.2065,1,0,9431.0,9373.0,long
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9468.0,9412.5,long
IS,2020-05-28T00:00:00,,scratch,-0.206,-0.206,1,0,9524.75,9387.25,long
IS,2020-05-29T00:00:00,,scratch,0.2951,0.2951,1,0,9625.0,9517.5,long
IS,2020-06-02T00:00:00,,scratch,-0.299,-0.299,1,0,9706.25,9605.75,long
IS,2020-06-03T00:00:00,,scratch,0.192,0.192,1,0,9655.25,9728.25,short
IS,2020-06-04T00:00:00,,scratch,0.0218,0.0218,1,0,9676.25,9583.75,long
IS,2020-06-09T00:00:00,,scratch,-0.6941,-0.6941,1,0,9921.5,9990.5,short
IS,2020-06-10T00:00:00,,scratch,0.6859,0.6859,1,0,10031.25,10139.25,short
IS,2024-11-27T00:00:00,,scratch,-0.3992,-0.3992,1,0,20845.5,20788.5,long
IS,2024-12-02T00:00:00,,loss,-1.0,-1.0,0,0,21254.5,21212.0,long
IS,2024-12-03T00:00:00,,scratch,0.7243,0.7243,1,0,21333.75,21244.75,long
IS,2024-12-04T00:00:00,,win,0.8623,0.8623,0,0,21510.5,21550.0,short
IS,2024-12-05T00:00:00,,scratch,0.1228,0.1228,1,0,21423.5,21494.5,short
IS,2024-12-06T00:00:00,,scratch,0.0347,0.0347,1,0,21608.0,21665.0,short
IS,2024-12-10T00:00:00,,win,0.9033,0.9033,0,0,21438.25,21380.75,long
IS,2024-12-11T00:00:00,,win,0.8755,0.8755,0,0,21764.0,21808.0,short
IS,2024-12-12T00:00:00,,loss,-1.0,-1.0,0,0,21599.75,21684.25,short
IS,2024-12-13T00:00:00,,win,0.8896,0.8896,0,0,21763.0,21813.0,short
IS,2024-12-17T00:00:00,,scratch,-0.3509,-0.3509,1,0,22251.25,22330.75,short
IS,2024-12-18T00:00:00,,scratch,-0.1195,-0.1195,1,0,21170.0,21689.5,short
IS,2024-12-19T00:00:00,,scratch,-0.433,-0.433,1,0,21256.0,21470.0,short
IS,2024-12-23T00:00:00,,scratch,-0.259,-0.259,1,0,21693.25,21767.25,short
IS,2024-12-26T00:00:00,,scratch,0.2528,0.2528,1,0,21941.0,22061.0,short
IS,2024-12-27T00:00:00,,scratch,0.0519,0.0519,1,0,21818.5,21608.0,long
IS,2024-12-30T00:00:00,,scratch,0.1821,0.1821,1,0,21314.25,21501.25,short
IS,2025-01-02T00:00:00,,scratch,-0.1222,-0.1222,1,0,21244.0,21133.0,long
IS,2025-01-06T00:00:00,,scratch,0.2657,0.2657,1,0,21841.75,21671.25,long
IS,2025-01-07T00:00:00,,scratch,-0.0069,-0.0069,1,0,21439.5,21309.0,long
IS,2025-01-08T00:00:00,,loss,-1.0,-1.0,0,0,21423.25,21332.25,long
IS,2025-01-13T00:00:00,,scratch,0.3417,0.3417,1,0,21039.75,20890.25,long
IS,2025-01-14T00:00:00,,scratch,0.493,0.493,1,0,21023.5,20830.5,long
IS,2025-01-15T00:00:00,,scratch,0.3676,0.3676,1,0,21351.5,21434.5,short
IS,2025-01-16T00:00:00,,scratch,0.2943,0.2943,1,0,21148.5,21339.5,short
IS,2025-01-17T00:00:00,,scratch,-0.1978,-0.1978,1,0,21520.75,21638.75,short
IS,2025-01-21T00:00:00,,win,0.9226,0.9226,0,0,21770.0,21697.5,long
IS,2025-01-22T00:00:00,,scratch,-0.1081,-0.1081,1,0,21934.75,22028.25,short
IS,2025-01-27T00:00:00,,scratch,0.4632,0.4632,1,0,21343.75,21186.75,long
IS,2025-01-28T00:00:00,,scratch,-0.0288,-0.0288,1,0,21508.75,21607.25,short
IS,2025-01-29T00:00:00,,loss,-1.0,-1.0,0,0,21389.0,21553.0,short
IS,2025-01-30T00:00:00,,scratch,-0.381,-0.381,1,0,21791.5,21523.0,long
IS,2025-01-31T00:00:00,,scratch,-0.2457,-0.2457,1,0,21457.75,21641.75,short
IS,2025-02-03T00:00:00,,loss,-1.0,-1.0,0,0,21350.5,21446.5,short
IS,2025-02-04T00:00:00,,loss,-1.0,-1.0,0,0,21587.5,21685.5,short
IS,2025-02-05T00:00:00,,scratch,0.0036,0.0036,1,0,21848.25,21690.75,long
IS,2025-02-06T00:00:00,,scratch,-0.4947,-0.4947,1,0,21735.5,21882.0,short
IS,2025-02-07T00:00:00,,scratch,0.108,0.108,1,0,21543.0,21619.5,short
IS,2025-02-10T00:00:00,,scratch,-0.2357,-0.2357,1,0,21799.5,21862.0,short
IS,2025-02-12T00:00:00,,win,0.9182,0.9182,0,0,21845.0,21776.5,long
IS,2025-02-14T00:00:00,,scratch,-0.4036,-0.4036,1,0,22156.5,22224.0,short
IS,2025-02-18T00:00:00,,scratch,-0.2009,-0.2009,1,0,22317.5,22161.5,long
IS,2025-02-21T00:00:00,,scratch,0.0179,0.0179,1,0,21619.0,21704.5,short
IS,2025-02-25T00:00:00,,scratch,0.1747,0.1747,1,0,21244.75,21121.25,long
IS,2025-02-26T00:00:00,,loss,-1.0,-1.0,0,0,21284.75,21164.75,long
IS,2025-02-27T00:00:00,,scratch,-0.3346,-0.3346,1,0,20486.75,20707.75,short
IS,2025-03-03T00:00:00,,scratch,0.3634,0.3634,1,0,20617.5,20339.5,long
IS,2025-03-04T00:00:00,,scratch,-0.081,-0.081,1,0,20783.0,20324.0,long
IS,2025-03-05T00:00:00,,scratch,-0.0899,-0.0899,1,0,20498.5,20706.0,short
IS,2025-03-06T00:00:00,,win,0.9646,0.9646,0,0,20202.75,20040.75,long
IS,2025-03-07T00:00:00,,scratch,-0.3804,-0.3804,1,0,20032.25,20286.75,short
IS,2025-03-11T00:00:00,,scratch,-0.4528,-0.4528,1,0,19220.5,19563.0,short
IS,2025-03-13T00:00:00,,win,0.96,0.96,0,0,19327.5,19184.5,long
IS,2025-03-14T00:00:00,,scratch,-0.1028,-0.1028,1,0,19576.25,19742.75,short
IS,2025-03-17T00:00:00,,scratch,-0.2773,-0.2773,1,0,19729.25,19920.75,short
IS,2025-03-18T00:00:00,,scratch,-0.2475,-0.2475,1,0,19782.25,19662.25,long
IS,2025-03-21T00:00:00,,scratch,-0.03,-0.03,1,0,20104.0,19843.0,long
IS,2025-03-24T00:00:00,,scratch,0.3512,0.3512,1,0,20322.25,20409.25,short
IS,2025-03-25T00:00:00,,win,0.9146,0.9146,0,0,20526.75,20461.25,long
IS,2025-03-26T00:00:00,,win,0.9449,0.9449,0,0,20031.75,20134.75,short
IS,2025-03-28T00:00:00,,win,0.9511,0.9511,0,0,19364.75,19481.25,short
IS,2025-04-02T00:00:00,,win,0.943,0.943,0,0,19695.0,19794.5,short
IS,2025-04-03T00:00:00,,scratch,0.1995,0.1995,1,0,18568.0,18761.0,short
IS,2025-04-04T00:00:00,,scratch,0.1307,0.1307,1,0,17221.25,17834.75,short
IS,2025-04-07T00:00:00,,scratch,0.8288,0.8288,1,0,17775.5,17423.0,long
IS,2025-04-08T00:00:00,,scratch,-0.6718,-0.6718,1,0,17549.5,16972.0,long
IS,2025-04-10T00:00:00,,scratch,-0.1032,-0.1032,1,0,18871.5,18240.5,long
IS,2025-04-14T00:00:00,,scratch,0.7213,0.7213,1,0,18780.5,19060.5,short
IS,2025-04-16T00:00:00,,scratch,0.0397,0.0397,1,0,18576.25,18224.25,long
IS,2025-04-17T00:00:00,,scratch,0.2048,0.2048,1,0,18493.25,18329.75,long
IS,2025-04-22T00:00:00,,win,0.9686,0.9686,0,0,18498.0,18315.0,long
IS,2025-04-23T00:00:00,,scratch,-0.3561,-0.3561,1,0,18987.25,18736.25,long
IS,2025-04-24T00:00:00,,win,0.9449,0.9449,0,0,19390.25,19287.25,long
IS,2025-04-25T00:00:00,,scratch,0.0731,0.0731,1,0,19634.75,19458.75,long
IS,2025-04-28T00:00:00,,scratch,0.4284,0.4284,1,0,19451.0,19579.0,short
IS,2025-04-29T00:00:00,,scratch,0.8254,0.8254,1,0,19557.5,19682.5,short
IS,2025-04-30T00:00:00,,win,0.984,0.984,0,0,19896.75,19535.25,long
IS,2025-05-01T00:00:00,,scratch,0.3878,0.3878,1,0,19686.75,20025.75,short
IS,2025-05-02T00:00:00,,scratch,-0.275,-0.275,1,0,20282.0,20152.5,long
IS,2025-05-05T00:00:00,,scratch,0.343,0.343,1,0,19971.5,20117.5,short
IS,2025-05-06T00:00:00,,loss,-1.0,-1.0,0,0,19768.75,19972.75,short
IS,2025-05-09T00:00:00,,scratch,-0.4289,-0.4289,1,0,20091.25,20169.75,short
IS,2025-05-12T00:00:00,,scratch,-0.3683,-0.3683,1,0,21050.0,20859.0,long
IS,2025-05-13T00:00:00,,scratch,-0.0688,-0.0688,1,0,21183.0,21331.5,short
IS,2025-05-14T00:00:00,,scratch,-0.3698,-0.3698,1,0,21482.25,21331.25,long
IS,2025-05-15T00:00:00,,scratch,-0.5602,-0.5602,1,0,21487.0,21353.5,long
IS,2025-05-16T00:00:00,,win,0.9451,0.9451,0,0,21409.5,21513.0,short
IS,2025-05-21T00:00:00,,scratch,0.0171,0.0171,1,0,21073.25,21221.25,short
IS,2025-05-23T00:00:00,,scratch,0.0401,0.0401,1,0,20871.5,21045.0,short
IS,2025-05-27T00:00:00,,scratch,-0.0172,-0.0172,1,0,21524.0,21415.5,long
IS,2025-05-28T00:00:00,,loss,-1.0,-1.0,0,0,21260.25,21437.25,short
IS,2025-05-30T00:00:00,,scratch,-0.2818,-0.2818,1,0,21257.25,21433.25,short
IS,2025-06-02T00:00:00,,scratch,-0.4943,-0.4943,1,0,21586.75,21495.75,long
IS,2025-06-04T00:00:00,,scratch,-0.0916,-0.0916,1,0,21706.25,21789.75,short
IS,2025-06-05T00:00:00,,scratch,0.0336,0.0336,1,0,21459.75,21667.25,short
IS,2025-06-06T00:00:00,,scratch,-0.5803,-0.5803,1,0,21739.25,21829.25,short
IS,2025-06-09T00:00:00,,scratch,-0.2783,-0.2783,1,0,21767.5,21859.5,short
IS,2025-06-11T00:00:00,,loss,-1.0,-1.0,0,0,21938.0,21847.0,long
IS,2025-06-12T00:00:00,,loss,-1.0,-1.0,0,0,21984.0,21892.0,long
IS,2025-06-13T00:00:00,,scratch,-0.1202,-0.1202,1,0,21718.25,21601.25,long
IS,2025-06-17T00:00:00,,win,0.949,0.949,0,0,21890.0,22001.5,short
IS,2025-06-20T00:00:00,,scratch,0.1929,0.1929,1,0,21922.5,21798.0,long
IS,2025-06-24T00:00:00,,scratch,0.1972,0.1972,1,0,22369.5,22440.5,short
IS,2025-06-25T00:00:00,,scratch,-0.1057,-0.1057,1,0,22501.75,22429.75,long
IS,2025-06-26T00:00:00,,loss,-1.0,-1.0,0,0,22613.75,22692.75,short
IS,2025-06-30T00:00:00,,scratch,0.3214,0.3214,1,0,22820.0,22934.0,short
IS,2025-07-01T00:00:00,,scratch,-0.618,-0.618,1,0,22627.25,22744.75,short
IS,2025-07-02T00:00:00,,scratch,-0.2296,-0.2296,1,0,22893.75,22814.25,long
IS,2025-07-07T00:00:00,,scratch,-0.1482,-0.1482,1,0,22788.25,22892.75,short
IS,2025-07-08T00:00:00,,scratch,0.1421,0.1421,1,0,22939.0,22874.5,long
IS,2025-07-09T00:00:00,,scratch,-0.0604,-0.0604,1,0,23088.75,23026.75,long
IS,2025-07-11T00:00:00,,scratch,0.5789,0.5789,1,0,22928.5,22981.0,short
IS,2025-07-15T00:00:00,,win,0.9562,0.9562,0,0,22984.5,23115.0,short
IS,2025-07-16T00:00:00,,win,0.8875,0.8875,0,0,23048.25,23097.25,short
IS,2025-07-17T00:00:00,,scratch,-0.3806,-0.3806,1,0,23211.75,23278.25,short
IS,2025-07-18T00:00:00,,scratch,-0.0306,-0.0306,1,0,23249.75,23206.25,long
IS,2025-07-22T00:00:00,,win,0.9057,0.9057,0,0,23189.25,23248.25,short
IS,2025-07-23T00:00:00,,win,0.9492,0.9492,0,0,23381.25,23269.25,long
IS,2025-07-24T00:00:00,,loss,-1.0,-1.0,0,0,23338.0,23406.0,short
IS,2025-07-25T00:00:00,,scratch,0.0478,0.0478,1,0,23480.0,23408.0,long
IS,2025-07-28T00:00:00,,win,0.9182,0.9182,0,0,23530.25,23461.75,long
IS,2025-07-30T00:00:00,,win,0.9706,0.9706,0,0,23588.75,23392.75,long
IS,2025-07-31T00:00:00,,loss,-1.0,-1.0,0,0,23209.5,23415.0,short
IS,2025-08-04T00:00:00,,win,0.9381,0.9381,0,0,23354.0,23262.5,long
IS,2025-08-05T00:00:00,,loss,-1.0,-1.0,0,0,23204.25,23121.25,long
IS,2025-08-06T00:00:00,,loss,-1.0,-1.0,0,0,23384.0,23429.0,short
IS,2025-08-07T00:00:00,,scratch,0.7039,0.7039,1,0,23571.75,23436.75,long
IS,2025-08-08T00:00:00,,win,0.9354,0.9354,0,0,23763.5,23676.0,long
IS,2025-08-12T00:00:00,,scratch,-0.4936,-0.4936,1,0,23990.0,23909.0,long
IS,2025-08-14T00:00:00,,win,0.9287,0.9287,0,0,23880.0,23959.0,short
IS,2025-08-15T00:00:00,,scratch,-0.1597,-0.1597,1,0,23752.5,23830.5,short
IS,2025-08-18T00:00:00,,loss,-1.0,-1.0,0,0,23769.0,23816.0,short
IS,2025-08-19T00:00:00,,scratch,-0.4995,-0.4995,1,0,23518.75,23435.75,long
IS,2025-08-20T00:00:00,,scratch,-0.0337,-0.0337,1,0,23270.0,23368.5,short
IS,2025-08-21T00:00:00,,loss,-1.0,-1.0,0,0,23171.75,23234.75,short
IS,2025-08-22T00:00:00,,scratch,-0.0403,-0.0403,1,0,23617.5,23548.0,long
