sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,scratch,0.1626,0.1626,1,0,8923.0,8867.0,long
IS,2020-01-03T00:00:00,,scratch,-0.1757,-0.1757,1,0,8785.0,8830.0,short
IS,2020-01-07T00:00:00,,scratch,0.1591,0.1591,1,0,8824.25,8875.25,short
IS,2020-01-13T00:00:00,,scratch,-0.0614,-0.0614,1,0,9107.75,9071.25,long
IS,2020-01-22T00:00:00,,scratch,0.1861,0.1861,1,0,9172.75,9213.25,short
IS,2020-01-28T00:00:00,,win,0.8418,0.8418,0,0,9129.75,9095.75,long
IS,2020-01-29T00:00:00,,scratch,-0.4505,-0.4505,1,0,9034.75,9133.75,short
IS,2020-01-30T00:00:00,,scratch,0.1251,0.1251,1,0,9320.5,9127.0,long
IS,2020-02-04T00:00:00,,scratch,0.0013,0.0013,1,0,9388.0,9331.5,long
IS,2020-02-05T00:00:00,,scratch,0.0687,0.0687,1,0,9413.25,9356.75,long
IS,2020-02-06T00:00:00,,scratch,0.1819,0.1819,1,0,9480.75,9433.75,long
IS,2020-02-07T00:00:00,,scratch,-0.0487,-0.0487,1,0,9382.25,9418.75,short
IS,2020-02-13T00:00:00,,scratch,0.4329,0.4329,1,0,9634.75,9594.75,long
IS,2020-02-14T00:00:00,,scratch,-0.2624,-0.2624,1,0,9656.5,9614.0,long
IS,2020-02-20T00:00:00,,scratch,,0.0,1,0,9594.0,9643.5,short
IS,2020-02-26T00:00:00,,scratch,0.2641,0.2641,1,0,8777.25,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.1234,0.1234,1,0,8184.25,8558.75,short
IS,2020-03-03T00:00:00,,scratch,-0.01,-0.01,1,0,8440.25,8679.75,short
IS,2020-03-12T00:00:00,,scratch,0.0108,0.0108,1,0,6907.75,7469.75,short
IS,2020-03-19T00:00:00,,scratch,0.2446,0.2446,1,0,6962.75,7450.75,short
IS,2020-03-20T00:00:00,,scratch,0.1578,0.1578,1,0,6821.5,7082.0,short
IS,2020-03-24T00:00:00,,scratch,0.1696,0.1696,1,0,7676.5,7452.0,long
IS,2020-03-27T00:00:00,,scratch,-0.0424,-0.0424,1,0,7415.75,7693.75,short
IS,2020-04-13T00:00:00,,scratch,0.5362,0.5362,1,0,8390.5,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9483,0.9483,0,0,8820.75,8710.75,long
IS,2020-04-23T00:00:00,,scratch,0.5008,0.5008,1,0,8515.25,8668.25,short
IS,2020-04-29T00:00:00,,scratch,0.4809,0.4809,1,0,9133.0,8959.0,long
IS,2020-04-30T00:00:00,,scratch,0.3364,0.3364,1,0,8751.25,8999.75,short
IS,2020-05-07T00:00:00,,scratch,0.413,0.413,1,0,9157.25,9066.75,long
IS,2020-05-08T00:00:00,,scratch,-0.1571,-0.1571,1,0,9247.5,9200.0,long
IS,2020-05-12T00:00:00,,scratch,0.2626,0.2626,1,0,8981.5,9165.5,short
IS,2020-05-20T00:00:00,,scratch,-0.2357,-0.2357,1,0,9523.75,9461.25,long
IS,2020-05-22T00:00:00,,scratch,0.2261,0.2261,1,0,9440.5,9390.0,long
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9468.0,9412.5,long
IS,2020-05-28T00:00:00,,scratch,-0.2894,-0.2894,1,0,9541.25,9387.25,long
IS,2020-05-29T00:00:00,,scratch,0.0718,0.0718,1,0,9648.0,9517.5,long
IS,2020-06-02T00:00:00,,scratch,-0.3251,-0.3251,1,0,9710.25,9605.75,long
