sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-05T00:00:00,,scratch,0.1255,0.1255,1,0,9410.25,9356.75,long
IS,2020-02-12T00:00:00,,loss,-0.75,-0.75,0,0,9637.25,9611.25,long
IS,2020-02-13T00:00:00,,scratch,0.6435,0.6435,1,0,9629.25,9594.75,long
IS,2020-02-14T00:00:00,,scratch,-0.0542,-0.0542,1,0,9646.5,9614.0,long
IS,2020-02-19T00:00:00,,scratch,-0.1228,-0.1228,1,0,9748.75,9719.75,long
IS,2020-02-20T00:00:00,,scratch,,0.0,1,0,9594.0,9643.5,short
IS,2020-02-24T00:00:00,,scratch,-0.2244,-0.2244,1,0,9023.5,9145.0,short
IS,2020-02-25T00:00:00,,scratch,-0.1668,-0.1668,1,0,8940.25,8823.75,long
IS,2020-02-26T00:00:00,,win,0.9079,0.9079,0,0,8844.75,8905.25,short
IS,2020-02-27T00:00:00,,scratch,0.6376,0.6376,1,0,8302.75,8558.75,short
IS,2020-03-03T00:00:00,,scratch,-0.01,-0.01,1,0,8440.25,8679.75,short
IS,2020-03-09T00:00:00,,scratch,-0.5143,-0.5143,1,0,7768.75,8094.25,short
IS,2020-03-10T00:00:00,,loss,-0.75,-0.75,0,0,8473.75,8261.75,long
IS,2020-03-12T00:00:00,,scratch,0.2748,0.2748,1,0,7024.75,7469.75,short
IS,2020-03-17T00:00:00,,scratch,0.6207,0.6207,1,0,7238.25,7478.75,short
IS,2020-03-18T00:00:00,,scratch,0.3807,0.3807,1,0,7501.0,6928.5,long
IS,2020-03-19T00:00:00,,scratch,0.563,0.563,1,0,7062.75,7450.75,short
IS,2020-03-20T00:00:00,,scratch,0.1578,0.1578,1,0,6821.5,7082.0,short
IS,2020-03-24T00:00:00,,win,0.9663,0.9663,0,0,7622.5,7452.0,long
IS,2020-03-27T00:00:00,,scratch,-0.0089,-0.0089,1,0,7425.25,7693.75,short
IS,2020-04-02T00:00:00,,scratch,0.0943,0.0943,1,0,7703.25,7546.25,long
IS,2020-04-03T00:00:00,,scratch,-0.0951,-0.0951,1,0,7624.25,7438.75,long
IS,2020-04-07T00:00:00,,scratch,0.254,0.254,1,0,7896.25,8165.25,short
IS,2020-04-09T00:00:00,,scratch,0.1632,0.1632,1,0,8285.75,8171.75,long
IS,2020-04-13T00:00:00,,scratch,0.5362,0.5362,1,0,8390.5,8279.5,long
IS,2020-04-16T00:00:00,,win,0.9483,0.9483,0,0,8820.75,8710.75,long
IS,2020-04-20T00:00:00,,loss,-0.75,-0.75,0,0,8661.5,8758.0,short
IS,2020-04-22T00:00:00,,scratch,0.4277,0.4277,1,0,8589.75,8699.25,short
IS,2020-04-23T00:00:00,,win,0.9404,0.9404,0,0,8573.25,8668.25,short
IS,2020-04-27T00:00:00,,scratch,0.0777,0.0777,1,0,8787.5,8850.0,short
IS,2020-04-28T00:00:00,,win,0.9509,0.9509,0,0,8770.5,8654.5,long
