sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,loss,-0.75,-0.75,0,0,23250.0,23206.25,long
IS,2025-08-22T00:00:00,,loss,-0.75,-0.75,0,0,23602.75,23551.5,long
IS,2025-08-25T00:00:00,,win,1.1883,1.1883,0,0,23523.625,23549.25,short
IS,2025-08-26T00:00:00,,win,1.3259,1.3259,0,0,23584.0,23535.25,long
IS,2025-08-27T00:00:00,,win,1.1815,1.1815,0,0,23645.5,23620.5,long
IS,2025-08-28T00:00:00,,loss,-0.75,-0.75,0,0,23769.625,23797.75,short
IS,2025-08-29T00:00:00,,win,1.3683,1.3683,0,0,23429.375,23495.0,short
IS,2025-09-02T00:00:00,,win,1.3238,1.3238,0,0,23283.375,23235.25,long
IS,2025-09-03T00:00:00,,win,1.3357,1.3357,0,0,23442.875,23391.0,long
IS,2025-09-04T00:00:00,,win,1.2519,1.2519,0,0,23659.375,23626.25,long
IS,2025-09-05T00:00:00,,loss,-0.75,-0.75,0,0,23636.5,23674.0,short
IS,2025-09-08T00:00:00,,loss,-0.75,-0.75,0,0,23780.625,23811.25,short
IS,2025-09-09T00:00:00,,win,1.2011,1.2011,0,0,23871.125,23844.25,long
IS,2025-09-10T00:00:00,,win,1.2879,1.2879,0,0,23891.625,23852.25,long
IS,2025-09-11T00:00:00,,loss,-0.75,-0.75,0,0,24058.5,24023.5,long
IS,2025-09-12T00:00:00,,loss,-0.75,-0.75,0,0,24147.375,24108.0,long
IS,2025-09-15T00:00:00,,loss,-0.75,-0.75,0,0,24248.0,24293.0,short
IS,2025-09-16T00:00:00,,loss,-0.75,-0.75,0,0,24565.375,24536.0,long
IS,2025-09-17T00:00:00,,loss,-0.75,-0.75,0,0,24546.875,24475.0,long
IS,2025-09-18T00:00:00,,loss,-0.75,-0.75,0,0,24746.125,24696.75,long
IS,2025-09-19T00:00:00,,win,1.2476,1.2476,0,0,24867.75,24835.25,long
IS,2025-09-22T00:00:00,,loss,-0.75,-0.75,0,0,25025.125,24990.75,long
IS,2025-09-23T00:00:00,,loss,-0.75,-0.75,0,0,24865.5,24820.5,long
IS,2025-09-24T00:00:00,,scratch,0.8361,0.8361,1,0,24764.5,24700.75,long
