sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9347.0,9383.25,short
IS,2020-02-12T00:00:00,,win,1.0266,1.0266,0,0,9626.875,9611.25,long
IS,2020-02-13T00:00:00,,win,1.2431,1.2431,0,0,9626.625,9594.75,long
IS,2020-02-14T00:00:00,,win,0.9122,0.9122,0,0,9625.875,9614.0,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9615.5,9644.25,short
IS,2020-02-19T00:00:00,,loss,-0.75,-0.75,0,0,9707.375,9730.5,short
IS,2020-02-20T00:00:00,,loss,-0.75,-0.75,0,0,9594.625,9639.0,short
IS,2020-02-21T00:00:00,,scratch,0.3866,0.3866,1,0,9472.875,9431.0,long
IS,2020-02-24T00:00:00,,scratch,0.5585,0.5585,1,0,9071.25,9145.0,short
IS,2020-02-25T00:00:00,,loss,-0.75,-0.75,0,0,8785.5,8881.75,short
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,8923.5,8883.5,long
IS,2020-02-27T00:00:00,,win,1.3901,1.3901,0,0,8479.375,8558.75,short
IS,2020-03-02T00:00:00,,win,1.4223,1.4223,0,0,8850.5,8736.75,long
IS,2020-03-03T00:00:00,,scratch,0.8332,0.8332,1,0,8519.75,8679.75,short
IS,2020-03-04T00:00:00,,win,1.3594,1.3594,0,0,8924.5,8863.25,long
IS,2020-03-05T00:00:00,,loss,-0.75,-0.75,0,0,8722.5,8637.5,long
IS,2020-03-06T00:00:00,,win,1.4069,1.4069,0,0,8533.125,8438.75,long
IS,2020-03-09T00:00:00,,win,1.4384,1.4384,0,0,7949.875,8094.25,short
IS,2020-03-10T00:00:00,,win,1.4251,1.4251,0,0,8379.875,8261.75,long
IS,2020-03-11T00:00:00,,loss,-0.75,-0.75,0,0,7911.75,8051.75,short
IS,2020-03-12T00:00:00,,loss,-0.75,-0.75,0,0,7508.25,7354.5,long
IS,2020-03-13T00:00:00,,win,1.4549,1.4549,0,0,7818.75,7620.0,long
IS,2020-03-16T00:00:00,,win,1.459,1.459,0,0,7048.5,7267.25,short
IS,2020-03-17T00:00:00,,loss,-0.75,-0.75,0,0,7295.625,7478.75,short
IS,2020-03-18T00:00:00,,win,1.4624,1.4624,0,0,7167.25,6928.5,long
IS,2020-03-19T00:00:00,,win,1.4526,1.4526,0,0,7262.0,7450.75,short
IS,2020-03-20T00:00:00,,win,1.4511,1.4511,0,0,6898.875,7082.0,short
IS,2020-03-23T00:00:00,,loss,-0.75,-0.75,0,0,7033.0,6893.0,long
IS,2020-03-24T00:00:00,,win,1.4445,1.4445,0,0,7612.625,7452.0,long
IS,2020-03-25T00:00:00,,scratch,0.5337,0.5337,1,0,7417.125,7612.75,short
IS,2020-03-26T00:00:00,,loss,-0.75,-0.75,0,0,7806.875,7722.5,long
