sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,26005.75,25889.5,long
IS,2025-10-31T00:00:00,,scratch,1.4855,1.4855,1,0,25965.0,26095.5,short
IS,2025-11-03T00:00:00,,win,1.8608,1.8608,0,0,26169.5,26079.5,long
IS,2025-11-04T00:00:00,,scratch,0.2116,0.2116,1,0,25480.25,25643.0,short
IS,2025-11-07T00:00:00,,scratch,1.3627,1.3627,1,0,25266.5,25065.5,long
IS,2025-11-10T00:00:00,,scratch,0.172,0.172,1,0,25666.5,25758.75,short
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25695.25,25651.0,long
IS,2025-11-14T00:00:00,,scratch,0.2932,0.2932,1,0,25243.75,25071.25,long
IS,2025-11-17T00:00:00,,scratch,0.8878,0.8878,1,0,24967.5,24793.5,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24766.0,24623.5,long
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,24564.25,24771.25,short
IS,2025-11-20T00:00:00,,scratch,0.2887,0.2887,1,0,23947.75,24175.0,short
IS,2025-11-21T00:00:00,,scratch,0.575,0.575,1,0,24271.75,24439.75,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24894.75,24968.25,short
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,25164.5,25070.0,long
IS,2025-11-26T00:00:00,,scratch,0.2082,0.2082,1,0,25275.5,25343.75,short
IS,2025-12-01T00:00:00,,scratch,-0.2621,-0.2621,1,0,25340.25,25421.25,short
IS,2025-12-02T00:00:00,,scratch,0.4296,0.4296,1,0,25579.0,25636.0,short
IS,2025-12-03T00:00:00,,win,1.6746,1.6746,0,0,25647.0,25683.0,short
IS,2025-12-04T00:00:00,,win,1.8071,1.8071,0,0,25627.75,25564.0,long
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25614.75,25722.75,short
IS,2025-12-08T00:00:00,,win,1.7212,1.7212,0,0,25644.5,25601.75,long
IS,2025-12-09T00:00:00,,loss,-1.0,-1.0,0,0,25732.75,25699.0,long
IS,2025-12-10T00:00:00,,win,1.8263,1.8263,0,0,25781.25,25852.5,short
IS,2025-12-11T00:00:00,,win,1.7212,1.7212,0,0,25710.25,25667.5,long
IS,2025-12-15T00:00:00,,loss,-1.0,-1.0,0,0,25168.5,25096.5,long
IS,2025-12-16T00:00:00,,loss,-1.0,-1.0,0,0,25492.5,25394.25,long
IS,2025-12-18T00:00:00,,win,1.855,1.855,0,0,25256.25,25342.5,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9097.75,9133.0,short
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9317.5,9359.5,short
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9339.75,9383.25,short
IS,2020-02-06T00:00:00,,win,1.4823,1.4823,0,0,9456.0,9435.0,long
IS,2020-02-07T00:00:00,,scratch,1.0358,1.0358,1,0,9395.5,9418.75,short
IS,2020-02-10T00:00:00,,win,1.5244,1.5244,0,0,9526.75,9503.5,long
IS,2020-02-12T00:00:00,,scratch,0.5564,0.5564,1,0,9630.0,9611.25,long
IS,2020-02-13T00:00:00,,scratch,1.164,1.164,1,0,9633.0,9594.75,long
IS,2020-02-14T00:00:00,,win,1.2947,1.2947,0,0,9628.25,9614.0,long
IS,2020-02-18T00:00:00,,scratch,-0.7106,-0.7106,1,0,9609.75,9644.25,short
IS,2020-02-19T00:00:00,,loss,-1.0,-1.0,0,0,9702.75,9730.5,short
IS,2020-02-20T00:00:00,,loss,-1.0,-1.0,0,0,9585.75,9639.0,short
IS,2020-02-21T00:00:00,,scratch,0.3866,0.3866,1,0,9481.25,9431.0,long
IS,2020-02-24T00:00:00,,scratch,0.5585,0.5585,1,0,9056.5,9145.0,short
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,8766.25,8881.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,8931.5,8883.5,long
IS,2020-02-27T00:00:00,,win,1.8681,1.8681,0,0,8463.5,8558.75,short
IS,2020-03-02T00:00:00,,win,1.9067,1.9067,0,0,8873.25,8736.75,long
IS,2020-03-03T00:00:00,,scratch,0.8332,0.8332,1,0,8487.75,8679.75,short
IS,2020-03-04T00:00:00,,win,1.8313,1.8313,0,0,8936.75,8863.25,long
IS,2020-03-05T00:00:00,,scratch,0.0293,0.0293,1,0,8739.5,8637.5,long
IS,2020-03-06T00:00:00,,win,1.8883,1.8883,0,0,8552.0,8438.75,long
IS,2020-03-09T00:00:00,,win,1.926,1.926,0,0,7921.0,8094.25,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8403.5,8261.75,long
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,7883.75,8051.75,short
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7539.0,7354.5,long
IS,2020-03-13T00:00:00,,win,1.9459,1.9459,0,0,7858.5,7620.0,long
IS,2020-03-16T00:00:00,,win,1.9508,1.9508,0,0,7004.75,7267.25,short
IS,2020-03-17T00:00:00,,win,1.9414,1.9414,0,0,7259.0,7478.75,short
IS,2020-03-18T00:00:00,,win,1.9548,1.9548,0,0,7215.0,6928.5,long
IS,2020-03-19T00:00:00,,win,1.9431,1.9431,0,0,7224.25,7450.75,short
IS,2020-03-20T00:00:00,,scratch,1.0412,1.0412,1,0,6862.25,7082.0,short
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,7061.0,6893.0,long
IS,2020-03-24T00:00:00,,scratch,1.024,1.024,1,0,7644.75,7452.0,long
IS,2020-03-25T00:00:00,,scratch,0.5337,0.5337,1,0,7378.0,7612.75,short
IS,2020-03-26T00:00:00,,win,1.8756,1.8756,0,0,7823.75,7722.5,long
IS,2020-03-27T00:00:00,,scratch,1.262,1.262,1,0,7519.75,7693.75,short
IS,2020-03-30T00:00:00,,loss,-1.0,-1.0,0,0,7782.75,7870.5,short
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7652.75,7813.25,short
IS,2020-04-01T00:00:00,,scratch,-0.1207,-0.1207,1,0,7610.0,7416.5,long
IS,2020-04-02T00:00:00,,scratch,0.9462,0.9462,1,0,7676.75,7546.25,long
IS,2020-04-03T00:00:00,,scratch,0.3985,0.3985,1,0,7617.25,7438.75,long
IS,2020-04-06T00:00:00,,win,1.8447,1.8447,0,0,8058.0,7977.75,long
IS,2020-04-07T00:00:00,,loss,-1.0,-1.0,0,0,7994.25,8160.75,short
IS,2020-04-08T00:00:00,,loss,-1.0,-1.0,0,0,8254.75,8177.5,long
IS,2020-04-09T00:00:00,,loss,-1.0,-1.0,0,0,8109.5,8219.75,short
IS,2020-04-13T00:00:00,,loss,-1.0,-1.0,0,0,8245.5,8326.5,short
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8633.5,8698.75,short
IS,2020-04-15T00:00:00,,win,1.7627,1.7627,0,0,8557.0,8608.0,short
IS,2020-04-16T00:00:00,,win,1.7379,1.7379,0,0,8756.5,8710.75,long
IS,2020-04-17T00:00:00,,scratch,0.4698,0.4698,1,0,8832.25,8780.5,long
IS,2020-04-20T00:00:00,,loss,-1.0,-1.0,0,0,8695.5,8751.75,short
IS,2020-04-21T00:00:00,,loss,-1.0,-1.0,0,0,8326.25,8442.5,short
IS,2020-04-22T00:00:00,,loss,-1.0,-1.0,0,0,8726.25,8660.25,long
IS,2020-04-23T00:00:00,,loss,-1.0,-1.0,0,0,8599.0,8661.25,short
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8737.5,8780.25,short
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8806.25,8848.25,short
IS,2020-04-28T00:00:00,,loss,-1.0,-1.0,0,0,8624.5,8712.25,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8976.0,9012.0,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,8994.0,8940.0,long
IS,2020-05-01T00:00:00,,scratch,-0.1547,-0.1547,1,0,8647.75,8725.0,short
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8778.25,8813.5,short
IS,2020-05-05T00:00:00,,win,1.8028,1.8028,0,0,8961.0,8898.75,long
IS,2020-05-06T00:00:00,,scratch,0.712,0.712,1,0,8903.25,8997.0,short
IS,2020-05-07T00:00:00,,win,1.7527,1.7527,0,0,9115.5,9066.75,long
IS,2020-05-08T00:00:00,,loss,-1.0,-1.0,0,0,9182.5,9213.25,short
IS,2020-05-11T00:00:00,,scratch,0.2989,0.2989,1,0,9264.25,9320.5,short
IS,2020-05-12T00:00:00,,win,1.8209,1.8209,0,0,9096.5,9165.5,short
IS,2020-05-13T00:00:00,,scratch,1.2956,1.2956,1,0,9050.75,8930.0,long
IS,2020-05-14T00:00:00,,win,1.8133,1.8133,0,0,9094.25,9028.25,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,9161.0,9103.25,long
IS,2020-05-18T00:00:00,,loss,-1.0,-1.0,0,0,9313.0,9358.75,short
IS,2020-05-19T00:00:00,,win,1.855,1.855,0,0,9276.5,9362.75,short
IS,2020-05-20T00:00:00,,scratch,-0.1386,-0.1386,1,0,9535.25,9464.75,long
IS,2020-05-21T00:00:00,,win,1.6862,1.6862,0,0,9364.75,9402.25,short
IS,2020-05-22T00:00:00,,loss,-1.0,-1.0,0,0,9426.25,9391.75,long
