sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,scratch,0.0978,0.0978,1,0,8780.5,8850.0,short
IS,2020-01-14T00:00:00,,scratch,-0.2679,-0.2679,1,0,9010.5,9095.0,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9091.0,9043.5,long
IS,2020-01-21T00:00:00,,scratch,-0.1892,-0.1892,1,0,9203.25,9153.75,long
IS,2020-01-24T00:00:00,,loss,-1.0,-1.0,0,0,9096.25,9168.75,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8973.0,9008.5,short
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9057.25,8996.75,long
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9153.5,9106.5,long
IS,2020-02-07T00:00:00,,scratch,0.3066,0.3066,1,0,9376.25,9450.25,short
IS,2020-02-11T00:00:00,,win,0.9251,0.9251,0,0,9510.0,9585.0,short
IS,2020-02-13T00:00:00,,scratch,-0.3477,-0.3477,1,0,9591.75,9643.25,short
IS,2020-02-20T00:00:00,,win,0.9009,0.9009,0,0,9637.75,9581.75,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9052.25,9109.75,short
IS,2020-02-25T00:00:00,,win,0.9466,0.9466,0,0,8856.5,8963.0,short
IS,2020-02-26T00:00:00,,scratch,-0.0686,-0.0686,1,0,8701.5,8930.5,short
IS,2020-02-27T00:00:00,,win,0.9737,0.9737,0,0,8501.75,8721.25,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8753.5,8632.5,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8470.5,8698.0,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8798.75,8853.75,short
IS,2020-03-05T00:00:00,,win,0.9449,0.9449,0,0,8642.5,8745.5,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8316.25,8464.75,short
IS,2020-03-09T00:00:00,,win,0.9705,0.9705,0,0,7899.75,8094.75,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,7919.25,8148.25,short
IS,2020-03-11T00:00:00,,win,0.9542,0.9542,0,0,7943.5,8068.0,short
IS,2020-03-12T00:00:00,,win,0.9851,0.9851,0,0,7240.25,7629.75,short
IS,2020-03-13T00:00:00,,win,0.9701,0.9701,0,0,7390.0,7582.5,short
IS,2020-03-16T00:00:00,,loss,-1.0,-1.0,0,0,7196.25,7326.25,short
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7553.5,7262.0,long
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,6696.25,6984.25,short
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,7597.0,7322.0,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7338.0,7213.0,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6752.5,7077.0,short
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7243.0,7439.0,short
IS,2020-03-25T00:00:00,,win,0.9741,0.9741,0,0,7539.75,7762.25,short
IS,2020-03-26T00:00:00,,win,0.9633,0.9633,0,0,7803.0,7647.0,long
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7809.0,7628.5,long
IS,2020-03-30T00:00:00,,loss,-1.0,-1.0,0,0,7762.0,7837.5,short
IS,2020-03-31T00:00:00,,win,0.9625,0.9625,0,0,7739.5,7892.5,short
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7586.5,7505.0,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7442.0,7541.0,short
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7398.25,7471.25,short
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7882.5,7961.5,short
IS,2020-04-07T00:00:00,,win,0.9451,0.9451,0,0,8108.75,8212.25,short
IS,2020-04-08T00:00:00,,win,0.9454,0.9454,0,0,8224.0,8120.0,long
IS,2020-04-09T00:00:00,,win,0.9466,0.9466,0,0,8176.5,8283.0,short
IS,2020-04-13T00:00:00,,win,0.9519,0.9519,0,0,8313.5,8195.0,long
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8729.75,8652.25,long
IS,2020-04-15T00:00:00,,win,0.9009,0.9009,0,0,8617.25,8561.25,long
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8605.0,8695.0,short
IS,2020-04-17T00:00:00,,win,0.8965,0.8965,0,0,8704.5,8758.0,short
IS,2020-04-20T00:00:00,,loss,-1.0,-1.0,0,0,8852.0,8789.5,long
IS,2020-04-21T00:00:00,,loss,-1.0,-1.0,0,0,8517.0,8437.0,long
IS,2020-04-22T00:00:00,,win,0.9,0.9,0,0,8680.0,8624.5,long
IS,2020-04-23T00:00:00,,loss,-1.0,-1.0,0,0,8540.75,8691.25,short
IS,2020-04-24T00:00:00,,win,0.9394,0.9394,0,0,8767.25,8673.75,long
IS,2020-04-27T00:00:00,,win,0.8842,0.8842,0,0,8836.0,8788.5,long
IS,2020-04-28T00:00:00,,loss,-1.0,-1.0,0,0,8782.5,8719.0,long
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8894.5,8988.5,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,8979.0,8915.0,long
IS,2020-05-01T00:00:00,,win,0.8965,0.8965,0,0,8727.75,8674.25,long
IS,2020-05-04T00:00:00,,win,0.8992,0.8992,0,0,8774.5,8719.5,long
IS,2020-05-05T00:00:00,,win,0.8278,0.8278,0,0,9017.0,8986.0,long
IS,2020-05-06T00:00:00,,win,0.8927,0.8927,0,0,9005.0,9056.5,short
IS,2020-05-07T00:00:00,,win,0.8983,0.8983,0,0,9068.5,9123.0,short
IS,2020-05-08T00:00:00,,loss,-1.0,-1.0,0,0,9125.5,9191.5,short
IS,2020-05-11T00:00:00,,loss,-1.0,-1.0,0,0,9287.25,9323.25,short
IS,2020-05-12T00:00:00,,win,0.9146,0.9146,0,0,9227.75,9293.25,short
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,8890.75,8958.75,short
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8924.75,9009.75,short
IS,2020-05-15T00:00:00,,win,0.9241,0.9241,0,0,9122.0,9048.0,long
IS,2020-05-18T00:00:00,,scratch,-0.4278,-0.4278,1,0,9308.5,9361.5,short
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9383.0,9409.0,short
IS,2020-05-20T00:00:00,,loss,-1.0,-1.0,0,0,9419.5,9470.5,short
IS,2020-05-21T00:00:00,,loss,-1.0,-1.0,0,0,9444.0,9389.0,long
IS,2020-05-22T00:00:00,,loss,-1.0,-1.0,0,0,9428.25,9382.25,long
IS,2020-05-26T00:00:00,,win,0.8728,0.8728,0,0,9442.0,9485.0,short
IS,2020-05-27T00:00:00,,win,0.9079,0.9079,0,0,9369.25,9308.75,long
IS,2020-05-28T00:00:00,,win,0.9064,0.9064,0,0,9506.0,9565.5,short
IS,2020-05-29T00:00:00,,win,0.8974,0.8974,0,0,9473.5,9419.5,long
IS,2020-06-01T00:00:00,,win,0.8519,0.8519,0,0,9569.5,9606.0,short
IS,2020-06-02T00:00:00,,loss,-1.0,-1.0,0,0,9630.25,9590.25,long
IS,2020-06-03T00:00:00,,win,0.8655,0.8655,0,0,9704.25,9663.75,long
IS,2020-06-04T00:00:00,,win,0.9336,0.9336,0,0,9585.75,9670.75,short
IS,2020-06-05T00:00:00,,loss,-1.0,-1.0,0,0,9786.5,9842.0,short
IS,2020-06-08T00:00:00,,win,0.9188,0.9188,0,0,9893.5,9824.5,long
IS,2020-06-09T00:00:00,,win,0.8439,0.8439,0,0,9970.5,10005.0,short
IS,2020-06-10T00:00:00,,loss,-1.0,-1.0,0,0,10023.5,10074.0,short
