sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25014.0,25051.5,short
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25254.0,25272.0,short
IS,2025-10-09T00:00:00,,win,0.8937,0.8937,0,0,25214.0,25162.0,long
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,24786.0,24694.0,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24877.0,24911.0,short
IS,2025-10-14T00:00:00,,win,0.9381,0.9381,0,0,24844.0,24935.5,short
IS,2025-10-15T00:00:00,,win,0.9461,0.9461,0,0,24844.25,24738.75,long
IS,2025-10-16T00:00:00,,win,0.9416,0.9416,0,0,24858.0,24955.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24947.75,24851.25,long
IS,2025-10-20T00:00:00,,win,0.7609,0.7609,0,0,25354.5,25333.0,long
IS,2025-10-21T00:00:00,,win,0.8685,0.8685,0,0,25315.0,25273.5,long
IS,2025-10-22T00:00:00,,win,0.9251,0.9251,0,0,24848.75,24923.75,short
IS,2025-10-23T00:00:00,,win,0.9199,0.9199,0,0,25274.75,25204.75,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25568.25,25541.25,long
IS,2025-10-27T00:00:00,,win,0.8253,0.8253,0,0,25926.25,25895.75,long
IS,2025-10-28T00:00:00,,win,0.8351,0.8351,0,0,26157.75,26125.25,long
IS,2025-10-29T00:00:00,,win,0.7831,0.7831,0,0,26246.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,26008.75,26061.25,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,25861.25,25953.25,short
IS,2025-11-03T00:00:00,,win,0.8946,0.8946,0,0,26113.5,26166.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25583.0,25648.0,short
IS,2025-11-05T00:00:00,,win,0.817,0.817,0,0,25853.25,25824.25,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25377.75,25321.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24892.0,24935.0,short
IS,2025-11-10T00:00:00,,win,0.9114,0.9114,0,0,25695.5,25632.5,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25604.75,25655.75,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25647.0,25603.0,long
IS,2025-11-13T00:00:00,,win,0.8927,0.8927,0,0,25023.0,25074.5,short
IS,2025-11-14T00:00:00,,win,0.9316,0.9316,0,0,25107.5,25190.0,short
IS,2025-11-17T00:00:00,,win,0.9,0.9,0,0,25012.75,24957.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24849.75,24728.25,long
IS,2025-11-19T00:00:00,,win,0.943,0.943,0,0,24687.0,24587.5,long
IS,2025-11-20T00:00:00,,win,0.9756,0.9756,0,0,24286.5,24522.5,short
IS,2025-11-21T00:00:00,,win,0.9683,0.9683,0,0,24429.75,24248.25,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24966.5,24913.5,long
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24999.5,25028.5,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25266.5,25349.0,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25483.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25515.0,25576.5,short
IS,2025-12-03T00:00:00,,win,0.787,0.787,0,0,25651.25,25626.75,long
IS,2025-12-04T00:00:00,,win,0.8303,0.8303,0,0,25602.0,25633.5,short
IS,2025-12-05T00:00:00,,win,0.8573,0.8573,0,0,25720.5,25758.5,short
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25664.0,25604.5,long
IS,2025-12-09T00:00:00,,win,0.7609,0.7609,0,0,25708.25,25729.75,short
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25645.5,25595.0,long
IS,2025-12-11T00:00:00,,win,0.8303,0.8303,0,0,25643.25,25611.75,long
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25301.5,25342.5,short
IS,2025-12-30T00:00:00,,win,0.7208,0.7208,0,0,25726.0,25744.0,short
IS,2025-12-31T00:00:00,,win,0.7657,0.7657,0,0,25618.5,25596.5,long
IS,2022-09-28T00:00:00,,loss,-1.0,-1.0,0,0,11473.5,11501.0,short
IS,2022-09-29T00:00:00,,loss,-1.0,-1.0,0,0,11225.5,11158.5,long
IS,2022-09-30T00:00:00,,win,0.9017,0.9017,0,0,11178.75,11235.25,short
IS,2022-10-03T00:00:00,,win,0.8875,0.8875,0,0,11299.5,11250.5,long
IS,2022-10-04T00:00:00,,loss,-1.0,-1.0,0,0,11549.0,11580.5,short
IS,2022-10-05T00:00:00,,loss,-1.0,-1.0,0,0,11565.75,11600.25,short
IS,2022-10-06T00:00:00,,loss,-1.0,-1.0,0,0,11665.5,11597.0,long
IS,2022-10-07T00:00:00,,loss,-1.0,-1.0,0,0,11152.5,11116.0,long
IS,2022-10-10T00:00:00,,win,0.9287,0.9287,0,0,11008.75,10929.75,long
IS,2022-10-11T00:00:00,,loss,-1.0,-1.0,0,0,10992.5,10940.5,long
IS,2022-10-12T00:00:00,,loss,-1.0,-1.0,0,0,10820.75,10876.25,short
IS,2022-10-13T00:00:00,,win,0.9441,0.9441,0,0,11016.0,11117.5,short
