sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2024-12-02T00:00:00,,loss,-1.0,-1.0,0,0,21165.25,21223.75,short
IS,2024-12-03T00:00:00,,loss,-1.0,-1.0,0,0,21196.0,21240.0,short
IS,2024-12-04T00:00:00,,win,0.9017,0.9017,0,0,21495.5,21439.0,long
IS,2024-12-05T00:00:00,,win,0.9255,0.9255,0,0,21448.75,21524.25,short
IS,2024-12-06T00:00:00,,win,0.867,0.867,0,0,21619.25,21660.25,short
IS,2024-12-09T00:00:00,,loss,-1.0,-1.0,0,0,21569.0,21513.5,long
IS,2024-12-10T00:00:00,,win,0.8573,0.8573,0,0,21446.75,21484.75,short
IS,2024-12-11T00:00:00,,loss,-1.0,-1.0,0,0,21775.5,21811.5,short
IS,2024-12-12T00:00:00,,win,0.9009,0.9009,0,0,21675.5,21731.5,short
IS,2024-12-13T00:00:00,,win,0.8781,0.8781,0,0,21774.25,21729.25,long
IS,2024-12-16T00:00:00,,loss,-1.0,-1.0,0,0,22092.25,22124.25,short
IS,2024-12-17T00:00:00,,win,0.8755,0.8755,0,0,22291.0,22335.0,short
IS,2024-12-18T00:00:00,,win,0.914,0.914,0,0,22240.5,22305.5,short
IS,2024-12-19T00:00:00,,win,0.9296,0.9296,0,0,21588.75,21508.75,long
IS,2024-12-20T00:00:00,,loss,-1.0,-1.0,0,0,21622.75,21709.25,short
IS,2024-12-23T00:00:00,,loss,-1.0,-1.0,0,0,21794.75,21718.25,long
IS,2024-12-26T00:00:00,,loss,-1.0,-1.0,0,0,22091.25,21993.25,long
IS,2024-12-27T00:00:00,,win,0.9449,0.9449,0,0,21680.75,21577.75,long
IS,2024-12-30T00:00:00,,loss,-1.0,-1.0,0,0,21607.5,21513.0,long
IS,2024-12-31T00:00:00,,loss,-1.0,-1.0,0,0,21299.5,21203.0,long
IS,2025-01-02T00:00:00,,win,0.9627,0.9627,0,0,21144.25,20990.75,long
IS,2025-01-03T00:00:00,,loss,-1.0,-1.0,0,0,21564.5,21493.5,long
IS,2025-01-06T00:00:00,,win,0.9381,0.9381,0,0,21697.0,21788.5,short
IS,2025-01-07T00:00:00,,win,0.9601,0.9601,0,0,21364.25,21507.75,short
IS,2025-01-08T00:00:00,,win,0.9153,0.9153,0,0,21323.5,21389.5,short
IS,2025-02-04T00:00:00,,loss,-1.0,-1.0,0,0,21612.25,21645.75,short
IS,2025-02-05T00:00:00,,win,0.9336,0.9336,0,0,21765.0,21680.0,long
IS,2025-02-06T00:00:00,,win,0.9121,0.9121,0,0,21778.25,21841.75,short
IS,2025-02-07T00:00:00,,win,0.9586,0.9586,0,0,21587.5,21725.5,short
IS,2025-02-10T00:00:00,,loss,-1.0,-1.0,0,0,21886.0,21858.5,long
IS,2025-02-11T00:00:00,,loss,-1.0,-1.0,0,0,21894.5,21773.5,long
IS,2025-02-12T00:00:00,,loss,-1.0,-1.0,0,0,21728.5,21811.5,short
IS,2025-02-13T00:00:00,,win,0.9569,0.9569,0,0,22044.5,21912.0,long
IS,2025-02-14T00:00:00,,scratch,0.2192,0.2192,1,0,22230.5,22155.5,long
IS,2025-02-18T00:00:00,,loss,-1.0,-1.0,0,0,22191.0,22138.5,long
IS,2025-02-19T00:00:00,,win,0.8555,0.8555,0,0,22226.75,22264.25,short
IS,2025-02-20T00:00:00,,win,0.9009,0.9009,0,0,22093.5,22037.5,long
IS,2025-02-21T00:00:00,,win,0.9629,0.9629,0,0,21695.0,21849.5,short
IS,2025-02-24T00:00:00,,win,0.883,0.883,0,0,21603.75,21650.75,short
IS,2025-02-25T00:00:00,,loss,-1.0,-1.0,0,0,21076.5,21253.5,short
IS,2025-02-26T00:00:00,,loss,-1.0,-1.0,0,0,21050.5,21205.0,short
IS,2025-02-27T00:00:00,,win,0.9312,0.9312,0,0,21030.25,21112.25,short
IS,2025-02-28T00:00:00,,loss,-1.0,-1.0,0,0,20478.5,20667.0,short
IS,2025-03-03T00:00:00,,win,0.9533,0.9533,0,0,20774.75,20652.75,long
IS,2025-03-04T00:00:00,,win,0.9772,0.9772,0,0,20604.0,20350.5,long
IS,2025-03-05T00:00:00,,win,0.9644,0.9644,0,0,20609.5,20448.5,long
IS,2025-03-06T00:00:00,,loss,-1.0,-1.0,0,0,19917.75,20165.75,short
IS,2025-03-07T00:00:00,,win,0.9758,0.9758,0,0,20279.5,20041.0,long
