sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2022-11-07T00:00:00,,win,0.91,0.91,0,0,10965.75,10903.75,long
IS,2022-11-09T00:00:00,,scratch,0.1747,0.1747,1,0,10793.75,10917.25,short
IS,2022-11-10T00:00:00,,win,0.9481,0.9481,0,0,11563.75,11454.25,long
IS,2022-11-11T00:00:00,,loss,-0.75,-0.75,0,0,11894.25,11806.25,long
IS,2022-11-14T00:00:00,,loss,-0.75,-0.75,0,0,11920.75,11869.25,long
IS,2022-11-15T00:00:00,,scratch,0.112,0.112,1,0,11994.0,11764.0,long
IS,2022-11-16T00:00:00,,loss,-0.75,-0.75,0,0,11670.5,11804.0,short
IS,2022-11-17T00:00:00,,win,0.9413,0.9413,0,0,11678.5,11775.0,short
IS,2022-11-18T00:00:00,,win,0.9435,0.9435,0,0,11726.75,11626.25,long
IS,2022-11-21T00:00:00,,scratch,0.1777,0.1777,1,0,11561.25,11634.75,short
IS,2022-11-22T00:00:00,,loss,-0.75,-0.75,0,0,11665.0,11703.0,short
IS,2022-11-23T00:00:00,,loss,-0.75,-0.75,0,0,11776.75,11824.25,short
IS,2022-11-28T00:00:00,,scratch,0.0225,0.0225,1,0,11570.5,11682.5,short
IS,2022-11-29T00:00:00,,scratch,-0.1062,-0.1062,1,0,11567.25,11476.75,long
IS,2022-11-30T00:00:00,,win,0.9878,0.9878,0,0,12005.5,11529.5,long
IS,2022-12-01T00:00:00,,loss,-0.75,-0.75,0,0,12111.5,12025.0,long
IS,2022-12-02T00:00:00,,loss,-0.75,-0.75,0,0,11888.5,11946.5,short
IS,2022-12-05T00:00:00,,scratch,-0.4944,-0.4944,1,0,11711.0,11848.5,short
IS,2022-12-06T00:00:00,,loss,-0.75,-0.75,0,0,11498.25,11586.75,short
IS,2022-12-07T00:00:00,,scratch,0.0335,0.0335,1,0,11457.0,11546.0,short
IS,2022-12-08T00:00:00,,win,0.9278,0.9278,0,0,11607.5,11685.5,short
IS,2022-12-16T00:00:00,,loss,-0.75,-0.75,0,0,11349.25,11282.25,long
IS,2022-12-19T00:00:00,,win,0.9365,0.9365,0,0,11145.5,11234.5,short
IS,2022-12-21T00:00:00,,win,0.9041,0.9041,0,0,11385.0,11327.0,long
IS,2022-12-22T00:00:00,,win,0.9381,0.9381,0,0,10962.0,10870.5,long
IS,2022-12-23T00:00:00,,scratch,0.0444,0.0444,1,0,11107.25,11018.25,long
IS,2022-12-27T00:00:00,,loss,-0.75,-0.75,0,0,10874.75,10948.25,short
IS,2022-12-28T00:00:00,,win,0.9199,0.9199,0,0,10777.25,10847.25,short
IS,2022-12-29T00:00:00,,loss,-0.75,-0.75,0,0,11079.25,11020.75,long
IS,2022-12-30T00:00:00,,loss,-0.75,-0.75,0,0,10866.5,10928.0,short
