sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,win,1.3999,1.3999,0,0,23228.25,23140.75,long
IS,2025-08-22T00:00:00,,loss,-1.0,-1.0,0,0,23643.375,23602.75,long
IS,2025-08-25T00:00:00,,win,1.2677,1.2677,0,0,23555.375,23591.0,short
IS,2025-08-26T00:00:00,,win,1.341,1.341,0,0,23486.25,23540.0,short
IS,2025-08-27T00:00:00,,win,1.0926,1.0926,0,0,23620.5,23601.75,long
IS,2025-08-28T00:00:00,,win,1.3075,1.3075,0,0,23798.5,23754.75,long
IS,2025-08-29T00:00:00,,win,1.3683,1.3683,0,0,23483.625,23418.0,long
IS,2025-09-02T00:00:00,,loss,-1.0,-1.0,0,0,23245.5,23160.5,long
IS,2025-09-03T00:00:00,,win,1.3729,1.3729,0,0,23366.875,23435.0,short
IS,2025-09-04T00:00:00,,win,1.2338,1.2338,0,0,23597.125,23566.5,long
IS,2025-09-05T00:00:00,,win,1.3171,1.3171,0,0,23595.5,23641.75,short
IS,2025-09-08T00:00:00,,win,1.2385,1.2385,0,0,23781.25,23812.5,short
IS,2025-09-09T00:00:00,,loss,-1.0,-1.0,0,0,23810.0,23847.5,short
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,23929.375,23877.5,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,24055.375,24013.5,long
IS,2025-09-12T00:00:00,,loss,-1.0,-1.0,0,0,24083.75,24107.5,short
IS,2025-09-15T00:00:00,,win,1.2476,1.2476,0,0,24281.25,24248.75,long
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24514.25,24536.75,short
IS,2025-09-17T00:00:00,,win,1.2677,1.2677,0,0,24445.375,24409.75,long
IS,2025-09-18T00:00:00,,win,1.3338,1.3338,0,0,24715.25,24766.5,short
IS,2025-09-19T00:00:00,,loss,-1.0,-1.0,0,0,24846.875,24805.0,long
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24953.0,24998.0,short
IS,2025-09-23T00:00:00,,win,1.3357,1.3357,0,0,24827.625,24879.5,short
IS,2025-09-24T00:00:00,,win,1.2879,1.2879,0,0,24708.125,24747.5,short
IS,2025-09-25T00:00:00,,win,1.3978,1.3978,0,0,24520.625,24606.25,short
IS,2025-09-26T00:00:00,,loss,-1.0,-1.0,0,0,24730.5,24696.75,long
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,24870.625,24815.0,long
IS,2025-09-30T00:00:00,,loss,-1.0,-1.0,0,0,24777.375,24731.75,long
IS,2025-10-01T00:00:00,,loss,-1.0,-1.0,0,0,24950.875,24986.5,short
IS,2025-10-02T00:00:00,,loss,-1.0,-1.0,0,0,25125.625,25080.0,long
IS,2025-10-03T00:00:00,,win,1.4219,1.4219,0,0,24946.375,25059.5,short
IS,2025-10-06T00:00:00,,loss,-1.0,-1.0,0,0,25200.0,25226.25,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25004.625,25051.5,short
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25249.5,25272.0,short
IS,2025-10-09T00:00:00,,win,1.3671,1.3671,0,0,25227.0,25162.0,long
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,24809.0,24694.0,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24868.5,24911.0,short
IS,2025-10-14T00:00:00,,win,1.4227,1.4227,0,0,24821.125,24935.5,short
IS,2025-10-15T00:00:00,,win,1.4327,1.4327,0,0,24870.625,24738.75,long
IS,2025-10-16T00:00:00,,win,1.4269,1.4269,0,0,24833.75,24955.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24971.875,24851.25,long
IS,2025-10-20T00:00:00,,loss,-1.0,-1.0,0,0,25359.875,25333.0,long
IS,2025-10-21T00:00:00,,win,1.3357,1.3357,0,0,25325.375,25273.5,long
IS,2025-10-22T00:00:00,,win,1.4063,1.4063,0,0,24830.0,24923.75,short
IS,2025-10-23T00:00:00,,win,1.3999,1.3999,0,0,25292.25,25204.75,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25575.0,25541.25,long
IS,2025-10-27T00:00:00,,win,1.2816,1.2816,0,0,25933.875,25895.75,long
IS,2025-10-28T00:00:00,,win,1.2939,1.2939,0,0,26165.875,26125.25,long
IS,2025-10-29T00:00:00,,win,1.2288,1.2288,0,0,26252.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25995.625,26061.25,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,25838.25,25953.25,short
IS,2025-11-03T00:00:00,,win,1.3683,1.3683,0,0,26100.375,26166.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25566.75,25648.0,short
IS,2025-11-05T00:00:00,,win,1.2713,1.2713,0,0,25860.5,25824.25,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25391.875,25321.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24881.25,24935.0,short
IS,2025-11-10T00:00:00,,win,1.3893,1.3893,0,0,25711.25,25632.5,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25592.0,25655.75,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25658.0,25603.0,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,25010.125,25074.5,short
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25086.875,25190.0,short
IS,2025-11-17T00:00:00,,win,1.375,1.375,0,0,25026.625,24957.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24880.125,24728.25,long
IS,2025-11-19T00:00:00,,win,1.4287,1.4287,0,0,24711.875,24587.5,long
IS,2025-11-20T00:00:00,,win,1.4694,1.4694,0,0,24227.5,24522.5,short
IS,2025-11-21T00:00:00,,win,1.4604,1.4604,0,0,24475.125,24248.25,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24979.75,24913.5,long
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24992.25,25028.5,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25245.875,25349.0,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25488.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25499.625,25576.5,short
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25657.375,25626.75,long
IS,2025-12-04T00:00:00,,win,1.2879,1.2879,0,0,25594.125,25633.5,short
IS,2025-12-05T00:00:00,,win,1.3216,1.3216,0,0,25711.0,25758.5,short
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25678.875,25604.5,long
IS,2025-12-09T00:00:00,,win,1.2011,1.2011,0,0,25702.875,25729.75,short
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25658.125,25595.0,long
IS,2025-12-11T00:00:00,,win,1.2879,1.2879,0,0,25651.125,25611.75,long
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25291.25,25342.5,short
IS,2025-12-15T00:00:00,,win,1.4114,1.4114,0,0,25178.375,25079.0,long
IS,2025-12-16T00:00:00,,win,1.4339,1.4339,0,0,25336.375,25202.0,long
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25043.75,24993.75,long
IS,2025-12-18T00:00:00,,loss,-1.0,-1.0,0,0,25437.5,25362.5,long
IS,2025-12-19T00:00:00,,loss,-1.0,-1.0,0,0,25535.75,25579.5,short
IS,2025-12-22T00:00:00,,loss,-1.0,-1.0,0,0,25671.875,25695.0,short
IS,2025-12-23T00:00:00,,win,1.2184,1.2184,0,0,25796.75,25768.0,long
IS,2025-12-26T00:00:00,,win,1.1744,1.1744,0,0,25893.125,25868.75,long
IS,2025-12-29T00:00:00,,loss,-1.0,-1.0,0,0,25738.375,25700.25,long
IS,2025-12-30T00:00:00,,win,1.1511,1.1511,0,0,25721.5,25744.0,short
IS,2025-12-31T00:00:00,,win,1.2071,1.2071,0,0,25624.0,25596.5,long
IS,2020-01-02T00:00:00,,loss,-1.0,-1.0,0,0,8831.875,8840.0,short
IS,2020-01-03T00:00:00,,win,1.2385,1.2385,0,0,8818.75,8850.0,short
IS,2020-01-06T00:00:00,,loss,-1.0,-1.0,0,0,8824.25,8835.5,short
IS,2020-01-07T00:00:00,,win,1.0266,1.0266,0,0,8869.375,8885.0,short
IS,2020-01-08T00:00:00,,loss,-1.0,-1.0,0,0,8948.625,8938.0,long
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,8978.5,8987.25,short
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,9020.75,9010.75,long
IS,2020-01-13T00:00:00,,loss,-1.0,-1.0,0,0,9059.125,9069.75,short
IS,2020-01-14T00:00:00,,win,1.0415,1.0415,0,0,9078.75,9095.0,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9023.875,9067.0,short
IS,2020-01-16T00:00:00,,win,1.1744,1.1744,0,0,9116.125,9091.75,long
IS,2020-01-17T00:00:00,,loss,-1.0,-1.0,0,0,9150.375,9157.25,short
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9142.0,9178.25,short
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9248.875,9240.75,long
IS,2020-01-23T00:00:00,,win,1.0107,1.0107,0,0,9210.75,9195.75,long
IS,2020-01-24T00:00:00,,win,1.2071,1.2071,0,0,9141.25,9168.75,short
IS,2020-01-27T00:00:00,,win,1.1744,1.1744,0,0,8983.875,9008.25,short
IS,2020-01-28T00:00:00,,loss,-1.0,-1.0,0,0,9074.875,9095.5,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9135.75,9144.5,short
IS,2020-01-30T00:00:00,,win,1.2848,1.2848,0,0,9085.5,9046.75,long
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,8974.875,9026.75,short
IS,2020-02-03T00:00:00,,win,1.2237,1.2237,0,0,9135.875,9106.5,long
IS,2020-02-04T00:00:00,,win,1.0686,1.0686,0,0,9335.75,9318.25,long
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9374.75,9347.25,long
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9431.0,9441.0,short
IS,2020-02-07T00:00:00,,win,1.2968,1.2968,0,0,9409.0,9450.25,short
IS,2020-02-10T00:00:00,,loss,-1.0,-1.0,0,0,9461.0,9478.5,short
IS,2020-02-11T00:00:00,,win,1.2011,1.2011,0,0,9558.125,9585.0,short
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9619.625,9604.0,long
IS,2020-02-13T00:00:00,,win,1.0809,1.0809,0,0,9635.875,9617.75,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9622.25,9598.5,long
IS,2020-02-18T00:00:00,,win,1.0809,1.0809,0,0,9609.125,9627.25,short
IS,2020-02-19T00:00:00,,loss,-1.0,-1.0,0,0,9741.75,9733.0,long
IS,2020-02-20T00:00:00,,loss,-1.0,-1.0,0,0,9578.875,9609.5,short
IS,2020-02-21T00:00:00,,win,1.2476,1.2476,0,0,9436.25,9468.75,short
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9127.5,9081.25,long
