sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-07T00:00:00,,loss,-0.75,-0.75,0,0,25004.625,25051.5,short
IS,2025-10-08T00:00:00,,loss,-0.75,-0.75,0,0,25249.5,25272.0,short
IS,2025-10-09T00:00:00,,win,1.3671,1.3671,0,0,25227.0,25162.0,long
IS,2025-10-10T00:00:00,,loss,-0.75,-0.75,0,0,24809.0,24694.0,long
IS,2025-10-13T00:00:00,,loss,-0.75,-0.75,0,0,24868.5,24911.0,short
IS,2025-10-14T00:00:00,,loss,-0.75,-0.75,0,0,24821.125,24935.5,short
IS,2025-10-15T00:00:00,,win,1.4327,1.4327,0,0,24870.625,24738.75,long
IS,2025-10-16T00:00:00,,win,1.4269,1.4269,0,0,24833.75,24955.0,short
IS,2025-10-17T00:00:00,,loss,-0.75,-0.75,0,0,24971.875,24851.25,long
IS,2025-10-20T00:00:00,,loss,-0.75,-0.75,0,0,25359.875,25333.0,long
IS,2025-10-21T00:00:00,,win,1.3357,1.3357,0,0,25325.375,25273.5,long
IS,2025-10-22T00:00:00,,win,1.4063,1.4063,0,0,24830.0,24923.75,short
IS,2025-10-23T00:00:00,,win,1.3999,1.3999,0,0,25292.25,25204.75,long
IS,2025-10-24T00:00:00,,loss,-0.75,-0.75,0,0,25575.0,25541.25,long
IS,2025-10-27T00:00:00,,win,1.2816,1.2816,0,0,25933.875,25895.75,long
IS,2025-10-28T00:00:00,,win,1.2939,1.2939,0,0,26165.875,26125.25,long
IS,2025-10-29T00:00:00,,win,1.2288,1.2288,0,0,26252.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-0.75,-0.75,0,0,25995.625,26061.25,short
IS,2025-10-31T00:00:00,,loss,-0.75,-0.75,0,0,25838.25,25953.25,short
IS,2025-11-03T00:00:00,,win,1.3683,1.3683,0,0,26100.375,26166.0,short
IS,2025-11-04T00:00:00,,loss,-0.75,-0.75,0,0,25566.75,25648.0,short
IS,2025-11-05T00:00:00,,win,1.2713,1.2713,0,0,25860.5,25824.25,long
IS,2025-11-06T00:00:00,,loss,-0.75,-0.75,0,0,25391.875,25321.25,long
IS,2025-11-07T00:00:00,,loss,-0.75,-0.75,0,0,24881.25,24935.0,short
IS,2025-11-10T00:00:00,,win,1.3893,1.3893,0,0,25711.25,25632.5,long
IS,2025-11-11T00:00:00,,loss,-0.75,-0.75,0,0,25592.0,25655.75,short
IS,2025-11-12T00:00:00,,loss,-0.75,-0.75,0,0,25658.0,25603.0,long
IS,2025-11-13T00:00:00,,loss,-0.75,-0.75,0,0,25010.125,25074.5,short
IS,2025-11-14T00:00:00,,loss,-0.75,-0.75,0,0,25086.875,25190.0,short
IS,2025-11-17T00:00:00,,loss,-0.75,-0.75,0,0,25026.625,24957.25,long
IS,2025-11-18T00:00:00,,loss,-0.75,-0.75,0,0,24880.125,24728.25,long
IS,2025-11-19T00:00:00,,win,1.4287,1.4287,0,0,24711.875,24587.5,long
IS,2025-11-20T00:00:00,,win,1.4694,1.4694,0,0,24227.5,24522.5,short
IS,2025-11-21T00:00:00,,win,1.4604,1.4604,0,0,24475.125,24248.25,long
IS,2025-11-24T00:00:00,,loss,-0.75,-0.75,0,0,24979.75,24913.5,long
IS,2025-11-25T00:00:00,,loss,-0.75,-0.75,0,0,24992.25,25028.5,short
IS,2025-11-26T00:00:00,,loss,-0.75,-0.75,0,0,25245.875,25349.0,short
IS,2025-12-01T00:00:00,,loss,-0.75,-0.75,0,0,25488.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-0.75,-0.75,0,0,25499.625,25576.5,short
IS,2025-12-03T00:00:00,,loss,-0.75,-0.75,0,0,25657.375,25626.75,long
IS,2025-12-04T00:00:00,,win,1.2879,1.2879,0,0,25594.125,25633.5,short
IS,2025-12-05T00:00:00,,win,1.3216,1.3216,0,0,25711.0,25758.5,short
IS,2025-12-08T00:00:00,,loss,-0.75,-0.75,0,0,25678.875,25604.5,long
IS,2025-12-09T00:00:00,,win,1.2011,1.2011,0,0,25702.875,25729.75,short
IS,2025-12-10T00:00:00,,loss,-0.75,-0.75,0,0,25658.125,25595.0,long
IS,2025-12-11T00:00:00,,win,1.2879,1.2879,0,0,25651.125,25611.75,long
IS,2025-12-12T00:00:00,,loss,-0.75,-0.75,0,0,25291.25,25342.5,short
IS,2025-12-30T00:00:00,,win,1.1511,1.1511,0,0,25721.5,25744.0,short
IS,2025-12-31T00:00:00,,win,1.2071,1.2071,0,0,25624.0,25596.5,long
IS,2024-08-01T00:00:00,,win,1.3802,1.3802,0,0,18946.0,19018.5,short
IS,2024-08-02T00:00:00,,loss,-0.75,-0.75,0,0,18401.75,18498.0,short
IS,2024-08-05T00:00:00,,loss,-0.75,-0.75,0,0,18203.625,18090.5,long
IS,2024-08-06T00:00:00,,loss,-0.75,-0.75,0,0,18375.875,18436.5,short
IS,2024-08-07T00:00:00,,loss,-0.75,-0.75,0,0,18279.0,18191.5,long
IS,2024-08-08T00:00:00,,loss,-0.75,-0.75,0,0,18565.625,18487.5,long
IS,2024-08-09T00:00:00,,win,1.3971,1.3971,0,0,18589.75,18674.75,short
IS,2024-08-12T00:00:00,,win,1.3049,1.3049,0,0,18626.375,18669.5,short
IS,2024-08-13T00:00:00,,win,1.3867,1.3867,0,0,19007.375,19084.25,short
IS,2024-08-14T00:00:00,,loss,-0.75,-0.75,0,0,19041.25,19098.75,short
IS,2024-08-15T00:00:00,,win,1.2879,1.2879,0,0,19580.875,19541.5,long
IS,2024-08-16T00:00:00,,loss,-0.75,-0.75,0,0,19615.75,19643.25,short
IS,2024-08-19T00:00:00,,win,1.3124,1.3124,0,0,19729.75,19684.75,long
IS,2024-08-20T00:00:00,,loss,-0.75,-0.75,0,0,19764.25,19794.25,short
IS,2024-08-21T00:00:00,,loss,-0.75,-0.75,0,0,19896.875,19856.25,long
IS,2024-08-22T00:00:00,,scratch,0.034,0.034,1,0,19515.5,19716.75,short
IS,2024-08-23T00:00:00,,loss,-0.75,-0.75,0,0,19771.125,19724.25,long
IS,2024-08-26T00:00:00,,win,1.26,1.26,0,0,19570.625,19605.0,short
IS,2024-08-27T00:00:00,,win,1.2939,1.2939,0,0,19639.875,19680.5,short
IS,2024-08-28T00:00:00,,win,1.3279,1.3279,0,0,19393.625,19443.0,short
IS,2024-11-07T00:00:00,,loss,-0.75,-0.75,0,0,21201.875,21153.75,long
IS,2024-11-08T00:00:00,,loss,-0.75,-0.75,0,0,21276.25,21230.0,long
IS,2024-11-11T00:00:00,,win,1.1948,1.1948,0,0,21163.75,21137.5,long
IS,2024-11-12T00:00:00,,win,1.3858,1.3858,0,0,21196.0,21119.75,long
