sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-09-23T00:00:00,,win,1.8028,1.8028,0,0,24817.25,24879.5,short
IS,2025-10-03T00:00:00,,win,1.9062,1.9062,0,0,24923.75,25059.5,short
IS,2025-10-09T00:00:00,,win,1.8405,1.8405,0,0,25240.0,25162.0,long
IS,2025-10-10T00:00:00,,loss,-0.75,-0.75,0,0,24832.0,24694.0,long
IS,2025-10-15T00:00:00,,win,1.9192,1.9192,0,0,24897.0,24738.75,long
IS,2025-10-31T00:00:00,,loss,-0.75,-0.75,0,0,25815.25,25953.25,short
IS,2025-11-13T00:00:00,,loss,-0.75,-0.75,0,0,24997.25,25074.5,short
IS,2025-11-14T00:00:00,,loss,-0.75,-0.75,0,0,25066.25,25190.0,short
IS,2025-11-18T00:00:00,,loss,-0.75,-0.75,0,0,24910.5,24728.25,long
IS,2025-11-19T00:00:00,,loss,-0.75,-0.75,0,0,24736.75,24587.5,long
IS,2025-11-20T00:00:00,,win,1.9633,1.9633,0,0,24168.5,24522.5,short
IS,2025-11-21T00:00:00,,win,1.9525,1.9525,0,0,24520.5,24248.25,long
IS,2025-12-08T00:00:00,,loss,-0.75,-0.75,0,0,25693.75,25604.5,long
IS,2021-11-05T00:00:00,,scratch,0.0803,0.0803,1,0,16429.5,16292.25,long
IS,2022-01-24T00:00:00,,loss,-0.75,-0.75,0,0,14265.25,13964.5,long
IS,2022-02-10T00:00:00,,loss,-0.75,-0.75,0,0,14675.25,14793.0,short
IS,2022-02-11T00:00:00,,win,1.9254,1.9254,0,0,14311.5,14483.25,short
IS,2022-02-28T00:00:00,,loss,-0.75,-0.75,0,0,14219.0,14093.75,long
IS,2022-03-08T00:00:00,,win,1.9451,1.9451,0,0,13291.25,13526.0,short
IS,2022-04-18T00:00:00,,loss,-0.75,-0.75,0,0,14068.75,13853.5,long
IS,2022-05-10T00:00:00,,win,1.911,1.911,0,0,12488.75,12345.5,long
IS,2022-05-11T00:00:00,,loss,-0.75,-0.75,0,0,11994.5,12118.25,short
IS,2022-05-19T00:00:00,,loss,-0.75,-0.75,0,0,11770.75,11938.0,short
IS,2022-05-20T00:00:00,,win,1.9547,1.9547,0,0,11777.0,11491.25,long
IS,2020-09-03T00:00:00,,loss,-0.75,-0.75,0,0,11644.25,11849.75,short
IS,2020-09-18T00:00:00,,win,1.9214,1.9214,0,0,10904.75,10742.0,long
IS,2020-12-09T00:00:00,,win,1.8944,1.8944,0,0,12316.0,12436.0,short
IS,2021-03-04T00:00:00,,loss,-0.75,-0.75,0,0,12287.25,12495.75,short
IS,2021-04-22T00:00:00,,win,1.872,1.872,0,0,13754.0,13852.25,short
IS,2021-05-13T00:00:00,,loss,-0.75,-0.75,0,0,12918.25,13052.5,short
IS,2023-07-27T00:00:00,,loss,-0.75,-0.75,0,0,15682.25,15746.0,short
IS,2023-09-15T00:00:00,,loss,-0.75,-0.75,0,0,15433.75,15365.5,long
IS,2023-10-12T00:00:00,,win,1.8172,1.8172,0,0,15255.75,15323.25,short
IS,2023-10-18T00:00:00,,loss,-0.75,-0.75,0,0,15018.25,15146.5,short
