sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,23400.5,23244.5,long
IS,2025-08-21T00:00:00,,win,1.8799,1.8799,0,0,23245.75,23140.75,long
IS,2025-08-22T00:00:00,,loss,-1.0,-1.0,0,0,23651.5,23602.75,long
IS,2025-08-25T00:00:00,,win,1.7212,1.7212,0,0,23548.25,23591.0,short
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23475.5,23540.0,short
IS,2025-08-27T00:00:00,,win,1.5112,1.5112,0,0,23624.25,23601.75,long
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23807.25,23754.75,long
IS,2025-08-29T00:00:00,,scratch,0.3172,0.3172,1,0,23496.75,23418.0,long
IS,2025-09-02T00:00:00,,loss,-1.0,-1.0,0,0,23262.5,23160.5,long
IS,2025-09-03T00:00:00,,win,1.8474,1.8474,0,0,23353.25,23435.0,short
IS,2025-09-04T00:00:00,,win,1.6805,1.6805,0,0,23603.25,23566.5,long
IS,2025-09-05T00:00:00,,win,1.7806,1.7806,0,0,23586.25,23641.75,short
IS,2025-09-08T00:00:00,,win,1.6862,1.6862,0,0,23775.0,23812.5,short
IS,2025-09-09T00:00:00,,loss,-1.0,-1.0,0,0,23802.5,23847.5,short
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,23939.75,23877.5,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,24063.75,24013.5,long
IS,2025-09-12T00:00:00,,loss,-1.0,-1.0,0,0,24079.0,24107.5,short
IS,2025-09-15T00:00:00,,win,1.6971,1.6971,0,0,24287.75,24248.75,long
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24509.75,24536.75,short
IS,2025-09-17T00:00:00,,win,1.7212,1.7212,0,0,24452.5,24409.75,long
IS,2025-09-18T00:00:00,,win,1.8005,1.8005,0,0,24705.0,24766.5,short
IS,2025-09-19T00:00:00,,loss,-1.0,-1.0,0,0,24855.25,24805.0,long
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24944.0,24998.0,short
IS,2025-09-23T00:00:00,,win,1.8028,1.8028,0,0,24817.25,24879.5,short
IS,2025-09-24T00:00:00,,win,1.7455,1.7455,0,0,24700.25,24747.5,short
IS,2025-09-25T00:00:00,,win,1.8773,1.8773,0,0,24503.5,24606.25,short
IS,2025-09-26T00:00:00,,loss,-1.0,-1.0,0,0,24737.25,24696.75,long
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,24881.75,24815.0,long
IS,2025-09-30T00:00:00,,loss,-1.0,-1.0,0,0,24786.5,24731.75,long
IS,2025-10-01T00:00:00,,loss,-1.0,-1.0,0,0,24943.75,24986.5,short
IS,2025-10-02T00:00:00,,loss,-1.0,-1.0,0,0,25134.75,25080.0,long
IS,2025-10-03T00:00:00,,win,1.9062,1.9062,0,0,24923.75,25059.5,short
IS,2025-10-06T00:00:00,,loss,-1.0,-1.0,0,0,25194.75,25226.25,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,24995.25,25051.5,short
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25245.0,25272.0,short
IS,2025-10-09T00:00:00,,win,1.8405,1.8405,0,0,25240.0,25162.0,long
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,24832.0,24694.0,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24860.0,24911.0,short
IS,2025-10-14T00:00:00,,win,1.9072,1.9072,0,0,24798.25,24935.5,short
IS,2025-10-15T00:00:00,,win,1.9192,1.9192,0,0,24897.0,24738.75,long
IS,2025-10-16T00:00:00,,win,1.9123,1.9123,0,0,24809.5,24955.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24996.0,24851.25,long
IS,2025-10-20T00:00:00,,loss,-1.0,-1.0,0,0,25365.25,25333.0,long
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25335.75,25273.5,long
IS,2025-10-22T00:00:00,,win,1.8876,1.8876,0,0,24811.25,24923.75,short
IS,2025-10-23T00:00:00,,scratch,1.3725,1.3725,1,0,25309.75,25204.75,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25581.75,25541.25,long
IS,2025-10-27T00:00:00,,win,1.7379,1.7379,0,0,25941.5,25895.75,long
IS,2025-10-28T00:00:00,,win,1.7527,1.7527,0,0,26174.0,26125.25,long
IS,2025-10-29T00:00:00,,win,1.6746,1.6746,0,0,26258.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25982.5,26061.25,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,25815.25,25953.25,short
