sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-22T00:00:00,,win,1.8876,1.8876,0,0,24811.25,24923.75,short
IS,2025-10-23T00:00:00,,scratch,1.3725,1.3725,1,0,25309.75,25204.75,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25581.75,25541.25,long
IS,2025-10-27T00:00:00,,win,1.7379,1.7379,0,0,25941.5,25895.75,long
IS,2025-10-28T00:00:00,,win,1.7527,1.7527,0,0,26174.0,26125.25,long
IS,2025-10-29T00:00:00,,win,1.6746,1.6746,0,0,26258.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25982.5,26061.25,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,25815.25,25953.25,short
IS,2025-11-03T00:00:00,,win,1.8419,1.8419,0,0,26087.25,26166.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25550.5,25648.0,short
IS,2025-11-05T00:00:00,,win,1.7256,1.7256,0,0,25867.75,25824.25,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25406.0,25321.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24870.5,24935.0,short
IS,2025-11-10T00:00:00,,win,1.8671,1.8671,0,0,25727.0,25632.5,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25579.25,25655.75,short
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25066.25,25190.0,short
IS,2025-11-17T00:00:00,,win,1.8501,1.8501,0,0,25040.5,24957.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24910.5,24728.25,long
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,24736.75,24587.5,long
IS,2025-11-20T00:00:00,,win,1.9633,1.9633,0,0,24168.5,24522.5,short
IS,2025-11-21T00:00:00,,win,1.9525,1.9525,0,0,24520.5,24248.25,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24993.0,24913.5,long
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24985.0,25028.5,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25225.25,25349.0,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25493.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25484.25,25576.5,short
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25663.5,25626.75,long
IS,2025-12-04T00:00:00,,win,1.7455,1.7455,0,0,25586.25,25633.5,short
IS,2025-12-05T00:00:00,,win,1.7859,1.7859,0,0,25701.5,25758.5,short
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25693.75,25604.5,long
IS,2025-12-09T00:00:00,,win,1.6413,1.6413,0,0,25697.5,25729.75,short
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25670.75,25595.0,long
IS,2025-12-11T00:00:00,,win,1.7455,1.7455,0,0,25659.0,25611.75,long
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25281.0,25342.5,short
IS,2025-12-15T00:00:00,,loss,-1.0,-1.0,0,0,25198.25,25079.0,long
IS,2025-12-16T00:00:00,,win,1.9207,1.9207,0,0,25363.25,25202.0,long
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25053.75,24993.75,long
IS,2025-12-18T00:00:00,,loss,-1.0,-1.0,0,0,25452.5,25362.5,long
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9134.0,9144.5,short
IS,2020-01-30T00:00:00,,win,1.7417,1.7417,0,0,9093.25,9046.75,long
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,8964.5,9026.75,short
IS,2020-02-03T00:00:00,,win,1.6684,1.6684,0,0,9141.75,9106.5,long
IS,2020-02-04T00:00:00,,win,1.4823,1.4823,0,0,9339.25,9318.25,long
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9380.25,9347.25,long
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9429.0,9441.0,short
IS,2020-02-07T00:00:00,,win,1.7561,1.7561,0,0,9400.75,9450.25,short
IS,2020-02-10T00:00:00,,loss,-1.0,-1.0,0,0,9457.5,9478.5,short
IS,2020-02-11T00:00:00,,win,1.6413,1.6413,0,0,9552.75,9585.0,short
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9622.75,9604.0,long
IS,2020-02-13T00:00:00,,win,1.4971,1.4971,0,0,9639.5,9617.75,long
