sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,win,2.134,2.134,0,0,8806.25,8850.0,short
IS,2020-01-08T00:00:00,,loss,-1.0,-1.0,0,0,8952.875,8938.0,long
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8974.125,9008.25,short
IS,2020-02-03T00:00:00,,win,2.1132,2.1132,0,0,9147.625,9106.5,long
IS,2020-02-04T00:00:00,,win,1.896,1.896,0,0,9342.75,9318.25,long
IS,2020-02-10T00:00:00,,loss,-1.0,-1.0,0,0,9454.0,9478.5,short
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9146.0,9081.25,long
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,8879.75,8956.75,short
IS,2020-02-26T00:00:00,,scratch,0.8554,0.8554,1,0,8731.875,8930.5,short
IS,2020-02-27T00:00:00,,win,2.3506,2.3506,0,0,8606.625,8721.25,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8731.375,8632.5,long
IS,2020-03-03T00:00:00,,win,2.3982,2.3982,0,0,8526.375,8697.0,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8801.25,8853.75,short
IS,2020-03-06T00:00:00,,win,2.3528,2.3528,0,0,8348.375,8464.75,short
IS,2020-03-09T00:00:00,,win,2.3671,2.3671,0,0,7965.25,8094.75,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,7964.5,8148.25,short
IS,2020-03-11T00:00:00,,win,2.3189,2.3189,0,0,7974.375,8068.0,short
IS,2020-03-12T00:00:00,,win,2.4393,2.4393,0,0,7340.125,7629.75,short
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7436.75,7562.75,short
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7533.25,7262.0,long
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7220.25,6840.5,long
IS,2020-03-19T00:00:00,,win,2.3721,2.3721,0,0,7456.75,7322.0,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7133.25,7275.0,short
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6866.75,7031.25,short
IS,2020-03-24T00:00:00,,win,2.3484,2.3484,0,0,7326.125,7439.0,short
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7817.5,7651.25,long
IS,2020-03-26T00:00:00,,win,2.3876,2.3876,0,0,7801.0,7647.0,long
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7824.5,7628.5,long
IS,2020-03-30T00:00:00,,loss,-1.0,-1.0,0,0,7786.0,7836.75,short
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7963.25,7816.25,long
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7585.5,7505.0,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7568.75,7491.75,long
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7404.75,7471.25,short
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7964.25,7922.25,long
IS,2020-04-07T00:00:00,,win,2.3654,2.3654,0,0,8084.5,8212.25,short
IS,2020-04-08T00:00:00,,loss,-1.0,-1.0,0,0,8084.25,8171.75,short
IS,2020-04-09T00:00:00,,win,2.2115,2.2115,0,0,8226.125,8283.0,short
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8710.0,8652.25,long
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8735.625,8670.0,long
IS,2020-04-21T00:00:00,,loss,-1.0,-1.0,0,0,8500.875,8437.0,long
IS,2020-04-22T00:00:00,,win,2.1987,2.1987,0,0,8679.75,8625.5,long
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8763.0,8812.0,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8920.0,8953.25,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,8988.5,8927.25,long
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8655.25,8700.75,short
IS,2020-05-04T00:00:00,,win,2.1584,2.1584,0,0,8766.75,8719.5,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,9066.875,9031.0,long
IS,2020-05-07T00:00:00,,win,1.9995,1.9995,0,0,9091.625,9122.25,short
IS,2020-05-08T00:00:00,,win,2.0541,2.0541,0,0,9156.5,9191.5,short
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,8993.5,8930.5,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9435.625,9396.25,long
IS,2020-05-22T00:00:00,,loss,-1.0,-1.0,0,0,9378.75,9405.0,short
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,23426.5,23244.5,long
IS,2025-08-21T00:00:00,,scratch,1.8387,1.8387,1,0,23263.25,23140.75,long
IS,2025-08-22T00:00:00,,loss,-1.0,-1.0,0,0,23659.625,23602.75,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23464.75,23540.0,short
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23816.0,23754.75,long
IS,2025-09-04T00:00:00,,win,2.1273,2.1273,0,0,23609.375,23566.5,long
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,24892.875,24815.0,long
IS,2025-10-01T00:00:00,,loss,-1.0,-1.0,0,0,24936.625,24986.5,short
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24851.5,24911.0,short
IS,2025-10-14T00:00:00,,win,2.3918,2.3918,0,0,24775.375,24935.5,short
IS,2025-10-15T00:00:00,,win,2.4057,2.4057,0,0,24923.375,24738.75,long
IS,2025-10-16T00:00:00,,win,2.3977,2.3977,0,0,24785.25,24955.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,25020.125,24851.25,long
IS,2025-10-20T00:00:00,,loss,-1.0,-1.0,0,0,25370.625,25333.0,long
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25346.125,25273.5,long
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,24792.5,24923.75,short
IS,2025-10-23T00:00:00,,scratch,1.3725,1.3725,1,0,25327.25,25204.75,long
IS,2025-10-29T00:00:00,,win,2.1204,2.1204,0,0,26264.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25969.375,26061.25,short
IS,2025-11-03T00:00:00,,win,2.3156,2.3156,0,0,26074.125,26166.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25534.25,25648.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25875.0,25824.25,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25420.125,25321.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24859.75,24935.0,short
IS,2025-11-10T00:00:00,,win,2.345,2.345,0,0,25742.75,25632.5,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25566.5,25655.75,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25680.0,25603.0,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,24984.375,25074.5,short
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25045.625,25190.0,short
IS,2025-11-17T00:00:00,,loss,-1.0,-1.0,0,0,25054.375,24957.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24940.875,24728.25,long
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,24761.625,24587.5,long
IS,2025-11-20T00:00:00,,win,2.4572,2.4572,0,0,24109.5,24522.5,short
IS,2025-11-21T00:00:00,,win,2.4446,2.4446,0,0,24565.875,24248.25,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,25006.25,24913.5,long
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25204.625,25349.0,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25498.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25468.875,25576.5,short
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25669.625,25626.75,long
IS,2025-12-05T00:00:00,,win,2.2502,2.2502,0,0,25692.0,25758.5,short
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25708.625,25604.5,long
IS,2025-12-11T00:00:00,,win,2.2031,2.2031,0,0,25666.875,25611.75,long
IS,2025-12-15T00:00:00,,loss,-1.0,-1.0,0,0,25218.125,25079.0,long
