sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9385.75,9347.25,long
IS,2020-02-11T00:00:00,,win,2.0815,2.0815,0,0,9547.375,9585.0,short
IS,2020-02-12T00:00:00,,loss,-0.75,-0.75,0,0,9625.875,9604.0,long
IS,2020-02-13T00:00:00,,win,1.9133,1.9133,0,0,9643.125,9617.75,long
IS,2020-02-14T00:00:00,,loss,-0.75,-0.75,0,0,9631.75,9598.5,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9601.875,9627.25,short
IS,2020-02-19T00:00:00,,loss,-0.75,-0.75,0,0,9745.25,9733.0,long
IS,2020-02-20T00:00:00,,loss,-0.75,-0.75,0,0,9566.625,9609.5,short
IS,2020-02-21T00:00:00,,win,2.1466,2.1466,0,0,9423.25,9468.75,short
IS,2020-02-24T00:00:00,,loss,-0.75,-0.75,0,0,9146.0,9081.25,long
IS,2020-02-25T00:00:00,,loss,-0.75,-0.75,0,0,8879.75,8956.75,short
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,8731.875,8930.5,short
IS,2020-02-27T00:00:00,,win,2.3506,2.3506,0,0,8606.625,8721.25,short
IS,2020-03-02T00:00:00,,loss,-0.75,-0.75,0,0,8731.375,8632.5,long
IS,2020-03-03T00:00:00,,win,2.3982,2.3982,0,0,8526.375,8697.0,short
IS,2020-03-04T00:00:00,,loss,-0.75,-0.75,0,0,8801.25,8853.75,short
IS,2020-03-05T00:00:00,,loss,-0.75,-0.75,0,0,8804.375,8696.75,long
IS,2020-03-06T00:00:00,,loss,-0.75,-0.75,0,0,8348.375,8464.75,short
IS,2020-03-09T00:00:00,,win,2.3671,2.3671,0,0,7965.25,8094.75,short
IS,2020-03-10T00:00:00,,loss,-0.75,-0.75,0,0,7964.5,8148.25,short
IS,2020-03-11T00:00:00,,win,2.3189,2.3189,0,0,7974.375,8068.0,short
IS,2020-03-12T00:00:00,,win,2.4393,2.4393,0,0,7340.125,7629.75,short
IS,2020-03-13T00:00:00,,loss,-0.75,-0.75,0,0,7436.75,7562.75,short
IS,2020-03-16T00:00:00,,loss,-0.75,-0.75,0,0,7156.5,7326.25,short
IS,2020-03-17T00:00:00,,loss,-0.75,-0.75,0,0,7533.25,7262.0,long
IS,2020-03-18T00:00:00,,loss,-0.75,-0.75,0,0,7220.25,6840.5,long
IS,2020-03-19T00:00:00,,loss,-0.75,-0.75,0,0,7456.75,7322.0,long
IS,2020-03-20T00:00:00,,loss,-0.75,-0.75,0,0,7133.25,7275.0,short
IS,2020-03-23T00:00:00,,loss,-0.75,-0.75,0,0,6866.75,7031.25,short
IS,2020-03-24T00:00:00,,win,2.3484,2.3484,0,0,7326.125,7439.0,short
IS,2020-03-25T00:00:00,,loss,-0.75,-0.75,0,0,7817.5,7651.25,long
IS,2020-03-26T00:00:00,,win,2.3876,2.3876,0,0,7801.0,7647.0,long
IS,2020-03-27T00:00:00,,loss,-0.75,-0.75,0,0,7824.5,7628.5,long
IS,2020-03-30T00:00:00,,loss,-0.75,-0.75,0,0,7786.0,7836.75,short
IS,2020-03-31T00:00:00,,loss,-0.75,-0.75,0,0,7963.25,7816.25,long
IS,2020-04-01T00:00:00,,loss,-0.75,-0.75,0,0,7585.5,7505.0,long
IS,2020-04-02T00:00:00,,loss,-0.75,-0.75,0,0,7568.75,7491.75,long
IS,2020-04-03T00:00:00,,loss,-0.75,-0.75,0,0,7404.75,7471.25,short
IS,2020-04-06T00:00:00,,loss,-0.75,-0.75,0,0,7964.25,7922.25,long
IS,2020-04-07T00:00:00,,win,2.3654,2.3654,0,0,8084.5,8212.25,short
IS,2020-04-08T00:00:00,,loss,-0.75,-0.75,0,0,8084.25,8171.75,short
IS,2020-04-09T00:00:00,,win,2.2115,2.2115,0,0,8226.125,8283.0,short
IS,2020-04-13T00:00:00,,win,2.2845,2.2845,0,0,8272.875,8195.0,long
IS,2020-04-14T00:00:00,,loss,-0.75,-0.75,0,0,8710.0,8652.25,long
IS,2020-04-15T00:00:00,,loss,-0.75,-0.75,0,0,8544.375,8576.75,short
IS,2020-04-16T00:00:00,,loss,-0.75,-0.75,0,0,8735.625,8670.0,long
IS,2020-04-17T00:00:00,,loss,-0.75,-0.75,0,0,8771.5,8734.75,long
IS,2020-04-20T00:00:00,,win,2.0442,2.0442,0,0,8824.375,8790.25,long
IS,2020-04-21T00:00:00,,loss,-0.75,-0.75,0,0,8500.875,8437.0,long
IS,2020-04-22T00:00:00,,win,2.1987,2.1987,0,0,8679.75,8625.5,long
IS,2020-04-23T00:00:00,,loss,-0.75,-0.75,0,0,8744.25,8660.25,long
IS,2020-04-24T00:00:00,,win,2.0442,2.0442,0,0,8707.875,8673.75,long
IS,2020-04-27T00:00:00,,loss,-0.75,-0.75,0,0,8763.0,8812.0,short
IS,2020-04-28T00:00:00,,loss,-0.75,-0.75,0,0,8689.5,8740.25,short
IS,2020-04-29T00:00:00,,loss,-0.75,-0.75,0,0,8920.0,8953.25,short
IS,2020-04-30T00:00:00,,loss,-0.75,-0.75,0,0,8988.5,8927.25,long
IS,2020-05-01T00:00:00,,loss,-0.75,-0.75,0,0,8655.25,8700.75,short
IS,2020-05-04T00:00:00,,win,2.1584,2.1584,0,0,8766.75,8719.5,long
IS,2020-05-05T00:00:00,,loss,-0.75,-0.75,0,0,9008.75,8986.0,long
IS,2020-05-06T00:00:00,,loss,-0.75,-0.75,0,0,9066.875,9031.0,long
IS,2020-05-07T00:00:00,,win,1.9995,1.9995,0,0,9091.625,9122.25,short
IS,2020-05-08T00:00:00,,win,2.0541,2.0541,0,0,9156.5,9191.5,short
IS,2020-05-11T00:00:00,,loss,-0.75,-0.75,0,0,9334.75,9306.75,long
IS,2020-05-12T00:00:00,,loss,-0.75,-0.75,0,0,9314.125,9260.75,long
IS,2020-05-13T00:00:00,,loss,-0.75,-0.75,0,0,8993.5,8930.5,long
IS,2020-05-14T00:00:00,,win,2.2194,2.2194,0,0,8951.125,9009.75,short
IS,2020-05-15T00:00:00,,loss,-0.75,-0.75,0,0,9014.75,9084.75,short
IS,2020-05-18T00:00:00,,win,2.1404,2.1404,0,0,9316.875,9361.5,short
IS,2020-05-19T00:00:00,,loss,-0.75,-0.75,0,0,9435.625,9396.25,long
IS,2020-05-20T00:00:00,,loss,-0.75,-0.75,0,0,9490.75,9445.25,long
