sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2021-06-11T00:00:00,,loss,-0.75,-0.75,0,0,13933.5,13951.5,short
IS,2021-06-14T00:00:00,,loss,-0.75,-0.75,0,0,14016.25,14005.75,long
IS,2021-06-15T00:00:00,,loss,-0.75,-0.75,0,0,14132.5,14144.0,short
IS,2021-06-16T00:00:00,,loss,-0.75,-0.75,0,0,14017.0,14038.5,short
IS,2021-06-18T00:00:00,,loss,-0.75,-0.75,0,0,14200.0,14171.5,long
IS,2021-06-23T00:00:00,,loss,-0.75,-0.75,0,0,14257.0,14275.0,short
IS,2021-06-24T00:00:00,,win,0.9153,0.9153,0,0,14372.5,14306.5,long
IS,2021-06-29T00:00:00,,win,0.8499,0.8499,0,0,14504.75,14468.75,long
IS,2021-06-30T00:00:00,,win,0.683,0.683,0,0,14568.25,14583.75,short
IS,2021-07-07T00:00:00,,win,0.7506,0.7506,0,0,14854.25,14833.75,long
IS,2021-07-08T00:00:00,,loss,-0.75,-0.75,0,0,14614.25,14697.75,short
IS,2021-07-09T00:00:00,,win,0.7945,0.7945,0,0,14739.0,14713.5,long
IS,2021-07-15T00:00:00,,win,0.8537,0.8537,0,0,14954.25,14917.25,long
IS,2021-07-19T00:00:00,,loss,-0.75,-0.75,0,0,14677.5,14645.5,long
IS,2021-07-20T00:00:00,,loss,-0.75,-0.75,0,0,14629.5,14597.0,long
IS,2021-07-21T00:00:00,,win,0.7452,0.7452,0,0,14746.25,14726.25,long
IS,2021-07-23T00:00:00,,win,0.6648,0.6648,0,0,15004.5,14990.0,long
IS,2021-07-26T00:00:00,,loss,-0.75,-0.75,0,0,15027.75,15082.25,short
IS,2021-07-30T00:00:00,,win,0.7395,0.7395,0,0,14856.0,14836.5,long
IS,2021-08-05T00:00:00,,loss,-0.75,-0.75,0,0,15082.5,15095.0,short
IS,2021-08-09T00:00:00,,win,0.6548,0.6548,0,0,15090.75,15076.75,long
IS,2021-08-11T00:00:00,,win,0.7506,0.7506,0,0,14998.5,15019.0,short
IS,2021-08-12T00:00:00,,loss,-0.75,-0.75,0,0,14986.25,15003.25,short
IS,2021-08-16T00:00:00,,loss,-0.75,-0.75,0,0,15120.5,15105.0,long
IS,2021-08-17T00:00:00,,loss,-0.75,-0.75,0,0,15064.0,15083.5,short
IS,2021-08-18T00:00:00,,loss,-0.75,-0.75,0,0,15013.75,14986.25,long
IS,2021-08-19T00:00:00,,loss,-0.75,-0.75,0,0,14696.5,14756.0,short
IS,2021-08-25T00:00:00,,win,0.779,0.779,0,0,15387.25,15363.75,long
IS,2021-08-26T00:00:00,,win,0.7559,0.7559,0,0,15325.75,15346.75,short
IS,2021-08-30T00:00:00,,loss,-0.75,-0.75,0,0,15451.25,15441.75,long
IS,2021-08-31T00:00:00,,loss,-0.75,-0.75,0,0,15669.0,15652.0,long
IS,2021-09-02T00:00:00,,loss,-0.75,-0.75,0,0,15653.75,15633.75,long
IS,2021-09-07T00:00:00,,win,0.6993,0.6993,0,0,15666.5,15683.0,short
IS,2021-09-08T00:00:00,,loss,-0.75,-0.75,0,0,15609.0,15637.5,short
IS,2021-09-09T00:00:00,,win,0.714,0.714,0,0,15575.5,15593.0,short
IS,2021-09-10T00:00:00,,win,0.6443,0.6443,0,0,15610.75,15597.25,long
IS,2021-09-13T00:00:00,,win,0.7831,0.7831,0,0,15498.75,15474.75,long
IS,2021-09-14T00:00:00,,loss,-0.75,-0.75,0,0,15404.0,15427.0,short
IS,2021-09-15T00:00:00,,win,0.714,0.714,0,0,15431.5,15414.0,long
IS,2021-09-16T00:00:00,,win,0.7908,0.7908,0,0,15470.75,15495.75,short
IS,2021-09-20T00:00:00,,win,0.9328,0.9328,0,0,15121.0,15205.0,short
IS,2021-09-21T00:00:00,,loss,-0.75,-0.75,0,0,15167.0,15141.5,long
IS,2021-09-22T00:00:00,,win,0.6993,0.6993,0,0,15063.25,15046.75,long
IS,2021-09-23T00:00:00,,win,0.8253,0.8253,0,0,15279.0,15248.5,long
IS,2021-09-24T00:00:00,,win,0.8278,0.8278,0,0,15208.0,15239.0,short
IS,2021-09-28T00:00:00,,loss,-0.75,-0.75,0,0,14950.75,15006.25,short
IS,2021-10-01T00:00:00,,win,0.8499,0.8499,0,0,14598.75,14634.75,short
IS,2021-10-05T00:00:00,,win,0.8655,0.8655,0,0,14506.25,14465.75,long
IS,2021-10-06T00:00:00,,loss,-0.75,-0.75,0,0,14459.5,14493.5,short
IS,2021-10-07T00:00:00,,loss,-0.75,-0.75,0,0,14906.0,14888.0,long
IS,2021-10-08T00:00:00,,loss,-0.75,-0.75,0,0,14843.0,14870.5,short
IS,2021-10-11T00:00:00,,loss,-0.75,-0.75,0,0,14720.25,14756.75,short
IS,2021-10-14T00:00:00,,win,0.7703,0.7703,0,0,14895.75,14873.25,long
IS,2021-10-15T00:00:00,,loss,-0.75,-0.75,0,0,15097.0,15059.0,long
IS,2021-10-19T00:00:00,,win,0.7703,0.7703,0,0,15328.25,15305.75,long
IS,2021-10-22T00:00:00,,win,0.8396,0.8396,0,0,15437.25,15403.75,long
IS,2021-10-25T00:00:00,,loss,-0.75,-0.75,0,0,15399.5,15367.5,long
IS,2021-10-26T00:00:00,,loss,-0.75,-0.75,0,0,15611.5,15597.5,long
IS,2021-10-27T00:00:00,,loss,-0.75,-0.75,0,0,15587.75,15574.25,long
IS,2021-10-29T00:00:00,,win,0.7703,0.7703,0,0,15630.25,15652.75,short
IS,2021-11-02T00:00:00,,loss,-0.75,-0.75,0,0,15900.5,15883.0,long
IS,2021-11-03T00:00:00,,loss,-0.75,-0.75,0,0,15945.0,15965.5,short
IS,2021-11-04T00:00:00,,win,0.5298,0.5298,0,0,16176.0,16166.5,long
IS,2021-11-05T00:00:00,,win,0.683,0.683,0,0,16318.0,16333.5,short
IS,2021-11-08T00:00:00,,win,0.7336,0.7336,0,0,16308.0,16289.0,long
IS,2021-11-10T00:00:00,,win,0.7395,0.7395,0,0,16222.5,16203.0,long
IS,2021-11-11T00:00:00,,loss,-0.75,-0.75,0,0,16049.75,16021.25,long
IS,2021-11-15T00:00:00,,loss,-0.75,-0.75,0,0,16206.5,16224.0,short
IS,2021-11-16T00:00:00,,loss,-0.75,-0.75,0,0,16179.75,16194.75,short
IS,2021-11-18T00:00:00,,win,0.5298,0.5298,0,0,16360.5,16351.0,long
IS,2021-11-19T00:00:00,,loss,-0.75,-0.75,0,0,16570.25,16561.75,long
IS,2021-11-23T00:00:00,,win,0.8141,0.8141,0,0,16317.25,16345.75,short
IS,2021-11-26T00:00:00,,win,0.8111,0.8111,0,0,16223.75,16251.75,short
IS,2021-12-01T00:00:00,,loss,-0.75,-0.75,0,0,16420.0,16366.0,long
IS,2021-12-02T00:00:00,,loss,-0.75,-0.75,0,0,15996.0,15968.0,long
IS,2021-12-07T00:00:00,,win,0.8439,0.8439,0,0,15986.75,15952.25,long
IS,2021-12-09T00:00:00,,loss,-0.75,-0.75,0,0,16398.25,16373.75,long
IS,2021-12-13T00:00:00,,win,0.8141,0.8141,0,0,16359.0,16387.5,short
IS,2021-12-14T00:00:00,,loss,-0.75,-0.75,0,0,16086.0,16098.5,short
IS,2021-12-16T00:00:00,,win,0.8351,0.8351,0,0,16404.25,16371.75,long
IS,2021-12-20T00:00:00,,win,0.867,0.867,0,0,15571.0,15612.0,short
IS,2021-12-22T00:00:00,,loss,-0.75,-0.75,0,0,15968.25,15953.75,long
IS,2021-12-23T00:00:00,,loss,-0.75,-0.75,0,0,16184.75,16176.25,long
IS,2021-12-27T00:00:00,,loss,-0.75,-0.75,0,0,16344.25,16328.25,long
IS,2021-12-29T00:00:00,,win,0.595,0.595,0,0,16555.0,16543.5,long
IS,2021-12-31T00:00:00,,win,0.6213,0.6213,0,0,16422.0,16409.5,long
IS,2022-01-03T00:00:00,,win,0.6913,0.6913,0,0,16383.25,16399.25,short
IS,2022-01-04T00:00:00,,loss,-0.75,-0.75,0,0,16544.0,16521.0,long
IS,2022-01-07T00:00:00,,loss,-0.75,-0.75,0,0,15736.25,15773.25,short
IS,2022-01-13T00:00:00,,loss,-0.75,-0.75,0,0,15823.0,15855.0,short
IS,2022-01-14T00:00:00,,win,0.7908,0.7908,0,0,15542.75,15517.75,long
IS,2022-01-17T00:00:00,,win,0.8374,0.8374,0,0,15570.75,15537.75,long
IS,2022-01-18T00:00:00,,win,0.8396,0.8396,0,0,15425.5,15459.0,short
IS,2022-01-19T00:00:00,,loss,-0.75,-0.75,0,0,15046.5,15094.0,short
IS,2022-01-21T00:00:00,,win,0.8655,0.8655,0,0,14727.75,14687.25,long
IS,2022-01-24T00:00:00,,loss,-0.75,-0.75,0,0,14463.75,14538.25,short
IS,2022-01-25T00:00:00,,win,0.9391,0.9391,0,0,14233.25,14326.25,short
IS,2022-01-28T00:00:00,,loss,-0.75,-0.75,0,0,14180.75,14108.75,long
IS,2022-01-31T00:00:00,,loss,-0.75,-0.75,0,0,14503.25,14437.75,long
IS,2022-02-01T00:00:00,,win,0.8685,0.8685,0,0,14918.0,14876.5,long
IS,2022-02-02T00:00:00,,win,0.7945,0.7945,0,0,15181.25,15155.75,long
IS,2022-02-03T00:00:00,,win,0.87,0.87,0,0,14816.0,14774.0,long
IS,2022-02-04T00:00:00,,win,0.8015,0.8015,0,0,14824.25,14797.75,long
IS,2022-02-07T00:00:00,,loss,-0.75,-0.75,0,0,14764.5,14708.0,long
IS,2022-02-10T00:00:00,,loss,-0.75,-0.75,0,0,15029.0,15006.0,long
IS,2022-02-14T00:00:00,,loss,-0.75,-0.75,0,0,14174.0,14268.0,short
IS,2022-02-18T00:00:00,,loss,-0.75,-0.75,0,0,14272.0,14235.0,long
IS,2022-02-21T00:00:00,,win,0.8555,0.8555,0,0,14156.5,14119.0,long
IS,2022-02-22T00:00:00,,win,0.926,0.926,0,0,13644.0,13720.0,short
IS,2022-02-24T00:00:00,,win,0.9368,0.9368,0,0,13076.75,13166.25,short
IS,2022-02-25T00:00:00,,loss,-0.75,-0.75,0,0,13805.5,13886.0,short
IS,2022-02-28T00:00:00,,loss,-0.75,-0.75,0,0,13973.75,13850.75,long
IS,2022-03-01T00:00:00,,win,0.8396,0.8396,0,0,14278.0,14244.5,long
IS,2022-03-02T00:00:00,,win,0.9438,0.9438,0,0,13914.0,14015.0,short
IS,2022-03-04T00:00:00,,loss,-0.75,-0.75,0,0,14011.0,13946.0,long
IS,2022-03-08T00:00:00,,loss,-0.75,-0.75,0,0,13108.75,13158.75,short
IS,2022-03-09T00:00:00,,win,0.9241,0.9241,0,0,13372.75,13298.75,long
IS,2022-03-10T00:00:00,,loss,-0.75,-0.75,0,0,13667.5,13714.5,short
IS,2022-03-11T00:00:00,,loss,-0.75,-0.75,0,0,13664.25,13588.75,long
IS,2022-03-15T00:00:00,,win,0.9324,0.9324,0,0,12979.5,13063.0,short
IS,2022-03-16T00:00:00,,win,0.8499,0.8499,0,0,13615.5,13579.5,long
IS,2022-03-17T00:00:00,,loss,-0.75,-0.75,0,0,14024.25,13982.25,long
IS,2022-03-21T00:00:00,,loss,-0.75,-0.75,0,0,14312.75,14356.75,short
IS,2022-03-22T00:00:00,,win,0.8439,0.8439,0,0,14358.5,14324.0,long
IS,2022-03-28T00:00:00,,loss,-0.75,-0.75,0,0,14665.75,14716.25,short
IS,2022-03-29T00:00:00,,loss,-0.75,-0.75,0,0,15038.75,15004.25,long
IS,2022-03-30T00:00:00,,loss,-0.75,-0.75,0,0,15137.25,15188.25,short
IS,2022-03-31T00:00:00,,win,0.7609,0.7609,0,0,15137.25,15158.75,short
IS,2022-04-04T00:00:00,,win,0.8607,0.8607,0,0,14880.25,14841.25,long
IS,2022-04-06T00:00:00,,win,0.8573,0.8573,0,0,14709.75,14747.75,short
IS,2022-04-07T00:00:00,,win,0.808,0.808,0,0,14539.0,14511.5,long
IS,2022-04-08T00:00:00,,loss,-0.75,-0.75,0,0,14659.25,14618.75,long
IS,2022-04-11T00:00:00,,win,0.9255,0.9255,0,0,14194.75,14270.25,short
IS,2022-04-12T00:00:00,,win,0.8806,0.8806,0,0,14001.5,13955.5,long
IS,2022-04-13T00:00:00,,loss,-0.75,-0.75,0,0,14092.75,14041.75,long
IS,2022-04-14T00:00:00,,loss,-0.75,-0.75,0,0,14275.5,14236.0,long
IS,2022-04-19T00:00:00,,loss,-0.75,-0.75,0,0,13978.0,13946.0,long
IS,2022-04-20T00:00:00,,win,0.8896,0.8896,0,0,14133.5,14083.5,long
