sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,win,0.8685,0.8685,0,0,23316.0,23357.5,short
IS,2025-08-22T00:00:00,,win,0.7747,0.7747,0,0,23214.0,23191.0,long
IS,2025-08-26T00:00:00,,win,0.8573,0.8573,0,0,23478.0,23440.0,long
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23666.75,23622.25,long
IS,2025-09-01T00:00:00,,win,0.7703,0.7703,0,0,23482.5,23460.0,long
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23470.25,23492.75,short
IS,2025-09-29T00:00:00,,win,0.8685,0.8685,0,0,24893.0,24851.5,long
IS,2025-10-01T00:00:00,,win,0.8794,0.8794,0,0,24698.5,24653.0,long
IS,2025-10-13T00:00:00,,win,0.87,0.87,0,0,24866.0,24908.0,short
IS,2025-10-14T00:00:00,,loss,-1.0,-1.0,0,0,24725.75,24592.25,long
IS,2025-10-15T00:00:00,,win,0.8886,0.8886,0,0,24947.25,24897.75,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25058.0,25031.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24377.5,24492.5,short
IS,2025-10-20T00:00:00,,win,0.8853,0.8853,0,0,25084.75,25132.75,short
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25265.0,25282.5,short
IS,2025-10-22T00:00:00,,win,0.8015,0.8015,0,0,25272.25,25298.75,short
IS,2025-10-23T00:00:00,,win,0.7657,0.7657,0,0,25111.5,25089.5,long
IS,2025-10-29T00:00:00,,loss,-1.0,-1.0,0,0,26250.25,26284.25,short
IS,2025-10-30T00:00:00,,win,0.9381,0.9381,0,0,26280.0,26188.5,long
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,26009.75,26049.75,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25727.5,25779.0,short
IS,2025-11-05T00:00:00,,win,0.8499,0.8499,0,0,25499.5,25535.5,short
IS,2025-11-06T00:00:00,,win,0.8439,0.8439,0,0,25703.75,25669.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,25357.5,25314.0,long
IS,2025-11-10T00:00:00,,win,0.8499,0.8499,0,0,25499.25,25463.25,long
IS,2025-11-11T00:00:00,,win,0.817,0.817,0,0,25661.5,25690.5,short
IS,2025-11-12T00:00:00,,win,0.7945,0.7945,0,0,25797.0,25771.5,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,25685.0,25715.5,short
IS,2025-11-14T00:00:00,,win,0.9365,0.9365,0,0,24985.25,25074.25,short
IS,2025-11-17T00:00:00,,win,0.8396,0.8396,0,0,25264.75,25231.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24564.0,24661.5,short
IS,2025-11-19T00:00:00,,win,0.9433,0.9433,0,0,24632.0,24532.0,long
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25196.0,25164.5,long
IS,2025-11-21T00:00:00,,win,0.8853,0.8853,0,0,24202.0,24154.0,long
IS,2025-11-24T00:00:00,,win,0.9017,0.9017,0,0,24506.75,24450.25,long
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25201.75,25219.75,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25227.0,25276.5,short
IS,2025-12-02T00:00:00,,win,0.848,0.848,0,0,25350.0,25385.5,short
IS,2025-12-03T00:00:00,,win,0.714,0.714,0,0,25670.75,25653.25,long
IS,2025-12-05T00:00:00,,win,0.7831,0.7831,0,0,25729.0,25705.0,long
IS,2025-12-08T00:00:00,,win,0.7908,0.7908,0,0,25802.5,25777.5,long
IS,2025-12-11T00:00:00,,loss,-1.0,-1.0,0,0,25464.0,25511.0,short
IS,2025-12-15T00:00:00,,win,0.8374,0.8374,0,0,25249.25,25282.25,short
IS,2025-12-16T00:00:00,,win,0.8226,0.8226,0,0,25116.5,25146.5,short
IS,2025-12-17T00:00:00,,win,0.8623,0.8623,0,0,25421.0,25381.5,long
IS,2025-12-18T00:00:00,,win,0.9,0.9,0,0,25037.75,24982.25,long
IS,2025-12-19T00:00:00,,win,0.9269,0.9269,0,0,25375.5,25298.5,long
IS,2025-12-31T00:00:00,,win,0.7703,0.7703,0,0,25580.0,25602.5,short
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8801.0,8818.5,short
IS,2020-01-08T00:00:00,,win,0.8983,0.8983,0,0,8862.25,8807.75,long
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9045.75,9028.75,long
