sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2021-07-30T00:00:00,,win,0.8806,0.8806,0,0,14882.5,14836.5,long
IS,2021-08-19T00:00:00,,loss,-1.0,-1.0,0,0,14688.5,14756.0,short
IS,2021-09-20T00:00:00,,win,0.9394,0.9394,0,0,15111.5,15205.0,short
IS,2021-09-21T00:00:00,,loss,-1.0,-1.0,0,0,15167.25,15141.25,long
IS,2021-09-22T00:00:00,,win,0.883,0.883,0,0,15093.75,15046.75,long
IS,2021-09-28T00:00:00,,loss,-1.0,-1.0,0,0,15051.25,14961.75,long
IS,2021-09-29T00:00:00,,loss,-1.0,-1.0,0,0,14865.75,14919.75,short
IS,2021-09-30T00:00:00,,win,0.8818,0.8818,0,0,14827.25,14873.75,short
IS,2021-10-01T00:00:00,,loss,-1.0,-1.0,0,0,14567.25,14634.75,short
IS,2021-10-04T00:00:00,,loss,-1.0,-1.0,0,0,14625.75,14714.75,short
IS,2021-10-05T00:00:00,,win,0.9343,0.9343,0,0,14551.75,14465.75,long
IS,2021-10-06T00:00:00,,loss,-1.0,-1.0,0,0,14524.0,14464.5,long
IS,2021-10-07T00:00:00,,loss,-1.0,-1.0,0,0,14870.0,14904.5,short
IS,2021-10-12T00:00:00,,loss,-1.0,-1.0,0,0,14628.25,14671.25,short
IS,2021-11-26T00:00:00,,win,0.9343,0.9343,0,0,16165.75,16251.75,short
IS,2021-11-29T00:00:00,,win,0.9182,0.9182,0,0,16183.75,16252.25,short
IS,2021-11-30T00:00:00,,loss,-1.0,-1.0,0,0,16249.25,16338.75,short
IS,2021-12-01T00:00:00,,loss,-1.0,-1.0,0,0,16424.0,16362.0,long
IS,2021-12-02T00:00:00,,win,0.9,0.9,0,0,15934.0,15989.5,short
IS,2021-12-03T00:00:00,,loss,-1.0,-1.0,0,0,15936.5,15990.0,short
IS,2021-12-06T00:00:00,,win,0.8714,0.8714,0,0,15713.25,15755.75,short
IS,2021-12-07T00:00:00,,win,0.8853,0.8853,0,0,16000.25,15952.25,long
IS,2021-12-16T00:00:00,,loss,-1.0,-1.0,0,0,16442.75,16371.75,long
IS,2021-12-17T00:00:00,,loss,-1.0,-1.0,0,0,15880.5,15812.0,long
IS,2021-12-20T00:00:00,,win,0.9226,0.9226,0,0,15539.5,15612.0,short
